time	e	ez	w	z
64.0.8.0	2.9820994405446742e-06	2.3046730580540255e-06	5.286772498598712e-06	1.6408554443347302e-05
66.0.	3.005440764554584e-06	2.3612765705096386e-06	5.366717335064233e-06	1.627200609442616e-05
67.0.2.0	3.02825646045573e-06	2.4177886250366017e-06	5.4460450854923404e-06	1.613616628947109e-05
68.0.39999999999999.0	3.050564700483411e-06	2.4741944140781526e-06	5.524759114561574e-06	1.6001046471360304e-05
69.0.6.0	3.072382995927133e-06	2.5304798347746642e-06	5.602862830701808e-06	1.5866657334523564e-05
70.0.8.0	3.0937282226721107e-06	2.5866314603531858e-06	5.6803596830253045e-06	1.573300885662153e-05
72.0.	3.114616645739586e-06	2.64263651264945e-06	5.757253158389044e-06	1.5600110328961532e-05
73.0.2.0	3.135063942867168e-06	2.698482835715279e-06	5.833546778582456e-06	1.546797038570229e-05
74.0.39999999999999.0	3.155085227164114e-06	2.754158870471541e-06	5.9092440976356596e-06	1.533659703189282e-05
75.0.6.0	3.174695068871837e-06	2.809653630371948e-06	5.984348699243789e-06	1.5205997670384282e-05
76.0.8.0	3.1939075162683246e-06	2.864956678033783e-06	6.05886419430211e-06	1.507617912766412e-05
78.0.	3.2127361157453136e-06	2.920058102802618e-06	6.1327942185479346e-06	1.4947147678649472e-05
79.0.2.0	3.2311939310893296e-06	2.974948499215658e-06	6.206142430304992e-06	1.4818909070479373e-05
80.0.39999999999999.0	3.249293562000825e-06	3.029618946324889e-06	6.278912508325721e-06	1.4691468545349413e-05
81.0.6.0	3.267047161875622e-06	3.084060987852453e-06	6.351108149728081e-06	1.4564830862419492e-05
82.0.8.0	3.284466454880829e-06	3.1382666131418628e-06	6.422733068022697e-06	1.4439000318835461e-05
84.0.	3.3015627523525007e-06	3.192228238874107e-06	6.493790991226613e-06	1.4313980769899302e-05
85.0.2.0	3.3183469685388177e-06	3.245938691521697e-06	6.56428566006052e-06	1.4189775648417801e-05
86.0.39999999999999.0	3.3348296357182978e-06	3.299391190507319e-06	6.634220826225623e-06	1.406638798326708e-05
87.0.6.0	3.3510209187153037e-06	3.35257933204184e-06	6.7036002507571495e-06	1.3943820417201033e-05
88.0.8.0	3.3669306288365416e-06	3.4054970736148956e-06	6.772427702451443e-06	1.3822075223933691e-05
90.0.	3.382568237254339e-06	3.4581387191089546e-06	6.8407069563633016e-06	1.370115432452777e-05
91.0.2.0	3.3979428878551208e-06	3.5104989045159938e-06	6.908441792371124e-06	1.3581059303112911e-05
92.0.39999999999999.0	3.413063409577068e-06	3.562572584229727e-06	6.975635993806805e-06	1.3461791421963502e-05
93.0.6.0	3.42793832825738e-06	3.614355017890359e-06	7.0422933461477485e-06	1.3343351635961931e-05
94.0.8.0	3.442575878006836e-06	3.6658417577618306e-06	7.108417635768677e-06	1.3225740606469533e-05
96.0.	3.4569840121334836e-06	3.717028636616999e-06	7.174012648750494e-06	1.310895871463255e-05
97.0.2.0	3.4711704136319264e-06	3.767911756112134e-06	7.23908216974407e-06	1.2993006074143842e-05
98.0.39999999999999.0	3.4851425052556305e-06	3.818487475631066e-06	7.303629980886705e-06	1.287788254348228e-05
99.0.6.0	3.4989074591911767e-06	3.868752401577717e-06	7.367659860768904e-06	1.2763587737653432e-05
100.0.8.0	3.5124722063479446e-06	3.918703377101727e-06	7.431175583449682e-06	1.2650121039448642e-05
102.0.	3.525843445280723e-06	3.968337472237511e-06	7.494180917518242e-06	1.2537481610244302e-05
103.0.2.0	3.539027650760108e-06	4.017651974439976e-06	7.556679625200095e-06	1.242566840035998e-05
104.0.39999999999999.0	3.5520310820035757e-06	4.066644379502389e-06	7.618675461505974e-06	1.231468015899168e-05
105.0.6.0	3.5648597905830136e-06	4.11531238283858e-06	7.680172173421605e-06	1.2204515443739862e-05
106.0.8.0	3.577519628020647e-06	4.163653871116069e-06	7.741173499136727e-06	1.2095172629747252e-05
108.0.	3.5900162530859496e-06	4.211666914225895e-06	7.801683167311854e-06	1.1986649918462301e-05
109.0.2.0	3.602355138807192e-06	4.259349757573804e-06	7.861704896381004e-06	1.1878945346045242e-05
110.0.39999999999999.0	3.614541579207291e-06	4.306700814681856e-06	7.92124239388916e-06	1.1772056791429032e-05
111.0.6.0	3.626580695776605e-06	4.353718660086246e-06	7.980299355862866e-06	1.1665981984050941e-05
112.0.8.0	3.638477443693314e-06	4.400402022519351e-06	8.038879466212682e-06	1.1560718511268032e-05
114.0.	3.650236617800607e-06	4.4467497783655575e-06	8.096986396166177e-06	1.1456263825468321e-05
115.0.19999999999999.0	3.66186285835203e-06	4.492760945378164e-06	8.154623803730207e-06	1.135261525089169e-05
116.0.39999999999999.0	3.67336065653351e-06	4.5384346766476825e-06	8.211795333181199e-06	1.124976999017117e-05
117.0.6.0	3.684734359771071e-06	4.583770254811406e-06	8.268504614582486e-06	1.1147725130606162e-05
118.0.8.0	3.695988176833983e-06	4.628767086493303e-06	8.324755263327297e-06	1.104647765017945e-05
120.0.	3.707126182740262e-06	4.673424696966369e-06	8.380550879706644e-06	1.0946024423327042e-05
