time	Akt	AktPIP	AktPIP3	AktPIPP	E	ERK	ERKP	ERKPP	GS	HRG	MEK	MEKP	MEKPP	MKP3	PI3K	PI3Kstar	PIP3	PP2A	P_I	R	RHRG	RHRG2	RP	RPI3K	RPI3Kstar	RShGS	RShP	RShc	Raf	Rafstar	RasGDP	RasGTP	ShGS	ShP	Shc	internalization
0.0.	10.0	0.0	0.0	0.0	7	1000.0	0.0	0.0	10.0	330.0	120.0	0.0	0.0	2.4	10.0	0.0	0.0	11.4	800.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	120.0	0.0	0.0	0.0	1000.0	0.0
18.0.	9.583351298601047	0.118794579389214	0.18631441020442302	0.11153971180531301	7	999.7325811609451	0.26735875871896103	6.0080335845302605e-05	2.816085662345408	250.2936105029666	100.2458522221357	18.35156655361326	1.40258122425132	2.4	8.85019378319256	1.050564887551072	0.008977708936074	11.4	799.5743735896675	0.293610502967584	5.981103596153395	1.530036124036711	1.083379888655649	0.08076293145339501	0.018478397802936003	6.416217980748662	20.918990416911328	6.802741734896307	97.00831001234401	2.991689987656016	119.89992868855597	0.10007131144414601	0.7676963569058901	612.2675726564426	352.8267808540932	0.012035475934214002
36.0.	8.74255936047881	0.35189698098734	0.5112058595451461	0.39433779898869203	7	991.7268682503551	8.215817437556833	0.057314312087133	3.489659552632494	250.01458055457113	60.03536485696524	45.091187998469536	14.873447144565477	2.4	6.519050871371081	3.155909316416552	0.027008533780803003	11.4	798.7155508267025	0.014580554572330002	5.7983219709656915	4.722911148741016	4.662513066599276	0.255338794816437	0.06970101739588601	6.333922787715349	16.550761540259167	4.446995909894715	96.31302344973928	3.6869765502607583	119.99065984725506	0.009340152745428001	0.176417659652324	950.2843651470147	22.207536955461354	0.051404471808198
54.0.	7.054419774152715	0.812251084812161	0.7824466043403591	1.35088253669475	7	965.1455800612698	33.83891966935686	1.01550026937321	8.355765621833415	250.02788596667682	34.788327564672066	50.795563709889784	34.41610872543841	2.4	3.417021179353148	5.962031529870907	0.051211978792299	11.4	797.0032077953663	0.027885966678427004	11.70978896956436	14.350102235090201	15.057772665555472	0.43558788406229304	0.185359406713613	1.630169761188406	1.776123758724853	0.450481967971715	96.5301076949278	3.46989230507234	119.99935995590396	0.000640044096369	0.014064616978806002	995.7865765087325	0.342583386400219	0.24556485257196503
72.0.	6.009518697129565	0.98741931273168	0.6888161714834731	2.3142458186552712	7	920.3234311299752	74.3664672633789	5.310101606645469	9.813178549260194	250.0315172444734	20.542243042521935	47.02165804729416	52.43609891018416	2.4	3.195475140591375	6.158123482846336	0.052917478405367	11.4	795.956601218731	0.031517244474955006	12.496869222492244	15.655322082671896	16.497985703266934	0.44653996731544404	0.19986140924680101	0.18536179112393403	0.171956684019753	0.043971468310936006	96.83640929396766	3.163590706032502	119.99993455345205	6.544654812988253e-05	0.0014596596164070002	999.5616511128994	0.035599284026977006	0.534807660560466
90.0.	5.288106991949955	1.06624826831962	0.6061473269816511	3.039497412748751	7	862.6969249155658	121.49005015274261	15.813024931690405	9.951378799391659	250.031717996507	12.51170896490881	40.891145078567625	66.5971459565238	2.4	3.196709537922891	6.157400582417719	0.052916273395792	11.4	795.2351907185612	0.031717996508253	12.518676763950658	15.66337421823296	16.479442068616535	0.44622171585283904	0.19966816380650101	0.048240893074488006	0.044136745450441	0.011642150901932002	97.15405071872456	2.8459492812755443	119.99998321821046	1.678178983151667e-05	0.000380307534367	999.8814025508145	0.014197352221160002	0.8320766638346081
108.0.	4.76938986104809	1.108425861047964	0.5452540187766021	3.5769302591273293	7	798.2179735700032	167.4801743038648	34.3018521261311	9.963184168077877	250.03162994397354	7.926050839189173	35.242839394850094	76.83110976596089	2.4	3.216168646403583	6.140646887207627	0.052774831600635	11.4	794.7166150294544	0.031629943974863	12.479181115047584	15.560820269960752	16.334324341349607	0.44497808102060205	0.19820638536814303	0.036525326419734	0.033380427596146005	0.008922454230548	97.46603984801374	2.533960151986368	119.99998726421349	1.2735786743739911e-05	0.00029050550290300004	999.9083722908512	0.012508995396237002	1.127437184543001
126.0.	4.396666250224683	1.133329911514779	0.501197014228796	3.968806824031725	7	731.6960364719846	207.3306823531395	60.97328117487525	9.964446630162799	250.0315183417779	5.250760108146897	30.911070693036578	83.83816919881669	2.4	3.237156731755134	6.122532431340887	0.052620778873561	11.4	794.3440454713582	0.031518341779247006	12.434754966784956	15.449866627948388	16.180482923051347	0.44365571882454	0.196655118079394	0.035270180453068005	0.032229658393820006	0.008632262713846001	97.76345503957852	2.236544960421621	119.99998759388052	1.240611969926861e-05	0.00028318938467	999.9111485105524	0.012436198498995	1.420070856253232
144.0.	4.132773851747197	1.149044625529526	0.46973688417305404	4.248444638550199	7	666.4501498150332	238.757588963875	94.79226122109151	9.964853571962236	250.03140519976247	3.646636093175718	27.935941358762722	88.41742254806168	2.4	3.258285096886647	6.104278251522908	0.052464924626772005	11.4	794.0803089271272	0.031405199763834005	12.39008186171514	15.338987855775676	16.0276305473692	0.44232501936315605	0.195111632227242	0.034863832108365	0.031857238358243	0.008538954537067	98.0406875488592	1.9593124511409812	119.99998762061406	1.237938612903589e-05	0.00028259592992	999.9119618160801	0.012495562983225001	1.709941389521303
162.0.	3.9501022418364142	1.159439476428985	0.447647783729742	4.442810498004804	7	604.5090614385326	261.4068916002912	134.0840469611761	9.965189289920698	250.03129232676235	2.655344246715972	26.111340090126305	91.23331566315788	2.4	3.279439745787818	6.085984918380937	0.052308279517791004	11.4	793.8977939623254	0.031292326763617005	12.34554424338824	15.228866198117636	15.876524225025774	0.44099177754071806	0.19358355829047602	0.034528171612404006	0.031549644845013006	0.008462036739814001	98.29451687040144	1.705483129598771	119.99998762318927	1.237681092056477e-05	0.00028253846745100004	999.9126116614597	0.012565946872767	1.997076102751953
