time	TFPI	VIIa_TF	VIIa_TF_X	VIIa_TF_Xa	X	Xa	Xa_TFPI	Xa_TFPI_VIIa_TF
3.0.36.0	0.004702861477276	0.17105721074462701	0.019554551144042	0.166468000397121	27.194544592517556	140.22403571741864	1.752377200808511	0.6429199377142131
3.0.52.0	0.004617527157114	0.164469308533845	0.017932221931718003	0.160931238531033	25.937765683597416	141.48788838309707	1.738715541839479	0.656666931003406
3.0.68.0	0.004540768422421001	0.158392629643363	0.016500690445892002	0.15575873967429302	24.78323812490861	142.64894321339375	1.726111591341125	0.6693476402364541
3.0.84.0	0.004471414671291	0.152782708921879	0.015232619264504001	0.15092963000883503	23.71911434664295	143.71909481875514	1.7144738435239262	0.6810547418047831
4.0.	0.004408503574034	0.147599603604212	0.014105207330202001	0.146423393726957	22.735221548196762	144.70855835432022	1.7037200010873361	0.691871495338631
4.0.16.0	0.0043512339337630004	0.142807345413687	0.013099339071842001	0.14222013214293702	21.822787420076793	145.62614434264228	1.6937758826947	0.7018728833715361
4.0.32.0	0.004298932077897001	0.138373470702176	0.012198910498622002	0.13830072995647502	20.974216663166526	146.47948262845634	1.684574479079373	0.7111265888427291
4.0.48.0	0.004251026821744001	0.134268615926633	0.011390292073331	0.134646955192001	20.18290786751022	147.27520591204632	1.6760551363702172	0.719693836808038
4.0.64.0	0.0042070303212550005	0.130466168060513	0.010661898023018	0.131241511958298	19.443102655949616	148.01910096439042	1.6681628477205699	0.727630121958174
4.0.8.0	0.00416652317149	0.126941961385551	0.010003839014728	0.12806805988910902	18.74976077319937	148.71623385106832	1.660847637117894	0.734985839710615
4.0.96.0	0.004129142656033	0.12367401359793001	0.009407640529687001	0.125111210320158	18.09845615553295	149.3710541362733	1.654064021791737	0.741806835552229
5.0.12.0	0.004094573379966	0.120642295367547	0.008866013318624001	0.12235650650428001	17.485290056882604	149.98748199667452	1.647770541810481	0.748134884809552
5.0.28.0	0.004062539731681	0.11782852846826901	0.008372665375848	0.119790393164884	16.90681811178441	150.56898136940669	1.641929347277316	0.754008112991002
5.0.44.0	0.004032799764274	0.11521600839645602	0.007922147189679	0.117400179228204	16.359988841593776	151.11862163175272	1.6365058350500612	0.7594613651856651
5.0.6000000000000005.0	0.00400514019005	0.112789448050435	0.007509723800294001	0.115173996506921	15.842091600289884	151.63912981959302	1.6314683281675961	0.7645265316423541
5.0.76.0	0.003979372255821	0.11053483958313301	0.007131268559839	0.113100756324918	15.350712341734225	152.13293500563688	1.626787792212066	0.7692328355321131
5.0.92.0	0.003955328320983001	0.10843933198605801	0.006783174544715001	0.11117010549820001	14.883695895310538	152.6022061529675	1.622437583707986	0.7736070879710311
6.0.08.0	0.003932859000736	0.10649112233275701	0.006462280390737001	0.10937238266495301	14.439113679500762	153.04888451644425	1.618393226387706	0.7776739146115581
6.0.24.0	0.0039118307670110005	0.10467935891805001	0.006165807963793001	0.107698575647791	14.015235976877012	153.47471147027838	1.614632211762619	0.7814559574703701
6.0.4.0	0.0038921239226270003	0.102994054786798	0.005891309783348	0.106140280304164	13.610508049725624	153.8812524841094	1.611133820951679	0.7849740551256951
6.0.5600000000000005.0	0.0038736308817140003	0.10142601036187501	0.005636624514891	0.10468966115497501	13.223529501156856	154.2699178440549	1.607878965150023	0.7882474039682631
