time	ADP	ATP	BPG	P3G	pep	phos	pyr
0.0.	0.5	9.5	0.0	5.0	4.61	0.485	0.0
0.0.5.0	0.00044730246170100003	9.9995526975383	0.041631219464315	4.958368780535686	4.0603620033589	0.493454079638495	0.54963799664111
1.0.	0.000404569431647	9.99959543056835	0.064382033166812	4.935617966833188	4.017652220114237	0.513370316150605	0.59234777988577
1.0.5.0	0.000385255583651	9.999614744416347	0.077394632980365	4.922605367019636	3.9783023078816573	0.539688314721635	0.631697692118349
2.0.	0.000376326603302	9.999623673396712	0.08499962488727	4.915000375112731	3.9406678011854073	0.5697089005306321	0.6693321988146
2.0.5.0	0.000372703068975	9.999627296931038	0.08949229308114201	4.910507706918859	3.9039751177244373	0.6019052922634041	0.706024882275571
3.0.	0.00037200888626	9.999627991113753	0.09216164184912001	4.9078383581508795	3.867819568698254	0.635390798338895	0.742180431301755
3.0.5.0	0.00037301167414400003	9.999626988325868	0.09375257653011501	4.906247423469884	3.831976984172414	0.669643450971624	0.778023015827595
4.0.	0.000375032314648	9.99962496768536	0.09470223523484801	4.9052977647651534	3.7963191045403	0.7043536925395101	0.813680895459709
4.0.5.0	0.00037768297842400003	9.999622317021586	0.09526936950385001	4.904730630496151	3.760771156036567	0.7393371574380171	0.8492288439634411
5.0.	0.000380737612839	9.999619262387174	0.095607903799845	4.904392096200155	3.725289064796676	0.7744837690163271	0.8847109352033321
5.0.5.0	0.00038406305104800005	9.999615936948965	0.09580967063807601	4.904190329361924	3.689846684751582	0.8097277076614	0.920153315248426
6.0.	0.00038758057181300005	9.9996124194282	0.095929552138937	4.904070447861065	3.6544284478718883	0.8450295805609991	0.9555715521281211
6.0.5.0	0.00039124378186600005	9.999608756218148	0.09600038094884701	4.903999619051153	3.619025066377299	0.8803657964557291	0.990974933622709
7.0.	0.00039502564379600004	9.999604974356222	0.09604181055713001	4.90395818944287	3.583630995060061	0.9157222200266151	1.026369004939947
7.0.5.0	0.00039891077789100003	9.999601089222123	0.09606560947737401	4.903934390522625	3.548242924081259	0.951090377219266	1.061757075918748
8.0.	0.00040289086128000005	9.999597109138731	0.09607882596221101	4.903921174037791	3.512858880638143	0.9864651842609351	1.097141119361865
8.0.5.0	0.00040696186686	9.999593038133156	0.09608568154053601	4.903914318459469	3.477477692404063	1.02184358792227	1.132522307595945
9.0.	0.00041112240271400004	9.999588877597303	0.096088704601857	4.903911295398148	3.442098666647395	1.0572237511534701	1.167901333352612
9.0.5.0	0.000415372712687	9.99958462728733	0.09608940925143401	4.90391059074857	3.406721398193258	1.092604565268005	1.203278601806749
10.0.	0.00041971407526	9.99958028592476	0.09608870192693	4.903911298073075	3.371345654447498	1.127985357700841	1.238654345552509
10.0.5.0	0.00042414844280500003	9.999575851557214	0.09608712497895601	4.9039128750210494	3.33597130654641	1.163365716917449	1.274028693453599
11.0.	0.000428678226161	9.999571321773859	0.096085002595404	4.9039149974046	3.300598288127427	1.198745387503338	1.30940171187258
11.0.5.0	0.000433306167154	9.999566693832865	0.09608252822457701	4.90391747177543	3.265226570644516	1.234124207298069	1.3447734293554912
