time	ADP	ATP	BPG	Glc	NAD	NADH	P3G	gap	pep	pyr
0.0.	0.0	10.0	0.0	10.0	-1.2924697071141052e-26	0.2	3.0	0.365	10.0	0.15
1.0.22.0	0.00029754238260700004	9.999702457617385	0.001098786276335	9.965080958851408	0.00029702267765600003	0.19970297732234302	2.963685149897409	0.400216063826257	9.963982692280016	0.186017307719985
2.0.44.0	0.00029705913914700004	9.999702940860846	0.0011574514922910002	9.92906491259237	0.00029654451398400004	0.199703455486015	2.9276109165860893	0.436231631921621	9.927907975725233	0.22209202427476601
3.0.66.0	0.00029656359641600004	9.999703436403578	0.0012150674934740002	9.893237485126393	0.000296054125765	0.199703945874234	2.891726363507151	0.47205856899937604	9.892022927103566	0.257977072896434
4.0.88.0	0.00029605554579400004	9.9997039444542	0.0012716370258450001	9.857599057360677	0.00029555128626700003	0.19970444871373103	2.856031869048563	0.507696493925593	9.856327924594355	0.293672075405644
6.0.1.0	0.000295534776089	9.999704465223907	0.001327162771088	9.822150021233096	0.00029503579218200003	0.19970496420781703	2.820527822669825	0.543145014559086	9.820823357445912	0.329176642554086
7.0.32.0	0.000295001074559	9.999704998925436	0.001381647348802	9.786890779681604	0.000294507431488	0.19970549256851103	2.785214624901311	0.578403727749887	9.785509625975868	0.36449037402412904
8.0.54.0	0.000294454226692	9.999705545773304	0.001435093318333	9.751821746637226	0.000293965990589	0.19970603400941	2.750092687328301	0.613472219353365	9.750387141554992	0.39961285844500705
9.0.76.0	0.000293894016212	9.999706105983785	0.001487503180572	9.716943347023296	0.000293411254114	0.199706588745885	2.715162432588609	0.6483500642308191	9.715456326604818	0.434543673395179
10.0.98.0	0.000293320225092	9.999706679774905	0.001538879379741	9.682256016753207	0.00029284300492700004	0.19970715699507202	2.680424294368537	0.683036826251721	9.680717614593629	0.469282385406371
12.0.2.0	0.00029273263355800004	9.999707267366436	0.0015892243051840002	9.647760202729671	0.000292261024137	0.19970773897586203	2.645878717400346	0.7175320582944691	9.646171450033904	0.503828549966095
13.0.42.0	0.00029213102010700005	9.999707868979888	0.00163854029314	9.613456362845294	0.00029166509110500004	0.199708334908893	2.611526157461048	0.7518353022458111	9.611818288481157	0.5381817115188431
14.0.64.0	0.000291515161512	9.999708484838486	0.00168682962852	9.57934496598438	0.000291054983462	0.19970894501653702	2.577367081372398	0.785946088999082	9.57765859653391	0.5723414034660891
15.0.86.0	0.000290884832847	9.999709115167152	0.001734094546688	9.545426492025767	0.00029043047711700004	0.19970956952288202	2.543401967001959	0.8198639384513531	9.543692851834804	0.606307148165193
17.0.08.0	0.000290239807497	9.999709760192502	0.0017803372352370001	9.51170143184667	0.000289791346282	0.19971020865371703	2.509631303265148	0.8535883594996161	9.509921543072645	0.6400784569273541
18.0.3.0	0.000289579857185	9.999710420142815	0.001825559835769	9.478170287327353	0.000289137363486	0.19971086263651303	2.476055590128097	0.8871188500361341	9.476345169985281	0.673654830014718
19.0.52.0	0.00028890475199000004	9.999711095248012	0.001869764445691	9.44483357135653	0.000288468299602	0.19971153170039702	2.442675338611234	0.920454896943074	9.442964243363221	0.7070357566367761
20.0.74.0	0.00028821426037700003	9.999711785739622	0.0019129531200120001	9.411691807837308	0.000287783923868	0.19971221607613102	2.409491070793426	0.9535959760865581	9.409779285053805	0.740220714946195
21.0.96.0	0.00028750814922400003	9.999712491850778	0.0019551278731570003	9.378745531693642	0.00028708400391700003	0.199712915996082	2.376503319816567	0.9865415523102731	9.376790827965793	0.773209172034207
23.0.18.0	0.00028678618385400003	9.999713213816147	0.001996290680787	9.345995288877033	0.000286368305808	0.199713631694192	2.343712629890437	1.019291079428771	9.343999416074293	0.8060005839257071
24.0.4.0	0.000286048128069	9.999713951871934	0.0020364434816530002	9.313441636373433	0.000285636594056	0.199714363405943	2.3111195562977223	1.051844000220621	9.311405604425794	0.8385943955742081
25.0.62.0	0.000285293744188	9.999714706255816	0.0020755881794520003	9.281085142210125	0.000284888631677	0.199715111368322	2.278724665398996	1.084199746421548	9.279009959143186	0.8709900408568151
26.0.84.0	0.000284522793088	9.999715477206918	0.0021137266447140003	9.248926385462477	0.00028412418021700003	0.199715875819782	2.246528534637548	1.116357738717735	9.246813057430636	0.903186942569362
28.0.06.0	0.000283735034252	9.999716264965757	0.002150860716716	9.216965956260356	0.00028334299980600005	0.199716657000193	2.214531752543837	1.148317386739443	9.214815487578088	0.935184512421909
29.0.28.0	0.000282930225813	9.999717069774196	0.002186992205421	9.185204455794057	0.00028254484919800003	0.19971745515080103	2.182734918739439	1.180078089055135	9.183017848965253	0.966982151034745
30.0.5.0	0.000282108124607	9.9997178918754	0.002222122893449	9.153642496319552	0.000281729485826	0.199718270514173	2.151138643940279	1.211639233166267	9.151420752064887	0.9985792479351121
31.0.72.0	0.00028126848623000005	9.999718731513777	0.002256254538081	9.122280701162886	0.000280896665854	0.19971910333414503	2.119743549958953	1.243000195502961	9.120024818445184	1.029975181554814
32.0.94.0	0.000280411065099	9.999719588934909	0.0022893888733010004	9.091119704723491	0.000280046144238	0.19971995385576102	2.088550269705954	1.274160341420741	9.088830680771057	1.061169319228943
34.0.16.0	0.000279535614516	9.99972046438549	0.0023215276118820002	9.060160152476234	0.000279177674788	0.19972082232521102	2.057559447189565	1.305119025198549	9.057838982804086	1.092161017195914
35.0.38.0	0.00027864188673600005	9.999721358113268	0.002352672447511	9.029402700971964	0.00027829101023500003	0.19972170898976402	2.02677173751422	1.335875590038265	9.02705037940096	1.12294962059904
36.0.6.0	0.00027772963304100004	9.999722270366965	0.0023828250569650003	8.998848017836341	0.000277385902307	0.19972261409769201	1.996187806877074	1.366429368065957	8.996465536510119	1.153534463489881
37.0.82.0	0.00027679860382	9.999723201396185	0.002411987102334	8.968496781766685	0.000276462101799	0.19972353789820002	1.965808332562555	1.3967796803351051	8.966085131166377	1.18391486883362
