time	TFPI	VIIa_TF	VIIa_TF_X	VIIa_TF_Xa	X	Xa	Xa_TFPI	Xa_TFPI_VIIa_TF
0.0.	2.399999	0.9999996999999999	0.0	0.0	169.9999	0.0	0.0	0.0
0.0.16.0	2.189834731938981	0.47523975055578804	0.29649276682671305	0.22589547284675202	148.3745598548241	20.892787637441433	0.20779255829027302	0.002371709770745
0.0.32.0	1.6889755758960332	0.46902572112682506	0.25611846887491	0.258008315739637	129.85855858434397	38.91619120693756	0.6941762298453401	0.016847194258627
0.0.48.0	1.129856767458596	0.45496957644120306	0.218079203970649	0.279107671218748	113.97959877633988	54.252972115929396	1.222298984172004	0.047843248369399
0.0.64.0	0.6709831959308881	0.434311174650014	0.18363884416721402	0.289795441236736	100.54032322348414	67.25712668704287	1.636761564123078	0.092254239946034
0.0.8.0	0.36159618420703604	0.409974138031088	0.15389511047746302	0.29228607838167103	89.25680522517013	78.25851077017779	1.894558442683187	0.14384437310977702
0.0.96.0	0.18093420168929	0.384673447993701	0.129096674930562	0.289178551618334	79.80007637680305	87.56248359833737	2.022013772853309	0.19705102545740102
1.0.12.0	0.08650107275018401	0.360153955367353	0.108822555677722	0.282634406582748	71.84973973798061	95.44520537250912	2.065109144877642	0.24838878237217502
1.0.28.0	0.041234762008297	0.33725933921310003	0.092364325226869	0.27416021257211204	65.12557893656927	102.14903228764005	2.062548415003788	0.29621582298791704
1.0.44.0	0.020925347249352	0.31626164330788004	0.078991534689098	0.264713312801377	59.39677037682813	107.88035112293076	2.039040443549007	0.34003320920164204
1.0.6.0	0.012215182325882002	0.29714516492991705	0.06806893764316001	0.25487837987514	54.47862234283875	112.81054652196885	2.007876600122339	0.37990721755178203
1.0.76.0	0.008544619213983001	0.27977716310495904	0.059083933689394005	0.24500951893048403	50.224895025696746	117.07945714089728	1.9753252965108592	0.41612908427516104
1.0.92.0	0.006958719420324001	0.263991814616354	0.051635870013217004	0.235321964037311	46.519814866062774	120.80008701930694	1.943990229246564	0.44905005133311604
2.0.08.0	0.0062109112671260005	0.24962541112393802	0.045414807541214006	0.22594629466099303	43.271270339331565	124.06348046973329	1.9147749020590221	0.47901318667385506
2.0.24.0	0.005800351545076	0.236528520870421	0.040180876423845005	0.21695993107616401	40.405447353143686	126.94311319090133	1.887868276825358	0.5063303716295691
2.0.4.0	0.005532063310163001	0.22456860380002003	0.035747419356158	0.208405873411623	37.86272713170433	129.498552638838	1.8631891332576411	0.531277803432198
2.0.56.0	0.005330801232844001	0.21362917543123502	0.031968094035983004	0.20030433657339802	35.594577111605965	131.7783822590174	1.840570104807775	0.554098093959383
2.0.72.0	0.005166737946573001	0.20360798481251302	0.028727233357613003	0.19266029460400602	33.56119126558311	133.8224889444017	1.8198280748275621	0.575004187225867
2.0.88.0	0.005027064219361	0.19441510195701903	0.02593267790871	0.18546854116896702	31.729688572307513	135.663838272834	1.8007885568153381	0.594183378965304
3.0.04.0	0.004905456074229	0.185971192931284	0.023510429538415003	0.17871716156487202	30.072726957952025	137.32985190701874	1.783292627960346	0.6118009159654281
3.0.2.0	0.004798218988241	0.1782060388562	0.021400636433927003	0.17238994618727102	28.56742811677834	138.84348051958858	1.76719770248916	0.6280030785226011
3.0.36.0	0.004702858933756	0.171057284125771	0.019554553855032002	0.166468078481796	27.194536695922523	140.22404453067435	1.7523763575288451	0.6429197835374011
3.0.52.0	0.004617524636889	0.164469381613285	0.017932224322630003	0.16093131657347	25.937757616059947	141.48789736768083	1.7387146978724992	0.6566667774906141
3.0.68.0	0.004540765922525	0.15839270230180702	0.016500692544212003	0.15575881751998602	24.783229906972075	142.64895234888618	1.726110746443483	0.6693474876339951
3.0.84.0	0.004471412189228001	0.15278278105960202	0.015232621095159	0.150929707526845	23.719105997093273	143.719104086474	1.71447299749238	0.6810545903183951
4.0.	0.0044085011076890005	0.14759967513844502	0.014105208915752001	0.14642347080692	22.735213084227812	144.70856773715724	1.70371915375343	0.691871345138884
