time	R5	R7	r5	r7
0.0.	0.001	0.001	1.0	1.0
12.0.	0.05405286418237801	0.006190531683112	0.9933460568139941	0.9994340033610201
24.0.	0.146768758071692	0.008662819351936	0.991793087325441	0.9995771561241681
36.0.	0.24940321172588503	0.011518485255822001	0.9912664246356211	0.999460928242445
48.0.	0.35555861851727105	0.015317587373671001	0.9911246426459811	0.9992835427009521
60.0.	0.460773936062748	0.020229246517087	0.9913660039463771	0.9990890180230381
72.0.	0.560383173886997	0.026197178839492002	0.9919854525377021	0.998918226154039
84.0.	0.6505909562815491	0.032925124086185004	0.9928619153680991	0.9988101427967281
96.0.	0.7295579234545031	0.039977556675684006	0.9938168847242771	0.9987793389375391
108.0.	0.7974002727932281	0.046950384310141	0.9947091625728561	0.998811795226304
120.0.	0.855403598319007	0.053578481649931	0.995472984428826	0.9988811450624271
132.0.	0.905206373709438	0.059740354776370005	0.9961003915514071	0.9989647292473851
144.0.	0.9483296680327791	0.06541073320631101	0.9966098494010461	0.999048967762138
156.0.	0.986020158231334	0.07061283715041901	0.9970253903526671	0.9991276349336081
168.0.	1.019252880771608	0.075388350673422	0.9973680652883511	0.9991986682876711
180.0.	1.048783584225311	0.07978270835444601	0.9976541603636611	0.999261905322195
192.0.	1.07520263257946	0.083839088978039	0.9978958153299771	0.9993179092777361
204.0.	1.098977423543884	0.08759643030623501	0.9981020683103371	0.999367455378917
216.0.	1.120483228436915	0.09108908122008301	0.9982797310422091	0.9994113290677771
228.0.	1.140025280507345	0.094347060503028	0.9984340177062561	0.9994502540592641
240.0.	1.157854736780602	0.09739651060997001	0.9985689803997281	0.9994848714552721
252.0.	1.174180397041275	0.10026018644888401	0.9986878117526551	0.9995157386310631
264.0.	1.189177449741567	0.10295791788487701	0.9987930585571181	0.999543335597571
276.0.	1.202994098404409	0.10550702429577101	0.998886775241222	0.9995680738161251
288.0.	1.215756651204513	0.10792267618524701	0.9989706359385371	0.9995903053207741
300.0.	1.2275734788797361	0.11021820601257501	0.999046017540105	0.9996103312361361
312.0.	1.2385381275418221	0.11240537326673501	0.999114062077128	0.999628409346711
324.0.	1.248731792210424	0.11449458965935301	0.9991757241635871	0.9996447606431551
336.0.	1.258225300979591	0.11649511021048901	0.999231807493793	0.9996595748951461
348.0.	1.267080720418446	0.11841519549101401	0.999282993220944	0.999673015351289
360.0.	1.275352664791896	0.120262249635668	0.9993298622427701	0.9996852226807461
372.0.	1.28308937145805	0.12204293808378901	0.9993729128652951	0.9996963182679091
384.0.	1.290333590013081	0.123763288399807	0.999412574925529	0.9997064069605501
