time	ATP	Fru16P2	HMP
0.0.	4.0	1.0	0.1
0.0.2.0	0.16964619238691903	1.11274285887666	4.854461622387418
0.0.4.0	0.40801503821415	2.109557562252003	6.265207232678614
0.0.6000000000000001.0	0.765600815474019	3.060127922904436	7.446140780668863
0.0.8.0	1.141989376155736	3.813998345269754	8.333374929912008
1.0.	1.473715818885422	4.388393003299847	8.982058211592754
1.0.2000000000000002.0	1.745772991897951	4.829887325164553	9.45755391897961
1.0.4000000000000001.0	1.962693264749832	5.176484531614938	9.809241622220327
1.0.6.0	2.133982139816387	5.454635730202423	10.071944738571302
1.0.8.0	2.269150921841471	5.682242322201564	10.270138768199864
2.0.	2.376287000882091	5.8715125711997285	10.421183669686302
2.0.2.0	2.461831122996028	6.030944369042636	10.537509264311678
2.0.4000000000000004.0	2.5307506017370462	6.166608933694459	10.62808058776212
2.0.6.0	2.586815017351684	6.282967488601527	10.699399143108861
2.0.8000000000000003.0	2.632865929665834	6.383390407476908	10.756201693323892
3.0.	2.671044497068938	6.470489761244418	10.801955566452056
3.0.2.0	2.702970538352152	6.546335417557233	10.839212765797
3.0.4000000000000004.0	2.729878043571396	6.612598357216794	10.869864005414211
3.0.6.0	2.7527155058754973	6.670648142531396	10.895321048288492
3.0.8000000000000003.0	2.772219361572516	6.72162108955256	10.916647519194072
4.0.	2.7889675072785662	6.766469335615992	10.934652733539073
4.0.2.0	2.803418314173797	6.805997130603591	10.949959055019939
4.0.4.0	2.815939177663885	6.840888341300441	10.963050358932811
4.0.6000000000000005.0	2.8268275385808512	6.871727737253826	10.974307032631163
4.0.800000000000001.0	2.836326482287663	6.899017754606151	10.984031385632411
5.0.	2.844636417306835	6.9231918904258976	10.992466218511534
5.0.2.0	2.851923902370435	6.944625533121949	10.999808497056842
5.0.4.0	2.8583283841444462	6.963644807361868	11.006219508678228
5.0.6000000000000005.0	2.863967391462141	6.980533858901685	11.011832476075643
5.0.800000000000001.0	2.8689405791955283	6.9955408987135534	11.016758320295525
6.0.	2.873332906881297	7.008883250365883	11.021090066453505
6.0.2.0	2.877217160484742	7.020751589666961	11.024906245521537
6.0.4.0	2.880655970862364	7.031313524751443	11.028273546951569
6.0.6000000000000005.0	2.883703443053089	7.040716633934376	11.031248907112039
6.0.800000000000001.0	2.886406481959454	7.049091055018817	11.033881168879285
7.0.	2.8888058791200932	7.056551701427087	11.036212412222989
7.0.2.0	2.890937209920841	7.06320016619864	11.038279030061526
7.0.4.0	2.892831579198271	7.069126363600086	11.040112605123358
7.0.6000000000000005.0	2.894516244665823	7.074409949121041	11.041740630002016
7.0.800000000000001.0	2.896015141164628	7.079121551459082	11.043187102612173
8.0.	2.8973493238549812	7.083323844332784	11.044473021843356
8.0.200000000000001.0	2.898537344721693	7.087072481301957	11.045616802660023
8.0.4.0	2.899595573878206	7.090416912987455	11.0466346257099
8.0.6.0	2.900538474909035	7.09340110298982	11.047540733317735
8.0.8.0	2.901378841732604	7.096064156267005	11.048347681300166
9.0.	2.902128003081462	7.098440871636951	11.049066554151608
9.0.200000000000001.0	2.90279599959807	7.100562228335107	11.0497071496839
9.0.4.0	2.903391737667362	7.102455815111744	11.05027813805255
9.0.600000000000001.0	2.903923123402914	7.1041462091451955	11.050787199195511
9.0.8.0	2.9043971796344352	7.10565531103181	11.051241141989829
10.0.	2.904820148282064	7.107002641256956	11.051646007855862
10.0.200000000000001.0	2.905197580125158	7.108205602825929	11.052007161075577
10.0.4.0	2.905534413663063	7.10927971411679	11.052329367716997
10.0.600000000000001.0	2.905835044509236	7.110238815490681	11.052616864751943
10.0.8.0	2.906103386547537	7.111095252744223	11.052873420704968
11.0.	2.906342925902357	7.11186004010113	11.053102388966185
11.0.200000000000001.0	2.906556768625791	7.112543005106023	11.053306754731185
11.0.4.0	2.9067476828802743	7.113152917494589	11.053489176390203
11.0.600000000000001.0	2.906918136289452	7.113697603863673	11.053652022071097
11.0.8.0	2.907070329040669	7.114184049747196	11.053797401942084
12.0.	2.9072062232461313	7.114618490513973	11.053927196796733
12.0.200000000000001.0	2.907327569004614	7.1150064923377	11.054043083373625
12.0.4.0	2.907435927549697	7.11535302434439	11.054146556803188
12.0.600000000000001.0	2.90753269182233	7.115662522915247	11.054238950523203
12.0.8.0	2.9076191047640023	7.115938949011228	11.054321453960846
13.0.	2.907696275590776	7.116185839287266	11.054395128241643
13.0.200000000000001.0	2.9077651942772293	7.11640635167742	11.054460920153433
13.0.4.0	2.907826744452096	7.116603306055798	11.054519674565451
13.0.600000000000001.0	2.90788171488372	7.116779220510594	11.054572145478504
13.0.8.0	2.907930809712659	7.116936343708869	11.054619005861127
14.0.	2.907974657570602	7.117076683776778	11.05466085640829
14.0.200000000000001.0	2.90801381970877	7.117202034073167	11.05469823334329
14.0.4.0	2.90804879724505	7.117313996192935	11.054731615369297
14.0.600000000000001.0	2.9080800376266023	7.117414000499619	11.054761429864959
14.0.8.0	2.908107940393935	7.117503324454006	11.054788058407489
15.0.	2.908132862322728	7.117583108976453	11.054811841697333
15.0.200000000000001.0	2.908155122011239	7.11765437305476	11.054833083950044
15.0.4.0	2.908175003973578	7.117718026786388	11.05485205681366
15.0.600000000000001.0	2.9081927622924892	7.117774883023445	11.05486900286343
15.0.8.0	2.908208623879383	7.11782566777052	11.05488413871984
16.0.	2.908222791384075	7.11787102946935	11.054897657830908
16.0.2.0	2.9082354457921222	7.117911547289723	11.054909732955192
16.0.400000000000002.0	2.908246748743429	7.117947738533269	11.05492051837787
16.0.6.0	2.9082568446021853	7.117980065245189	11.054930151888778
16.0.8.0	2.908265862304914	7.118008940118836	11.054938756548134
17.0.	2.9082739170104803	7.11803473176888	11.054946442262809
17.0.2.0	2.9082811115733733	7.118057769440683	11.05495330719357
17.0.400000000000002.0	2.90828753785923	7.11807834721624	11.054959439011503
17.0.6.0	2.908293277919539	7.118096727770525	11.054964916019825
17.0.8.0	2.908298405040638	7.11811314572641	11.054969808155546
18.0.	2.9083029846804713	7.118127810651037	11.05497417788388
18.0.2.0	2.908307075305159	7.118140909732035	11.054978080996966
18.0.400000000000002.0	2.9083107291360912	7.118152610167769	11.054981567327061
18.0.6.0	2.9083139928171393	7.118163061302257	11.05498468138349
18.0.8.0	2.9083169080105353	7.118172396531967	11.054987462921435
19.0.	2.908319511929059	7.118180735008973	11.054989947449926
19.0.200000000000003.0	2.908321837811341	7.118188183162145	11.054992166685485
19.0.400000000000002.0	2.908323915346369	7.118194836055866	11.054994148957306
19.0.6.0	2.9083257710526373	7.11820077860364	11.054995919569105
19.0.8.0	2.908327428616774	7.118206086652059	11.05499750112231
20.0.	2.908328909196005	7.118210827949019	11.054998913804713
