time	AMP	Acetic_acid	Amadori	C5	Cn	Formic_acid	Fru	Glu	Melanoidin	Triose	lys_R
0.0.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	160.0	0.0	0.0	15.0
0.0.4.0	0.0049719098981860005	0.0037007115681570004	0.162902150448294	0.030141272412329	1.063374157667231e-06	0.030141272412329	0.6363374464694981	159.16095559504623	8.409802949213168e-05	0.0018146956298220002	14.83204184162403
0.0.8.0	0.018840708117822	0.014245165080838002	0.30738489997100604	0.060403903655723006	8.478930553902923e-06	0.060403903655723006	1.265408478905823	158.3294615553418	0.0006460879299480001	0.0072268809247020005	14.673128303981223
1.0.2000000000000002.0	0.040177408452431	0.030862487245360004	0.435352861636838	0.09078611873882901	2.8522144007948743e-05	0.09078611873882901	1.8872993233790971	157.50534670488167	0.0020947879327620003	0.01618913761008	14.522374941977969
1.0.6.0	0.06772497643964201	0.052862113342923005	0.548515140172338	0.12128614910448701	6.738572277803857e-05	0.12128614910448701	2.502093960758875	156.68845217158315	0.004771874048942	0.028654614822213	14.378988009339073
2.0.	0.10037942746250601	0.07962553699658201	0.648405434208962	0.15190223387769503	0.00013118059346100002	0.15190223387769503	3.109874320317018	155.87863012427175	0.008960005209728	0.044577015905037	14.2422551331188
2.0.4000000000000004.0	0.13717293143828202	0.110598908024352	0.736400065803403	0.18263262096885402	0.00022593686335900003	0.18263262096885402	3.710720449644199	155.07574264587993	0.014890053544516	0.063910586256398	14.111536949213791
2.0.8000000000000003.0	0.177258714209966	0.145286391079161	0.8137341513852001	0.213475568046914	0.00035760476233800005	0.213475568046914	4.304710663834002	154.2796607280165	0.022747534758307	0.086610102102204	13.986259599646521
3.0.2.0	0.21989756737002203	0.183244206678046	0.8815161063501401	0.24442934339540903	0.000532055565711	0.24442934339540903	4.891921676536153	153.49026337367812	0.032678323731669005	0.112630860086514	13.865908002548162
3.0.6.0	0.26444579785283	0.224075284315553	0.94074065558925	0.27549222666314205	0.0007550824994870001	0.27549222666314205	5.4724287151572515	152.70743679632562	0.044793731556343	0.14192866757959202	13.75001981500157
4.0.	0.310344466227367	0.26742446462395303	0.9923005043579991	0.30666250952009405	0.001032401629164	0.30666250952009405	6.046305622203929	151.93107370484682	0.059175012225189005	0.17445983361823902	13.638180017189438
4.0.4.0	0.357109778380764	0.312974194056011	1.036996807871631	0.3379384962281	0.001369652733113	0.3379384962281	6.61362494451485	151.16107266507836	0.075877360034976	0.210181160403517	13.530016053712625
4.0.800000000000001.0	0.40432450939923104	0.36044066140372305	1.075548563663683	0.369318504134923	0.001772400161473	0.369318504134923	7.174458011910107	150.39733752957662	0.09493345234722	0.24904993529041503	13.425193474589864
5.0.2.0	0.45163035109723504	0.40957033069896703	1.108601037890525	0.400800864099469	0.002246133681372	0.400800864099469	7.7288750065957394	149.6397769282446	0.11635658660809	0.291023923212251	13.323412024404146
5.0.6000000000000005.0	0.49872108597248604	0.46013682973239806	1.136733325248588	0.432383920855167	0.002796269309189	0.432383920855167	8.276945024493765	148.88830381322376	0.14014345538355602	0.336061359489847	13.224402133395365
6.0.	0.545336500510826	0.5119381576316371	1.160465131852679	0.46406603331782004	0.003428150130488	0.46406603331782004	8.81873612952147	148.14283505218188	0.16627659855797502	0.38412094298182803	13.127921769078517
6.0.4.0	0.5912569598547991	0.564794178709309	1.18026286117818	0.49584557484363007	0.004147047108208	0.49584557484363007	9.354315401715354	147.40329106476645	0.194726567717315	0.43516182953792404	13.033753611249702
6.0.800000000000001.0	0.636298573992637	0.6185443731709951	1.196545074884858	0.527720933442526	0.0049581598795850005	0.527720933442526	9.883748979982384	146.6695954975632	0.22545383404207403	0.48914362572199405	12.941702517080426
7.0.2.0	0.6803088929194271	0.67304581830326	1.209687392915225	0.559690511951434	0.005866617542277	0.559690511951434	10.407102100162781	145.94167493340626	0.25841046772480103	0.546026382775705	12.851593246440544
7.0.6000000000000005.0	0.7231630747577681	0.7281713764787581	1.220026890606065	0.591752728171658	0.006877479430074	0.591752728171658	10.924439129002193	145.21945863133703	0.293541613962774	0.605770590797523	12.763268420673391
8.0.	0.7647604766802201	0.7838080687516321	1.227866044587639	0.623906014974143	0.007995735878566	0.623906014974143	11.435823594555284	144.50287829391107	0.330786787921859	0.6683371731148491	12.67658669081028
