time	VENUS
0.0.	1.0
1.0.2.0	0.973938336004851
2.0.4.0	0.948530680317012
3.0.5999999999999996.0	0.9237679559717681
4.0.8.0	0.8996408969024391
6.0.	0.8761400598898601
7.0.199999999999999.0	0.8532558367619971
8.0.4.0	0.830978466901624
9.0.6.0	0.8092980500113021
10.0.799999999999999.0	0.7882045590844161
12.0.	0.767687853530691
13.0.2.0	0.747737692404649
14.0.399999999999999.0	0.7283437476858531
15.0.6.0	0.7094956175606151
16.0.8.0	0.6911828396559271
18.0.	0.6733949041778681
19.0.2.0	0.656121266908482
20.0.4.0	0.639351362017155
21.0.599999999999998.0	0.6230746146448121
22.0.8.0	0.6072804532217511
24.0.	0.5919583214826051
25.0.2.0	0.5770976901447681
26.0.4.0	0.5626880682195821
27.0.599999999999998.0	0.548719013928587
28.0.799999999999997.0	0.535180145200277
30.0.	0.522061149725892
31.0.2.0	0.5093517945559091
32.0.4.0	0.49704193522195506
33.0.6.0	0.485121524371925
34.0.8.0	0.473580619909004
36.0.	0.462409392628146
37.0.199999999999996.0	0.45159813334630805
38.0.4.0	0.44113725952529803
39.0.6.0	0.431017321388578
40.0.8.0	0.42122900753562703
42.0.	0.411763150059611
43.0.199999999999996.0	0.402610729176046
44.0.4.0	0.39376287737193205
45.0.6.0	0.385210883086449
46.0.8.0	0.37694619393570206
48.0.	0.368960419495302
49.0.199999999999996.0	0.361245333655618
50.0.4.0	0.353792876565493
51.0.6.0	0.34659515618095604
52.0.8.0	0.339644449436085
54.0.	0.33293320305365104
55.0.199999999999996.0	0.32645403401350703
56.0.4.0	0.32019972969688804
57.0.599999999999994.0	0.31416324772491905
58.0.8.0	0.30833771550953304
60.0.	0.30271642953497
61.0.199999999999996.0	0.297292854387848
62.0.4.0	0.292060621553404
63.0.599999999999994.0	0.28701352799525903
64.0.8.0	0.282145534535626
66.0.	0.27745076405239705
67.0.2.0	0.27292349950906303
68.0.39999999999999.0	0.268558181832859
69.0.6.0	0.26434940765597104
70.0.8.0	0.26029192693401804
72.0.	0.256380640455429
73.0.2.0	0.25261059725469004
74.0.39999999999999.0	0.24897699194180503
75.0.6.0	0.24547516195968502
76.0.8.0	0.24210058478050903
78.0.	0.23884887505151803
79.0.2.0	0.23571578170003402
80.0.39999999999999.0	0.23269718500689102
81.0.6.0	0.229789093656894
82.0.8.0	0.226987641774294
84.0.	0.22428908595072403
85.0.2.0	0.22168980227249402
86.0.39999999999999.0	0.21918628335359602
87.0.6.0	0.21677513538027002
88.0.8.0	0.21445307517251402
90.0.	0.21221692726739902
91.0.2.0	0.210063621028687
92.0.39999999999999.0	0.20799018778674003
93.0.6.0	0.205993758012387
94.0.8.0	0.20407155852798
96.0.	0.202220909758539
97.0.2.0	0.200439223025551
98.0.39999999999999.0	0.19872399788566503
99.0.6.0	0.19707281951622602
100.0.8.0	0.19548335614932902
102.0.	0.193953356555804
103.0.2.0	0.192480647580305
104.0.39999999999999.0	0.19106313172845701
105.0.6.0	0.189698784806822
106.0.8.0	0.188385653616214
108.0.	0.18712185369876902
109.0.2.0	0.18590556713899
110.0.39999999999999.0	0.18473504041882502
111.0.6.0	0.18360858232674102
112.0.8.0	0.18252456192059102
114.0.	0.18148140654399703
115.0.19999999999999.0	0.18047759989585402
116.0.39999999999999.0	0.17951168015246102
117.0.6.0	0.17858223814172802
118.0.8.0	0.17768791556881802
120.0.	0.17682740329253202
