time	A1	A2	C1	C2	IPTG
0.0.	0.1	0.1	20.0	20.0	1000
3.0.	1.583894803580868	2.766634723716045	1.9736829001704161	28.749592191391802	1000
6.0.	1.409900408093768	5.124385425327864	1.118764242048114	37.98789975958235	1000
9.0.	1.238870588068996	7.328382900289149	1.211695385719761	46.695011804424254	1000
12.0.	1.183673827485294	9.290547542033703	1.5612427047935702	53.20099207335661	1000
15.0.	1.2566455664478942	10.828159900982053	2.087888932262356	56.6888211506056	1000
18.0.	1.464877036302719	11.814446309240754	2.841452424902214	57.17418910345507	1000
21.0.	1.841734858527861	12.198456918580597	4.002478749314753	54.77567390879245	1000
24.0.	2.482664850865044	11.949328832690917	5.988793384361837	49.30667921606786	1000
27.0.	3.611734548441217	11.024369069089651	9.67545013871246	40.59446021685778	1000
30.0.	5.6615403141344025	9.444202982546955	16.297224407374546	29.68951068620487	1000
33.0.	9.042176307073461	7.446829253375385	24.943964077737107	19.35075719615784	1000
36.0.	13.030427158814852	5.455706669974355	28.765400214338488	11.933114040446727	1000
39.0.	15.313022641055367	3.826870394984354	22.18440581676205	7.7885348893211654	1000
42.0.	14.38345721503194	2.686033222004234	10.825892721141821	5.899863732900993	1000
45.0.	11.333552984869392	1.9726926352339662	3.34482736820038	5.175237276202801	1000
48.0.	8.098249167609623	1.564930905443296	0.7118791425955051	5.020527048474591	1000
51.0.	5.570313704970064	1.366629467845606	0.119341694339576	5.340094458159118	1000
54.0.	3.789680112820196	1.341549142372648	0.017970318263048003	6.413697079553862	1000
57.0.	2.571572999479269	1.524157879524058	0.0027715565041170004	8.904155366727457	1000
60.0.	1.744025820461281	2.03287493013147	0.000529447900407	13.93891832923106	1000
63.0.	1.182648658847366	3.066657663434167	0.000167711702529	22.76342120427673	1000
66.0.	0.8019536469571931	4.7994107589747745	0.000106558404885	35.26125950864489	1000
69.0.	0.543809651809134	7.140603502020856	0.000110602848994	48.55412590477417	1000
72.0.	0.368773219213791	9.648272051146417	0.00013459207654300002	59.00910795239493	1000
75.0.	0.25009262412477	11.832368879729573	0.00016472392185900003	65.44941515551074	1000
78.0.	0.169626361683015	13.459743120497324	0.00019769472815100002	68.84058656172952	1000
81.0.	0.115073010829045	14.549214377960618	0.000234509485573	70.48078654886557	1000
84.0.	0.078091724516974	15.228472039227833	0.00027713914603100004	71.24207317770706	1000
87.0.	0.053027287238891004	15.63221603645703	0.00032750303838700005	71.588925081159	1000
90.0.	0.03604551128516	15.864413831806466	0.00038743187754200004	71.74573306403748	1000
93.0.	0.024546998443605	15.994848705583602	0.00045883439279400005	71.81641525641717	1000
96.0.	0.016769669085305	16.066859644025644	0.0005438530839560001	71.84823770647267	1000
99.0.	0.011519281530251	16.10609482805504	0.000644986192469	71.8625430035748	1000
102.0.	0.007986732265628	16.127251547929724	0.0007651910164810001	71.86894376567743	1000
105.0.	0.005624196926738	16.13856273048121	0.0009079842527180001	71.8717670034052	1000
108.0.	0.004061170694395	16.144563886026983	0.0010775504598530001	71.87296034821692	1000
111.0.	0.003047566462694	16.147722128625674	0.0012788663341870002	71.873399755557	1000
114.0.	0.0024151648884250003	16.149366139182373	0.0015178467305840002	71.87347775780886	1000
117.0.	0.002051514476974	16.15020565116598	0.0018015177820150002	71.87336819924893	1000
120.0.	0.0018822811628400001	16.150617038419085	0.002138222642626	71.87314542729091	1000
123.0.	0.0018593361766110002	16.15079841593949	0.0025378660356210002	71.87283793153513	1000
126.0.	0.0019527454635550002	16.150853069306304	0.0030122047886730003	71.87245240626679	1000
129.0.	0.002145417163478	16.150833979273408	0.0035751928281690004	71.87198442928323	1000
132.0.	0.0024295662818070002	16.15076741862912	0.004243390671384	71.87142304885839	1000
135.0.	0.0028044291167740004	16.150665369311334	0.0050364513250330005	71.87075255950408	1000
138.0.	0.00327484592578	16.150531996578522	0.005977696712205	71.8699529354071	1000
141.0.	0.0038504569821930005	16.150366971725497	0.007094801365321	71.86899956844026	1000
144.0.	0.004545343775579001	16.150167120667337	0.008420603212556001	71.86786258078209	1000
147.0.	0.005378006670975001	16.14992717385481	0.009994064936294001	71.86650580453137	1000
150.0.	0.006371611724182	16.149640019473015	0.011861413699843	71.86488543066129	1000
153.0.	0.0075544685850870005	16.14929666292214	0.014077492150684	71.86294827588016	1000
156.0.	0.008960722637837001	16.14888598849949	0.016707359673444	71.86062957395032	1000
159.0.	0.010631260568794001	16.14839435969246	0.019828190084145002	71.85785015486547	1000
162.0.	0.012614841406523001	16.147805058731922	0.02353152059167	71.85451282265174	1000
165.0.	0.014969476165775002	16.14709754099846	0.027925917258374	71.85049767313237	1000
168.0.	0.017764089620942003	16.146246457984585	0.033140134870636	71.84565599854207	1000
171.0.	0.021080508313364003	16.14522037889312	0.039326864815911	71.83980229572025	1000
174.0.	0.025015830486275002	16.143980111687185	0.046667184368722005	71.83270371413603	1000
177.0.	0.029685247153752002	16.14247648556225	0.055375846452891	71.82406602872967	1000
180.0.	0.035225400123256	16.140647403633757	0.06570758324924801	71.8135148715131	1000
183.0.	0.041798384205844	16.138413900809088	0.077964644472909	71.80057046370229	1000
186.0.	0.049596529693803	16.135674838532605	0.09250585917958301	71.7846133973396	1000
189.0.	0.05884814168721501	16.1322997227817	0.10975761090053601	71.76483803530665	1000
192.0.	0.06982443194047301	16.128118926081797	0.130227270329725	71.74018870357517	1000
195.0.	0.08284796808978201	16.122910301416333	0.15451987225031003	71.70927184767663	1000
198.0.	0.098303103696982	16.116380755124393	0.18335921225714902	71.67023442237328	1000
201.0.	0.11664907304422201	16.108140734682184	0.21761517341866501	71.62059451615174	1000
204.0.	0.138436792404649	16.09766868687198	0.258340144003738	71.5570038302826	1000
207.0.	0.164330999812644	16.084261191576754	0.30681915222162703	71.47491188353762	1000
210.0.	0.19514035429417	16.066962406886994	0.36464135084932203	71.36808654331763	1000
213.0.	0.231859798667953	16.044463206623288	0.43380569560097904	71.22792087381448	1000
216.0.	0.275732406885007	16.014955123079577	0.5168828837949	71.04241539528424	1000
219.0.	0.32834310441805803	15.97591541204715	0.6172723826230211	70.79465472914073	1000
222.0.	0.39176606148383103	15.923784406266059	0.739624872956243	70.46047371298447	1000
225.0.	0.46880529912087904	15.853469441764757	0.890562058528613	70.00478323864212	1000
228.0.	0.563402919329959	15.757560719249332	1.079952233608978	69.37560966264076	1000
231.0.	0.6813613823468131	15.625053904466494	1.323273824163299	68.4941245501594	1000
234.0.	0.8316835526571481	15.439206766623233	1.646228054623208	67.23752217518755	1000
