time	ADP	AMP	ATP	NADH	Pyr
0.0.	0.0	0.0	16.3	256.0	0.0
6.0.	0.45367738378229905	3.5660662058930113	12.280256410324675	255.74155775078526	0.021715945259172
12.0.	0.872759024962636	5.85780118283621	9.569439792201141	254.73521473563233	0.043017351606451
18.0.	1.043781871062957	7.454646403667771	7.801571725269255	253.2881857406255	0.051830780681751
24.0.	1.079651258308493	8.641881914219814	6.578466827471676	251.69322335308127	0.053759397939444
30.0.	1.056800674342983	9.565670398182144	5.677528927474853	250.09192391136457	0.052688134944423
36.0.	1.010464610800034	10.308072908717254	4.981462480482691	248.5436566845073	0.050413260970386
42.0.	0.9559182390391491	10.91921670900853	4.424865051952299	247.0712446426872	0.047713419658852
48.0.	0.899864325641729	11.43179357871046	3.968342095647791	245.68162728057538	0.044930194465815004
54.0.	0.8452860017589531	11.868203514063927	3.5865104841771	244.3747181316861	0.042215791427933004
60.0.	0.79347590569656	12.244390711736823	3.2621333825665912	243.14731632626712	0.039636459387212004
66.0.	0.744923285883015	12.572054181445017	2.983022532671944	241.99491944325578	0.037217613403257
72.0.	0.6997254510635711	12.859994711819612	2.740279837116795	240.91259684053628	0.034964729217664005
78.0.	0.657788863274076	13.11497283156606	2.527238305159843	239.8954172523574	0.032873546056091
84.0.	0.618931241290366	13.342275427576311	2.338793331133301	238.9386546638847	0.030935246815921004
90.0.	0.58293456744806	13.546101432304717	2.170964000247203	238.03788029416435	0.029139149788608
96.0.	0.549572739283364	13.729831197796647	2.020596062919967	237.1889951491154	0.027474115775253
102.0.	0.5186257432090351	13.896218866986333	1.8851553898046132	236.3882316577526	0.025929272197119
108.0.	0.48988653204702104	14.047532456495299	1.762581011457657	235.6321396936733	0.0244943671448
114.0.	0.46316392366478204	14.185657635580467	1.651178440754728	234.91756531089482	0.023159921279669003
120.0.	0.438283341804073	14.312175799425015	1.54954085877089	234.24162674014522	0.021917269800493
126.0.	0.41508641463682305	14.428423619435522	1.456489965927632	233.60169009784215	0.020758545940356
132.0.	0.39343000219713903	14.535539034571345	1.371030963231495	232.99534608585134	0.019676634978781003
138.0.	0.373184973993662	14.63449717524362	1.2923178507626951	232.42038829806577	0.018665115109768
144.0.	0.354234915656267	14.726138714966842	1.219626369376869	231.87479337780152	0.017718194291880002
150.0.	0.33647486152127404	14.811192458877105	1.1523326796016011	231.35670306422713	0.016830648051057003
156.0.	0.319810102758081	14.890293498242064	1.089896398999837	230.86440805623863	0.015997760804157
162.0.	0.304155093437044	14.96399791935857	1.031846987204371	230.39633356784046	0.015215271886019002
168.0.	0.28943246149977103	15.032794810108877	0.9777727283913381	229.9510264265729	0.014479326673730001
174.0.	0.275572123074863	15.09711612891661	0.9273117480085151	229.52714356194605	0.013786432763920001
180.0.	0.262510494135879	15.157344869326874	0.8801446365372351	229.12344173601812	0.013133420928111001
186.0.	0.250189791433445	15.213821855522209	0.835988353044333	228.73876837837489	0.012517410461752
192.0.	0.23855741394096303	15.266851430469853	0.794591155589172	228.37205340001347	0.01193577850346
198.0.	0.22756539612941	15.316706242537105	0.7557283613334741	228.02230187340373	0.011386132901485001
204.0.	0.217169924870823	15.363631293660676	0.719198781468487	227.68858747840105	0.010866288226071
210.0.	0.20733091244835503	15.407847379172638	0.684821708378994	227.37004662525908	0.01037424455849
216.0.	0.198011618898628	15.449554023744415	0.65243435735694	227.06587317653447	0.009908168723395
222.0.	0.189178317658688	15.488931997834666	0.6218896845066291	226.77531369912833	0.009466377667415002
228.0.	0.18079999919712603	15.526145483201983	0.593054517600877	226.49766318610023	0.009047323721392001
234.0.	0.17284810795823402	15.561343943490316	0.565807948551437	226.2322611952831	0.008649581515445
240.0.	0.16529630853249302	15.594663745876568	0.540039945590927	225.97848835821267	0.008271836344757
246.0.	0.158120277485739	15.626229571728791	0.5156501507854571	225.73576321856032	0.007912873809494
252.0.	0.15129751773628802	15.65615564773436	0.49254683452934106	225.50353936420734	0.007571570574803001
258.0.	0.14480719276912202	15.684546823693672	0.47064598353719506	225.28130282142	0.007246886116532
264.0.	0.13862997832461202	15.711499518884231	0.44987050279114404	225.06856968335168	0.006937855335539001
270.0.	0.13274792950205402	15.737102555385777	0.43014951511215904	224.8648839483803	0.006643581938423001
276.0.	0.127144361480991	15.761437893866304	0.41141774465269504	224.66981554665753	0.006363232495496001
282.0.	0.121803742291021	15.784581284940584	0.39361497276838303	224.48295853574695	0.006096031098091001
288.0.	0.11671159625817001	15.806602847231416	0.37668555651040103	224.30392944841512	0.005841254547080001
294.0.	0.111854416926943	15.827567581614032	0.36057800145901003	224.13236577755524	0.005598228012953
300.0.	0.107219588405514	15.84753582974483	0.345244581849641	223.96792458489588	0.0053663211151430005
306.0.	0.102795314210222	15.866563683818539	0.33064100197121904	223.81028122162388	0.005144944374704001
312.0.	0.098570552797356	15.884703353523943	0.31672609367868204	223.6591281503366	0.004933545999952001
318.0.	0.094534959067385	15.902003495345536	0.303461545587056	223.51417385888072	0.004731608969544001
324.0.	0.09067883121146501	15.918509508661556	0.29081166012695503	223.37514185763305	0.0045386483816320005
330.0.	0.086993062343779	15.934263802496224	0.278743135159973	223.2417697526676	0.004354209041429
336.0.	0.08346909642766101	15.949306036279177	0.26722486729313605	223.11380838802663	0.004177863262701
342.0.	0.08009888805974401	15.963673337533285	0.256227774406946	222.99102105101414	0.004009208861493
348.0.	0.07687486572560201	15.977400499041961	0.24572463523241603	222.8731827350366	0.0038478673228580004
354.0.	0.073789898183549	15.990520157729094	0.23568994408733202	222.7600794550634	0.003693482123498
360.0.	0.070837263671172	16.003062957210634	0.22609977911817203	222.651507611261	0.0035457171951070003
366.0.	0.068010621662453	16.01505769574002	0.21693168259751602	222.54727339678826	0.0034042555148680004
372.0.	0.065303986932724	16.026531461064824	0.20816455200243	222.44719224612157	0.0032687978110090003
378.0.	0.06271170571453001	16.03750975353408	0.199778540751356	222.3510883206246	0.0031390613726270003
