time	T	TStar	V
0.0.	100.0	0.0	100.0
10.0.	16.959200679400865	37.452819898856575	182.32918256547183
20.0.	111.64338901996581	6.115450294202846	23.398702159301973
30.0.	14.60977599505993	29.71905921585364	146.51885827814846
40.0.	125.95673639286504	6.351208634586296	23.646370426393368
50.0.	13.321835692033076	25.305955553593574	125.61354706962926
60.0.	134.7915917430316	6.284309643148394	23.02890489128149
70.0.	12.351481515221526	23.34393322492915	116.41700586036512
80.0.	136.9347451864498	5.770859830813431	21.073551219679793
90.0.	11.4484704607139	23.43979958510904	117.34979552554974
100.0.	131.84983107041563	4.900380059880638	18.064903647871937
110.0.	10.630083210710808	25.682206784848002	128.97566581835716
120.0.	119.91844378969726	3.9263294011485232	14.802990478168612
130.0.	10.106408002447315	30.711215510770643	154.4222588924629
140.0.	102.70465568362222	3.092290060202512	12.066165894222745
150.0.	10.336024323977888	39.94280499523085	200.1560904925113
160.0.	82.75305336036347	2.52490054961672	10.290610633796945
170.0.	12.46798570444694	55.889589520471624	275.7996315915501
180.0.	62.857084601463846	2.254472056716523	9.644155005629118
190.0.	20.532562863559605	81.51417901520823	383.5666315833563
200.0.	45.24467307583401	2.294035659333765	10.297376262775629
210.0.	51.96352190371668	110.97416561066444	461.6757896386701
220.0.	31.132006049188263	2.717757360532591	12.736813071562601
230.0.	150.2694788252543	99.6240783246596	340.4568554559655
240.0.	20.757331062750723	3.750447584535064	18.200565230269248
250.0.	247.01731208681105	41.4204457031718	127.3006688484375
260.0.	13.718686228388826	5.934921023159259	29.54690746627372
270.0.	230.81039164348587	11.946924612789164	37.89280367085674
280.0.	9.381746393863395	10.510645101242199	53.20691084687858
290.0.	168.151341331492	4.117487576973753	14.295910834135098
300.0.	7.269115350930729	20.27799339389937	103.49105480246503
310.0.	109.32102726718001	2.109829988367804	8.127678760428422
320.0.	7.794699420653778	41.37630251815651	209.90534044733957
330.0.	66.52823606968389	1.656665874853477	7.02325917341778
340.0.	17.057773386088975	84.02787734774228	401.1482603087467
350.0.	38.90370193734473	1.887172993205364	8.634066202962591
360.0.	89.70479206905335	122.29924529618837	461.573230193152
370.0.	22.37355154355503	2.8574766133168352	13.791930597698656
380.0.	251.72715720656916	49.9296918289871	152.1235372674218
390.0.	13.064670930302656	5.268339623725597	26.2979113957549
400.0.	233.2273596027105	9.9954252948907	31.634198527864722
410.0.	8.248932073669906	11.015496309118753	56.0259588414964
420.0.	153.29714364690193	2.97410883547402	10.579236889579148
430.0.	6.52895868744315	24.79072094894963	126.90222239416825
440.0.	90.05638703540937	1.6468581210521132	6.606388651542807
450.0.	9.184620630576536	57.22995493648367	287.04445929873157
460.0.	50.217700528934365	1.5697925919664502	6.9497165551742075
470.0.	39.4135206831494	115.49829951860539	498.1839307753285
480.0.	27.436942654609805	2.227642990198301	10.569730313526174
