time	CIS	CISRNA	CISnRNA1	CISnRNA2	CISnRNA3	CISnRNA4	CISnRNA5	Epo	EpoRJAK2	EpoRJAK2_CIS	EpoRpJAK2	SHP1	SHP1Act	SOCS3	SOCS3RNA	SOCS3nRNA1	SOCS3nRNA2	SOCS3nRNA3	SOCS3nRNA4	SOCS3nRNA5	STAT5	npSTAT5	p12EpoRpJAK2	p1EpoRpJAK2	p2EpoRpJAK2	pSTAT5
0.0.	0.0	0.0	0.0	-1.836709923159824e-40	0.0	0.0	0.0	1.24997e-07	3.97622	0.0	0.0	26.7251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.372367644529809e-58	79.7535	-9.860761315262648e-32	0.0	0.0	0.0	0.0
2.0.4.0	2.5790170633896285e-10	2.7131356757564767e-10	0.5244666806364591	0.029759145866966003	0.0014996651370540002	6.753035861090555e-05	2.7352227361830552e-06	1.24997e-07	3.300546772537224	-7.653060766146448e-26	0.235528436586931	26.719454964166086	0.005645035833916	8.099306141920836e-07	4.665687337915718e-09	3.1755393183228937e-06	1.021733446968978e-06	3.062815435267552e-07	8.535335128379569e-08	2.2087889613612763e-08	75.11922594997118	0.094189961333781	0.12431589803779301	0.056983519315883004	0.258845373522168	4.5695184516118434
4.0.8.0	1.848389338677529e-07	1.046046410137065e-07	20.122103115744284	2.050923771923394	0.182680570545513	0.014555555910829	0.0010529079565070002	1.24997e-07	2.871390045704835	-2.509534804871692e-26	0.206477205455415	26.704911596807932	0.020188403192081	0.00027889838371300004	1.606351693470356e-06	9.91262186303497e-05	4.861827501600713e-05	2.2277351744504282e-05	9.59726035501089e-06	3.905937959073228e-06	36.78057565919701	1.913307576207687	0.42722320957534904	0.065227079278261	0.40590245998613506	41.65752538215895
7.0.199999999999999.0	1.008031989362132e-05	3.774415757386805e-06	117.90908814867585	20.271581839188872	2.875267077447342	0.35118651820511304	0.037966621356331005	1.24997e-07	2.782831609680367	-3.641829550573312e-27	0.17830384690101903	26.6865333928708	0.038566607129197	0.0076699204721090005	4.4172739984613525e-05	0.000438472792872	0.000301019726618	0.000192285274039	0.00011465912547900001	6.410344402787376e-05	20.14708272058924	6.070274259407109	0.5929332932171301	0.052304904594775006	0.36984634560670404	55.43310372606427
9.0.6.0	0.00015305755975400002	4.0268122732802174e-05	289.27144290025745	74.27157573462688	15.361891735397238	2.676292089184538	0.404899956654373	1.24997e-07	2.92859843996569	8.664664761206004e-27	0.16996831554612102	26.669241679541948	0.055858320458062	0.055539469310334	0.000319850510309	0.00081964175459	0.0006750219069490001	0.000530998570074	0.000397054551021	0.00028147310636000004	19.282085180356493	9.781558538623267	0.542626349986091	0.043451911423270005	0.291574983078821	53.746593324333354
12.0.	0.0010807963265380002	0.000210628322601	493.72604762989636	168.724768603331	46.38129307237874	10.674552297622963	2.1174079975066302	1.24997e-07	3.122681517628032	5.461071370038167e-27	0.170437174605673	26.655207917103596	0.06989208289641001	0.188499375692384	0.0010855385164360001	0.001133451870789	0.001014143481012	0.0008851842974	0.000749912570441	0.0006137528492280001	19.756523244723244	12.69070943803641	0.40568532409261604	0.039559348305936	0.23785663536773602	51.27211401661806
14.0.399999999999999.0	0.004727500957921	0.000713867355404	702.5713342424694	296.6889043136143	101.47183597022837	29.08748854836151	7.175352500894788	1.24997e-07	3.272877145790358	2.276263230794681e-27	0.17132309170513602	26.644242984310406	0.08085701568959801	0.42163539032988	0.0024281013201920003	0.0013763250584950002	0.0012839569460680001	0.00118132701007	0.0010686437175730001	0.000947156299698	20.731067185137036	14.908573568933127	0.28703836539674304	0.037435301220346	0.20754609588740802	48.772788486211255
16.0.8.0	0.015069625793398001	0.001825339428491	898.5284994855788	446.7035943875946	181.672868950832	62.19123730715764	18.34541833109578	1.24997e-07	3.372545737918885	1.050932960534001e-27	0.170541578266937	26.635464750239045	0.089635249760963	0.7433329583439071	0.004280651266531	0.0015586256712320002	0.0014894575234570002	0.001411403646019	0.001323950245063	0.001226843658785	22.037430816816865	16.55089286309039	0.20964477111808702	0.035616999103976005	0.187870913592109	46.33733033979717
19.0.2.0	0.038521743325919004	0.0038421442775440004	1072.1455080164217	606.8923206336607	284.2210391253759	112.69235739424593	38.6125079941542	1.24997e-07	3.43917562266887	4.748509900416952e-28	0.16849421677651402	26.62815912224749	0.096940877752514	1.133680155458908	0.006528522822494	0.0016907259888810002	0.001640805875384	0.001583506595008	0.0015182531927870001	0.001444496400795	23.57059356512654	17.7191600332996	0.162292888204069	0.033826364755151	0.172430907595389	44.00098391196786
21.0.599999999999998.0	0.08380843818132801	0.007022385088737	1219.1271313565553	766.9449923662871	403.89127301604185	181.2754008767292	70.56949297006048	1.24997e-07	3.487104284011863	2.94970790773321e-28	0.16582119102235002	26.621894325704673	0.10320567429532901	1.573441283991027	0.009060945673864	0.0017816742492550001	0.001747526140418	0.0017073337049560002	0.0016605844565250002	0.0016067429589510002	25.2561576493963	18.500280200285708	0.13197679688233102	0.032093996439391	0.159223731644057	41.77839971289464
24.0.	0.161361884091303	0.011537747963731	1338.4634119948266	918.864649034007	534.3170582378642	266.6838222818814	115.94086025950298	1.24997e-07	3.524224744059418	1.1922237107608149e-28	0.16291277960081701	26.6164220084617	0.10867799153830401	2.04627319325219	0.01178380671937	0.0018391615950690001	0.001817829695459	0.0017915892508150002	0.0017600038839390001	0.0017226081185090002	27.040169691337237	18.96763933424246	0.11093779295426401	0.030465646227427003	0.14767903715806802	39.673078266358104
26.0.4.0	0.282413685879545	0.017447864325343003	1431.1417912534012	1057.0408611796374	669.0272514714969	366.12388141649006	175.32523230874008	1.24997e-07	3.554452543186526	5.85477833442966e-29	0.159962862691288	26.6115892409962	0.11351075900380501	2.538806568954373	0.014620117959171001	0.0018696479855330001	0.001858650765083	0.0018436982097330002	0.0018244241879390001	0.001800435550875	28.882243226446757	19.1826406476112	0.095297119817871	0.028960729299512003	0.13754674500479702	37.68319132830743
28.0.799999999999997.0	0.457979937123804	0.024696448321953002	1499.2784979676044	1177.9921155054865	802.1424005371156	475.80133427865053	248.15664103530068	1.24997e-07	3.579799152141576	-9.487968784100262e-29	0.15706577301601501	26.607291317866842	0.117808682133164	3.04027894467469	0.017507903117142003	0.0018785199282	0.0018757889781780002	0.001869896937855	0.0018605388347720001	0.0018473861699790002	30.75137291661905	19.19635952774697	0.083132755515265	0.027581933481568004	0.128640385845569	35.804629908041804
31.0.2.0	0.6979113341645381	0.033124472721235004	1545.5460493695875	1279.9774022006543	928.7671721002462	591.4563117758547	332.8369649593898	1.24997e-07	3.601418639506649	-3.18797184619029e-30	0.15427024425412	26.60344992548224	0.12165007451776101	3.542127151382631	0.020397850716042002	0.001870247398314	0.0018740667508120002	0.0018753837367170001	0.001873945491799	0.001869479116982	32.623450499494254	19.051109107649786	0.073407420221741	0.026324708345568004	0.120798987671916	34.03241198898352
33.0.6.0	1.010126894073819	0.042493998264509	1572.8063286822444	1362.5875449973416	1045.1485432821846	708.8182011744477	426.9753702315734	1.24997e-07	3.620059079178443	-9.218726455077287e-30	0.15160301905911602	26.60000307896344	0.125096921036566	4.03761935025672	0.023251195120256002	0.0018485266672740002	0.001857477739329	0.0018644708663430002	0.0018692971160950002	0.00187173067146	34.479688159839654	18.78183119181594	0.065492797985109	0.025181757058624	0.11388334671870101	32.36130289577407
