time	C	M	X	Y	Z
71.0.	0.174814637215902	0.24439844921792303	0.125652249758735	3.89295012199149	0.366696541332915
72.0.	0.196628020508465	0.31306494980222405	0.137030785592409	3.881758491671502	0.381639290024731
73.0.	0.20715958682469401	0.381403413088286	0.161757574661092	3.868948175355476	0.39872980605059505
74.0.	0.204008414243386	0.441712267461128	0.197202638177839	3.857045729167052	0.415455401422103
75.0.	0.18652933977273	0.48589814565333306	0.23987375169777403	3.848565634081668	0.42920096211395703
76.0.	0.156267771153581	0.5057361293314571	0.285058585068941	3.8456571571008373	0.43761105155309404
77.0.	0.11763927776764901	0.493085395644315	0.326674951360515	3.849704393226876	0.43901549855263305
78.0.	0.078704164191573	0.44150537956522906	0.357486173374897	3.860831125462491	0.43296999836787203
79.0.	0.050324932681787005	0.353166961442249	0.37017685174391	3.877386200661493	0.42083963203040703
80.0.	0.038552298065779006	0.248278885964641	0.360155748885977	3.896162772754374	0.40565957241979206
81.0.	0.038936564736279	0.15708409438799	0.328609173077099	3.914170226862744	0.39039647814572204
82.0.	0.046951419294248	0.10158170168711601	0.28253676574233705	3.929689983609988	0.37685022654166
83.0.	0.062112360420855	0.085630695827542	0.231999902522314	3.9415863205737702	0.36629828633016603
84.0.	0.08472060650427801	0.09887391720495801	0.18611406471667302	3.948801710119142	0.359987913866455
85.0.	0.11347370783257	0.13243780080578801	0.15116884970205602	3.950470446577283	0.35901794992107505
86.0.	0.144820978986673	0.181936202040362	0.13088800351159002	3.946303911504002	0.36393638959614505
87.0.	0.173828941661532	0.24342464360718102	0.126576546540595	3.9368969558892113	0.374400250826087
88.0.	0.19559567932229802	0.311511455435977	0.137501944779774	3.923751995241616	0.389110170895935
89.0.	0.206252051255531	0.379408425751503	0.16175095382871002	3.9090491374347973	0.40600425595532
90.0.	0.203396984075598	0.43947952798510004	0.19671797543147002	3.895307676682969	0.422574038823719
91.0.	0.18636539769669602	0.483700744938701	0.23894430899566102	3.885036959525367	0.43620679053167105
92.0.	0.156649434505532	0.503927381442423	0.283771605029845	3.8803838905887202	0.444546876620076
93.0.	0.118553461398889	0.492121022497821	0.32519290718376603	3.882736812198309	0.44591731131670104
94.0.	0.079933427228356	0.44190535090296	0.35606195205572605	3.8922395416159503	0.43985070243856705
95.0.	0.051416940111674005	0.35516080789299803	0.36913014986701403	3.9072877156945722	0.42766081777420606
96.0.	0.039221474770558006	0.25128771061354604	0.35975139541656603	3.924718947532589	0.412331563643312
97.0.	0.039303351294664	0.160074606852739	0.32891656074291403	3.941518534492781	0.39684635475971203
98.0.	0.047126907306612	0.103736944709166	0.283410162340457	3.955918654046154	0.38304898724684905
99.0.	0.062106321430812	0.08679543071388501	0.23317241064415803	3.966759536762531	0.37223735135476305
100.0.	0.08451388897406201	0.09933017977156	0.18733969509268503	3.972974671075469	0.365664756555218
