time	I1	I2	S
402.0.	3356.10703225948	295.731546683916	25.563521852233052
408.0.	3338.460411226031	294.1765716840712	25.42910725279671
414.0.	3320.9065772315234	292.6297728401936	25.295399413745187
420.0.	3303.445042395896	291.0911071615431	25.162394618888094
426.0.	3286.0753214043866	289.5605318834273	25.030089171575025
432.0.	3268.7969314940524	288.03800446601326	24.89847939459277
438.0.	3251.6093924403463	286.5234825931454	24.767561630063152
444.0.	3234.512226543772	285.0169241711688	24.63733223934135
450.0.	3217.504958616608	283.51828732775977	24.50778760291474
456.0.	3200.5871159696985	282.027530410762	24.378924120302344
462.0.	3183.7582283993174	280.5446119870287	24.250738209954736
468.0.	3167.0178281741005	279.0694908412712	24.123226309154497
474.0.	3150.3654500220428	277.6021259749136	23.996384873917194
480.0.	3133.8006311175677	276.14247660495266	23.8702103788929
486.0.	3117.322911068668	274.690502162825	23.744699317268193
492.0.	3100.931831904103	273.24616229327916	23.61984820066869
498.0.	3084.6269380606755	271.80941685325433	23.49565355906211
504.0.	3068.4077763705673	270.3802259107643	23.37211194066181
510.0.	3052.273896048745	268.9585497437878	23.249219911830853
516.0.	3036.2248486804315	267.5443488391643	23.12697405698658
522.0.	3020.260188208643	266.1375838914959	23.00537097850571
528.0.	3004.3794709217896	264.7382158020553	22.884407296629842
534.0.	2988.582255441347	263.3462056776985	22.764079649371563
540.0.	2972.8681027095845	261.96151482978405	22.64438469242102
546.0.	2957.2365759773675	260.58410477309775	22.52531909905293
552.0.	2941.687240792013	259.21393722478336	22.406879560034145
558.0.	2926.219664985218	257.8509741032782	22.289062783531676
564.0.	2910.8334186610487	256.4951775272545	22.171865495021205
570.0.	2895.5280741839892	255.14650981456725	22.055284437196043
576.0.	2880.30320616706	253.80493348120652	21.939316369876657
582.0.	2865.158391459991	252.47041124025532	21.823958069920554
588.0.	2850.0932091374643	251.14290600085403	21.709206331132744
594.0.	2835.107240487413	249.82238086716882	21.595057964176593
600.0.	2820.2000689993847	248.5087991373665	21.48150979648522
