time	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_16	species_17	species_18	species_19	species_2	species_20	species_21	species_22	species_23	species_24	species_25	species_26	species_27	species_3	species_4	species_5	species_6	species_7	species_8	species_9
0.0.	1200.0	0.0	0.0	0.0	200.0	0.0	0	300.0	0.0	10.0	0.0	0.0	100.0	0.0	0.0	0	0.0	0.0	0	0	-2.9673649205499368e-67	0.0	0.0	0.0	1200.0	0.0	0.0
40.0.	1190.8825928157876	3.9892947769923612	0.07939146561124101	2.837960806752789	189.91789783690652	6.861174671504941	0	79.6061206529166	4.458884655942444	5.541115344057564	14.70786224656228	0.38337747800501704	81.1394111757148	0.009151145250473001	0.37381553958491703	0	1.214998691217594	2.937727886505399	0	0	8.502455373333571	0.23045839461945003	0.000175101743506	0.001351629680406	982.019353326398	9.97365055703141	191.174090421936
80.0.	1159.03359651291	6.203896824860818	0.17127249531138403	11.455324101890449	175.53404024165397	9.978969502151468	0	24.120276721349654	1.952451846035077	8.047548153964929	18.464871123159025	1.611166283964074	72.66389752407056	0.491265168609665	2.540400985694051	0	4.741139359431895	4.130091993338445	0	0	36.248390266770784	1.609691114873714	0.005171284967023001	0.071484666175208	883.9758350483247	13.812384975155794	241.47874283898886
120.0.	1124.0581738384717	7.815845907642367	0.23161242741975002	19.2747120383595	161.47221867863428	11.593990617308421	0	19.444414550914427	1.6286068878187852	8.37139311218122	18.646636474385843	2.92058480681899	68.30417011516934	2.464661857034801	5.194416808662442	0	8.148063497710583	4.901129912733998	0	0	64.34895077028261	3.5330566425776313	0.020604732041041	0.38013535093036405	835.5180402318912	14.822264601668996	245.2264650577918
160.0.	1089.6774038754436	9.097218591399766	0.28236346248161104	25.509559214696832	148.32092261841458	12.413069030879502	0	19.045980211508148	1.6000172003337099	8.399982799666297	18.549498526497512	4.194578558730028	64.87708924761029	6.165414303843798	7.591034832164628	0	11.148530726226964	5.424881499664871	0	0	89.89740196134625	5.5959052185093725	0.046894762846682	1.025945045846403	796.9867054485612	15.52334385601249	244.99879674316583
200.0.	1054.1644844946659	10.145582867085666	0.32870081287033104	30.596952880811088	135.30098027549877	12.640747472485213	0	18.90398681893434	1.5899468971125632	8.410053102887439	18.44850708719856	5.506603664799566	61.8186680714884	11.783189604972943	9.678129766231075	0	13.963881078449596	5.768943762862953	0	0	114.34346563418408	7.803854941710807	0.085872583790771	2.14100297444564	762.0930690559376	16.202678197160974	244.52618018672237
240.0.	1014.9647571003879	11.031950427480798	0.373223787940317	34.77419906071805	121.51816665482424	12.356729333326983	0	18.77763101385199	1.58100400764881	8.41899599235119	18.34295291083007	6.9613545316453695	58.86262498005238	19.92362222344267	11.427282727686958	0	16.81826950662031	5.976152602496618	0	0	139.27430277708046	10.244274544313086	0.142521373998761	4.023239253091543	728.2848303154112	16.918721996447616	244.00646628328025
280.0.	968.3282736630148	11.785390093353813	0.417835356245897	38.01310835748364	105.93313825176419	11.522457677618931	0	18.63244123071451	1.57072563384318	8.429274366156816	18.21289399973237	8.721879019999538	55.76871739446391	31.848644949164534	12.68265076396726	0	19.966355929023447	6.052032676779534	0	0	166.51864960714832	13.023100709651935	0.22700957095262303	7.371670736101745	693.3390052107798	17.72982727885038	243.4362765006126
320.0.	907.9756255283941	12.379107555950013	0.463590836430526	39.87847400384999	87.2598305449803	9.991404590725452	0	18.4314054889149	1.556479957599556	8.443520042400438	18.02115625577427	11.09561576958033	52.235297297245765	49.86567947547519	13.00461138496729	0	23.78462357040384	5.9589228765752456	0	0	198.61364289593507	16.173312288042162	0.35864828535333404	14.00848014183396	654.6762471027913	18.727644948877032	242.79972251240244
360.0.	823.0163032361938	12.681996043615218	0.5091818340440011	39.24325389251473	64.4888934464502	7.5955400997353255	0	18.099444916194653	1.5328919688800902	8.467108031119908	17.687050015077176	14.74609487168073	47.80637546711672	77.1837302414208	11.48858231987676	0	28.91123330713296	5.595341210672086	0	0	239.18110043004995	19.238671592826496	0.5669928924525101	29.324619287180237	608.8755316006985	20.077697448402002	242.09373381740065
