time	W_star	Wt	Y	Z
0.0.	0.0	1	1.6	0.15
0.0.05.0	0.014172083268842001	1	1.615857293607919	0.22245606014743602
0.0.1.0	0.020373074056180003	1	1.6584006663128021	0.24670344907871203
0.0.15000000000000002.0	0.024678590176128	1	1.7054625436306652	0.258164493830423
0.0.2.0	0.028007028308815	1	1.751585447729872	0.265939974476238
0.0.25.0	0.030946783717888	1	1.795120809939374	0.272723490757659
0.0.30000000000000004.0	0.033870587740154	1	1.835348924643992	0.27945866074268805
0.0.35000000000000003.0	0.037036563505321	1	1.8717415969310802	0.28657927137623
0.0.4.0	0.040666286789225	1	1.903708224511766	0.29440321209929804
0.0.45.0	0.045007869999145	1	1.930427793852898	0.30331052418291404
0.0.5.0	0.050407566187414	1	1.950599592374009	0.31392056509930905
0.0.55.0	0.057435852367174	1	1.961864421425998	0.32747164344511903
0.0.6000000000000001.0	0.06720456331535	1	1.959003567261092	0.34706884640060903
0.0.65.0	0.08252451529452601	1	1.925431666314168	0.38412938766654703
0.0.7000000000000001.0	0.11718577244588901	1	1.709353050599888	0.5651711174382591
0.0.75.0	0.297695179303467	1	0.67333903908429	1.233522553913219
0.0.8.0	0.46552483301113606	1	0.701391042183182	0.867417113022091
0.0.8500000000000001.0	0.5561722038953281	1	0.8728390829540791	0.531677361125654
0.0.9.0	0.568418102418045	1	1.080035153422358	0.30829656699211705
0.0.9500000000000001.0	0.5406201860044141	1	1.193587980245913	0.245201622158241
1.0.	0.5028840895468311	1	1.272013898109186	0.23312321861753202
1.0.05.0	0.46398044503586405	1	1.340411419840118	0.23333691478520402
1.0.1.0	0.42608559183152406	1	1.4046974533264731	0.23662142688113702
1.0.1500000000000001.0	0.389776920735366	1	1.466208187203788	0.24078028529238002
1.0.2000000000000002.0	0.35525117435101905	1	1.525200312137084	0.24528282182059202
1.0.25.0	0.322619118629459	1	1.5816603653477972	0.250008574565728
1.0.3.0	0.29197970137768303	1	1.635493856670677	0.254945647654418
1.0.35.0	0.263440438467544	1	1.686567406651248	0.260116940762026
1.0.4000000000000001.0	0.23712422627796	1	1.734713436513702	0.265563363838472
1.0.4500000000000002.0	0.21317245637016602	1	1.7797225489236572	0.27134302002895905
1.0.5.0	0.19174684751808702	1	1.82132784795311	0.277537057923028
1.0.55.0	0.173030774258632	1	1.859178519443419	0.284261843132183
1.0.6.0	0.15723142843763802	1	1.892794229019794	0.291691842276649
1.0.6500000000000001.0	0.14458703882537902	1	1.921480646225819	0.300105052143467
1.0.7000000000000002.0	0.13539094552071002	1	1.944156638030576	0.309982591117891
1.0.75.0	0.130063669850285	1	1.958949161108373	0.32225978741279104
1.0.8.0	0.129363818574415	1	1.962034905313621	0.33910258320603004
1.0.85.0	0.135096993779729	1	1.943052980788909	0.367263132114209
1.0.9000000000000001.0	0.15393796213600403	1	1.8482398062136962	0.448168274980061
1.0.9500000000000002.0	0.27278969577842205	1	0.7409018286275371	1.328928741497032
2.0.	0.46512399666119203	1	0.677061369920204	0.990614336029572
2.0.0500000000000003.0	0.5833048841396701	1	0.794353304858287	0.649078452654393
2.0.1.0	0.620347434350494	1	1.019042457452426	0.362824852353802
2.0.15.0	0.6011696068480571	1	1.159957671663226	0.25774721598396805
2.0.2.0	0.564879101243986	1	1.246016002773589	0.23503661832951603
2.0.25.0	0.5255887055260521	1	1.316809151139462	0.232684028878426
2.0.3000000000000003.0	0.486837313207771	1	1.3822866918728112	0.23530407194458403
2.0.35.0	0.44951927053650503	1	1.444723711310602	0.239255541291185
2.0.4000000000000004.0	0.41389691515977906	1	1.504601824110689	0.24366073258104
