time	A1	A2	C1	C2	IPTG
0.0.	0.1	0.1	20.0	20.0	5
3.0.	2.417454744813041	1.862431771009164	4.894363660277061	25.915392388753727	5
6.0.	2.516560721354167	3.104358328482545	2.8673608832206323	29.695271728836687	5
9.0.	2.374072542137712	4.022215282836831	2.6539659446782853	33.32157300470852	5
12.0.	2.30990797861335	4.758075019913271	3.02769451786962	36.537185233036865	5
15.0.	2.415616063240444	5.332211509347393	3.8262081706376083	38.43511966323472	5
18.0.	2.749149363220613	5.6820937802465945	5.128138369848189	38.10242064966731	5
21.0.	3.3892658295075098	5.721472051137856	7.156039098627147	35.05334762860069	5
24.0.	4.452763027240659	5.400559403052373	10.152041599503882	29.59910621710677	5
27.0.	6.026658669538539	4.759592841183498	13.827450866199822	23.017554103393092	5
30.0.	7.92702085149857	3.9397263993194063	16.523605017385663	16.966442578047825	5
33.0.	9.498373756069302	3.118640234292341	16.05846361491801	12.47459146811811	5
36.0.	10.001765808315561	2.425416511497345	12.467168109433485	9.638078614439648	5
39.0.	9.283213046892513	1.908883867909375	7.997978558502661	8.057837794109965	5
42.0.	7.788164942041002	1.5611874756571469	4.471892866150439	7.333250348828933	5
45.0.	6.078272549725088	1.356194776771564	2.288037061491178	7.279955760083911	5
48.0.	4.5186595575522635	1.277694985307427	1.112943037370962	7.985199563309106	5
51.0.	3.255104948993695	1.337557000138725	0.532619156762687	9.866377555132921	5
54.0.	2.299516788996556	1.591145875038396	0.262716871129242	13.755630971575556	5
57.0.	1.6069060147713592	2.145234412756245	0.145347782481507	20.766009439106288	5
60.0.	1.118926854307519	3.121929131248441	0.101657997430736	31.371402949677755	5
63.0.	0.782434488135316	4.536552374584737	0.09362494364557901	43.91740414921935	5
66.0.	0.554684754335044	6.184972485193776	0.10159120174318201	55.080270487811504	5
69.0.	0.40309388613672104	7.742621958177472	0.11497836862289201	62.761203495928314	5
72.0.	0.30384454170983305	8.984418559048546	0.12972253601817302	67.16361600613327	5
75.0.	0.24033079470819002	9.860522782545495	0.145444211222336	69.43002761979699	5
78.0.	0.20137535035155602	10.429249541630528	0.162817589223634	70.53254407010778	5
81.0.	0.179573533349236	10.778011847968878	0.182500074115777	71.0506213065557	5
84.0.	0.17004432128291602	10.983188400553182	0.20497734006073	71.28308492446935	5
87.0.	0.16958480146353	11.09964095353006	0.23064521973267602	71.37432090547809	5
90.0.	0.17611975581629002	11.162954419238597	0.25989708086705005	71.3917803735892	5
93.0.	0.18834619190342203	11.194809855042067	0.293181444165099	71.36599088887664	5
96.0.	0.20550373488509602	11.207836341222931	0.331039990639631	71.30980757881268	5
99.0.	0.22722733513106602	11.209089217064543	0.37413950572539	71.22735052106721	5
102.0.	0.253455728939789	11.202286551734298	0.42330823960568703	71.11801357303943	5
105.0.	0.28437997107143703	11.189152820886555	0.479585443120956	70.97812044062829	5
108.0.	0.32042363727963	11.17018036386967	0.544293668127645	70.80140559315323	5
111.0.	0.362251815365684	11.145026334530023	0.619147201749086	70.57882078890144	5
114.0.	0.41081118924181703	11.11267935177908	0.7064178600279191	70.29782700218176	5
117.0.	0.46740981092231604	11.071467839267383	0.8091940451604671	69.94112849242724	5
120.0.	0.533854584538973	11.01893637804487	0.931796411083563	69.48463268320337	5
123.0.	0.6126806951860491	10.951578193807524	1.080466374796104	68.89419973315744	5
126.0.	0.7075375752907901	10.864370563315788	1.264549922780972	68.12039638298812	5
129.0.	0.8238565297077101	10.75000241000424	1.498622368878614	67.08987439314693	5
132.0.	0.9700525301407501	10.597592638981116	1.806491547850103	65.69101115004473	5
135.0.	1.159794485214861	10.390558317122478	2.229149462588571	63.75009509846383	5
138.0.	1.4165283207811	10.103136414232766	2.84142636177706	60.99387527077338	5
141.0.	1.782956916385795	9.695209496023283	3.7882982388900723	57.00210828310707	5
144.0.	2.341446195353612	9.107059340559616	5.362985994565061	51.19962662449046	5
147.0.	3.255134142370944	8.264223688719026	8.141296528724288	43.087230490702936	5
150.0.	4.8196140139586365	7.120075088264256	12.96344436059867	33.02179757930551	5
153.0.	7.363347894164671	5.743581991718927	19.682363421088336	22.889235110219907	5
156.0.	10.624902638043924	4.341799233924509	24.493593566996733	14.89821208294414	5
159.0.	13.200608317475806	3.135840459387522	22.661865160705442	9.8410326744781	5
162.0.	13.716995613066853	2.235096096540553	15.73435025887394	7.115065756315641	5
165.0.	12.256831773787141	1.628232977322987	8.813523225700546	5.769748763138223	5
168.0.	9.854015689230401	1.248156863129179	4.31382126139676	5.166545122793074	5
171.0.	7.4071862614440125	1.027805821215071	1.953218715781448	5.035949099642782	5
174.0.	5.343737492336986	0.924302495666468	0.846231116831313	5.384399276312733	5
177.0.	3.760902879164408	0.9269955453447911	0.35838207411196904	6.480186515885418	5
180.0.	2.608217929806721	1.065287207406493	0.151581214628494	8.948610101454092	5
183.0.	1.79346793486789	1.421733491848066	0.06691749538354101	13.877511493737968	5
186.0.	1.227754360594623	2.133225390447573	0.034297276290494005	22.500325695145758	5
189.0.	0.8393477561158761	3.32307646691591	0.023679208054309002	34.78548526941974	5
192.0.	0.574717141189653	4.939040159801836	0.022195894302584	48.00674714548813	5
195.0.	0.395435799749459	6.684602454247412	0.024109755256207004	58.55216237615476	5
198.0.	0.27449793216102203	8.218200469481895	0.026966370341650003	65.13178231876195	5
201.0.	0.19324181976566002	9.369432722266932	0.030088701710866004	68.63239037209424	5
204.0.	0.13895614965167802	10.14481346370499	0.033503806353071	70.34012894501609	5
207.0.	0.10305128998002101	10.63064367319866	0.037362936055108	71.13888397582544	5
210.0.	0.07973700606503001	10.920614740475497	0.041785112383563	71.50514252300229	5
213.0.	0.06511165681783801	11.087930934924467	0.046854568829801005	71.67090488693422	5
216.0.	0.056548419914154005	11.18208709632427	0.05264227022622701	71.74427202970811	5
219.0.	0.052283815294406004	11.233979627969003	0.059221352518524006	71.7746806768869	5
222.0.	0.051141506122882006	11.261964770323686	0.06667526026848	71.78455367452979	5
225.0.	0.052346422246040004	11.276592638282255	0.07510167321045101	71.78399531810832	5
228.0.	0.05539941666902801	11.283783093617263	0.08461458669902101	71.7774910830969	5
231.0.	0.059992701896646	11.286794192301246	0.09534586167059901	71.76693862091211	5
234.0.	0.065952901975093	11.287385112197288	0.10744689598253301	71.753012670044	5
237.0.	0.07320290628756801	11.286481452005141	0.121090731820696	71.73577468505056	5
240.0.	0.08173660544522	11.284546920273531	0.13647477491034402	71.7149383944341	5
243.0.	0.09160253355648801	11.281786831712703	0.15382427270940102	71.68997615569569	5
246.0.	0.10289376124795101	11.278257053523772	0.17339673390270802	71.66014863141604	5
249.0.	0.115742293784358	11.273920298006978	0.195487551644474	71.62449382601328	5
252.0.	0.130316871343388	11.268673001131006	0.22043721774256	71.58179006741338	5
255.0.	0.146823542582584	11.262355340663317	0.24864069778257403	71.53049714056428	5
258.0.	0.16550876011189602	11.254750896807439	0.280559805414378	71.46867409727334	5
261.0.	0.186665085308925	11.245579002681122	0.31673981368145504	71.39386823904891	5
264.0.	0.21063994439904501	11.23448075959012	0.35783214769590804	71.30296575994778	5
267.0.	0.237848309422677	11.220998279820503	0.40462594103268	71.19198937208868	5
270.0.	0.26879076989416	11.204545506349882	0.458092719905463	71.05582066630011	5
273.0.	0.304079341670811	11.184367592357093	0.519450874202207	70.88781319880862	5
276.0.	0.34447474260305705	11.159483943128276	0.590260546784601	70.67924343375259	5
279.0.	0.39094112707272805	11.128607140314301	0.672566352282282	70.4185157121754	5
282.0.	0.444728107809628	11.09002530170116	0.76911728044922	70.08998553249266	5
285.0.	0.507496631837076	11.041427629255502	0.883714925729818	69.67217674926006	5
288.0.	0.5815175605441351	10.979639556620278	1.021782469459557	69.13501405562714	5
291.0.	0.6699951062273111	10.900210685347863	1.191328390697588	68.43542046120105	5
294.0.	0.777613438501991	10.796757890148601	1.404647339018882	67.5101508032542	5
297.0.	0.9115005519095151	10.659894820587866	1.681465320993718	66.2639131535844	5
300.0.	1.083011995434579	10.47546120970136	2.055063388072047	64.54957880900092	5
