time	cam_RR_0_0	cam_RR_0_rbp	cam_RR_0_tbp	cam_RR_A_0	cam_RR_A_rbp	cam_RR_A_tbp	cam_RR_B_0	cam_RR_B_rbp	cam_RR_B_tbp	cam_RR_C_0	cam_RR_C_rbp	cam_RR_C_tbp	cam_RR_D_0	cam_RR_D_rbp	cam_RR_D_tbp	cam_RR_AB_0	cam_RR_AB_rbp	cam_RR_AB_tbp	cam_RR_AC_0	cam_RR_AC_rbp	cam_RR_AC_tbp	cam_RR_AD_0	cam_RR_AD_rbp	cam_RR_AD_tbp	cam_RR_BC_0	cam_RR_BC_rbp	cam_RR_BC_tbp	cam_RR_BD_0	cam_RR_BD_rbp	cam_RR_BD_tbp	cam_RR_CD_0	cam_RR_CD_rbp	cam_RR_CD_tbp	cam_RR_ABC_0	cam_RR_ABC_rbp	cam_RR_ABC_tbp	cam_RR_ABD_0	cam_RR_ABD_rbp	cam_RR_ABD_tbp	cam_RR_ACD_0	cam_RR_ACD_rbp	cam_RR_ACD_tbp	cam_RR_BCD_0	cam_RR_BCD_rbp	cam_RR_BCD_tbp	cam_RR_ABCD_0	cam_RR_ABCD_rbp	cam_RR_ABCD_tbp	cam_RT_0_0	cam_RT_0_rbp	cam_RT_0_tbp	cam_RT_A_0	cam_RT_A_rbp	cam_RT_A_tbp	cam_RT_B_0	cam_RT_B_rbp	cam_RT_B_tbp	cam_RT_C_0	cam_RT_C_rbp	cam_RT_C_tbp	cam_RT_D_0	cam_RT_D_rbp	cam_RT_D_tbp	cam_RT_AB_0	cam_RT_AB_rbp	cam_RT_AB_tbp	cam_RT_AC_0	cam_RT_AC_rbp	cam_RT_AC_tbp	cam_RT_AD_0	cam_RT_AD_rbp	cam_RT_AD_tbp	cam_RT_BC_0	cam_RT_BC_rbp	cam_RT_BC_tbp	cam_RT_BD_0	cam_RT_BD_rbp	cam_RT_BD_tbp	cam_RT_CD_0	cam_RT_CD_rbp	cam_RT_CD_tbp	cam_RT_ABC_0	cam_RT_ABC_rbp	cam_RT_ABC_tbp	cam_RT_ABD_0	cam_RT_ABD_rbp	cam_RT_ABD_tbp	cam_RT_ACD_0	cam_RT_ACD_rbp	cam_RT_ACD_tbp	cam_RT_BCD_0	cam_RT_BCD_rbp	cam_RT_BCD_tbp	cam_RT_ABCD_0	cam_RT_ABCD_rbp	cam_RT_ABCD_tbp	cam_TR_0_0	cam_TR_0_rbp	cam_TR_0_tbp	cam_TR_A_0	cam_TR_A_rbp	cam_TR_A_tbp	cam_TR_B_0	cam_TR_B_rbp	cam_TR_B_tbp	cam_TR_C_0	cam_TR_C_rbp	cam_TR_C_tbp	cam_TR_D_0	cam_TR_D_rbp	cam_TR_D_tbp	cam_TR_AB_0	cam_TR_AB_rbp	cam_TR_AB_tbp	cam_TR_AC_0	cam_TR_AC_rbp	cam_TR_AC_tbp	cam_TR_AD_0	cam_TR_AD_rbp	cam_TR_AD_tbp	cam_TR_BC_0	cam_TR_BC_rbp	cam_TR_BC_tbp	cam_TR_BD_0	cam_TR_BD_rbp	cam_TR_BD_tbp	cam_TR_CD_0	cam_TR_CD_rbp	cam_TR_CD_tbp	cam_TR_ABC_0	cam_TR_ABC_rbp	cam_TR_ABC_tbp	cam_TR_ABD_0	cam_TR_ABD_rbp	cam_TR_ABD_tbp	cam_TR_ACD_0	cam_TR_ACD_rbp	cam_TR_ACD_tbp	cam_TR_BCD_0	cam_TR_BCD_rbp	cam_TR_BCD_tbp	cam_TR_ABCD_0	cam_TR_ABCD_rbp	cam_TR_ABCD_tbp	cam_TT_0_0	cam_TT_0_rbp	cam_TT_0_tbp	cam_TT_A_0	cam_TT_A_rbp	cam_TT_A_tbp	cam_TT_B_0	cam_TT_B_rbp	cam_TT_B_tbp	cam_TT_C_0	cam_TT_C_rbp	cam_TT_C_tbp	cam_TT_D_0	cam_TT_D_rbp	cam_TT_D_tbp	cam_TT_AB_0	cam_TT_AB_rbp	cam_TT_AB_tbp	cam_TT_AC_0	cam_TT_AC_rbp	cam_TT_AC_tbp	cam_TT_AD_0	cam_TT_AD_rbp	cam_TT_AD_tbp	cam_TT_BC_0	cam_TT_BC_rbp	cam_TT_BC_tbp	cam_TT_BD_0	cam_TT_BD_rbp	cam_TT_BD_tbp	cam_TT_CD_0	cam_TT_CD_rbp	cam_TT_CD_tbp	cam_TT_ABC_0	cam_TT_ABC_rbp	cam_TT_ABC_tbp	cam_TT_ABD_0	cam_TT_ABD_rbp	cam_TT_ABD_tbp	cam_TT_ACD_0	cam_TT_ACD_rbp	cam_TT_ACD_tbp	cam_TT_BCD_0	cam_TT_BCD_rbp	cam_TT_BCD_tbp	cam_TT_ABCD_0	cam_TT_ABCD_rbp	cam_TT_ABCD_tbp	rbp	tbp	alues[kon_DR	alues[kon_BR	alues[koff_tbp_RR	alues[k_T2R_N2	alues[k_T2R_N1	alues[koff_AT	alues[koff_tbp_TR	alues[kon_BT	alues[koff_tbp_TT	alues[koff_DR	alues[k_R2T_C1	alues[k_R2T_C2	alues[koff_rbp_RT	alues[koff_DT	alues[kon_DT	alues[koff_rbp_RR	alues[k_T2R_C	alues[koff_tbp_RT	alues[koff_CT	alues[koff_BT	alues[k_T2R_C1	alues[k_T2R_C2	alues[koff_AR	alues[koff_CR	alues[koff_BR	alues[KAR	alues[koff_rbp_TR	alues[k_R2T_N1	alues[KCR	alues[KBR	alues[k_T2R_N	alues[k_R2T_N2	alues[KDR	alues[koff_rbp_TT	alues[cam_tbp_tot	alues[ybarN_0	alues[ybar_rbp	alues[cam_tot	alues[ybar_tot	alues[cam_tbp_bound_fraction	alues[ybar_tbp	alues[cam_0_tot	alues[ybarN_tot	alues[cam_0_bound_fraction	alues[ybar_0	alues[cam_rbp_bound_fraction	alues[ybarC_0	alues[ybarN_rbp	alues[ybarC_rbp	alues[ybarN_tbp	alues[ybarC_tbp	alues[ybarC_tot	alues[cam_rbp_tot	nnamed: 24
0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3e-05	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000146	0	10000000.0	1000000000.0	0.1	670414	144.139	91920	100000000.0	1000000000.0	100000000.0	0.197871	10000	10000	60000	624.2	10000000.0	0.005	1.16055	100000000.0	624.2	91920	3661.04	11549000.0	19.7628	0.197871	19.7628	1.97628e-08	7	10000	1.9787099999999996e-08	1.97628e-08	0.0309899	10000	1.9787099999999996e-08	60000	0	0	-nan(ind)	3.3e-05	0	0	-nan(ind)	3.3e-05	0	1.0	0	0.0	0	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	0	0.0	
0.02	4.07123e-15	1.1219299999999998e-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.209399999999998e-11	1.9086e-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3855499999999998e-09	3.49061e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.64907e-05	6.15879e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000139492	0	10000000.0	1000000000.0	0.1	670414	144.139	91920	100000000.0	1000000000.0	100000000.0	0.197871	10000	10000	60000	624.2	10000000.0	0.005	1.16055	100000000.0	624.2	91920	3661.04	11549000.0	19.7628	0.197871	19.7628	1.97628e-08	7	10000	1.9787099999999996e-08	1.97628e-08	0.0309899	10000	1.9787099999999996e-08	60000	0	0	0	3.3e-05	0	0	-nan(ind)	2.64921e-05	0	0.8027920000000001	0	0.197208	0	0	0	-nan(ind)	-nan(ind)	0	6.50787e-06	
0.04	4.12457e-15	2.26403e-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.13017e-11	1.88671e-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.47006e-09	6.75193e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6235e-05	6.08819e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000139237	0	10000000.0	1000000000.0	0.1	670414	144.139	91920	100000000.0	1000000000.0	100000000.0	0.197871	10000	10000	60000	624.2	10000000.0	0.005	1.16055	100000000.0	624.2	91920	3661.04	11549000.0	19.7628	0.197871	19.7628	1.97628e-08	7	10000	1.9787099999999996e-08	1.97628e-08	0.0309899	10000	1.9787099999999996e-08	60000	0	0	0	3.3e-05	0	0	-nan(ind)	2.62366e-05	0	0.795048	0	0.204952	0	0	0	-nan(ind)	-nan(ind)	0	6.7634e-06	
0.06	4.17451e-15	3.41836e-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.05624e-11	1.86636e-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.54902e-09	9.79257e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5996599999999998e-05	6.022519999999999e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00013899799999999999	0	10000000.0	1000000000.0	0.1	670414	144.139	91920	100000000.0	1000000000.0	100000000.0	0.197871	10000	10000	60000	624.2	10000000.0	0.005	1.16055	100000000.0	624.2	91920	3661.04	11549000.0	19.7628	0.197871	19.7628	1.97628e-08	7	10000	1.9787099999999996e-08	1.97628e-08	0.0309899	10000	1.9787099999999996e-08	60000	0	0	0	3.3e-05	0	0	-nan(ind)	2.59982e-05	0	0.787824	0	0.21217600000000003	0	0	0	-nan(ind)	-nan(ind)	0	7.00179e-06	
0.08	4.22126e-15	4.58408e-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.98729e-11	1.84742e-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.62276e-09	1.2627200000000001e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5774099999999998e-05	5.961430000000001e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00013877600000000001	0	10000000.0	1000000000.0	0.1	670414	144.139	91920	100000000.0	1000000000.0	100000000.0	0.197871	10000	10000	60000	624.2	10000000.0	0.005	1.16055	100000000.0	624.2	91920	3661.04	11549000.0	19.7628	0.197871	19.7628	1.97628e-08	7	10000	1.9787099999999996e-08	1.97628e-08	0.0309899	10000	1.9787099999999996e-08	60000	0	0	0	3.3e-05	0	0	-nan(ind)	2.5775799999999998e-05	0	0.781086	0	0.218914	0	0	0	-nan(ind)	-nan(ind)	0	7.224169999999999e-06	
0.1	4.26501e-15	5.76043e-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.92298e-11	1.82981e-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6916199999999998e-09	1.52694e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55667e-05	5.9046e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000138568	0	10000000.0	1000000000.0	0.1	670414	144.139	91920	100000000.0	1000000000.0	100000000.0	0.197871	10000	10000	60000	624.2	10000000.0	0.005	1.16055	100000000.0	624.2	91920	3661.04	11549000.0	19.7628	0.197871	19.7628	1.97628e-08	7	10000	1.9787099999999996e-08	1.97628e-08	0.0309899	10000	1.9787099999999996e-08	60000	0	0	0	3.3e-05	0	0	-nan(ind)	2.55684e-05	0	0.7748010000000001	0	0.22519899999999998	0	0	0	-nan(ind)	-nan(ind)	0	7.431560000000001e-06	
0.12	4.30593e-15	6.9466800000000004e-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.86301e-11	1.81342e-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7559e-09	1.7732e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5373200000000003e-05	5.85174e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000138375	0	10000000.0	1000000000.0	0.1	670414	144.139	91920	100000000.0	1000000000.0	100000000.0	0.197871	10000	10000	60000	624.2	10000000.0	0.005	1.16055	100000000.0	624.2	91920	3661.04	11549000.0	19.7628	0.197871	19.7628	1.97628e-08	7	10000	1.9787099999999996e-08	1.97628e-08	0.0309899	10000	1.9787099999999996e-08	60000	0	0	0	3.3e-05	0	0	-nan(ind)	2.5375e-05	0	0.76894	0	0.23106	0	0	0	-nan(ind)	-nan(ind)	0	7.6249699999999994e-06	
0.14	4.344189999999999e-15	8.14216e-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.80709e-11	1.79818e-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.81589e-09	2.00272e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.51928e-05	5.80256e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000138195	0	10000000.0	1000000000.0	0.1	670414	144.139	91920	100000000.0	1000000000.0	100000000.0	0.197871	10000	10000	60000	624.2	10000000.0	0.005	1.16055	100000000.0	624.2	91920	3661.04	11549000.0	19.7628	0.197871	19.7628	1.97628e-08	7	10000	1.9787099999999996e-08	1.97628e-08	0.0309899	10000	1.9787099999999996e-08	60000	0	0	0	3.3e-05	0	0	-nan(ind)	2.5194699999999998e-05	0	0.763476	0	0.23652399999999998	0	0	0	-nan(ind)	-nan(ind)	0	7.8053e-06	
0.16	4.37997e-15	9.34623e-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.75496e-11	1.784e-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8718800000000004e-09	2.2165900000000002e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.50246e-05	5.75681e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000138027	0	10000000.0	1000000000.0	0.1	670414	144.139	91920	100000000.0	1000000000.0	100000000.0	0.197871	10000	10000	60000	624.2	10000000.0	0.005	1.16055	100000000.0	624.2	91920	3661.04	11549000.0	19.7628	0.197871	19.7628	1.97628e-08	7	10000	1.9787099999999996e-08	1.97628e-08	0.0309899	10000	1.9787099999999996e-08	60000	0	0	0	3.3e-05	0	0	-nan(ind)	2.50266e-05	0	0.7583810000000001	0	0.241619	0	0	0	-nan(ind)	-nan(ind)	0	7.973430000000001e-06	
0.18	4.4133999999999995e-15	1.05583e-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.70636e-11	1.7708e-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92412e-09	2.41588e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4867800000000003e-05	5.71424e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00013787	0	10000000.0	1000000000.0	0.1	670414	144.139	91920	100000000.0	1000000000.0	100000000.0	0.197871	10000	10000	60000	624.2	10000000.0	0.005	1.16055	100000000.0	624.2	91920	3661.04	11549000.0	19.7628	0.197871	19.7628	1.97628e-08	7	10000	1.9787099999999996e-08	1.97628e-08	0.0309899	10000	1.9787099999999996e-08	60000	0	0	0	3.3e-05	0	0	-nan(ind)	2.48698e-05	0	0.753632	0	0.24636799999999998	0	0	0	-nan(ind)	-nan(ind)	0	8.130160000000001e-06	
