time	RasGTP_Golgi_GM	CAPRI_cyt	serca	PIP_PM	PI_PM	Shc_PM	CaCAPRI_PM_PM	RactCa	Shc_star_PM	EGFR_PM	PLC_act_PM	RasGTP_pal_cyt	PLC_PM	PIP2_PM	Activated_EGFR_PM	Ca	Ract	Rinh	RinhCa	IP3	RasGDP_Golgi_GM	Ca_RasGRP_GM_GM	DAG_GM_GM	RasGRP_DAG_GM	CaCAPRI_cyt	DAG_PM	RasGTP_depal_cyt	RasGDP_depal_cyt	RasGDP_pal_cyt	Ca_PLCe_cyt	Ras_CaPLCe_GM	Ca_ER	Sos_cyt	Grb2_cyt	PLCe_cyt	buffer_cyt	ca_buffer_cyt	SosGrb2_cyt	SGS_PM	RasGTP_PM	RasGDP_PM	RasGRP_cyt	CaRasGRP1_cyt	alues[Rate_PIP2Synbasal_PIP2_synthesis	alues[Rate_PIP2SynStim_PIP2_synthesis	alues[Vmax_Shc_phosphorylation	alues[Vmax_RasGRP_DAG_GEF	alues[Vmax_CAPRI_GAP	alues[Vmax_CaRasGRP_act_RasGM	alues[Ratebasal_PIPsyn_PIP_synthesis	alues[Ratestim_PIPsyn_PIP_synthesis	alues[Koff_reaction2	alues[Vmax_EGF_act_PLCgamma	alues[Kr_Ca_binds_IP3R	alues[Vmax_Sos_act_RasPM	nnamed: 5
12000	607.841	24.6543	45	0.000685603	0.0198749	185.987	4.87775	8.06846	8.44657e-05	0.00180373	0.000316039	0.0481651	99.9997	0.247946	0.00107053	298.764	3.2515400000000003	2.05382	9.26618	2189.49	14.2791	0.000264918	89036.4	594.077	2.44708	148786.0	30.1145	2.73045	13.7396	4.9823900000000005	75.4597	87920.4	80.5898	501.99	3.3464699999999996	34.5835	85.8165	100.00200000000001	0.0127228	0.190359	272.147	0.803348	0.0797402	0.044908	0.0	0.000214107	29.7038	48.7775	2.6491800000000003e-06	0.00149748	0.0	0.231	0.00032116	200	0.00025445599999999996	
12600	615.808	24.6445	45	0.000279154	0.00809276	185.99200000000002	4.8865099999999995	8.07352	5.40248e-05	0.00115363	0.000202132	0.0487436	99.9998	0.217829	0.0006846910000000001	299.418	3.24648	2.05015	9.26985	2210.61	14.3165	0.000263031	89895.6	594.24	2.45147	148786.0	30.5183	2.72855	13.6769	4.96534	76.1873	87860.6	80.59100000000001	501.991	3.3277400000000004	34.5297	85.8703	100.00399999999999	0.00813773	0.19178299999999998	270.895	0.795888	0.0791721	0.044910000000000005	0.0	0.000136938	29.712	48.8651	2.63031e-06	0.00149748	0.0	0.231	0.000205407	200	0.000162755	
13200	622.876	24.6361	45	0.000113664	0.00329524	185.995	4.89409	8.0779	3.45541e-05	0.000737838	0.00012928	0.049266000000000004	99.9999	0.1986	0.000437914	299.98400000000004	3.2421	2.04698	9.273019999999999	2229.2	14.349	0.000261391	90651.8	594.381	2.45526	148786.0	30.8765	2.72685	13.6213	4.95024	76.8275	87808.8	80.5918	501.99199999999996	3.3113599999999996	34.4832	85.9168	100.005	0.00520492	0.19322999999999999	269.784	0.7894359999999999	0.0786786	0.04491130000000001	0.0	8.758270000000001e-05	29.7191	48.9409	2.6139099999999995e-06	0.00149748	0.0	0.231	0.000131374	200	0.00010409799999999999	
13800	629.149	24.6287	45	4.62812e-05	0.00134177	185.997	4.90069	8.08169	2.2100500000000003e-05	0.00047190599999999996	8.26845e-05	0.0497355	99.9999	0.186319	0.00028008	300.476	3.23831	2.0442299999999998	9.27577	2245.57	14.3776	0.000259963	91317.9	594.504	2.45856	148786.0	31.1944	2.72531	13.5719	4.93686	77.3916	87763.7	80.5923	501.99199999999996	3.29699	34.4428	85.9572	100.006	0.00332904	0.194629	268.798	0.783838	0.07824869999999999	0.044912099999999996	0.0	5.6016099999999994e-05	29.7252	49.0069	2.5996299999999996e-06	0.00149748	0.0	0.231	8.40241e-05	200	6.65809e-05	
14400	634.716	24.6223	45	1.88447e-05	0.000546348	185.998	4.90643	8.08499	1.41352e-05	0.00030182099999999997	5.28833e-05	0.050156	99.9999	0.178473	0.000179134	300.905	3.23501	2.04184	9.27816	2260.02	14.4026	0.000258716	91905.5	594.611	2.46144	148786.0	31.4766	2.7239299999999997	13.5281	4.925	77.8891	87724.4	80.5926	501.99300000000005	3.28438	34.4077	85.9923	100.006	0.00212922	0.195945	267.923	0.778967	0.0778734	0.0449126	0.0	3.58267e-05	29.7305	49.0643	2.58716e-06	0.00149748	0.0	0.231	5.3740100000000004e-05	200	4.25844e-05	
15000	639.659	24.6167	45	7.67322e-06	0.00022246400000000002	185.99900000000002	4.91145	8.08787	9.040620000000001e-06	0.000193038	3.38231e-05	0.050531599999999996	100.0	0.173459	0.00011457	301.28	3.2321299999999997	2.03976	9.28024	2272.76	14.4245	0.000257625	92424.1	594.7040000000001	2.46395	148786.0	31.7271	2.7227	13.4892	4.9145	78.3283	87690.1	80.5928	501.99300000000005	3.2732900000000003	34.3771	86.0229	100.006	0.00136182	0.19716	267.147	0.774717	0.0775449	0.044913	0.0	2.2914e-05	29.7352	49.1145	2.57625e-06	0.00149748	0.0	0.231	3.4371e-05	200	2.72364e-05	
15600	644.047	24.6118	45	3.1244e-06	9.058389999999999e-05	185.99900000000002	4.91584	8.09038	5.78222e-06	0.00012346299999999998	2.16325e-05	0.0508666	100.0	0.170254	7.32766e-05	301.60900000000004	3.22962	2.03793	9.28207	2284.03	14.4439	0.000256668	92882.3	594.785	2.46615	148786.0	31.9494	2.72159	13.4547	4.9051800000000005	78.7162	87660.0	80.5929	501.99300000000005	3.26353	34.3504	86.0496	100.007	0.0008709960000000001	0.198268	266.45799999999997	0.771001	0.07725689999999999	0.04491319999999999	0.0	1.46553e-05	29.7393	49.1584	2.5666800000000002e-06	0.00149748	0.0	0.231	2.1983000000000003e-05	200	1.74199e-05	
16200	647.944	24.6075	45	1.2722e-06	3.68844e-05	185.99900000000002	4.91969	8.09258	3.6982e-06	7.89646e-05	1.3835699999999999e-05	0.051164999999999995	100.0	0.168206	4.68662e-05	301.897	3.22742	2.03634	9.283660000000001	2293.98	14.4609	0.000255828	93287.3	594.857	2.46807	148786.0	32.1469	2.7206	13.4241	4.89692	79.0592	87633.6	80.593	501.99300000000005	3.2549200000000003	34.3269	86.0731	100.007	0.000557073	0.199272	265.846	0.767745	0.0770041	0.0449133	0.0	9.37324e-06	29.7428	49.1969	2.55828e-06	0.00149748	0.0	0.231	1.40599e-05	200	1.1141500000000002e-05	
16800	651.405	24.6038	45	5.180190000000001e-07	1.5018699999999999e-05	186.0	4.92307	8.09452	2.36529e-06	5.0504099999999996e-05	8.84903e-06	0.0514307	100.0	0.16689600000000002	2.99746e-05	302.15	3.22548	2.03494	9.285060000000001	2302.79	14.4758	0.000255089	93645.6	594.919	2.46977	148786.0	32.3223	2.71972	13.3969	4.88959	79.3626	87610.4	80.593	501.99300000000005	3.24733	34.3064	86.0936	100.007	0.00035629300000000004	0.200175	265.303	0.764888	0.0767817	0.0449134	0.0	5.99493e-06	29.746	49.2307	2.55089e-06	0.00149748	0.0	0.231	8.99239e-06	200	7.12586e-06	
17400	654.479	24.6004	45	2.10929e-07	6.11539e-06	186.0	4.92604	8.096219999999999	1.5127899999999999e-06	3.2301399999999995e-05	5.65965e-06	0.051667	100.0	0.16605799999999998	1.91712e-05	302.373	3.22378	2.0337099999999997	9.28629	2310.58	14.4891	0.000254439	93962.7	594.974	2.47125	148786.0	32.478	2.71893	13.3727	4.88309	79.6311	87590.0	80.5931	501.99300000000005	3.2406200000000003	34.2883	86.1117	100.007	0.000227878	0.200986	264.82	0.7623770000000001	0.076586	0.0449135	0.0	3.83423e-06	29.7487	49.2604	2.5443900000000003e-06	0.00149748	0.0	0.231	5.75135e-06	200	4.55756e-06	
