# Time	[AcanmRNA]	[ADAMTS5]	[AGEprod]	[Alk1]	[Alk1_Alk5]	[Alk5]	[Alk5_dimer]	[Bax]	[Bax_Bcl2]	[Bax_Bcl2_Beclin]	[Bax_Bcl2_Beclin_I]	[Bcl2]	[Bcl2_Beclin]	[Bcl2_Beclin_I]	[Beclin]	[Beclin_I]	[Caspase_A]	[Caspase_I]	[Col2mRNA]	[DamP]	[IkB]	[IkB_NFkB]	[IL1]	[Lys_A]	[Lys_I]	[MMP13]	[MMP2]	[NFkB]	[NFkB_P]	[p38]	[p38_P]	[proMMP13]	[proMMP2]	[RAGE]	[ROS]	[Runx2_A]	[Runx2_I]	[Smad1]	[Smad1_P]	[Smad1_P_Smad4]	[Smad2]	[Smad2_P]	[Smad2_P_Smad4]	[Smad4]	[Smad7]	[SOD]	[Sox9]	[Sox9_A]	[Sox9mRNA]	[Tgfb_A]	[Tgfb_Alk1_Alk5]	[Tgfb_Alk1_Alk5_Smad7]	[Tgfb_Alk5_dimer]	[Tgfb_Alk5_dimer_Smad7]	[AggFrag]	[Aggrecan]	[Aggrecan_Collagen2]	[ColFrag]	[Collagen2]	[Integrin]	[Tgfb_I]	[IntegrinCount]	
200	3.33015e-10	1.94868e-05	0.0002	395.767	104.233	48.4426	173.66	0.0158491	94.2009	5.78328	4.0305e-07	6.3008	39.1117	5.65459e-07	65.105	6.3721e-06	0.00739738	99.9926	4.34071e-09	0.334467	0.000172391	99.9611	0.000791984	39.9869	360.013	4.81067e-09	7.5221e-13	0.0358682	0.00305685	98.3503	1.64967	1.24879e-06	1.95242e-07	3.75777e-05	1.90572	7.72771e-05	99.9999	600	2.01113e-05	1.77819e-05	600	5.46118e-05	9.69384e-05	600	3.61066e-08	1.63784	99.9906	2.02621e-06	9.80397	0.000243509	5.01701e-05	2.35242e-11	0.000115046	2.15948e-15	7.51171e-10	9.95141e-15	1000	6.2891e-25	7.51186e-10	7.61301e-05	200	8e-05	
220	5.66062e-10	2.85723e-05	0.00022	397.35	102.65	47.9052	174.72	0.0179224	94.2647	5.71742	4.55778e-07	5.57109	39.4857	6.3314e-07	64.7969	7.00086e-06	0.00794405	99.9921	6.68637e-09	0.361688	0.000224464	99.9573	0.00103555	39.9854	360.015	7.86432e-09	1.2296e-12	0.0390753	0.00363976	98.3103	1.68969	1.83165e-06	2.86336e-07	4.76212e-05	1.89901	0.00011944	99.9999	600	2.63339e-05	2.46226e-05	600	7.15461e-05	0.000134	600	5.45567e-08	1.60554	99.9886	3.09814e-06	9.78458	0.000268871	6.07672e-05	4.78491e-11	0.000141824	4.47613e-15	1.22772e-09	1.87781e-14	1000	1.86919e-24	1.22774e-09	8.33327e-05	200	8.8e-05	
240	9.14325e-10	4.02504e-05	0.00024	398.763	101.237	47.4295	175.664	0.0201259	94.3141	5.6658	5.09027e-07	4.96038	39.7867	7.00186e-07	64.5474	7.63315e-06	0.00842234	99.9916	9.87979e-09	0.387944	0.000282623	99.9535	0.00131229	39.9838	360.016	1.22464e-08	1.91459e-12	0.042247	0.00423972	98.2788	1.72117	2.58125e-06	4.03458e-07	5.90341e-05	1.89263	0.000176778	99.9998	600	3.36222e-05	3.29791e-05	600	9.14595e-05	0.0001794	600	7.90814e-08	1.5739	99.9865	4.54406e-06	9.76523	0.000293983	7.22398e-05	9.07524e-11	0.000171408	8.64422e-15	1.91135e-09	3.33605e-14	1000	4.99777e-24	1.91139e-09	9.04637e-05	199.999	9.6e-05	
260	1.41559e-09	5.48411e-05	0.00026	400.025	99.9753	47.0065	176.506	0.022438	94.3523	5.62524	5.62718e-07	4.44858	40.0274	7.66671e-07	64.3474	8.2687e-06	0.00883778	99.9912	1.41036e-08	0.41327	0.000345969	99.9498	0.00162035	39.9822	360.018	1.83112e-08	2.86244e-12	0.0453888	0.00485061	98.2543	1.74573	3.5184e-06	5.49836e-07	7.18168e-05	1.88653	0.000252453	99.9997	600	4.20417e-05	4.29821e-05	600	0.000114548	0.000233918	600	1.10756e-07	1.54292	99.9841	6.43891e-06	9.74592	0.000318844	8.45673e-05	1.62442e-10	0.000203782	1.57414e-14	2.85715e-09	5.63695e-14	1000	1.22312e-23	2.85722e-09	9.75237e-05	199.999	0.000104	
280	2.11479e-09	7.26439e-05	0.00028	401.151	98.8487	46.6292	177.258	0.0248317	94.3818	5.59334	6.16791e-07	4.01917	40.2178	8.32732e-07	64.1888	8.90717e-06	0.00919635	99.9908	1.95573e-08	0.4377	0.000413481	99.946	0.00195756	39.9806	360.019	2.64533e-08	4.13471e-12	0.0485051	0.00546747	98.2353	1.76471	4.66268e-06	7.28498e-07	8.59587e-05	1.88071	0.000349887	99.9997	600	5.1657e-05	5.47587e-05	600	0.000141002	0.000298306	600	1.50694e-07	1.51257	99.9816	8.86294e-06	9.72664	0.000343459	9.7732e-05	2.76944e-10	0.000238927	2.7281e-14	4.12641e-09	9.1302e-14	1000	2.77698e-23	4.12651e-09	0.000104513	199.999	0.000112	
300	3.06443e-09	9.3935e-05	0.0003	402.158	97.8418	46.2923	177.929	0.0272761	94.4044	5.56832	6.71193e-07	3.65848	40.3665	8.98541e-07	64.0652	9.54817e-06	0.00950412	99.9905	2.64567e-08	0.461265	0.000484077	99.9423	0.00232151	39.979	360.021	3.71052e-08	5.79875e-12	0.0515992	0.00608636	98.2208	1.77918	6.03224e-06	9.42237e-07	0.000101441	1.87515	0.00047275	99.9995	600	6.25314e-05	6.84323e-05	599.999	0.000171001	0.000373292	600	2.00042e-07	1.48285	99.9789	1.19013e-05	9.70741	0.000367828	0.000111719	4.52969e-10	0.000276822	4.53228e-14	5.78617e-09	1.42629e-13	1000	5.91167e-23	5.78632e-09	0.000111434	199.999	0.00012	
320	4.32509e-09	0.000118966	0.00032	403.059	96.9414	45.9912	178.53	0.0297377	94.4215	5.54878	7.25876e-07	3.35521	40.4803	9.64296e-07	63.9709	1.01913e-05	0.00976697	99.9902	3.50336e-08	0.483999	0.000556659	99.9386	0.00270969	39.9774	360.023	5.0734e-08	7.92725e-12	0.0546738	0.00670421	98.21	1.79002	7.64375e-06	1.1936e-06	0.000118237	1.86982	0.000624956	99.9994	600	7.47271e-05	8.41232e-05	599.999	0.000204723	0.00045958	599.999	2.59965e-07	1.45374	99.976	1.56437e-05	9.68822	0.000391956	0.000126514	7.14849e-10	0.000317445	7.25965e-14	7.90875e-09	2.15951e-13	1000	1.19016e-22	7.90896e-09	0.000118285	199.999	0.000128	
340	5.96577e-09	0.000147962	0.00034	403.864	96.1358	45.7217	179.067	0.0321827	94.4341	5.53367	7.80798e-07	3.09995	40.5651	1.0302e-06	63.9012	1.08362e-05	0.00999043	99.99	4.55357e-08	0.50593	0.000630158	99.935	0.00311958	39.9757	360.024	6.78385e-08	1.05977e-11	0.0577305	0.00731868	98.2021	1.79793	9.51236e-06	1.48489e-06	0.000136317	1.86472	0.000810658	99.9992	600	8.83057e-05	0.000101949	599.999	0.000242334	0.000557849	599.999	3.31647e-07	1.42523	99.973	2.0184e-05	9.66906	0.000415843	0.000142107	1.09355e-09	0.000360772	1.12638e-13	1.05712e-08	3.18164e-13	1000	2.28194e-22	1.05715e-08	0.000125068	199.999	0.000136	
360	8.06424e-09	0.000181124	0.00036	404.585	95.4146	45.4805	179.548	0.0345784	94.4433	5.52213	8.35921e-07	2.88487	40.6257	1.09647e-06	63.8522	1.14824e-05	0.0101796	99.9898	5.82255e-08	0.527088	0.000703567	99.9313	0.0035487	39.9741	360.026	8.89464e-08	1.38921e-11	0.0607708	0.00792806	98.1965	1.8035	1.16517e-05	1.81815e-06	0.000155647	1.85984	0.00103424	99.999	600	0.000103328	0.000122026	599.999	0.000283997	0.000668753	599.999	4.16273e-07	1.39731	99.9697	2.56198e-05	9.64994	0.000439493	0.000158486	1.62777e-09	0.000406779	1.69937e-13	1.3855e-08	4.57632e-13	1000	4.19105e-22	1.38554e-08	0.000131784	199.999	0.000144	
380	1.07074e-08	0.000218628	0.00038	405.231	94.7686	45.2645	179.979	0.0368955	94.4496	5.51351	8.91208e-07	2.70345	40.6659	1.1633e-06	63.8205	1.21296e-05	0.0103392	99.9897	7.33806e-08	0.5475	0.000775967	99.9277	0.00399468	39.9725	360.028	1.14611e-07	1.7896e-11	0.0637954	0.00853112	98.1928	1.80719	1.4074e-05	2.19519e-06	0.000176191	1.85515	0.00130032	99.9987	600	0.000119853	0.000144466	599.999	0.000329867	0.000792921	599.999	5.15034e-07	1.36997	99.9663	3.20521e-05	9.63086	0.000462907	0.000175644	2.36503e-09	0.000455439	2.50098e-13	1.78452e-08	6.44363e-13	1000	7.40914e-22	1.78457e-08	0.000138433	199.999	0.000152	
