# Time	[Cdiff]	[Commensal_Beneficial]	[Commensal_Dead]	[tDC_LP]	[tDC_MLN]	[Commensal_Harmful]	[N_Lum]	[E]	[E_d]	[E_i]	[M_LP]	[eDC_LP]	[Th17_LP]	[Th1_LP]	[iTreg_LP]	[eDC_MLN]	[iTreg_MLN]	[Th17_MLN]	[Th1_MLN]	
28	-1.21592e-38	2.66647e+10	8.11779e+07	2.54575e-26	1.84864e-27	7.77975e+08	-0.000657625	1.0525e+06	-0.0020272	5.76793e-16	-0.0769595	2.1162e-39	6.59355e-17	2.07944e-08	0.842682	1.07722e-41	5.38734e-26	2.14883e-18	4.76233e-14	
29.4	-2.57188e-33	2.66797e+10	5.72359e+07	1.53684e-28	1.11597e-29	6.95905e+08	-0.000323206	1.0525e+06	-0.000996878	1.74176e-17	-0.0378449	-1.55388e-34	1.97845e-18	5.1637e-09	0.414389	-7.25006e-37	3.25191e-28	6.44775e-20	6.17631e-15	
30.8	3.65134e-35	2.66902e+10	4.03552e+07	9.26003e-31	6.72424e-32	6.22492e+08	-0.000158874	1.0525e+06	-0.000490215	5.25967e-19	-0.0186102	1.10655e-36	5.93652e-20	1.28223e-09	0.203776	4.89643e-39	1.96016e-30	1.9347e-21	8.01013e-16	
32.2	1.07748e-32	2.66977e+10	2.84532e+07	-1.37751e-33	-1.25315e-34	5.56824e+08	-7.81043e-05	1.0525e+06	-0.000241063	1.58828e-20	-0.00915158	4.62763e-34	1.78131e-21	3.18394e-10	0.100207	2.11344e-36	1.15586e-32	5.80525e-23	1.03884e-16	
33.6	3.30838e-33	2.67029e+10	2.00614e+07	-6.22268e-33	1.15053e-34	4.98084e+08	-3.84003e-05	1.0525e+06	-0.000118543	4.7962e-22	-0.00450029	-2.19676e-34	5.34497e-23	7.90607e-11	0.0492768	-1.16005e-36	3.15311e-33	1.74192e-24	1.34729e-17	
35	2.61994e-43	2.67066e+10	1.41447e+07	-1.71669e-35	-1.2466e-36	4.4554e+08	-1.88807e-05	1.0525e+06	-5.82935e-05	1.44833e-23	-0.00221302	4.46136e-42	1.6038e-24	1.96316e-11	0.0242319	2.22398e-44	-3.20662e-35	5.22678e-26	1.74731e-18	
36.4	-5.64462e-51	2.67093e+10	9.97294e+06	-1.03621e-37	-7.5246e-39	3.98539e+08	-9.28369e-06	1.0525e+06	-2.86659e-05	4.37357e-25	-0.00108825	3.52352e-50	4.81236e-26	4.87472e-12	0.011916	1.75807e-52	-2.17353e-37	1.56834e-27	2.2661e-19	
37.8	-5.59223e-52	2.67111e+10	7.0316e+06	-6.25466e-40	-4.54192e-41	3.56496e+08	-4.56494e-06	1.0525e+06	-1.40964e-05	1.3207e-26	-0.000535149	-2.92554e-53	1.44399e-27	1.21044e-12	0.00585971	-1.36994e-55	-1.32274e-39	4.70595e-29	2.93893e-20	
39.2	-4.42912e-36	2.67124e+10	4.95776e+06	4.44081e-34	3.41953e-35	3.18889e+08	-2.2447e-06	1.0525e+06	-6.93193e-06	3.98847e-28	-0.00026316	1.79028e-36	4.3329e-29	3.00564e-13	0.00288151	8.92294e-39	5.72518e-35	1.41215e-30	3.81154e-21	
40.6	-3.76595e-49	2.67133e+10	3.49555e+06	2.65413e-36	1.92734e-37	2.85248e+08	-1.1038e-06	1.0525e+06	-3.40878e-06	1.20441e-29	-0.000129409	2.03439e-44	1.30018e-30	7.46328e-14	0.00141699	1.01439e-46	5.22162e-36	4.23727e-32	4.94322e-22	
