# Time	[AA]	[5-HPETE]	[5-HETE]	[LTA4]	[LTB4]	[w-LTB4]	[PLA2]	[15-LOX]	[12-LOX]	[COX-2]	[PGES]	[15-HPETE]	[TXAS]	[5-LOX]	[LTA4H]	[CYP4F3]	[PHGPx]	[exo-AA]	[15-HETE]	[12-HPETE]	[12-HETE]	[PGH2]	[PGE2]	[TXA2]	[TXB2]	
108000	0.143831	1.54803e-40	-1.76249e-31	-1.14978e-58	-1.46869e-60	90.0963	1.5	15	-0	0.2	0.5	32.9255	1.4927e-34	4.6789e-39	0.00205408	0.07	0.8	0	2721.49	-4.94066e-324	0.263521	0.0914666	1902.3	6.16188e-29	-3.54011e-27	
114000	0.143833	1.79857e-47	1.22942e-33	-1.93532e-62	-2.47212e-64	90.0963	1.5	15	0	0.2	0.5	32.9262	-3.33735e-31	1.51494e-45	0.00205408	0.07	0.8	0	2721.52	0	0.263521	0.0891306	1955.17	-1.80903e-28	-1.04834e-27	
120000	0.143835	2.10034e-47	-1.08728e-34	-2.1933e-64	-2.80165e-66	90.0963	1.5	15	-0	0.2	0.5	32.9268	-7.79369e-34	6.37484e-46	0.00205408	0.07	0.8	0	2721.54	0	0.263521	0.0869716	2006.67	3.66017e-29	8.12402e-27	
126000	0.143836	1.2291e-50	-2.56421e-35	2.75382e-66	3.51764e-68	90.0963	1.5	15	-4.94066e-324	0.2	0.5	32.9274	-2.48373e-30	-2.89447e-49	0.00205408	0.07	0.8	0	2721.57	-0	0.263521	0.0849685	2056.9	-7.79528e-28	-4.2813e-26	
132000	0.143838	-1.88574e-56	-2.32152e-36	1.82536e-70	2.33166e-72	90.0963	1.5	15	-0	0.2	0.5	32.9279	4.2011e-32	-1.70038e-55	0.00205408	0.07	0.8	0	2721.59	-0	0.263521	0.0831033	2105.95	-1.67674e-28	-6.6222e-26	
138000	0.143839	2.00772e-60	-2.67875e-37	-7.94096e-73	-1.01435e-74	90.0963	1.5	15	-0	0.2	0.5	32.9284	1.19594e-35	6.07168e-59	0.00205408	0.07	0.8	0	2721.61	0	0.263521	0.0813609	2153.9	2.09119e-29	2.82859e-27	
144000	0.14384	-4.81825e-66	-2.19584e-38	-7.07902e-77	-9.0425e-79	90.0963	1.5	15	0	0.2	0.5	32.9289	2.53069e-36	-1.49366e-64	0.00205408	0.07	0.8	0	2721.63	-0	0.263521	0.0797284	2200.82	7.14326e-31	1.60201e-27	
150000	0.143841	4.97822e-65	-2.09452e-39	5.59412e-77	7.14575e-79	90.0963	1.5	15	1.97626e-323	0.2	0.5	32.9293	-8.43178e-30	1.39725e-63	0.00205408	0.07	0.8	0	2721.65	1.4822e-323	0.263521	0.0781947	2246.77	-2.69598e-27	-8.06892e-26	
156000	0.143843	-3.90185e-67	-1.95989e-40	-1.89569e-78	-2.42149e-80	90.0963	1.5	15	4.94066e-324	0.2	0.5	32.9297	1.81009e-31	-1.23049e-65	0.00205408	0.07	0.8	0	2721.67	-0	0.263521	0.0767502	2291.81	1.60337e-28	1.65471e-27	
162000	0.143844	-4.64094e-67	-4.12726e-42	2.16691e-79	2.76794e-81	90.0963	1.5	15	-0	0.2	0.5	32.9301	4.08054e-31	-2.03746e-66	0.00205408	0.07	0.8	0	2721.69	0	0.263521	0.0753866	2335.99	-4.89167e-28	-1.66014e-26	
168000	0.143845	-2.44164e-69	8.79579e-43	1.1193e-81	1.42976e-83	90.0963	1.5	15	4.94066e-324	0.2	0.5	32.9305	-1.73236e-30	9.63904e-68	0.00205408	0.07	0.8	0	2721.7	0	0.263521	0.0740966	2379.37	-7.03966e-28	-1.86885e-26	
174000	0.143846	3.29877e-70	-8.64248e-44	4.28255e-81	5.47039e-83	90.0963	1.5	15	0	0.2	0.5	32.9308	1.7146e-30	-7.49535e-69	0.00205408	0.07	0.8	0	2721.72	-4.94066e-324	0.263521	0.0728738	2421.98	8.40398e-28	4.42997e-26	
180000	0.143846	3.04912e-69	-4.60803e-44	-2.50481e-80	-3.19956e-82	90.0963	1.5	15	-9.88131e-324	0.2	0.5	32.9311	-1.7697e-30	4.04715e-69	0.00205408	0.07	0.8	0	2721.73	-9.88131e-324	0.263521	0.0717126	2463.86	-1.58397e-27	-6.3894e-27	
186000	0.143847	6.80043e-71	8.75214e-45	6.96413e-82	8.89575e-84	90.0963	1.5	15	-0	0.2	0.5	32.9315	5.36871e-31	3.7272e-71	0.00205408	0.07	0.8	0	2721.74	-0	0.263521	0.070608	2505.05	1.88649e-28	-1.91727e-28	
192000	0.143848	-2.21916e-69	-1.92497e-45	-7.01634e-80	-8.96244e-82	90.0963	1.5	15	1.4822e-323	0.2	0.5	32.9318	1.27105e-28	3.9759e-69	0.00205408	0.07	0.8	0	2721.76	1.28457e-322	0.263521	0.0695555	2545.58	3.71059e-26	3.00169e-25	
198000	0.143849	-1.12788e-68	5.83622e-46	-3.21585e-79	-4.10782e-81	90.0963	1.5	15	1.03754e-322	0.2	0.5	32.9321	6.55831e-28	1.97272e-68	0.00205408	0.07	0.8	0	2721.77	6.47226e-322	0.263521	0.0685511	2585.48	1.66143e-25	-7.67849e-25	
