time	Wnt{default}	Complex_br_(Wnt/Frizzled)	Frizzled	Complex_br_(Frizzled/Wnt/_br_LRP5/6)	LRP5/6	Casein Kinase 1	Casein Kinase 2	ATP	ADP	Glycogen Synthase Kinase-3_Beta_	Diversin	Complex_br_(Ebi/Siah-1)	Complex_br_(Siah-1/Ebi)	FRAT	Complex_br_(Dishevelled/Beta-Arrestin/_br_Frodo)	Complex_br_(Axin/PP2A/_br_Adenomatous Polyposis Coli)	Complex_br_(Adenomatous Polyposis Coli/Axin/_br_Diversin/Casein Kinase 1/_br_Glycogen Synthase Kinase-3_Beta_/PP2A)	Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A)	Pygo	CBP	SWI/SNF	Bcl9	Wnt Target Genes	Complex_br_(TCF/Smad4)	"Wnt{""Cell Membrane""}"	"_Beta_-Catenin{""Plasma Membrane""}"	Complex_br_(Adenomatous Polyposis Coli/Axin/_br__Beta_-Catenin/PP2A)	Complex_br_(Adenomatous Polyposis Coli/Axin/_br_Diversin/_Beta_-Catenin/_br_PP2A)	Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A/_Beta_-Catenin/_br_Siah-1/Ebi)	_Beta_-Catenin{Nucleus}	Complex_br_(TCF/Smad4/_br__Beta_-Catenin)	Complex_br_(TCF/_Beta_-Catenin/_br_Smad4/Bcl9)	Complex_br_(Bcl9/_Beta_-Catenin/_br_TCF/Smad4/_br_Pygo)	Complex_br_(_Beta_-Catenin/TCF/_br_Smad4/Bcl9/_br_Pygo/SWI/_br_SNF)	Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Axin/PP2A/_br_Diversin/Casein Kinase 1)	Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Glycogen Synthase Kinase-3_Beta_/Axin/_br_PP2A/Diversin/_br_Casein Kinase 1)	Ubiquitin	_Beta_-Catenin_2	_Beta_-Catenin_3	Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Siah-1/Ebi/_br_Axin/PP2A)	Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Axin/PP2A)	Complex_br_(Dishevelled/Beta-Arrestin/_br_Frodo)_2	Complex_br_(Dishevelled/Beta-Arrestin/_br_Frodo/Casein Kinase 2)	Complex_br_(Dishevelled/Casein Kinase 2/_br_Beta-Arrestin/Frodo/_br_FRAT)	_beta_TrCP	Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A/Diversin/_br_Casein Kinase 1/_Beta_-Catenin/_br__beta_TrCP/Glycogen Synthase Kinase-3_Beta_)	Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A/Diversin/_br_Casein Kinase 1/_Beta_-Catenin/_br__beta_TrCP/Glycogen Synthase Kinase-3_Beta_)_2	Complex_br_(_beta_TrCP/_Beta_-Catenin)	6 bromoindirubin 3'oxime	Complex_br_(Bcl9/Pygo/../Smad4)	nnamed: 5
400	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607307	2.31102	0.705492	0.294508	0.0858605	0.731011	1.7779599999999998	0.9254629999999999	2.62436	1.8777700000000002	2.1545099999999997	0.07453739999999999	0.9254629999999999	0.00460874	0.012824200000000003	0.0101279	0.00135142	1.9871599999999998	0.655235	1.44054	0.101727	0.354464	0.161949	0.296576	0.708016	1.34612	0.00325732	0.00551919	0.00269629	0.418628	3.79313	2.0911400000000003e-24	1.0743099999999999e-25	2.2288799999999998e-24	3.6920500000000004e-24	6.509680000000001e-24	1.37252	0.313345	0.289779	1.17925	0.8207459999999999	4.02163e-25	4.87898e-25	0.5	1.10326e-05	
440	1.24138	0.809357	0.681921	1.50872	1.49128	0.060734199999999995	2.3109900000000003	0.705503	0.29449699999999995	0.08586389999999999	0.731059	1.7779599999999998	0.9254629999999999	2.62435	1.8776599999999999	2.1545400000000003	0.07453739999999999	0.9254629999999999	0.00442628	0.0120179	0.00960452	0.00129787	1.98797	0.655211	1.44054	0.101728	0.354473	0.161964	0.296582	0.708025	1.34609	0.00312841	0.00517824	0.00241337	0.418584	3.79311	1.1159200000000002e-26	5.732909999999999e-28	1.18945e-26	1.97028e-26	3.47392e-26	1.37259	0.313359	0.28979099999999997	1.17926	0.820744	2.1461e-27	2.60361e-27	0.5	9.25253e-06	
480	1.24138	0.809357	0.681921	1.50872	1.49128	0.060735800000000006	2.31097	0.705507	0.294493	0.0858656	0.731083	1.77795	0.9254629999999999	2.62434	1.8776099999999998	2.15456	0.07453739999999999	0.9254629999999999	0.0042695	0.011336	0.00915463	0.00125187	1.9886599999999999	0.655195	1.44054	0.101728	0.354476	0.16197	0.296584	0.7080270000000001	1.34606	0.00301763	0.00488513	0.00218133	0.418563	3.7931	5.956229999999999e-29	3.05995e-30	6.3488e-29	1.05165e-28	1.85423e-28	1.37263	0.313366	0.289796	1.17926	0.820743	1.1454799999999999e-29	1.38968e-29	0.5	7.8873e-06	
520	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607366	2.31097	0.7055100000000001	0.29449000000000003	0.0858663	0.7310949999999999	1.77795	0.9254629999999999	2.62433	1.87758	2.15457	0.07453739999999999	0.9254629999999999	0.00413267	0.0107506	0.00876271	0.00121173	1.9892400000000001	0.6551819999999999	1.44054	0.101728	0.354477	0.161973	0.296585	0.708026	1.3460299999999998	0.00292094	0.00463004	0.00198786	0.41855200000000004	3.7931	3.18044e-31	1.63392e-32	3.39007e-31	5.615509999999999e-31	9.90106e-31	1.37265	0.313369	0.289799	1.17926	0.820742	6.116519999999999e-32	7.42046e-32	0.5	6.815760000000001e-06	
560	1.24138	0.809357	0.681921	1.50872	1.49128	0.060737	2.3109599999999997	0.705511	0.294489	0.08586669999999999	0.731101	1.77795	0.9254629999999999	2.62433	1.8775700000000002	2.1545799999999997	0.07453739999999999	0.9254629999999999	0.00401171	0.0102417	0.00841742	0.00117625	1.98975	0.655173	1.44054	0.101728	0.354476	0.161974	0.296584	0.708023	1.3459999999999999	0.00283546	0.00440571	0.00182427	0.418547	3.7931	1.69962e-33	8.731620000000001e-35	1.81165e-33	3.0009200000000002e-33	5.2911099999999995e-33	1.37266	0.31337	0.2898	1.17926	0.820742	3.2686599999999993e-34	3.96548e-34	0.5	5.958210000000001e-06	
600	1.24138	0.809357	0.681921	1.50872	1.49128	0.060737099999999995	2.3109599999999997	0.705511	0.294489	0.0858669	0.731105	1.77795	0.9254629999999999	2.62433	1.87756	2.1545799999999997	0.07453739999999999	0.9254629999999999	0.00390364	0.00979456	0.00811028	0.00114455	1.9902	0.6551640000000001	1.44054	0.101727	0.354475	0.161974	0.296584	0.70802	1.34598	0.00275909	0.00420664	0.00168428	0.41854399999999997	3.7931	9.101349999999999e-36	4.67571e-37	9.7012e-36	1.60696e-35	2.83334e-35	1.37266	0.313371	0.28980100000000003	1.17926	0.820742	1.7503400000000002e-36	2.1234799999999997e-36	0.5	5.26039e-06	
640	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607372	2.3109599999999997	0.705512	0.294488	0.085867	0.731107	1.77795	0.9254629999999999	2.62433	1.87756	2.1545900000000002	0.07453739999999999	0.9254629999999999	0.00380623	0.00939806	0.00783483	0.00111598	1.9906	0.655157	1.44054	0.101727	0.35447399999999996	0.161974	0.296583	0.708017	1.34596	0.00269025	0.0040286	0.00156323	0.418542	3.7931	4.8822e-38	2.5081699999999997e-39	5.20395e-38	8.62013e-38	1.5198699999999997e-37	1.37266	0.313372	0.28980100000000003	1.17926	0.820742	9.389259999999999e-39	1.1390899999999999e-38	0.5	4.684330000000001e-06	
680	1.24138	0.809357	0.681921	1.50872	1.49128	0.06073730000000001	2.3109599999999997	0.705512	0.294488	0.085867	0.731108	1.77795	0.9254629999999999	2.62433	1.87756	2.1545900000000002	0.07453739999999999	0.9254629999999999	0.00371777	0.00904362	0.00758602	0.00109003	1.99095	0.65515	1.44054	0.101726	0.354473	0.161974	0.296582	0.708014	1.34594	0.00262773	0.00386825	0.0014575999999999999	0.418541	3.7931	2.63013e-40	1.3512000000000003e-41	2.8034599999999997e-40	4.6438199999999995e-40	8.187819999999999e-40	1.37266	0.313372	0.28980100000000003	1.17926	0.820742	5.05818e-41	6.1365e-41	0.5	4.20278e-06	
720	1.24138	0.809357	0.681921	1.50872	1.49128	0.06073730000000001	2.3109599999999997	0.705512	0.294488	0.0858671	0.731109	1.7779599999999998	0.9254629999999999	2.62433	1.87756	2.1545900000000002	0.07453739999999999	0.9254629999999999	0.0036368999999999998	0.00872452	0.00735986	0.00106632	1.99127	0.655144	1.44054	0.101726	0.35447199999999995	0.161974	0.296582	0.708011	1.34592	0.00257058	0.00372296	0.00136466	0.41853999999999997	3.7931	1.4227e-42	7.308929999999999e-44	1.51645e-42	2.5119400000000002e-42	4.42896e-42	1.37266	0.313372	0.28980100000000003	1.17926	0.820742	2.7360799999999997e-43	3.3193699999999998e-43	0.5	3.79577e-06	
760	1.24138	0.809357	0.681921	1.50872	1.49128	0.060737400000000004	2.3109599999999997	0.705512	0.294488	0.0858671	0.73111	1.7779599999999998	0.9254629999999999	2.62433	1.87756	2.1546	0.07453739999999999	0.9254629999999999	0.00356255	0.00843546	0.00715314	0.00104452	1.9915599999999998	0.655138	1.44054	0.101725	0.354471	0.161974	0.296581	0.708008	1.34591	0.00251803	0.00359059	0.00128232	0.41853999999999997	3.7931	7.71895e-45	3.965519999999999e-46	8.22759e-45	1.36287e-44	2.4029599999999995e-44	1.37266	0.313372	0.28980100000000003	1.17926	0.820742	1.4844799999999998e-45	1.80095e-45	0.5	3.44838e-06	
