# Time	[CRP]	[PC]	[PC/CRP]	[C4]	[C4a]	[C4b]	[C2]	[C1]	[PC/CRP/C1]	[C2a]	[C2b]	[C4b/C2a]	[C3]	[C3a]	[C3b]	[dC3b]	[MASP]	[dC4b/C2a]	[GlcNac]	[GlcNac/LF]	[LF]	[GlcNac/LF/MASP]	[PC/CRP/LF]	[PC/CRP/LF/MASP]	[GlcNac/LF/CRP]	[GlcNac/LF/CRP/C1]	[C4BP]	[C4BP/PC/CRP]	[C4BP/GlcNac/LF/CRP]	[iC4b/C2a]	[C4BP/C4b]	[C4b/C2a/C4BP]	[dC4b/C2a/C4BP]	[PC/CRP/LF/C1]	[C4BP/PC/CRP/LF]	[GlcNac/LF/CRP/MASP]	[PC/CRP/LF/C1/MASP]	[GlcNac/LF/C1/MASP]	[GlcNac/HF]	[HF]	[GlcNac/HF/MASP]	[X]	Values[mC3]	
1680	1.96722	1.99137e-06	9.94755e-06	753.576	16.424	0.0711695	294.71	2469.99	0.0129484	5.20305	15.2902	0.00161806	4647.42	2.58309	0.00899764	0.00373518	6.79998	0.00533447	3.81815e-32	1.36757e-30	20	3.42438e-30	1.05089e-08	1.00966e-08	1.16231e-34	9.95789e-32	141.205	0.0197978	2.29415e-31	9.42429	6.26567	0.142409	0.469198	6.15143e-06	0	2.88761e-34	1.53095e-05	0	2.70718e-33	2.97447e-30	6.87927e-33	0.0005	0.00373518	
1700	1.96722	1.99752e-06	9.97838e-06	753.26	16.74	0.0719083	294.422	2469.99	0.0130268	5.19639	15.5784	0.00164441	4647.33	2.67272	0.0091444	0.00379615	6.79998	0.00548884	3.80729e-32	1.36406e-30	20	3.42448e-30	1.05784e-08	1.02203e-08	1.17445e-34	1.00241e-31	140.21	0.019719	2.3047e-31	9.70594	6.28614	0.14371	0.47939	6.23189e-06	0	2.91815e-34	1.55106e-05	0	2.37333e-33	2.97443e-30	7.38965e-33	0.0005	0.00379615	
1720	1.96722	2.00371e-06	1.00094e-05	752.942	17.0579	0.0726475	294.132	2469.99	0.0131047	5.18878	15.868	0.00167071	4647.24	2.7638	0.00929085	0.00385701	6.79998	0.00564392	3.80369e-32	1.3626e-30	20	3.42236e-30	1.06482e-08	1.03445e-08	1.18404e-34	1.04816e-31	139.222	0.0196408	2.30505e-31	9.99011	6.30605	0.144983	0.489479	6.3126e-06	0	2.93698e-34	1.57123e-05	0	2.12512e-33	2.97404e-30	8.09955e-33	0.0005	0.00385701	
1740	1.96722	2.00995e-06	1.00406e-05	752.622	17.3777	0.0733876	293.841	2469.99	0.013182	5.18028	16.1592	0.00169697	4647.14	2.85632	0.00943707	0.00391776	6.79998	0.00579969	3.80699e-32	1.36374e-30	20	3.41759e-30	1.07183e-08	1.0469e-08	1.20079e-34	1.08027e-31	138.242	0.0195632	2.32009e-31	10.2768	6.32547	0.146227	0.499463	6.39356e-06	0	2.98156e-34	1.59146e-05	0	2.86783e-33	2.97406e-30	7.35282e-33	0.0005	0.00391776	
1760	1.96722	2.01622e-06	1.0072e-05	752.301	17.6994	0.0741288	293.548	2469.99	0.0132588	5.17093	16.4518	0.00172321	4647.05	2.95027	0.0095831	0.00397843	6.79998	0.00595609	3.80703e-32	1.36353e-30	20	3.41415e-30	1.07886e-08	1.0594e-08	1.21854e-34	1.11055e-31	137.269	0.0194861	2.33783e-31	10.5658	6.34441	0.147444	0.509337	6.47478e-06	0	3.02747e-34	1.61176e-05	0	2.86744e-33	2.97427e-30	7.1822e-33	0.0005	0.00397843	
1780	1.96722	2.02252e-06	1.01036e-05	751.977	18.0229	0.0748718	293.254	2469.99	0.013335	5.16075	16.7458	0.00174942	4646.95	3.04567	0.009729	0.00403905	6.79998	0.00611308	3.81906e-32	1.36726e-30	20	3.40658e-30	1.08593e-08	1.07193e-08	1.24082e-34	1.12459e-31	136.304	0.0194095	2.36191e-31	10.8573	6.36294	0.148635	0.5191	6.55624e-06	0	3.08293e-34	1.63212e-05	0	2.67746e-33	2.97501e-30	6.66117e-33	0.0005	0.00403905	
1800	1.96722	2.02887e-06	1.01354e-05	751.652	18.3481	0.0756167	292.959	2469.99	0.0134108	5.14979	17.0412	0.00177562	4646.86	3.1425	0.00987482	0.00409964	6.79998	0.00627062	3.80328e-32	1.36215e-30	20	3.40839e-30	1.09302e-08	1.0845e-08	1.2672e-34	1.11281e-31	135.345	0.0193335	2.39663e-31	11.151	6.38108	0.149802	0.528748	6.63797e-06	0	3.15457e-34	1.65255e-05	0	2.14948e-33	2.97557e-30	6.55588e-33	0.0005	0.00409964	
1820	1.96722	2.03525e-06	1.01674e-05	751.325	18.6752	0.0763642	292.662	2469.99	0.013486	5.13808	17.3381	0.00180182	4646.76	3.24078	0.0100206	0.00416022	6.79998	0.00642868	3.79754e-32	1.36023e-30	20	3.40622e-30	1.10014e-08	1.09712e-08	1.28549e-34	1.13093e-31	134.393	0.0192579	2.41721e-31	11.447	6.39886	0.150945	0.538279	6.71995e-06	0	3.19799e-34	1.67303e-05	0	2.47968e-33	2.97547e-30	6.31813e-33	0.0005	0.00416022	
1840	1.96722	2.04167e-06	1.01995e-05	750.996	19.0041	0.0771145	292.364	2469.99	0.0135607	5.12564	17.6363	0.00182802	4646.66	3.34048	0.0101664	0.0042208	6.79998	0.00658723	3.79551e-32	1.3594e-30	20	3.40335e-30	1.10729e-08	1.10977e-08	1.30323e-34	1.15318e-31	133.449	0.0191829	2.43292e-31	11.7453	6.41633	0.152066	0.547692	6.80219e-06	0	3.23981e-34	1.69359e-05	0	2.59127e-33	2.97535e-30	6.35729e-33	0.0005	0.0042208	
1860	1.96722	2.04812e-06	1.02318e-05	750.665	19.3348	0.077868	292.064	2469.99	0.013635	5.11252	17.9359	0.00185425	4646.56	3.44163	0.0103123	0.00428141	6.79998	0.00674623	3.79276e-32	1.35841e-30	20	3.40075e-30	1.11446e-08	1.12247e-08	1.32066e-34	1.17552e-31	132.511	0.0191083	2.44835e-31	12.0457	6.43351	0.153165	0.556985	6.88469e-06	0	3.28314e-34	1.71421e-05	0	2.58531e-33	2.97526e-30	6.39734e-33	0.0005	0.00428141	
1880	1.96722	2.0546e-06	1.02642e-05	750.333	19.6672	0.0786251	291.763	2469.99	0.0137089	5.09874	18.2369	0.00188049	4646.46	3.54422	0.0104584	0.00434207	6.79998	0.00690566	3.78995e-32	1.3574e-30	20	3.39812e-30	1.12166e-08	1.1352e-08	1.33818e-34	1.19801e-31	131.58	0.0190341	2.46357e-31	12.3483	6.45044	0.154243	0.566155	6.96745e-06	0	3.32683e-34	1.73489e-05	0	2.60324e-33	2.97519e-30	6.49243e-33	0.0005	0.00434207	
1900	1.96722	2.06112e-06	1.02968e-05	749.999	20.0014	0.0793861	291.461	2469.99	0.0137823	5.08432	18.5392	0.00190677	4646.35	3.64824	0.0106045	0.0044028	6.79998	0.00706549	3.78709e-32	1.35637e-30	20	3.39543e-30	1.12889e-08	1.14798e-08	1.35576e-34	1.22065e-31	130.656	0.0189603	2.47862e-31	12.6529	6.46713	0.155301	0.575204	7.05048e-06	0	3.37074e-34	1.75564e-05	0	2.63408e-33	2.97514e-30	6.61357e-33	0.0005	0.0044028	
1920	1.96722	2.06767e-06	1.03296e-05	749.663	20.3374	0.0801513	291.157	2469.99	0.0138553	5.06928	18.8429	0.00193309	4646.25	3.75371	0.0107509	0.00446361	6.79998	0.0072257	3.78472e-32	1.35552e-30	20	3.3933e-30	1.13615e-08	1.1608e-08	1.37344e-34	1.24342e-31	129.738	0.018887	2.49349e-31	12.9596	6.48363	0.15634	0.584128	7.13377e-06	0	3.41488e-34	1.77645e-05	0	2.67195e-33	2.97513e-30	6.68885e-33	0.0005	0.00446361	
1940	1.96722	2.07425e-06	1.03625e-05	749.325	20.6751	0.0809212	290.852	2469.99	0.0139279	5.05366	19.1479	0.00195945	4646.14	3.86062	0.0108975	0.00452453	6.79998	0.00738627	3.78188e-32	1.35451e-30	20	3.39102e-30	1.14343e-08	1.17366e-08	1.3912e-34	1.26635e-31	128.827	0.0188141	2.50819e-31	13.2684	6.49995	0.157361	0.592929	7.21732e-06	0	3.45922e-34	1.79733e-05	0	2.68269e-33	2.97514e-30	6.74521e-33	0.0005	0.00452453	
1960	1.96722	2.08087e-06	1.03956e-05	748.986	21.0145	0.081696	290.546	2469.99	0.0140001	5.03747	19.4541	0.00198587	4646.03	3.96898	0.0110444	0.00458556	6.79998	0.00754718	3.7796e-32	1.3537e-30	20	3.38909e-30	1.15074e-08	1.18656e-08	1.40906e-34	1.28942e-31	127.922	0.0187416	2.52272e-31	13.5791	6.51612	0.158364	0.601605	7.30114e-06	0	3.50379e-34	1.81828e-05	0	2.70872e-33	2.97518e-30	6.77298e-33	0.0005	0.00458556	
1980	1.96722	2.08751e-06	1.04288e-05	748.644	21.3556	0.082476	290.238	2469.99	0.0140719	5.02074	19.7617	0.00201235	4645.92	4.07879	0.0111917	0.00464672	6.79998	0.00770842	3.77643e-32	1.35255e-30	20	3.38584e-30	1.15807e-08	1.1995e-08	1.42699e-34	1.31263e-31	127.024	0.0186694	2.53708e-31	13.8918	6.53216	0.15935	0.610157	7.38523e-06	0	3.54856e-34	1.8393e-05	0	2.66673e-33	2.9752e-30	6.68226e-33	0.0005	0.00464672	
2000	1.96722	2.09418e-06	1.04622e-05	748.302	21.6984	0.0832616	289.929	2469.99	0.0141434	5.00348	20.0706	0.0020389	4645.81	4.19006	0.0113393	0.00470803	6.79998	0.00786997	3.7729e-32	1.3513e-30	20	3.38287e-30	1.16543e-08	1.21248e-08	1.445e-34	1.33599e-31	126.133	0.0185976	2.55126e-31	14.2064	6.54809	0.16032	0.618583	7.46959e-06	0	3.59354e-34	1.86038e-05	0	2.65377e-33	2.9752e-30	6.63464e-33	0.0005	0.00470803	
2020	1.96722	2.10088e-06	1.04957e-05	747.957	22.043	0.0840531	289.619	2469.99	0.0142145	4.98571	20.3807	0.00206552	4645.7	4.30278	0.0114873	0.00476951	6.79998	0.00803182	3.7695e-32	1.35007e-30	20	3.37965e-30	1.17281e-08	1.22551e-08	1.4631e-34	1.3595e-31	125.247	0.0185261	2.56526e-31	14.523	6.56394	0.161274	0.626886	7.55422e-06	0	3.63872e-34	1.88153e-05	0	2.64026e-33	2.97519e-30	6.57237e-33	0.0005	0.00476951	
2040	1.96722	2.10761e-06	1.05293e-05	747.611	22.3892	0.0848508	289.308	2469.99	0.0142853	4.96746	20.692	0.00209222	4645.58	4.41696	0.0116357	0.00483116	6.79998	0.00819397	3.76604e-32	1.34884e-30	20	3.37672e-30	1.18023e-08	1.23858e-08	1.48128e-34	1.38314e-31	124.368	0.018455	2.57909e-31	14.8413	6.57972	0.162213	0.635064	7.63912e-06	0	3.68411e-34	1.90275e-05	0	2.62459e-33	2.97516e-30	6.53468e-33	0.0005	0.00483116	
2060	1.96722	2.11436e-06	1.05631e-05	747.263	22.7371	0.0856549	288.995	2469.99	0.0143558	4.94873	21.0047	0.002119	4645.47	4.53261	0.0117845	0.004893	6.79998	0.0083564	3.76288e-32	1.3477e-30	20	3.37377e-30	1.18766e-08	1.25169e-08	1.49899e-34	1.3858e-31	123.495	0.0183842	2.59257e-31	15.1615	6.59546	0.163137	0.643118	7.72429e-06	0	3.72914e-34	1.92403e-05	0	2.64355e-33	2.97512e-30	6.64287e-33	0.0005	0.004893	
2080	1.96722	2.12114e-06	1.0597e-05	746.913	23.0866	0.0864658	288.681	2469.99	0.0144259	4.92954	21.3185	0.00214588	4645.35	4.64973	0.0119339	0.00495505	6.79998	0.00851911	3.76023e-32	1.34675e-30	20	3.3714e-30	1.19512e-08	1.26484e-08	1.51614e-34	1.39423e-31	122.628	0.0183137	2.60541e-31	15.4835	6.61117	0.164048	0.651049	7.80973e-06	0	3.7739e-34	1.94539e-05	0	2.69545e-33	2.97513e-30	6.78774e-33	0.0005	0.00495505	
2100	1.96722	2.12794e-06	1.0631e-05	746.562	23.4379	0.0872838	288.366	2469.99	0.0144958	4.90992	21.6336	0.00217285	4645.23	4.76832	0.0120838	0.00501731	6.79998	0.00868209	3.75715e-32	1.34565e-30	20	3.36879e-30	1.20261e-08	1.27803e-08	1.53501e-34	1.4142e-31	121.767	0.0182435	2.61788e-31	15.8073	6.62687	0.164945	0.658858	7.89545e-06	0	3.8185e-34	1.96681e-05	0	2.7021e-33	2.97516e-30	6.78715e-33	0.0005	0.00501731	
2120	1.96722	2.13477e-06	1.06651e-05	746.209	23.7907	0.0881092	288.05	2469.99	0.0145654	4.88986	21.9499	0.00219992	4645.11	4.8884	0.0122342	0.0050798	6.79998	0.00884534	3.75395e-32	1.3445e-30	20	3.3658e-30	1.21012e-08	1.29127e-08	1.55311e-34	1.43028e-31	120.912	0.0181735	2.63013e-31	16.1328	6.64258	0.165828	0.666545	7.98145e-06	0	3.86418e-34	1.9883e-05	0	2.73518e-33	2.97522e-30	6.88254e-33	0.0005	0.0050798	
2140	1.96722	2.14163e-06	1.06994e-05	745.855	24.1453	0.0889422	287.733	2469.99	0.0146347	4.86939	22.2674	0.0022271	4644.99	5.00996	0.0123852	0.00514252	6.79998	0.00900886	3.75072e-32	1.34335e-30	20	3.3629e-30	1.21765e-08	1.30455e-08	1.57145e-34	1.47074e-31	120.064	0.0181039	2.64225e-31	16.4601	6.6583	0.166699	0.674112	8.06772e-06	0	3.90937e-34	2.00986e-05	0	2.71633e-33	2.97529e-30	6.84312e-33	0.0005	0.00514252	
