6620t02ime	AcanmRNA	ADAMTS5	AGEprod	Alk1	Alk1_Alk5	Alk5	Alk5_dimer	Bax	Bax_Bcl2	Bax_Bcl2_Beclin	Bax_Bcl2_Beclin_I	Bcl2	Bcl2_Beclin	Bcl2_Beclin_I	Beclin	Beclin_I	Caspase_A	Caspase_I	Col2mRNA	DamP	IkB	IkB_NFkB	IL1	Lys_A	Lys_I	MMP13	MMP2	NFkB	NFkB_P	p38	p38_P	proMMP13	proMMP2	RAGE	ROS	Runx2_A	Runx2_I	Smad1	Smad1_P	Smad1_P_Smad4	Smad2	Smad2_P	Smad2_P_Smad4	Smad4	Smad7	SOD	Sox9	Sox9_A	Sox9mRNA	Tgfb_A	Tgfb_Alk1_Alk5	Tgfb_Alk1_Alk5_Smad7	Tgfb_Alk5_dimer	Tgfb_Alk5_dimer_Smad7	AggFrag	Aggrecan	Aggrecan_Collagen2	ColFrag	Collagen2	Integrin	Tgfb_I	IntegrinCount	nnamed: 6
200	3.3301499999999996e-10	1.94868e-05	0.0002	395.767	104.23299999999999	48.4426	173.66	0.0158491	94.2009	5.78328	4.0305e-07	6.3008	39.1117	5.654590000000001e-07	65.105	6.3721e-06	0.00739738	99.9926	4.34071e-09	0.334467	0.00017239099999999998	99.9611	0.0007919839999999999	39.9869	360.01300000000003	4.81067e-09	7.522100000000001e-13	0.035868199999999996	0.00305685	98.3503	1.64967	1.24879e-06	1.95242e-07	3.75777e-05	1.90572	7.72771e-05	99.9999	600.0	2.0111300000000002e-05	1.77819e-05	600.0	5.4611800000000005e-05	9.69384e-05	600.0	3.61066e-08	1.63784	99.9906	2.0262099999999996e-06	9.80397	0.00024350900000000002	5.01701e-05	2.35242e-11	0.00011504600000000001	2.1594799999999997e-15	7.51171e-10	9.95141e-15	1000	6.289100000000001e-25	7.51186e-10	7.61301e-05	200.0	8e-05	
220	5.66062e-10	2.85723e-05	0.00022	397.35	102.65	47.9052	174.72	0.0179224	94.2647	5.71742	4.55778e-07	5.57109	39.4857	6.3314e-07	64.7969	7.00086e-06	0.00794405	99.9921	6.686370000000001e-09	0.361688	0.000224464	99.9573	0.00103555	39.9854	360.015	7.86432e-09	1.2296e-12	0.03907530000000001	0.00363976	98.3103	1.6896900000000001	1.8316499999999999e-06	2.86336e-07	4.76212e-05	1.8990099999999999	0.00011944	99.9999	600.0	2.63339e-05	2.4622600000000004e-05	600.0	7.15461e-05	0.000134	600.0	5.4556699999999994e-08	1.60554	99.9886	3.0981400000000003e-06	9.78458	0.000268871	6.07672e-05	4.78491e-11	0.000141824	4.47613e-15	1.22772e-09	1.8778099999999998e-14	1000	1.86919e-24	1.22774e-09	8.33327e-05	200.0	8.8e-05	
240	9.14325e-10	4.02504e-05	0.00023999999999999998	398.76300000000003	101.23700000000001	47.4295	175.66400000000002	0.020125900000000002	94.3141	5.6658	5.09027e-07	4.960380000000001	39.7867	7.00186e-07	64.5474	7.63315e-06	0.00842234	99.9916	9.87979e-09	0.387944	0.00028262299999999997	99.9535	0.00131229	39.9838	360.01599999999996	1.22464e-08	1.9145900000000002e-12	0.042247	0.00423972	98.2788	1.72117	2.58125e-06	4.03458e-07	5.90341e-05	1.89263	0.000176778	99.9998	600.0	3.36222e-05	3.29791e-05	600.0	9.14595e-05	0.0001794	600.0	7.90814e-08	1.5739	99.9865	4.54406e-06	9.76523	0.000293983	7.22398e-05	9.07524e-11	0.00017140799999999998	8.64422e-15	1.91135e-09	3.33605e-14	1000	4.9977700000000004e-24	1.91139e-09	9.046370000000001e-05	199.99900000000002	9.6e-05	
260	1.4155899999999999e-09	5.48411e-05	0.00026000000000000003	400.025	99.9753	47.0065	176.50599999999997	0.022438	94.3523	5.62524	5.62718e-07	4.448580000000001	40.0274	7.66671e-07	64.3474	8.2687e-06	0.00883778	99.9912	1.41036e-08	0.41326999999999997	0.000345969	99.9498	0.00162035	39.9822	360.01800000000003	1.8311200000000002e-08	2.86244e-12	0.0453888	0.00485061	98.2543	1.74573	3.5183999999999996e-06	5.498360000000001e-07	7.18168e-05	1.8865299999999998	0.000252453	99.9997	600.0	4.20417e-05	4.29821e-05	600.0	0.00011454799999999999	0.000233918	600.0	1.10756e-07	1.54292	99.9841	6.438909999999999e-06	9.74592	0.00031884400000000004	8.45673e-05	1.62442e-10	0.000203782	1.5741399999999998e-14	2.85715e-09	5.6369500000000005e-14	1000	1.2231199999999998e-23	2.8572199999999998e-09	9.75237e-05	199.99900000000002	0.00010400000000000001	
280	2.11479e-09	7.26439e-05	0.00028	401.151	98.8487	46.6292	177.25799999999998	0.0248317	94.3818	5.59334	6.16791e-07	4.01917	40.2178	8.32732e-07	64.1888	8.90717e-06	0.00919635	99.9908	1.95573e-08	0.4377	0.000413481	99.946	0.00195756	39.9806	360.019	2.64533e-08	4.1347099999999995e-12	0.048505099999999995	0.00546747	98.2353	1.7647099999999998	4.6626800000000006e-06	7.28498e-07	8.595870000000001e-05	1.8807099999999999	0.00034988699999999995	99.9997	600.0	5.1657e-05	5.47587e-05	600.0	0.00014100200000000002	0.00029830599999999997	600.0	1.5069399999999999e-07	1.51257	99.9816	8.86294e-06	9.72664	0.000343459	9.7732e-05	2.76944e-10	0.000238927	2.7281e-14	4.12641e-09	9.130199999999999e-14	1000	2.7769800000000003e-23	4.1265100000000005e-09	0.000104513	199.99900000000002	0.00011200000000000001	
300	3.0644299999999995e-09	9.3935e-05	0.0003	402.158	97.8418	46.2923	177.929	0.027276099999999998	94.4044	5.56832	6.711929999999999e-07	3.6584800000000004	40.3665	8.98541e-07	64.0652	9.54817e-06	0.00950412	99.9905	2.64567e-08	0.461265	0.00048407699999999997	99.9423	0.00232151	39.979	360.02099999999996	3.71052e-08	5.79875e-12	0.0515992	0.00608636	98.2208	1.77918	6.032240000000001e-06	9.422369999999999e-07	0.000101441	1.87515	0.00047275	99.9995	600.0	6.25314e-05	6.843229999999999e-05	599.999	0.000171001	0.00037329199999999995	600.0	2.00042e-07	1.48285	99.9789	1.19013e-05	9.707410000000001	0.000367828	0.00011171899999999999	4.5296900000000003e-10	0.00027682200000000003	4.5322800000000004e-14	5.78617e-09	1.42629e-13	1000	5.91167e-23	5.786319999999999e-09	0.00011143399999999999	199.99900000000002	0.00011999999999999999	
320	4.3250900000000004e-09	0.000118966	0.00032	403.059	96.9414	45.9912	178.53	0.029737700000000002	94.4215	5.548780000000001	7.25876e-07	3.35521	40.4803	9.64296e-07	63.9709	1.01913e-05	0.00976697	99.9902	3.50336e-08	0.48399899999999996	0.000556659	99.9386	0.00270969	39.9774	360.023	5.0734e-08	7.92725e-12	0.05467380000000001	0.00670421	98.21	1.7900200000000002	7.64375e-06	1.1936e-06	0.00011823700000000001	1.86982	0.000624956	99.9994	600.0	7.47271e-05	8.41232e-05	599.999	0.000204723	0.00045958	599.999	2.59965e-07	1.45374	99.976	1.5643699999999997e-05	9.68822	0.000391956	0.000126514	7.148489999999999e-10	0.000317445	7.25965e-14	7.90875e-09	2.1595100000000003e-13	1000	1.19016e-22	7.90896e-09	0.000118285	199.99900000000002	0.000128	
340	5.9657700000000006e-09	0.00014796200000000002	0.00033999999999999997	403.86400000000003	96.1358	45.7217	179.067	0.0321827	94.4341	5.53367	7.807980000000001e-07	3.09995	40.5651	1.0302e-06	63.9012	1.08362e-05	0.00999043	99.99	4.5535699999999995e-08	0.50593	0.000630158	99.935	0.00311958	39.9757	360.024	6.78385e-08	1.05977e-11	0.0577305	0.00731868	98.2021	1.79793	9.512360000000001e-06	1.4848900000000001e-06	0.000136317	1.8647200000000002	0.000810658	99.9992	600.0	8.83057e-05	0.000101949	599.999	0.000242334	0.000557849	599.999	3.3164700000000006e-07	1.42523	99.973	2.0184000000000002e-05	9.66906	0.00041584300000000005	0.000142107	1.09355e-09	0.000360772	1.1263800000000001e-13	1.05712e-08	3.1816399999999997e-13	1000	2.28194e-22	1.05715e-08	0.000125068	199.99900000000002	0.000136	
360	8.06424e-09	0.000181124	0.00036	404.585	95.4146	45.4805	179.548	0.0345784	94.4433	5.522130000000001	8.359210000000001e-07	2.8848700000000003	40.6257	1.09647e-06	63.8522	1.14824e-05	0.0101796	99.9898	5.8225499999999994e-08	0.527088	0.000703567	99.9313	0.0035486999999999997	39.9741	360.026	8.894639999999999e-08	1.38921e-11	0.06077080000000001	0.00792806	98.1965	1.8035	1.16517e-05	1.81815e-06	0.000155647	1.8598400000000002	0.00103424	99.999	600.0	0.000103328	0.000122026	599.999	0.000283997	0.000668753	599.999	4.16273e-07	1.39731	99.9697	2.56198e-05	9.649939999999999	0.00043949300000000006	0.000158486	1.62777e-09	0.000406779	1.69937e-13	1.3854999999999999e-08	4.57632e-13	1000	4.19105e-22	1.3855399999999999e-08	0.000131784	199.99900000000002	0.000144	
380	1.07074e-08	0.00021862799999999998	0.00037999999999999997	405.231	94.7686	45.2645	179.979	0.0368955	94.4496	5.51351	8.91208e-07	2.70345	40.6659	1.1633e-06	63.8205	1.21296e-05	0.010339200000000002	99.9897	7.33806e-08	0.5475	0.000775967	99.9277	0.00399468	39.9725	360.028	1.14611e-07	1.7896000000000002e-11	0.0637954	0.00853112	98.1928	1.80719	1.4074000000000001e-05	2.19519e-06	0.000176191	1.85515	0.00130032	99.9987	600.0	0.00011985299999999999	0.000144466	599.999	0.00032986699999999996	0.000792921	599.999	5.15034e-07	1.3699700000000001	99.9663	3.20521e-05	9.63086	0.000462907	0.00017564400000000003	2.36503e-09	0.00045543900000000003	2.50098e-13	1.78452e-08	6.44363e-13	1000	7.40914e-22	1.78457e-08	0.00013843299999999998	199.99900000000002	0.000152	
