# Time	[IkBat]	[IkBa]	[IkBan]	[IkBaIKK]	[IkBaNFkB]	[IkBaNFkBn]	[IkBaIKKNFkB]	[NFkB]	[IKK]	[NFkBn]	[IkBbIKK]	[IkBbIKKNFkB]	[IkBbNFkBn]	[IkBbNFkB]	[IkBbn]	[IkBb]	[IkBbt]	[IkBet]	[IkBe]	[IkBen]	[IkBeNFkB]	[IkBeNFkBn]	[IkBeIKKNFkB]	[IkBeIKK]	Values[Total_IkBalpha]	Values[Total_IkBbeta]	Values[Total_IkBeps]	
2720	0.0117534	0.0208488	0.0018057	6.09841e-05	0.0515774	0.000165356	0.000420893	3.26905e-05	0.000319736	0.00252781	2.84856e-06	0.000127532	3.87712e-05	0.0311672	0.000211723	0.00315025	0.00254286	0.00181429	0.00224484	0.000150872	0.0138494	2.76281e-05	6.52487e-05	2.75742e-06	0.0748792	0.0346983	0.0163408	
2800	0.011753	0.0208481	0.00180581	6.09872e-05	0.0515536	0.000165324	0.000420734	3.26842e-05	0.000319763	0.00252717	2.84883e-06	0.000127571	3.87642e-05	0.0311742	0.000211738	0.00315025	0.00254286	0.00181429	0.00224485	0.000150883	0.013867	2.76231e-05	6.53376e-05	2.7577e-06	0.0748545	0.0347054	0.0163585	
2880	0.0117526	0.0208475	0.00180591	6.09901e-05	0.0515319	0.000165295	0.000420589	3.26785e-05	0.000319788	0.00252659	2.84907e-06	0.000127607	3.87579e-05	0.0311804	0.000211753	0.00315026	0.00254286	0.00181429	0.00224486	0.000150894	0.0138831	2.76187e-05	6.54186e-05	2.75796e-06	0.0748322	0.0347117	0.0163746	
2960	0.0117523	0.0208469	0.00180599	6.09927e-05	0.0515123	0.000165268	0.000420458	3.26733e-05	0.00031981	0.00252606	2.84929e-06	0.000127639	3.87521e-05	0.0311861	0.000211765	0.00315026	0.00254286	0.00181429	0.00224487	0.000150903	0.0138977	2.76146e-05	6.54924e-05	2.7582e-06	0.0748118	0.0347174	0.0163893	
3040	0.011752	0.0208463	0.00180607	6.0995e-05	0.0514944	0.000165244	0.000420339	3.26686e-05	0.000319831	0.00252558	2.84949e-06	0.000127668	3.87469e-05	0.0311912	0.000211777	0.00315027	0.00254286	0.00181429	0.00224487	0.000150912	0.013911	2.76109e-05	6.55596e-05	2.75841e-06	0.0747934	0.0347225	0.0164027	
3120	0.0117517	0.0208459	0.00180615	6.09972e-05	0.0514782	0.000165222	0.00042023	3.26643e-05	0.000319849	0.00252514	2.84967e-06	0.000127695	3.87421e-05	0.0311958	0.000211788	0.00315027	0.00254286	0.00181429	0.00224488	0.00015092	0.0139232	2.76075e-05	6.56208e-05	2.75861e-06	0.0747766	0.0347271	0.0164149	
3200	0.0117514	0.0208454	0.00180621	6.09991e-05	0.0514634	0.000165202	0.000420131	3.26605e-05	0.000319866	0.00252474	2.84983e-06	0.000127718	3.87378e-05	0.0311999	0.000211798	0.00315028	0.00254286	0.00181429	0.00224488	0.000150927	0.0139342	2.76045e-05	6.56766e-05	2.75878e-06	0.0747614	0.0347313	0.0164261	
3280	0.0117512	0.020845	0.00180627	6.10009e-05	0.05145	0.000165184	0.000420042	3.26569e-05	0.000319881	0.00252438	2.84998e-06	0.00012774	3.87338e-05	0.0312036	0.000211806	0.00315028	0.00254286	0.00181429	0.00224489	0.000150933	0.0139443	2.76017e-05	6.57275e-05	2.75894e-06	0.0747476	0.034735	0.0164362	
3360	0.011751	0.0208447	0.00180633	6.10025e-05	0.0514379	0.000165167	0.000419961	3.26537e-05	0.000319895	0.00252406	2.85012e-06	0.000127759	3.87303e-05	0.0312069	0.000211814	0.00315028	0.00254286	0.00181429	0.00224489	0.000150939	0.0139535	2.75992e-05	6.57739e-05	2.75909e-06	0.074735	0.0347383	0.0164455	
3440	0.0117508	0.0208443	0.00180638	6.10039e-05	0.0514269	0.000165152	0.000419887	3.26508e-05	0.000319907	0.00252376	2.85024e-06	0.000127776	3.8727e-05	0.0312099	0.000211822	0.00315029	0.00254286	0.00181429	0.00224489	0.000150944	0.0139619	2.75969e-05	6.58161e-05	2.75922e-06	0.0747236	0.0347414	0.0164539	
3520	0.0117506	0.020844	0.00180642	6.10052e-05	0.0514168	0.000165139	0.00041982	3.26482e-05	0.000319919	0.00252349	2.85035e-06	0.000127792	3.87241e-05	0.0312126	0.000211828	0.00315029	0.00254286	0.00181429	0.0022449	0.000150949	0.0139695	2.75948e-05	6.58546e-05	2.75934e-06	0.0747133	0.0347441	0.0164616	
3600	0.0117505	0.0208438	0.00180646	6.10064e-05	0.0514077	0.000165127	0.000419759	3.26458e-05	0.000319929	0.00252324	2.85045e-06	0.000127806	3.87214e-05	0.031215	0.000211834	0.00315029	0.00254286	0.00181429	0.0022449	0.000150953	0.0139765	2.7593e-05	6.58897e-05	2.75945e-06	0.0747039	0.0347465	0.0164686	
3680	0.0117503	0.0208435	0.0018065	6.10075e-05	0.0513995	0.000165115	0.000419704	3.26436e-05	0.000319939	0.00252302	2.85055e-06	0.000127818	3.8719e-05	0.0312171	0.00021184	0.00315029	0.00254286	0.00181429	0.0022449	0.000150957	0.0139828	2.75913e-05	6.59217e-05	2.75955e-06	0.0746954	0.0347487	0.016475	
3760	0.0117502	0.0208433	0.00180653	6.10085e-05	0.051392	0.000165105	0.000419654	3.26417e-05	0.000319947	0.00252282	2.85063e-06	0.00012783	3.87168e-05	0.0312191	0.000211845	0.00315029	0.00254286	0.00181429	0.00224491	0.000150961	0.0139886	2.75897e-05	6.59509e-05	2.75964e-06	0.0746876	0.0347506	0.0164808	
3840	0.0117501	0.0208431	0.00180656	6.10094e-05	0.0513852	0.000165096	0.000419608	3.26399e-05	0.000319955	0.00252264	2.8507e-06	0.00012784	3.87148e-05	0.0312208	0.000211849	0.0031503	0.00254286	0.00181429	0.00224491	0.000150964	0.0139939	2.75883e-05	6.59774e-05	2.75972e-06	0.0746806	0.0347523	0.0164861	
3920	0.01175	0.0208429	0.00180659	6.10102e-05	0.051379	0.000165088	0.000419567	3.26383e-05	0.000319962	0.00252247	2.85077e-06	0.000127849	3.8713e-05	0.0312223	0.000211853	0.0031503	0.00254286	0.00181429	0.00224491	0.000150967	0.0139987	2.7587e-05	6.60017e-05	2.7598e-06	0.0746742	0.0347539	0.0164909	
4000	0.0117499	0.0208428	0.00180662	6.10109e-05	0.0513734	0.00016508	0.000419529	3.26368e-05	0.000319968	0.00252232	2.85083e-06	0.000127857	3.87114e-05	0.0312237	0.000211857	0.0031503	0.00254286	0.00181429	0.00224491	0.00015097	0.0140031	2.75859e-05	6.60238e-05	2.75986e-06	0.0746684	0.0347553	0.0164954	
