# Time	[Glc(int)]	[ATP]	[Glu6P]	[ADP]	[Fru6-P]	[Fru1,6-P2]	[AMP]	[glycerone phosphate]	[Gra3P]	[NAD]	[Gri2,3P2]	[NADH]	[Gri3P]	[Gri2P]	[phosphoenolpyruvate]	[pyruvate]	[acetaldehyde]	
0.54	0.0596008	1.61746	0.328992	1.69827	0.0692133	0.665364	0.784268	0.455813	0.020508	1.51072	0.000119994	0.0792793	0.257682	0.0365176	0.0243659	1.35823	0.13939	
0.56	0.0619321	1.54233	0.311967	1.71625	0.0649438	0.636438	0.841424	0.445995	0.0200663	1.50988	0.000111001	0.0801164	0.248817	0.0352281	0.0234574	1.34292	0.136467	
0.58	0.0642028	1.47558	0.298346	1.72955	0.061537	0.613077	0.894872	0.437826	0.0196987	1.50907	0.000103747	0.080927	0.241519	0.0341675	0.0227114	1.32973	0.133868	
0.6	0.0663678	1.41712	0.287452	1.73901	0.0588193	0.594228	0.943866	0.431068	0.0193947	1.50832	9.79024e-05	0.0816802	0.235546	0.0333	0.0221023	1.31852	0.13161	
0.62	0.0683924	1.36653	0.278726	1.74546	0.0566486	0.579001	0.988011	0.425495	0.019144	1.50764	9.31901e-05	0.0823569	0.23067	0.0325924	0.0216064	1.30908	0.129682	
0.64	0.0702532	1.32316	0.271719	1.74963	0.0549104	0.566664	1.02721	0.420904	0.0189374	1.50705	8.93835e-05	0.0829494	0.226692	0.0320155	0.021203	1.30119	0.128059	
0.66	0.0719379	1.28624	0.266076	1.75215	0.0535141	0.556636	1.06161	0.417119	0.0187671	1.50654	8.62999e-05	0.0834586	0.223444	0.0315447	0.0208745	1.29462	0.126705	
0.68	0.0734434	1.25498	0.261514	1.75353	0.0523884	0.548451	1.0915	0.413994	0.0186265	1.50611	8.37941e-05	0.0838904	0.220786	0.0311597	0.0206067	1.28916	0.125581	
0.7	0.0747742	1.22862	0.257814	1.75412	0.0514773	0.541747	1.11727	0.411411	0.0185103	1.50575	8.17509e-05	0.0842535	0.218606	0.030844	0.0203877	1.28462	0.124652	
0.72	0.0759397	1.20645	0.254801	1.75421	0.0507372	0.536237	1.13935	0.409271	0.018414	1.50544	8.00795e-05	0.0845573	0.216813	0.0305844	0.0202082	1.28085	0.123883	
0.74	0.0769527	1.18784	0.252339	1.75398	0.0501337	0.531694	1.15818	0.407495	0.0183341	1.50519	7.8708e-05	0.0848108	0.215334	0.0303704	0.0200606	1.27771	0.123247	
0.76	0.0778276	1.17223	0.250322	1.75358	0.0496401	0.52794	1.17418	0.40602	0.0182677	1.50498	7.75794e-05	0.085022	0.214112	0.0301935	0.019939	1.2751	0.122721	
