time	MAPK phosphatase	MEK phosphatase	RAF kinase	RAF phosphatase	MAPK	MAPK-P	MAPK-PP	MEK	MEK-P	MEK-PP	RAF	RAF-P	MAPK_MEK-PP	MAPK-P_MEK-PP	MEK_RAF-P	MEK-P_RAF-P	MAPK-P_MAPKPase	MAPK-PP_MAPKPase	MEK-P_MEKPase	MEK-PP_MEKPase	RAF_RAFK	RAF-P_RAFPase	Scaffold	Scaffold_RAF	Scaffold_RAF-P	Scaffold_MEK	Scaffold_MEK_RAF	Scaffold_MEK_RAF-P	Scaffold_MEK-P	Scaffold_MEK-P_RAF	Scaffold_MEK-P_RAF-P	Scaffold_MEK-PP	Scaffold_MEK-PP_RAF	Scaffold_MEK-PP_RAF-P	Scaffold_MAPK	Scaffold_MAPK_RAF	Scaffold_MAPK_RAF-P	Scaffold_MAPK_MEK	Scaffold_MAPK_MEK_RAF	Scaffold_MAPK_MEK_RAF-P	Scaffold_MAPK_MEK-P	Scaffold_MAPK_MEK-P_RAF	Scaffold_MAPK_MEK-P_RAF-P	Scaffold_MAPK_MEK-PP	Scaffold_MAPK_MEK-PP_RAF	Scaffold_MAPK_MEK-PP_RAF-P	Scaffold_MAPK-P	Scaffold_MAPK-P_RAF	Scaffold_MAPK-P_RAF-P	Scaffold_MAPK-P_MEK	Scaffold_MAPK-P_MEK_RAF	Scaffold_MAPK-P_MEK_RAF-P	Scaffold_MAPK-P_MEK-P	Scaffold_MAPK-P_MEK-P_RAF	Scaffold_MAPK-P_MEK-P_RAF-P	Scaffold_MAPK-P_MEK-PP	Scaffold_MAPK-P_MEK-PP_RAF	Scaffold_MAPK-P_MEK-PP_RAF-P	Scaffold_MAPK-PP	Scaffold_MAPK-PP_RAF	Scaffold_MAPK-PP_RAF-P	Scaffold_MAPK-PP_MEK	Scaffold_MAPK-PP_MEK_RAF	Scaffold_MAPK-PP_MEK_RAF-P	Scaffold_MAPK-PP_MEK-P	Scaffold_MAPK-PP_MEK-P_RAF	Scaffold_MAPK-PP_MEK-P_RAF-P	Scaffold_MAPK-PP_MEK-PP	Scaffold_MAPK-PP_MEK-PP_RAF	Scaffold_MAPK-PP_MEK-PP_RAF-P	Scaffold_RAF_2	Scaffold_MEK_RAF_2	Scaffold_MEK-P_RAF_2	Scaffold_MEK-PP_RAF_2	Scaffold_MAPK_RAF_2	Scaffold_MAPK_MEK_RAF_2	Scaffold_MAPK_MEK-P_RAF_2	Scaffold_MAPK_MEK-PP_RAF_2	Scaffold_MAPK-P_RAF_2	Scaffold_MAPK-P_MEK_RAF_2	Scaffold_MAPK-P_MEK-P_RAF_2	Scaffold_MAPK-P_MEK-PP_RAF_2	Scaffold_MAPK-PP_RAF_2	Scaffold_MAPK-PP_MEK_RAF_2	Scaffold_MAPK-PP_MEK-P_RAF_2	Scaffold_MAPK-PP_MEK-PP_RAF_2	nnamed: 8
0.0	0.3	0.2	0.1	0.3	0.4	0.0	0.0	0.2	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.5	0.3	0.2	0.041362199999999995	0.299994	0.337055	1.89811e-12	7.76097e-15	0.15881800000000001	2.8238800000000003e-07	1.96957e-10	0.223068	0.00022439400000000002	9.72083e-11	2.62726e-22	2.14869e-05	1.64253e-11	1.64109e-13	5.99758e-16	5.69745e-08	2.832e-11	0.00756721	5.89602e-06	0.00359431	0.00194351	0.000314796	0.0038655	0.00209042	0.00018015099999999998	9.39593e-09	1.3084599999999998e-09	2.23608e-06	7.89605e-11	9.68237e-12	2.2208999999999997e-08	0.011287100000000001	0.00610401	0.000490154	0.0121399	0.00656553	0.000346764	2.2155599999999998e-08	3.21608e-09	4.92353e-06	1.9406200000000002e-10	2.4436999999999995e-11	5.242290000000001e-08	9.23117e-15	1.6296399999999998e-15	1.2830299999999998e-12	9.84042e-16	1.90789e-16	1.1850399999999999e-13	1.36185e-18	1.11776e-19	6.26e-16	2.4113900000000003e-12	3.75788e-13	4.14106e-10	6.303e-17	1.2223599999999999e-17	7.609269999999999e-15	5.68817e-18	1.17948e-18	6.229880000000001e-16	5.86684e-21	4.46082e-22	2.9515800000000003e-18	2.03644e-14	3.62767e-15	2.79609e-12	0.0184196	0.00664491	5.334280000000001e-10	3.2682400000000002e-12	0.016686700000000002	0.00931936	1.06929e-09	6.931510000000001e-12	3.6074e-16	3.83418e-17	2.0016200000000002e-20	9.28458e-14	2.42946e-18	2.14964e-19	7.31241e-23	7.9556e-16	
1.0	0.3	0.199999	0.0215013	0.299969	0.332619	2.3678499999999997e-10	1.98349e-12	0.152357	2.95671e-06	6.7164199999999994e-09	0.203644	0.000595268	6.8775e-09	2.4209800000000002e-18	0.00010956	9.548860000000002e-10	4.35426e-11	3.2415900000000003e-13	1.16497e-06	2.0102e-09	0.00862072	3.1328499999999997e-05	0.000630958	0.000616647	0.000527155	0.00127823	0.00125214	0.000492048	1.0548299999999999e-07	2.7410099999999997e-08	1.3166400000000002e-05	1.9401199999999997e-09	4.42053e-10	2.8443e-07	0.00366155	0.00358626	0.00146696	0.00742986	0.00728449	0.00182197	4.99429e-07	1.35204e-07	5.8096099999999994e-05	9.51255e-09	2.2154e-09	1.34793e-06	1.90758e-12	6.18437e-13	1.4817e-10	4.03934e-13	1.433e-13	2.76585e-11	1.35243e-15	2.0830700000000002e-16	3.13534e-13	2.54499e-10	7.35585e-11	2.3615900000000002e-08	2.79207e-14	9.91813e-15	1.91974e-12	4.9777700000000004e-15	1.8821400000000002e-15	3.14904e-13	1.2473e-17	1.77293e-18	3.17032e-15	4.59285e-12	1.5120899999999999e-12	3.50053e-10	0.019146400000000004	0.00866229	1.3197e-08	1.7037900000000003e-10	0.0228344	0.019234900000000003	5.45831e-08	7.440319999999999e-10	1.58328e-13	3.28564e-14	4.18426e-17	2.11315e-11	2.24793e-15	3.86839e-16	3.23114e-19	3.7981700000000003e-13	
1.5	0.3	0.199994	0.0155609	0.299925	0.33142699999999997	3.08992e-09	3.91984e-11	0.150062	1.0537699999999999e-05	4.28644e-08	0.19699	0.000978095	6.6283e-08	3.14734e-16	0.000258847	8.540620000000001e-09	8.78824e-10	9.88312e-12	6.01106e-06	1.91947e-08	0.00828879	7.47953e-05	0.000247662	0.000348115	0.00066046	0.0006340919999999999	0.000899548	0.000806031	3.9979500000000004e-07	1.52481e-07	3.4873400000000004e-05	1.18642e-08	3.93696e-09	1.2162e-06	0.00159633	0.00225985	0.00236518	0.00410921	0.00584483	0.00383598	2.35173e-06	9.21861e-07	0.000195009	7.07469e-08	2.3737900000000002e-08	7.1228100000000005e-06	3.14892e-11	1.46362e-11	1.8237400000000002e-09	9.956710000000001e-12	5.0566199999999995e-12	5.13629e-10	5.76063e-14	1.2977299999999999e-14	9.13875e-12	2.9247399999999996e-09	1.21983e-09	1.97759e-07	7.22079e-13	3.67427e-13	3.74848e-11	1.92093e-13	1.03807e-13	9.24663e-12	8.35783e-16	1.73454e-16	1.45251e-13	8.20937e-11	3.89405e-11	4.6464300000000005e-09	0.0186189	0.00917518	7.76513e-08	1.59524e-09	0.024241	0.024114700000000003	4.23616e-07	8.967659999999999e-09	4.22201e-12	1.30247e-12	2.88947e-15	3.93444e-10	9.33566e-14	2.38566e-14	3.49082e-17	1.09376e-11	
2.0	0.3	0.199982	0.014200799999999998	0.29986799999999997	0.330521	1.7017099999999998e-08	2.88814e-10	0.14846199999999998	2.46363e-05	1.4670500000000002e-07	0.194195	0.001363	2.9882200000000003e-07	8.066660000000001e-15	0.00045495599999999996	3.70467e-08	6.546380000000001e-09	9.84205e-11	1.79442e-05	8.565419999999999e-08	0.00771973	0.000131815	0.00013621	0.000225502	0.000770858	0.00037525300000000003	0.000634085	0.00111996	9.965899999999998e-07	4.84215e-07	6.88598e-05	4.15925e-08	1.75167e-08	3.3839099999999998e-06	0.000884233	0.00148386	0.00316964	0.00246106	0.00417888	0.00595652	6.271659999999999e-06	3.09815e-06	0.00041901199999999997	2.60971e-07	1.10366e-07	2.1075500000000002e-05	1.9855399999999998e-10	1.15052e-10	9.59342e-09	8.26174e-11	5.21323e-11	3.581e-09	7.12496e-13	2.06765e-13	8.77218e-11	1.45191e-08	7.60317e-09	8.052719999999999e-07	6.25207e-12	3.95357e-12	2.7332599999999994e-10	2.1925700000000002e-12	1.46771e-12	8.93087e-11	1.42906e-14	3.8229e-15	1.9239e-12	5.553390000000001e-10	3.29366e-10	2.6163599999999997e-08	0.017912200000000003	0.00927301	2.85371e-07	8.261129999999999e-09	0.0243774	0.026514799999999998	1.73269e-06	5.05165e-08	4.0721e-11	1.65306e-11	5.60061e-14	2.98958e-09	1.23263e-12	4.1483e-13	9.346719999999999e-16	1.1296899999999999e-10	
2.5	0.3	0.19996	0.014730100000000001	0.29980100000000004	0.329678	5.98438e-08	1.2692799999999998e-09	0.146979	4.62221e-05	3.6476900000000003e-07	0.192633	0.0017612	9.08045e-07	8.88848e-14	0.000687412	1.1057e-07	2.89088e-08	5.434009999999999e-10	4.0091999999999995e-05	2.57752e-07	0.0072413	0.000199348	8.83409e-05	0.000147531	0.000871091	0.000245476	0.000424145	0.00142287	1.9499599999999997e-06	1.09255e-06	0.000114604	1.0571199999999999e-07	5.14452e-08	7.31755e-06	0.0005687180000000001	0.000969367	0.00390883	0.0016049	0.00279339	0.00801086	1.25548e-05	7.10625e-06	0.000721249	6.715909999999999e-07	3.27059e-07	4.64046e-05	7.60773e-10	4.992309999999999e-10	3.2511e-08	3.87517e-10	2.7540499999999994e-10	1.4941799999999998e-08	4.57865e-12	1.57349e-12	4.68466e-10	4.66651e-08	2.78979e-08	2.2593400000000004e-06	3.05653e-11	2.17642e-11	1.19136e-09	1.31634e-11	9.877910000000001e-12	4.79703e-10	1.18161e-13	3.7531300000000005e-14	1.31894e-11	2.26213e-09	1.52082e-09	9.418499999999999e-08	0.017167099999999998	0.00918691	8.102e-07	3.06945e-08	0.0240335	0.0276349	5.13344e-06	1.92887e-07	2.3086700000000003e-10	1.14732e-10	5.53105e-13	1.4249e-08	8.881610000000001e-12	3.66821e-12	1.18959e-14	6.797660000000001e-10	
3.0	0.3	0.199924	0.016194399999999998	0.299724	0.328879	1.6029900000000002e-07	4.06809e-09	0.145505	7.592949999999999e-05	7.4797e-07	0.191426	0.00218461	2.17201e-06	5.86422e-13	0.000950482	2.6389e-07	9.27636e-08	2.0892199999999995e-09	7.50654e-05	6.10953e-07	0.00695067	0.000275935	6.32079e-05	9.51574e-05	0.0009642569999999999	0.000172704	0.000272767	0.00170667	3.2610200000000003e-06	1.9611599999999997e-06	0.000170486	2.18425e-07	1.14873e-07	1.34249e-05	0.00040255699999999995	0.000622665	0.00459576	0.00112293	0.00179097	0.00992952	2.11707e-05	1.2815299999999999e-05	0.00108913	1.3900299999999998e-06	7.30333e-07	8.553e-05	2.1550999999999997e-09	1.4943900000000003e-09	8.445889999999998e-08	1.28249e-09	9.563989999999998e-10	4.55931e-08	1.96808e-11	7.53556e-12	1.74627e-09	1.1514000000000001e-07	7.33671e-08	5.05723e-06	1.05397e-10	7.87007e-11	3.7960700000000005e-09	5.32403e-11	4.16755e-11	1.79839e-09	6.24311e-13	2.2186100000000002e-13	6.02816e-11	6.756569999999999e-09	4.796510000000001e-09	2.58065e-07	0.016419200000000002	0.00899584	1.91226e-06	9.02374e-08	0.023447700000000002	0.027977299999999997	1.2331300000000002e-05	5.71678e-07	9.2779e-10	5.379400000000001e-10	3.5276099999999997e-12	5.01051e-08	4.31872e-11	2.08904e-11	9.350060000000001e-14	2.87454e-09	
3.5	0.3	0.199874	0.018153299999999997	0.299639	0.32811799999999997	3.5807400000000003e-07	1.05485e-08	0.14402	0.00011420899999999999	1.34895e-06	0.19025999999999998	0.00264206	4.42819e-06	2.74599e-12	0.00124171	5.43729e-07	2.40304e-07	6.29516e-09	0.000124947	1.2351399999999999e-06	0.00686395	0.000361161	4.892649999999999e-05	6.14366e-05	0.00105098	0.000130259	0.00017357	0.00196717	4.8932e-06	3.0012299999999997e-06	0.000234587	3.91496e-07	2.12082e-07	2.19841e-05	0.000308352	0.000399948	0.00523402	0.0008421430000000001	0.00113552	0.011684100000000001	3.18584e-05	1.9626400000000002e-05	0.00150935	2.48749e-06	1.3451699999999999e-06	0.00014006200000000002	4.98882e-09	3.47881e-09	1.8384e-07	3.3574599999999997e-09	2.4983000000000004e-09	1.12847e-07	6.45403e-11	2.63153e-11	5.1122100000000005e-09	2.37914e-07	1.53805e-07	9.73309e-06	2.8740800000000003e-10	2.1393999999999999e-10	9.8082e-09	1.64923e-10	1.27975e-10	5.29516e-09	2.4383e-12	9.27534e-13	2.09612e-10	1.63719e-08	1.16659e-08	5.88715e-07	0.0156824	0.00873943	3.89865e-06	2.2134e-07	0.022721900000000003	0.0278079	2.53276e-05	1.40422e-06	2.90394e-09	1.899e-09	1.64033e-11	1.40918e-07	1.5797299999999997e-10	8.6604e-11	5.19312e-13	9.39467e-09	
4.0	0.29999899999999996	0.19980599999999998	0.020339799999999998	0.299545	0.327394	7.02958e-07	2.3506200000000003e-08	0.142518	0.000161388	2.22027e-06	0.189024	0.00313903	8.05683e-06	1.007e-11	0.00156042	1.01017e-06	5.34284e-07	1.5927200000000002e-08	0.00019135900000000002	2.2298500000000003e-06	0.0069631	0.00045517199999999994	4.09747e-05	4.12275e-05	0.0011312999999999998	0.00010625100000000001	0.000114089	0.00220275	6.78966e-06	4.10342e-06	0.000305012	6.33367e-07	3.42003e-07	3.31568e-05	0.00025607099999999997	0.000266844	0.00582436	0.0006835260000000001	0.00074346	0.013265299999999999	4.423229999999999e-05	2.68153e-05	0.00196917	4.01358e-06	2.16266e-06	0.00021087299999999998	1.00033e-08	6.7852400000000004e-09	3.52918e-07	7.43509e-09	5.33904e-09	2.40597e-07	1.74377e-10	7.32723e-11	1.259e-08	4.33101e-07	2.7472799999999997e-07	1.68178e-05	6.62761e-10	4.75554e-10	2.1822599999999998e-08	4.2202799999999997e-10	3.1393200000000004e-10	1.31168e-08	7.66643e-12	3.0227e-12	5.99061e-10	3.4149e-08	2.3608899999999998e-08	1.1779e-06	0.014964600000000002	0.00844488	7.05587e-06	4.6982500000000004e-07	0.0219192	0.027311500000000002	4.59755e-05	2.97756e-06	7.50727e-09	5.402680000000001e-09	5.99236e-11	3.3343699999999997e-07	4.6531800000000004e-10	2.8229400000000005e-10	2.2141099999999997e-12	2.51945e-08	
4.5	0.29999899999999996	0.199721	0.022571200000000003	0.299442	0.326704	1.25352e-06	4.67708e-08	0.140999	0.0002177	3.4132599999999997e-06	0.18767899999999998	0.00367833	1.34654e-05	3.07672e-11	0.00190665	1.73778e-06	1.05973e-06	3.53481e-08	0.000275544	3.7000199999999994e-06	0.00721444	0.00055833	3.70533e-05	2.9994e-05	0.00120527	9.40301e-05	8.111489999999999e-05	0.00241335	8.88947e-06	5.185e-06	0.00038000800000000004	9.49259e-07	5.00564e-07	4.7005299999999995e-05	0.000230385	0.000193046	0.00636766	0.000602751	0.000526565	0.0146743	5.78855e-05	3.38397e-05	0.002457	5.99723e-06	3.15534e-06	0.000298207	1.80352e-08	1.16675e-08	6.17001e-07	1.4543700000000001e-08	9.8859e-09	4.58921e-07	4.0756500000000003e-10	1.7256900000000002e-10	2.72411e-08	7.1759e-07	4.37707e-07	2.68079e-05	1.34957e-09	9.155310000000002e-10	4.3421599999999995e-08	9.36955e-10	6.555900000000001e-10	2.85491e-08	2.04863e-11	8.1863e-12	1.47775e-09	6.37086e-08	4.18899e-08	2.1359200000000003e-06	0.014271299999999999	0.00813297	1.15928e-05	8.878100000000001e-07	0.021086	0.0266296	7.5609e-05	5.6155799999999995e-06	1.67194e-08	1.30046e-08	1.8113499999999996e-10	6.88638e-07	1.15881e-09	7.6433e-10	7.67245e-12	5.7895500000000004e-08	
