# Time	[RasGTP_Golgi_GM]	[CAPRI_cyt]	[serca]	[PIP_PM]	[PI_PM]	[Shc_PM]	[CaCAPRI_PM_PM]	[RactCa]	[Shc_star_PM]	[EGFR_PM]	[PLC_act_PM]	[RasGTP_pal_cyt]	[PLC_PM]	[PIP2_PM]	[Activated_EGFR_PM]	[Ca]	[Ract]	[Rinh]	[RinhCa]	[IP3]	[RasGDP_Golgi_GM]	[Ca_RasGRP_GM_GM]	[DAG_GM_GM]	[RasGRP_DAG_GM]	[CaCAPRI_cyt]	[DAG_PM]	[RasGTP_depal_cyt]	[RasGDP_depal_cyt]	[RasGDP_pal_cyt]	[Ca_PLCe_cyt]	[Ras_CaPLCe_GM]	[Ca_ER]	[Sos_cyt]	[Grb2_cyt]	[PLCe_cyt]	[buffer_cyt]	[ca_buffer_cyt]	[SosGrb2_cyt]	[SGS_PM]	[RasGTP_PM]	[RasGDP_PM]	[RasGRP_cyt]	[CaRasGRP1_cyt]	Values[Rate_PIP2Synbasal_PIP2_synthesis]	Values[Rate_PIP2SynStim_PIP2_synthesis]	Values[Vmax_Shc_phosphorylation]	Values[Vmax_RasGRP_DAG_GEF]	Values[Vmax_CAPRI_GAP]	Values[Vmax_CaRasGRP_act_RasGM]	Values[Ratebasal_PIPsyn_PIP_synthesis]	Values[Ratestim_PIPsyn_PIP_synthesis]	Values[Koff_reaction2]	Values[Vmax_EGF_act_PLCgamma]	Values[Kr_Ca_binds_IP3R]	Values[Vmax_Sos_act_RasPM]	
0	0	30.1	45	2857	142857	186	0	2.264	0	21	0	0	100	1072	0	0	9.056	7.7825	3.5375	0	50	0	0	0	0	2000	0	0	0	0	0	120400	81.27	502.67	12.04	120.4	0	99.33	0	0	400	30.1	0	0	0	0	0	0	0	0	0	0.231	0	200	0	
600	13.8073	29.9202	45	1363.6	96970	150.211	0.161037	0.715835	0.272149	8.79406	1.52179	3.55688	98.4782	32.2861	5.21909	8.12761	10.6042	10.0825	1.23747	76.4107	23.4524	0.000251487	184.523	40.9036	0.0807892	50420.1	0.7879	3.13492	14.8813	0.468327	0.160302	119075	71.5547	492.955	11.5638	112.786	7.61364	87.2109	35.5173	71.9147	292.718	28.0126	0.0756924	0.0428159	8.8004e-29	1.04382	2.04518	1.61037	2.51487e-06	0.000598373	8.8004e-29	0.231	1.56573	200	0.710346	
1200	73.8661	29.9152	45	1129.17	65311.7	157.795	0.165446	0.734941	0.206997	5.6244	0.977685	5.30491	99.0223	41.0654	3.33813	8.35961	10.5851	10.0515	1.26855	84.1878	15.2195	0.00019576	1032.84	179.814	0.083057	82304	3.7617	2.4428	12.7264	0.479689	0.881496	119036	73.394	494.794	11.517	112.583	7.81682	89.994	27.9982	105.824	251.555	21.1978	0.0589192	0.0422535	7.70608e-55	0.667627	8.99068	1.65446	1.9576e-06	0.000724073	7.70608e-55	0.231	1.00144	200	0.559963	
1800	138.509	29.9057	45	862.451	40421.3	165.969	0.173955	0.770692	0.142354	3.59725	0.627096	4.90414	99.3729	48.3657	2.135	8.79596	10.5493	9.99313	1.32687	94.4871	13.6911	0.000159754	2034.98	276.675	0.0873534	107454	6.97425	2.32242	12.6516	0.50191	1.73076	118965	75.481	496.881	11.453	112.203	8.19704	92.8923	19.8888	97.4231	250.582	16.4449	0.0480831	0.0417893	6.74784e-81	0.427	13.8338	1.73955	1.59754e-06	0.000880201	6.74784e-81	0.231	0.6405	200	0.397776	
2400	196.565	29.8884	45	585.717	22609.5	172.2	0.189361	0.835921	0.0957688	2.30073	0.401811	3.83989	99.5982	51.0682	1.3655	9.5998	10.4841	9.8879	1.4321	107.1	13.7789	0.000140057	3129.95	342.484	0.0952213	125540	9.79206	2.41996	13.28	0.543513	2.66017	118834	77.073	498.473	11.3657	111.509	8.89071	95.1024	13.704	76.0361	263.21	13.2143	0.0421561	0.0416182	5.90875e-107	0.2731	17.1242	1.89361	1.40057e-06	0.00105836	5.90875e-107	0.231	0.40965	200	0.274081	
3000	242.143	25.7275	45	342.201	11364.9	176.688	3.91395	7.43261	0.0635446	1.4715	0.257291	0.127161	99.7427	46.9275	0.873346	230.203	3.88739	2.52917	8.79083	988.569	11.4573	0.000445175	39451.5	573.699	1.96636	137032	11.6178	2.70324	16.5489	5.55243	33.487	94255.5	78.2186	499.619	4.84067	41.3465	79.0535	96.6961	9.2481	2.19988	328.411	1.75127	0.133992	0.0418805	5.17401e-133	0.174669	28.685	39.1395	4.45175e-06	0.00123007	5.17401e-133	0.231	0.262004	200	0.184962	
3600	293.509	25.4333	45	171.822	5212.21	179.815	4.17849	7.62425	0.041722	0.941138	0.164681	0.0872049	99.8353	37.4064	0.558574	248.382	3.69575	2.38289	8.93711	1186.83	12.146	0.000400044	47872.1	579.924	2.09796	143365	14.1746	2.76547	16.1778	5.55468	40.6126	92558.3	79.0162	500.416	4.48798	39.3083	81.0917	97.8072	6.14327	1.36029	320.925	1.45872	0.12041	0.0424873	4.53062e-159	0.111715	28.9962	41.7849	4.00044e-06	0.00135921	4.53062e-159	0.231	0.167572	200	0.122865	
4200	338.477	25.2411	45	77.2149	2249.01	181.94	4.35111	7.74186	0.0271769	0.601932	0.105377	0.0666277	99.8946	26.7611	0.357252	260.504	3.57814	2.29443	9.02557	1351.8	12.5506	0.000368963	54784.4	583.689	2.184	146433	16.4552	2.7675	15.8403	5.51017	46.463	91435.2	79.558	500.958	4.24476	38.0573	82.3427	98.5626	4.0332	0.895887	314.161	1.28289	0.111055	0.0431723	3.96725e-185	0.0714504	29.1845	43.5111	3.68963e-06	0.00143431	3.96725e-185	0.231	0.107176	200	0.080664	
4800	377.93	25.1064	45	32.6775	939.512	183.357	4.47208	7.82101	0.0176001	0.384983	0.0674178	0.0549069	99.9326	18.0016	0.228491	269.12	3.49899	2.23544	9.08456	1490.61	12.8729	0.000346452	60528.3	586.202	2.24435	147796	18.4564	2.76658	15.5391	5.45109	51.3248	90640.4	79.9193	501.319	4.06474	37.2155	83.1845	99.0666	2.62561	0.61385	308.127	1.16611	0.10428	0.043741	3.47392e-211	0.0456982	29.3101	44.7208	3.46452e-06	0.00147054	3.47392e-211	0.231	0.0685473	200	0.0525123	
5400	412.613	25.0076	45	13.4727	386.691	184.289	4.56083	7.87744	0.0113513	0.246227	0.0431275	0.0484102	99.9569	11.7744	0.146138	275.505	3.44256	2.19366	9.12634	1608.01	13.1335	0.000329499	65347.2	587.987	2.28866	148374	20.2156	2.76416	15.2713	5.38954	55.404	90053	80.1571	501.557	3.92567	36.6153	83.7847	99.3983	1.69921	0.44135	302.766	1.08339	0.0991778	0.0441482	3.04194e-237	0.0292276	29.3994	45.6083	3.29499e-06	0.00148634	3.04194e-237	0.231	0.0438414	200	0.0339842	
6000	443.153	24.9326	45	5.50062	158.152	184.897	4.62814	7.91935	0.00730034	0.157482	0.0275869	0.0450382	99.9724	7.62463	0.0934669	280.385	3.40065	2.16276	9.15724	1707.73	13.3467	0.000316349	69422.7	589.315	2.32228	148615	21.7646	2.76095	15.0337	5.33048	58.854	89604.8	80.3121	501.712	3.81505	36.1694	84.2306	99.6146	1.09525	0.336005	298.013	1.02208	0.0952199	0.0444208	2.66368e-263	0.0186934	29.4657	46.2814	3.16349e-06	0.00149293	2.66368e-263	0.231	0.0280401	200	0.021905	
