# Time	[Cold]	[Salt]	[Drought]	[H2O2]	[Heavy Metal]	[Ethylene]	[RLKs]	[LRR]	[CRKs]	[LecRK2]	[ETR1]	[ETR2]	[MAPKKK]	[MAPKKK_2]	[MAPKKK1]	[CTR1]	[MAPKK]	[MAPKK_2]	[MAPK]	[MAPK_2]	[MAPKK1]	[MAPKK2]	[MAPKK3]	[MAPKK4]	[MAPKK5]	[MAPKK6]	[MAPKK7]	[MAPKK9]	[MAPK2]	[MAPK3]	[MAPK4]	[MAPK6]	[WRKY1]	[WRKY1_2]	[WRKY12]	[WRKY12_2]	[WRKY8]	[WRKY8_2]	[WRKY25]	[WRKY25_2]	[WRKY22]	[WRKY22_2]	[WRKY29]	[WRKY29_2]	[WRKY33]	[WRKY33_2]	[WRKY28]	[WRKY28_2]	[MYB2]	[MYB2_2]	[MYB4]	[MYB4_2]	[MYB44]	[NAC]	[bZIP]	[AP2]	[Response]	
0	0.5	0.5	0.5	0.5	0.5	0.5	0.8	0.8	0.8	0.8	0.8	0.8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.5	1.5	1.5	1.5	1.5	1.8	2	2.2	2.5	
3	0.736053	0.762038	0.755771	0.736053	0.736053	0.844859	0.777961	0.770556	0.76429	0.811624	0.873234	0.873234	0.801795	0.908657	0.950514	0.923956	0.975347	1.05314	1.16672	1.27219	0.995472	1.13641	1.04149	1.04149	1.04149	1.04149	1.04149	1.05867	1.28279	1.20708	1.24275	1.23047	1.27465	1.29248	1.24069	1.27676	1.2936	1.30108	1.26924	1.29008	1.24761	1.28034	1.24761	1.28034	1.25457	1.28324	1.24069	1.27676	1.31958	1.32806	1.31958	1.32806	1.29969	1.30044	1.30093	1.30143	1.29736	
6	0.834218	0.841515	0.839458	0.834218	0.834218	0.907295	0.860707	0.845227	0.84317	0.879657	0.930336	0.930336	0.872901	0.957515	0.991922	0.969858	1.00983	1.07229	1.15029	1.22432	1.02777	1.13314	1.06643	1.06643	1.06643	1.06643	1.06643	1.07432	1.24564	1.18441	1.21322	1.20171	1.24024	1.24933	1.20994	1.23361	1.2593	1.25911	1.2363	1.24724	1.21585	1.23669	1.21585	1.23669	1.22197	1.23987	1.20994	1.23361	1.24707	1.25404	1.24707	1.25404	1.2415	1.2415	1.2415	1.2415	1.24459	
9	0.902414	0.90671	0.905356	0.902414	0.902414	0.956174	0.921917	0.909271	0.907917	0.935244	0.973762	0.973762	0.930541	0.995101	1.02119	1.00396	1.03548	1.08302	1.13986	1.19362	1.04917	1.12684	1.07971	1.07971	1.07971	1.07971	1.07971	1.08305	1.21048	1.16454	1.18616	1.17736	1.20644	1.21281	1.18342	1.20072	1.22114	1.22052	1.2035	1.21126	1.18783	1.20304	1.18783	1.20304	1.19251	1.2055	1.18342	1.20072	1.20916	1.21434	1.20916	1.21434	1.2061	1.2061	1.2061	1.2061	1.20863	
12	0.953256	0.956375	0.955373	0.953256	0.953256	0.993524	0.967891	0.958283	0.957281	0.977787	1.00679	1.00679	0.974337	1.02307	1.04262	1.02958	1.05376	1.08961	1.1316	1.17116	1.06403	1.12162	1.08755	1.08755	1.08755	1.08755	1.08755	1.08903	1.18376	1.14957	1.16566	1.15911	1.18074	1.18542	1.16359	1.17641	1.1917	1.19119	1.17855	1.18427	1.16685	1.17812	1.16685	1.17812	1.17036	1.17997	1.16359	1.17641	1.18256	1.18639	1.18256	1.18639	1.18039	1.18039	1.18039	1.18039	1.18227	
15	0.991433	0.993772	0.993019	0.991433	0.991433	1.02168	1.00242	0.995207	0.994454	1.00986	1.03164	1.03164	1.00727	1.0439	1.05852	1.04874	1.06704	1.09395	1.12515	1.15447	1.07472	1.11758	1.09259	1.09259	1.09259	1.09259	1.09259	1.09329	1.16384	1.13838	1.15037	1.1455	1.16159	1.16507	1.14882	1.15836	1.16974	1.16936	1.15995	1.16421	1.15124	1.15963	1.15124	1.15963	1.15387	1.16101	1.14882	1.15836	1.16294	1.16578	1.16294	1.16578	1.16133	1.16133	1.16133	1.16133	1.16272	
18	1.02008	1.02184	1.02127	1.02008	1.02008	1.04278	1.02832	1.02292	1.02235	1.03391	1.05024	1.05024	1.03197	1.05943	1.07035	1.06305	1.0768	1.09697	1.12021	1.14203	1.08254	1.1145	1.09602	1.09602	1.09602	1.09602	1.09602	1.09639	1.149	1.13002	1.13896	1.13533	1.14732	1.14992	1.13781	1.14492	1.1534	1.15311	1.14611	1.14928	1.13961	1.14587	1.13961	1.14587	1.14157	1.14689	1.13781	1.14492	1.14833	1.15045	1.14833	1.15045	1.14713	1.14713	1.14713	1.14713	1.14817	
21	1.04154	1.04286	1.04244	1.04154	1.04154	1.05856	1.04771	1.04368	1.04325	1.05192	1.06415	1.06415	1.05045	1.07102	1.07918	1.07373	1.08404	1.09913	1.11647	1.13274	1.08833	1.11218	1.09844	1.09844	1.09844	1.09844	1.09844	1.09866	1.13794	1.12377	1.13044	1.12773	1.13669	1.13862	1.12959	1.13489	1.14122	1.14101	1.13578	1.13814	1.13093	1.1356	1.13093	1.1356	1.13239	1.13637	1.12959	1.13489	1.13744	1.13902	1.13744	1.13902	1.13655	1.13655	1.13655	1.13655	1.13732	
24	1.05761	1.0586	1.05828	1.05761	1.05761	1.07036	1.06223	1.05921	1.05889	1.06539	1.07454	1.07454	1.06428	1.07967	1.08577	1.0817	1.08942	1.10071	1.11366	1.12579	1.09262	1.11044	1.10021	1.10021	1.10021	1.10021	1.10021	1.10034	1.12968	1.1191	1.12408	1.12206	1.12874	1.13019	1.12344	1.1274	1.13213	1.13197	1.12806	1.12983	1.12445	1.12793	1.12445	1.12793	1.12554	1.12851	1.12344	1.1274	1.12931	1.13049	1.12931	1.13049	1.12864	1.12864	1.12864	1.12864	1.12922	
27	1.06963	1.07038	1.07014	1.06963	1.06963	1.07917	1.07309	1.07083	1.07059	1.07545	1.0823	1.0823	1.07463	1.08614	1.09069	1.08765	1.09343	1.10187	1.11154	1.12061	1.09582	1.10914	1.1015	1.1015	1.1015	1.1015	1.1015	1.10159	1.12351	1.11561	1.11933	1.11782	1.12281	1.12389	1.11885	1.12181	1.12534	1.12522	1.1223	1.12363	1.1196	1.12221	1.1196	1.12221	1.12042	1.12263	1.11885	1.12181	1.12323	1.12411	1.12323	1.12411	1.12273	1.12273	1.12273	1.12273	1.12316	
