# Time	[ADAMTS4_mRNA]	[cFos]	[cFos_mRNA]	[cJun]	[cJun_mRNA]	[DUSP16]	[IRAK2]	[IRAK2_TRAF6]	[IRAK2_TRAF6_PP4]	[JAK1]	[JAK1_P]	[JNK]	[JNK_P]	[Matriptase]	[MKP1]	[MMP1_mRNA]	[MMP3_mRNA]	[MMP13_mRNA]	[p38]	[p38_P]	[PP4]	[proMMP1]	[proMMP3]	[proMMP13]	[PTPRT]	[SOCS3]	[SOCS3_mRNA]	[STAT3_cyt]	[STAT3_P_cyt]	[TIMP1_mRNA]	[TIMP3_mRNA]	[TRAF6]	[TRAF6_PP4]	[ADAMTS4]	[ADAMTS4_TIMP1]	[ADAMTS4_TIMP3]	[Aggrecan]	[Aggrecan_Collagen2]	[AggFrag]	[ColFrag]	[Collagen2]	[IL1]	[MMP1]	[MMP1_TIMP1]	[MMP1_TIMP3]	[MMP3]	[MMP3_TIMP1]	[MMP3_TIMP3]	[MMP13]	[MMP13_TIMP1]	[MMP13_TIMP3]	[OSM]	[TIMP1]	[TIMP3]	[IL1_IL1R]	[IL1_IL1Ra]	[IL1_IL1R_IRAK2]	[IL1R]	[IL1Ra]	[OSM_OSMR]	[OSM_OSMRa]	[OSMR_SOCS3]	[OSMR]	[OSMRa]	[cFos_cJun]	[cFos_P]	[cJun_P]	[cJun_dimer]	[SP1]	[SP1_TIMP1_DNA]	[STAT3_nuc]	[STAT3_P_nuc]	[TIMP1_DNA]	
4.2e+06	0.00177027	0.0446563	0.0089032	99.9833	4.9992	0.00112033	55.4558	0.0438496	44.5003	100	1.66036e-11	99.564	0.436005	6.20418e-09	7.28949e-06	0.0243923	0.0243923	0.00243923	99.5635	0.436492	0.00182926	1.90007	397.759	0.00431294	0.00108182	0.0158045	0.00802369	99.9995	8.2358e-09	19.9998	20.0016	0.0653241	55.3905	5.81241	3.54525	1205.76	0	5999.99	94000	16279.8	77720.2	8.08983e-11	888.069	54.2056	3.68714	160.987	9.82628	0.668397	8.68668	0.530214	0.0360658	4.25523e-13	203.265	414.794	8.24749e-10	0	2.29691e-09	100	0	6.66584e-12	0	88.8187	11.1813	0	5.36203e-05	9.78773e-05	0.435923	-0.000614733	6.82822e-05	0.000323897	3.42692e-07	0.000534075	1.99968	
4.5e+06	0.00164869	0.0374691	0.00747329	99.9829	4.99917	0.000984761	56.8107	0.0464174	43.1429	100	7.28383e-12	99.5385	0.461498	5.81809e-09	6.40728e-06	0.0213807	0.0213807	0.00213807	99.538	0.461951	0.00165856	2.09066	397.965	0.00492096	0.000906595	0.0138933	0.00673385	99.9996	3.6127e-09	19.9999	20.0013	0.0739781	56.7367	5.42409	3.2952	1122.42	0	5704.25	94295.7	16379.1	77916.7	1.7694e-11	670.907	40.7871	2.77859	121.497	7.38628	0.503186	6.56371	0.399034	0.0271839	1.71421e-13	202.455	413.764	1.80389e-10	0	5.14565e-10	100	0	2.92069e-12	0	87.4711	12.5289	0	5.03708e-05	8.68878e-05	0.461411	-0.000621276	5.89772e-05	0.00026541	2.48297e-07	0.000448311	1.99973	
4.8e+06	0.0015398	0.0321119	0.00640677	99.9826	4.99916	0.000866052	58.2376	0.0486609	41.7137	100	3.38669e-12	99.5162	0.483766	5.4721e-09	5.63497e-06	0.0187948	0.0187948	0.00187948	99.5158	0.484183	0.00151418	2.29811	398.145	0.00561583	0.000776247	0.0124231	0.00577208	99.9996	1.67964e-09	19.9999	20.0011	0.0831985	58.1544	5.05996	3.06478	1044.65	0	5441.48	94558.5	16454.2	78104.3	3.97021e-12	506.84	30.7206	2.09426	91.6826	5.55709	0.378833	4.95984	0.300625	0.020494	7.39869e-14	201.849	412.809	4.04766e-11	0	1.18339e-10	100	0	1.35683e-12	0	86.1911	13.8089	0	4.74159e-05	7.80345e-05	0.483675	-0.000624333	5.29071e-05	0.000230205	1.87769e-07	0.00038434	1.99977	
5.1e+06	0.0014397	0.0279765	0.00558306	99.9824	4.99914	0.00075909	59.7274	0.0506085	40.222	100	1.6523e-12	99.4969	0.503097	5.15338e-09	4.93922e-06	0.016501	0.016501	0.0016501	99.4965	0.503477	0.0013893	2.51575	398.304	0.00638479	0.000675786	0.0112553	0.00502944	99.9997	8.19412e-10	19.9999	20.001	0.0930844	59.6343	4.71876	2.8517	972.114	0	5207.31	94792.7	16511.1	78281.6	9.14328e-13	382.902	23.1563	1.57875	69.1785	4.18364	0.285232	3.74826	0.226679	0.0154545	3.37948e-14	201.396	411.923	9.32171e-12	0	2.79453e-11	100	0	6.61551e-13	0	84.9716	15.0284	0	4.46672e-05	7.06875e-05	0.503003	-0.000624978	4.85332e-05	0.000207025	1.46777e-07	0.000334931	1.99979	
5.4e+06	0.00134588	0.0246936	0.00492888	99.9823	4.99914	0.000660404	61.2714	0.0522816	38.6763	100	8.39484e-13	99.4803	0.519704	4.85411e-09	4.29741e-06	0.0144114	0.0144114	0.00144114	99.48	0.520046	0.00127934	2.73658	398.443	0.00720808	0.000596137	0.0103036	0.00443975	99.9997	4.16294e-10	19.9998	20.0009	0.103739	61.1677	4.39926	2.65413	904.481	0	4998.05	95001.9	16554.2	78447.7	2.1616e-13	289.284	17.4651	1.19036	52.1948	3.1512	0.214775	2.83304	0.17104	0.0116575	1.61863e-14	201.056	411.098	2.2038e-12	0	6.77617e-12	100	0	3.35951e-13	0	83.8064	16.1936	0	4.20685e-05	6.44441e-05	0.519607	-0.000624039	4.50693e-05	0.000190154	1.17787e-07	0.00029569	1.99981	
5.7e+06	0.00125668	0.0220274	0.00439741	99.9822	4.99913	0.000567537	62.8617	0.0536953	37.0846	100	4.41577e-13	99.4663	0.533742	4.56924e-09	3.69353e-06	0.0124652	0.0124652	0.00124652	99.466	0.534043	0.00118114	2.95325	398.564	0.0080572	0.000531518	0.00951174	0.00396075	99.9997	2.18962e-10	19.9998	20.0008	0.115272	62.7464	4.10028	2.4706	841.437	0	4810.57	95189.4	16586.8	78602.6	5.24596e-14	218.568	13.1789	0.897694	39.3787	2.37441	0.161736	2.14164	0.129133	0.00879605	8.07184e-15	200.8	410.331	5.34843e-13	0	1.68686e-12	100	0	1.76647e-13	0	82.6898	17.3102	0	3.95824e-05	5.90345e-05	0.533643	-0.000622171	4.21091e-05	0.000176669	9.65513e-08	0.000263809	1.99982	
6e+06	0.00117094	0.019821	0.00395747	99.9822	4.99912	0.000478688	64.4906	0.0548597	35.4545	100	2.39368e-13	99.4547	0.54531	4.29533e-09	3.11584e-06	0.0106192	0.0106192	0.00106192	99.4544	0.54557	0.00109242	3.15812	398.668	0.00889392	0.000478088	0.00884155	0.00356428	99.9998	1.18688e-10	19.9997	20.0007	0.127799	64.3628	3.82063	2.29989	782.687	0	4642.19	95357.8	16611.5	78746.3	1.30669e-14	165.15	9.94838	0.677116	29.7084	1.7896	0.121806	1.61926	0.0975418	0.00663898	4.16789e-15	200.607	409.616	1.33222e-13	0	4.3097e-13	100	0	9.57272e-14	0	81.6172	18.3828	0	3.71833e-05	5.42712e-05	0.545209	-0.000619891	3.94398e-05	0.000165061	8.05415e-08	0.000237417	1.99983	
6.3e+06	0.00108781	0.0179662	0.00358752	99.9821	4.99912	0.000392502	66.1508	0.0557803	33.7934	100	1.33223e-13	99.4455	0.554466	4.02997e-09	2.55553e-06	0.00884118	0.00884118	0.000884118	99.4453	0.554682	0.00101157	3.34348	398.755	0.00967014	0.000433203	0.00826616	0.00323094	99.9998	6.60543e-11	19.9997	20.0006	0.141444	66.0094	3.55922	2.14097	727.949	0	4490.61	95509.4	16630.2	78879.1	3.33937e-15	124.795	7.51204	0.510831	22.4122	1.34911	0.0917416	1.22451	0.0737093	0.00501236	2.21846e-15	200.462	408.951	3.40466e-14	0	1.1295e-13	100	0	5.32653e-14	0	80.5844	19.4156	0	3.48527e-05	5.00191e-05	0.554364	-0.000617612	3.69474e-05	0.000154539	6.81771e-08	0.000215225	1.99985	
6.6e+06	0.00100668	0.0163859	0.00327229	99.9821	4.99911	0.000307949	67.835	0.0564586	32.1085	100	7.58983e-14	99.4388	0.561226	3.77143e-09	2.00587e-06	0.00710681	0.00710681	0.000710681	99.4386	0.561398	0.000937353	3.50171	398.827	0.0103286	0.000394987	0.00776614	0.00294691	99.9998	3.76301e-11	19.9997	20.0006	0.15634	67.6787	3.31495	1.99295	676.963	0	4353.88	95646.1	16644.4	79001.7	8.75195e-16	94.3074	5.67371	0.385449	16.9075	1.01719	0.069104	0.926145	0.0557185	0.00378529	1.21286e-15	200.352	408.332	8.92312e-15	0	3.03493e-14	100	0	3.03396e-14	0	79.5879	20.4121	0	3.25771e-05	4.6178e-05	0.561123	-0.00061566	3.45691e-05	0.000144678	5.84313e-08	0.000196315	1.99986	
6.9e+06	0.00092709	0.0150242	0.00300059	99.982	4.9991	0.00022426	69.5359	0.0568929	30.4072	100	4.41503e-14	99.4344	0.565574	3.5184e-09	1.46186e-06	0.00539782	0.00539782	0.000539782	99.4343	0.565701	0.00086889	3.62547	398.883	0.0108047	0.000362073	0.00732707	0.00270213	99.9998	2.18887e-11	19.9997	20.0005	0.172624	69.3633	3.0868	1.85502	629.481	0	4230.3	95769.7	16655.1	79114.6	2.35096e-16	71.2715	4.28605	0.290886	12.7546	0.76703	0.0520567	0.700565	0.0421297	0.00285926	6.7906e-16	200.269	407.754	2.39696e-15	0	8.3549e-15	100	0	1.76458e-14	0	78.6248	21.3752	0	3.03465e-05	4.2672e-05	0.565471	-0.000614284	3.22692e-05	0.000135246	5.06144e-08	0.000180016	1.99986	
