time	ADAMTS4_mRNA	cFos	cFos_mRNA	cJun	cJun_mRNA	DUSP16	IRAK2	IRAK2_TRAF6	IRAK2_TRAF6_PP4	JAK1	JAK1_P	JNK	JNK_P	Matriptase	MKP1	MMP1_mRNA	MMP3_mRNA	MMP13_mRNA	p38	p38_P	PP4	proMMP1	proMMP3	proMMP13	PTPRT	SOCS3	SOCS3_mRNA	STAT3_cyt	STAT3_P_cyt	TIMP1_mRNA	TIMP3_mRNA	TRAF6	TRAF6_PP4	ADAMTS4	ADAMTS4_TIMP1	ADAMTS4_TIMP3	Aggrecan	Aggrecan_Collagen2	AggFrag	ColFrag	Collagen2	IL1	MMP1	MMP1_TIMP1	MMP1_TIMP3	MMP3	MMP3_TIMP1	MMP3_TIMP3	MMP13	MMP13_TIMP1	MMP13_TIMP3	OSM	TIMP1	TIMP3	IL1_IL1R	IL1_IL1Ra	IL1_IL1R_IRAK2	IL1R	IL1Ra	OSM_OSMR	OSM_OSMRa	OSMR_SOCS3	OSMR	OSMRa	cFos_cJun	cFos_P	cJun_P	cJun_dimer	SP1	SP1_TIMP1_DNA	STAT3_nuc	STAT3_P_nuc	TIMP1_DNA	nnamed: 7
3000000.0	0.00261902	0.136498	0.0271051	99.9879	4.99945	0.0020956	50.9823	0.0294903	48.9882	100.0	1.1716300000000002e-09	99.7067	0.293272	1.2742200000000002e-08	1.3643299999999999e-05	0.048275099999999994	0.048275099999999994	0.00482751	99.7061	0.293885	0.00312129	1.45135	396.54	0.00291092	0.00334773	0.0375755	0.024469799999999996	99.9984	5.81083e-07	19.9904	20.0052	0.0345195	50.9478	7.63168	4.82297	1602.5	0	7632.54	92367.5	15446.5	76921.0	4.47101e-08	2722.28	172.16099999999997	11.4406	495.12699999999995	31.3127	2.08082	26.6201	1.6834900000000002	0.111873	5.14891e-11	210.59799999999998	419.86199999999997	4.55802e-07	0	1.16773e-06	100.0	0	4.79001e-10	0	94.9744	5.0256	0	7.492149999999999e-05	0.000202311	0.293222	-0.000518091	0.000263657	0.00171745	2.89152e-06	0.00162553	1.9982799999999998	
3300000.0	0.00230449	0.0937573	0.018647999999999998	99.986	4.99935	0.00173655	51.9328	0.033791	48.0334	100.0	3.2985400000000004e-10	99.6639	0.336057	8.263309999999999e-09	1.13027e-05	0.0390254	0.0390254	0.00390254	99.6634	0.33663899999999997	0.00264217	1.49834	396.93	0.00308663	0.00228799	0.027811400000000003	0.0168232	99.9989	1.63632e-07	19.9956	20.0035	0.04181819999999999	51.891000000000005	7.134760000000001	4.44968	1493.03	0	7142.0	92858.0	15747.6	77110.4	8.929629999999999e-09	2058.24	128.45600000000002	8.6203	374.07099999999997	23.346	1.5666799999999999	20.1273	1.25615	0.0842968	1.21218e-11	207.833	418.423	9.103450000000001e-08	0	2.37537e-07	100.0	0	1.33665e-10	0	93.3274	6.672610000000001	0	6.72607e-05	0.000158877	0.335997	-0.000557746	0.000163714	0.00099328	1.39432e-06	0.00111846	1.99901	
3600000.0	0.00208215	0.06972080000000001	0.013882299999999998	99.9848	4.999280000000001	0.00147863	53.0047	0.0375851	46.9578	100.0	1.09117e-10	99.6262	0.373776	7.22988e-09	9.622360000000002e-06	0.0327021	0.0327021	0.00327021	99.6257	0.374327	0.00229811	1.5961	397.251	0.00338822	0.00169573	0.0220998	0.012518000000000001	99.9992	5.4131099999999996e-08	19.9981	20.0026	0.049334699999999995	52.9553	6.66657	4.11754	1390.68	0	6712.08	93287.9	15975.9	77312.0	1.81977e-09	1555.61	96.1485	6.49475	282.497	17.4606	1.17945	15.2129	0.9402739999999999	0.0635147	3.47451e-12	205.828	417.11199999999997	1.85521e-08	0	4.9399600000000004e-08	100.0	0	4.40083e-11	0	91.7439	8.25612	0	6.17004e-05	0.000131214	0.373707	-0.000585118	0.000111691	0.000621767	7.90608e-07	0.0008326869999999999	1.99938	
3900000.0	0.00191101	0.0547379	0.0109072	99.9839	4.999230000000001	0.00128066	54.1833	0.0409207	45.7757	100.0	4.0667999999999996e-11	99.5931	0.40691700000000003	6.654050000000001e-09	8.33315e-06	0.0280444	0.0280444	0.00280444	99.5926	0.407436	0.00203678	1.73288	397.524	0.00379988	0.00132825	0.018394	0.00983209	99.9993	2.0173799999999998e-08	19.9993	20.002	0.0571408	54.1262	6.22616	3.818	1295.06	0	6333.87	93666.1	16148.8	77517.3	3.7916699999999997e-10	1175.45	72.1314	4.89337	213.27900000000002	13.0879	0.887883	11.4962	0.7054630000000001	0.0478584	1.15098e-12	204.355	415.907	3.86553e-09	0	1.0520200000000002e-08	100.0	0	1.63562e-11	0	90.241	9.759	0	5.73114e-05	0.000112043	0.406841	-0.0006032990000000001	8.385309999999999e-05	0.000427945	5.00633e-07	0.000654269	1.99957	
4200000.0	0.00177027	0.0446563	0.008903200000000002	99.9833	4.9992	0.00112033	55.4558	0.043849599999999996	44.5003	100.0	1.66036e-11	99.564	0.43600500000000003	6.20418e-09	7.2894899999999996e-06	0.0243923	0.0243923	0.00243923	99.5635	0.436492	0.00182926	1.9000700000000001	397.759	0.00431294	0.00108182	0.0158045	0.00802369	99.9995	8.2358e-09	19.9998	20.0016	0.0653241	55.3905	5.81241	3.54525	1205.76	0	5999.99	94000.0	16279.8	77720.2	8.08983e-11	888.069	54.2056	3.6871400000000003	160.987	9.82628	0.668397	8.68668	0.5302140000000001	0.0360658	4.2552299999999995e-13	203.265	414.79400000000004	8.247489999999999e-10	0	2.2969099999999997e-09	100.0	0	6.66584e-12	0	88.8187	11.1813	0	5.36203e-05	9.787729999999999e-05	0.43592299999999995	-0.000614733	6.828220000000001e-05	0.000323897	3.4269199999999996e-07	0.000534075	1.99968	
4500000.0	0.00164869	0.0374691	0.00747329	99.9829	4.9991699999999994	0.000984761	56.8107	0.046417400000000004	43.1429	100.0	7.28383e-12	99.5385	0.46149799999999996	5.81809e-09	6.407280000000001e-06	0.021380700000000002	0.021380700000000002	0.00213807	99.538	0.461951	0.00165856	2.0906599999999997	397.965	0.00492096	0.000906595	0.013893299999999999	0.00673385	99.9996	3.6126999999999997e-09	19.9999	20.0013	0.0739781	56.7367	5.4240900000000005	3.2952	1122.42	0	5704.25	94295.7	16379.1	77916.7	1.7694e-11	670.9069999999999	40.7871	2.7785900000000003	121.49700000000001	7.38628	0.503186	6.56371	0.399034	0.0271839	1.71421e-13	202.455	413.764	1.80389e-10	0	5.145650000000001e-10	100.0	0	2.92069e-12	0	87.4711	12.5289	0	5.03708e-05	8.688780000000001e-05	0.46141099999999996	-0.000621276	5.89772e-05	0.00026541	2.48297e-07	0.000448311	1.99973	
4800000.0	0.0015398	0.032111900000000006	0.00640677	99.9826	4.99916	0.000866052	58.2376	0.04866090000000001	41.7137	100.0	3.38669e-12	99.5162	0.483766	5.4721000000000006e-09	5.63497e-06	0.018794799999999997	0.018794799999999997	0.00187948	99.5158	0.484183	0.00151418	2.29811	398.145	0.00561583	0.000776247	0.012423100000000001	0.00577208	99.9996	1.67964e-09	19.9999	20.0011	0.0831985	58.1544	5.05996	3.06478	1044.65	0	5441.48	94558.5	16454.2	78104.3	3.9702099999999995e-12	506.84	30.7206	2.09426	91.6826	5.5570900000000005	0.378833	4.95984	0.300625	0.020494	7.398689999999999e-14	201.84900000000002	412.809	4.04766e-11	0	1.18339e-10	100.0	0	1.35683e-12	0	86.1911	13.8089	0	4.74159e-05	7.80345e-05	0.483675	-0.000624333	5.29071e-05	0.000230205	1.8776900000000002e-07	0.00038434	1.99977	
5100000.0	0.0014397	0.027976499999999998	0.00558306	99.9824	4.999140000000001	0.00075909	59.7274	0.0506085	40.222	100.0	1.6523e-12	99.4969	0.503097	5.1533799999999994e-09	4.93922e-06	0.016501	0.016501	0.0016500999999999998	99.4965	0.5034770000000001	0.0013893	2.51575	398.30400000000003	0.00638479	0.000675786	0.0112553	0.00502944	99.9997	8.194119999999999e-10	19.9999	20.000999999999998	0.0930844	59.6343	4.71876	2.8517	972.1139999999999	0	5207.31	94792.7	16511.1	78281.6	9.14328e-13	382.902	23.1563	1.57875	69.1785	4.1836400000000005	0.28523200000000004	3.7482599999999997	0.226679	0.0154545	3.37948e-14	201.396	411.923	9.32171e-12	0	2.79453e-11	100.0	0	6.61551e-13	0	84.9716	15.0284	0	4.4667200000000005e-05	7.06875e-05	0.503003	-0.000624978	4.85332e-05	0.000207025	1.46777e-07	0.000334931	1.9997900000000002	
5400000.0	0.00134588	0.0246936	0.00492888	99.9823	4.999140000000001	0.000660404	61.2714	0.052281600000000004	38.6763	100.0	8.394840000000001e-13	99.4803	0.5197039999999999	4.8541099999999995e-09	4.2974099999999996e-06	0.014411400000000001	0.014411400000000001	0.00144114	99.48	0.520046	0.00127934	2.73658	398.44300000000004	0.00720808	0.000596137	0.0103036	0.00443975	99.9997	4.1629400000000005e-10	19.9998	20.0009	0.10373900000000001	61.1677	4.39926	2.65413	904.4810000000001	0	4998.05	95001.9	16554.2	78447.7	2.1615999999999998e-13	289.284	17.4651	1.19036	52.1948	3.1512	0.214775	2.83304	0.17104	0.0116575	1.61863e-14	201.05599999999998	411.098	2.2038e-12	0	6.77617e-12	100.0	0	3.35951e-13	0	83.8064	16.1936	0	4.2068500000000006e-05	6.44441e-05	0.5196069999999999	-0.0006240390000000001	4.5069300000000006e-05	0.00019015400000000002	1.1778700000000001e-07	0.00029569	1.9998099999999999	
5700000.0	0.00125668	0.0220274	0.00439741	99.9822	4.99913	0.000567537	62.8617	0.053695299999999994	37.0846	100.0	4.4157700000000006e-13	99.4663	0.533742	4.56924e-09	3.6935300000000003e-06	0.012465200000000001	0.012465200000000001	0.00124652	99.46600000000001	0.534043	0.00118114	2.95325	398.564	0.0080572	0.000531518	0.00951174	0.00396075	99.9997	2.18962e-10	19.9998	20.0008	0.115272	62.7464	4.100280000000001	2.4706	841.437	0	4810.57	95189.4	16586.8	78602.6	5.24596e-14	218.56799999999998	13.1789	0.8976940000000001	39.3787	2.3744099999999997	0.161736	2.14164	0.129133	0.00879605	8.07184e-15	200.8	410.33099999999996	5.34843e-13	0	1.68686e-12	100.0	0	1.76647e-13	0	82.6898	17.3102	0	3.9582399999999996e-05	5.90345e-05	0.533643	-0.000622171	4.21091e-05	0.000176669	9.655129999999999e-08	0.000263809	1.9998200000000002	
