# Time	[Fungal pathogen]	[Bacterial pathogen]	[LysM]	[PRRs]	[FLS2]	[LRR]	[MAPKKK]	[MAPKKK_2]	[MAPKKK1]	[MAPKKK18]	[MAPKKK19]	[MAPKKK20]	[EDR1]	[MAPKK]	[MAPKK_2]	[MAPKK2]	[MAPKK4]	[MAPKK5]	[MAPKK9]	[MAPK]	[MAPK_2]	[MAPK2]	[MAPK3]	[MAPK4]	[MAPK6]	[WRKY1]	[WRKY1_2]	[MYB2]	[MYB2_2]	[WRKY33]	[WRKY33_2]	[WRKY6]	[WRKY6_2]	[MYB4]	[MYB4_2]	[WRKY25]	[WRKY25_2]	[WRKY12]	[WRKY12_2]	[WRKY22]	[WRKY22_2]	[WRKY28]	[WRKY28_2]	[WRKY29]	[WRKY29_2]	[MYB44]	[NAC]	[bZIP]	[AP2]	[Response]	[SIMK]	[SAMK]	
40.8	1.16003	1.16019	1.16002	1.16008	1.1602	1.16047	1.16022	1.16051	1.16115	1.16035	1.16049	1.16035	1.16027	1.1609	1.16138	1.16158	1.16164	1.16159	1.16089	1.16171	1.16201	1.16181	1.16192	1.16197	1.16192	1.16197	1.16209	1.16213	1.16217	1.16199	1.1621	1.1621	1.16215	1.16206	1.16213	1.1621	1.16215	1.16206	1.16213	1.162	1.1621	1.162	1.1621	1.162	1.1621	1.16211	1.16211	1.16211	1.16211	1.16212	1.16208	1.16208	
43.2	1.16046	1.16057	1.16045	1.16049	1.16058	1.16077	1.16059	1.1608	1.16126	1.16068	1.16078	1.16068	1.16063	1.16108	1.16142	1.16157	1.16161	1.16158	1.16107	1.16166	1.16188	1.16173	1.16181	1.16185	1.16181	1.16185	1.16193	1.16196	1.16199	1.16186	1.16194	1.16194	1.16198	1.16191	1.16197	1.16194	1.16198	1.16191	1.16197	1.16187	1.16194	1.16187	1.16194	1.16187	1.16194	1.16195	1.16195	1.16195	1.16195	1.16196	1.16193	1.16193	
45.6	1.16076	1.16084	1.16076	1.16079	1.16085	1.16099	1.16086	1.16101	1.16134	1.16092	1.161	1.16092	1.16088	1.16121	1.16146	1.16156	1.16159	1.16157	1.1612	1.16162	1.16178	1.16168	1.16173	1.16176	1.16173	1.16176	1.16182	1.16184	1.16186	1.16177	1.16183	1.16183	1.16186	1.16181	1.16185	1.16183	1.16186	1.16181	1.16185	1.16178	1.16183	1.16178	1.16183	1.16178	1.16183	1.16183	1.16183	1.16183	1.16183	1.16184	1.16182	1.16182	
48	1.16098	1.16104	1.16098	1.161	1.16104	1.16114	1.16105	1.16116	1.16139	1.1611	1.16115	1.1611	1.16107	1.1613	1.16148	1.16155	1.16158	1.16156	1.1613	1.1616	1.16171	1.16164	1.16168	1.1617	1.16168	1.1617	1.16174	1.16176	1.16177	1.16171	1.16175	1.16175	1.16177	1.16173	1.16176	1.16175	1.16177	1.16173	1.16176	1.16171	1.16175	1.16171	1.16175	1.16171	1.16175	1.16175	1.16175	1.16175	1.16175	1.16176	1.16174	1.16174	
50.4	1.16114	1.16118	1.16113	1.16115	1.16118	1.16125	1.16119	1.16126	1.16143	1.16122	1.16126	1.16122	1.1612	1.16137	1.1615	1.16155	1.16156	1.16155	1.16137	1.16158	1.16166	1.16161	1.16164	1.16165	1.16164	1.16165	1.16168	1.1617	1.16171	1.16166	1.16169	1.16169	1.1617	1.16168	1.1617	1.16169	1.1617	1.16168	1.1617	1.16166	1.16169	1.16166	1.16169	1.16166	1.16169	1.16169	1.16169	1.16169	1.16169	1.16169	1.16168	1.16168	
52.8	1.16125	1.16128	1.16125	1.16126	1.16128	1.16133	1.16129	1.16134	1.16146	1.16131	1.16134	1.16131	1.1613	1.16142	1.16151	1.16155	1.16156	1.16155	1.16141	1.16157	1.16163	1.16159	1.16161	1.16162	1.16161	1.16162	1.16164	1.16165	1.16166	1.16162	1.16165	1.16165	1.16166	1.16164	1.16165	1.16165	1.16166	1.16164	1.16165	1.16163	1.16165	1.16163	1.16165	1.16163	1.16165	1.16165	1.16165	1.16165	1.16165	1.16165	1.16164	1.16164	
55.2	1.16133	1.16135	1.16133	1.16134	1.16135	1.16139	1.16136	1.1614	1.16148	1.16137	1.16139	1.16137	1.16136	1.16145	1.16152	1.16154	1.16155	1.16155	1.16145	1.16156	1.1616	1.16158	1.16159	1.1616	1.16159	1.1616	1.16161	1.16162	1.16163	1.1616	1.16162	1.16162	1.16162	1.16161	1.16162	1.16162	1.16162	1.16161	1.16162	1.1616	1.16162	1.1616	1.16162	1.1616	1.16162	1.16162	1.16162	1.16162	1.16162	1.16162	1.16161	1.16161	
57.6	1.16139	1.16141	1.16139	1.16139	1.16141	1.16143	1.16141	1.16144	1.1615	1.16142	1.16143	1.16142	1.16141	1.16148	1.16152	1.16154	1.16155	1.16154	1.16147	1.16156	1.16158	1.16157	1.16158	1.16158	1.16158	1.16158	1.16159	1.1616	1.1616	1.16158	1.16159	1.16159	1.1616	1.16159	1.1616	1.16159	1.1616	1.16159	1.1616	1.16158	1.16159	1.16158	1.16159	1.16158	1.16159	1.16159	1.16159	1.16159	1.16159	1.1616	1.16159	1.16159	
60	1.16143	1.16144	1.16143	1.16144	1.16144	1.16146	1.16145	1.16147	1.16151	1.16145	1.16146	1.16145	1.16145	1.16149	1.16153	1.16154	1.16155	1.16154	1.16149	1.16155	1.16157	1.16156	1.16157	1.16157	1.16157	1.16157	1.16158	1.16158	1.16158	1.16157	1.16158	1.16158	1.16158	1.16158	1.16158	1.16158	1.16158	1.16158	1.16158	1.16157	1.16158	1.16157	1.16158	1.16157	1.16158	1.16158	1.16158	1.16158	1.16158	1.16158	1.16158	1.16158	
62.4	1.16146	1.16147	1.16146	1.16146	1.16147	1.16148	1.16147	1.16149	1.16152	1.16148	1.16148	1.16148	1.16147	1.16151	1.16153	1.16154	1.16154	1.16154	1.16151	1.16155	1.16156	1.16155	1.16156	1.16156	1.16156	1.16156	1.16157	1.16157	1.16157	1.16156	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16156	1.16157	1.16156	1.16157	1.16156	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	
