time	s5	s16	s1	s27	s28	s30	s31	s32	s33	s37	s46	s75	s101	s102	s107	s121	s155	s164	s171	s172	s173	s170	s195	s174	s239	s36	s123	s129	s159	s232	s176	s179	s183	s188	s245	s252	s268	s260	s270	s275	s278	s286	s288	s292	s61	s259	s266	s267	s304	s305	nnamed: 5
400	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607307	2.31102	0.705492	0.294508	0.0858605	0.731011	1.7779599999999998	0.9254629999999999	2.62436	1.8777700000000002	2.1545099999999997	0.07453739999999999	0.9254629999999999	0.00460874	0.012824200000000003	0.0101279	0.00135142	1.9871599999999998	0.655235	1.44054	0.101727	0.354464	0.161949	0.296576	0.708016	1.34612	0.00325732	0.00551919	0.00269629	0.418628	3.79313	2.0911400000000003e-24	1.0742999999999999e-25	2.2288700000000004e-24	3.6920399999999996e-24	6.50967e-24	1.37252	0.313345	0.289779	1.17925	0.8207459999999999	4.02162e-25	4.87897e-25	0.5	1.10326e-05	
440	1.24138	0.809357	0.681921	1.50872	1.49128	0.060734199999999995	2.3109900000000003	0.705503	0.29449699999999995	0.08586389999999999	0.731059	1.7779599999999998	0.9254629999999999	2.62435	1.8776599999999999	2.1545400000000003	0.07453739999999999	0.9254629999999999	0.00442628	0.0120179	0.00960452	0.00129787	1.98797	0.655211	1.44054	0.101728	0.354473	0.161964	0.296582	0.708025	1.34609	0.00312841	0.00517824	0.00241337	0.418584	3.79311	1.1159100000000003e-26	5.73289e-28	1.18945e-26	1.97027e-26	3.4739099999999996e-26	1.37259	0.313359	0.28979099999999997	1.17926	0.820744	2.14609e-27	2.6035999999999995e-27	0.5	9.25253e-06	
480	1.24138	0.809357	0.681921	1.50872	1.49128	0.060735800000000006	2.31097	0.705507	0.294493	0.0858656	0.731083	1.77795	0.9254629999999999	2.62434	1.8776099999999998	2.15456	0.07453739999999999	0.9254629999999999	0.0042695	0.011336	0.00915463	0.00125187	1.9886599999999999	0.655195	1.44054	0.101728	0.354476	0.16197	0.296584	0.7080270000000001	1.34606	0.00301763	0.00488513	0.00218133	0.418563	3.7931	5.95626e-29	3.0599599999999997e-30	6.34883e-29	1.05166e-28	1.85424e-28	1.37263	0.313366	0.289796	1.17926	0.820743	1.14549e-29	1.38969e-29	0.5	7.8873e-06	
520	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607366	2.31097	0.7055100000000001	0.29449000000000003	0.0858663	0.7310949999999999	1.77795	0.9254629999999999	2.62433	1.87758	2.15457	0.07453739999999999	0.9254629999999999	0.00413267	0.0107506	0.00876271	0.00121173	1.9892400000000001	0.6551819999999999	1.44054	0.101728	0.354477	0.161973	0.296585	0.708026	1.3460299999999998	0.00292094	0.00463004	0.00198786	0.41855200000000004	3.7931	3.18052e-31	1.63395e-32	3.3901499999999996e-31	5.61564e-31	9.90129e-31	1.37265	0.313369	0.289799	1.17926	0.820742	6.11666e-32	7.42063e-32	0.5	6.815760000000001e-06	
560	1.24138	0.809357	0.681921	1.50872	1.49128	0.060737	2.3109599999999997	0.705511	0.294489	0.08586669999999999	0.731101	1.77795	0.9254629999999999	2.62433	1.8775700000000002	2.1545799999999997	0.07453739999999999	0.9254629999999999	0.00401171	0.0102417	0.00841742	0.00117625	1.98975	0.655173	1.44054	0.101728	0.354476	0.161974	0.296584	0.708023	1.3459999999999999	0.00283546	0.00440571	0.00182427	0.418547	3.7931	1.6996699999999998e-33	8.731859999999998e-35	1.8116999999999998e-33	3.0009999999999996e-33	5.29126e-33	1.37266	0.31337	0.2898	1.17926	0.820742	3.26875e-34	3.96559e-34	0.5	5.958210000000001e-06	
600	1.24138	0.809357	0.681921	1.50872	1.49128	0.060737099999999995	2.3109599999999997	0.705511	0.294489	0.0858669	0.731105	1.77795	0.9254629999999999	2.62433	1.87756	2.1545799999999997	0.07453739999999999	0.9254629999999999	0.00390364	0.00979456	0.00811028	0.00114455	1.9902	0.6551640000000001	1.44054	0.101727	0.354475	0.161974	0.296584	0.70802	1.34598	0.00275909	0.00420664	0.00168428	0.41854399999999997	3.7931	9.09911e-36	4.67456e-37	9.69881e-36	1.60657e-35	2.83264e-35	1.37266	0.313371	0.28980100000000003	1.17926	0.820742	1.74991e-36	2.1229599999999997e-36	0.5	5.26039e-06	
640	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607372	2.3109599999999997	0.705512	0.294488	0.085867	0.731107	1.77795	0.9254629999999999	2.62433	1.87756	2.1545900000000002	0.07453739999999999	0.9254629999999999	0.00380623	0.00939806	0.00783483	0.00111598	1.9906	0.655157	1.44054	0.101727	0.35447399999999996	0.161974	0.296583	0.708017	1.34596	0.00269025	0.0040286	0.00156323	0.418542	3.7931	4.88526e-38	2.50975e-39	5.20723e-38	8.625549999999998e-38	1.5208299999999998e-37	1.37266	0.313372	0.28980100000000003	1.17926	0.820742	9.395169999999999e-39	1.1398100000000001e-38	0.5	4.684330000000001e-06	
680	1.24138	0.809357	0.681921	1.50872	1.49128	0.06073730000000001	2.3109599999999997	0.705512	0.294488	0.085867	0.731108	1.77795	0.9254629999999999	2.62433	1.87756	2.1545900000000002	0.07453739999999999	0.9254629999999999	0.00371777	0.00904362	0.00758602	0.00109003	1.99095	0.65515	1.44054	0.101726	0.354473	0.161974	0.296582	0.708014	1.34594	0.00262773	0.00386825	0.0014575999999999999	0.418541	3.7931	2.63244e-40	1.3523899999999998e-41	2.8059299999999997e-40	4.6479e-40	8.19501e-40	1.37266	0.313372	0.28980100000000003	1.17926	0.820742	5.06262e-41	6.14189e-41	0.5	4.20278e-06	
720	1.24138	0.809357	0.681921	1.50872	1.49128	0.06073730000000001	2.3109599999999997	0.705512	0.294488	0.0858671	0.731109	1.7779599999999998	0.9254629999999999	2.62433	1.87756	2.1545900000000002	0.07453739999999999	0.9254629999999999	0.0036368999999999998	0.00872452	0.00735986	0.00106632	1.99127	0.655144	1.44054	0.101726	0.35447199999999995	0.161974	0.296582	0.708011	1.34592	0.00257058	0.00372296	0.00136466	0.41853999999999997	3.7931	1.4238800000000002e-42	7.315000000000001e-44	1.51771e-42	2.5140199999999998e-42	4.43263e-42	1.37266	0.313372	0.28980100000000003	1.17926	0.820742	2.73835e-43	3.3221199999999996e-43	0.5	3.79577e-06	
760	1.24138	0.809357	0.681921	1.50872	1.49128	0.060737400000000004	2.3109599999999997	0.705512	0.294488	0.0858671	0.73111	1.7779599999999998	0.9254629999999999	2.62433	1.87756	2.1546	0.07453739999999999	0.9254629999999999	0.00356255	0.00843546	0.00715314	0.00104452	1.9915599999999998	0.655138	1.44054	0.101725	0.354471	0.161974	0.296581	0.708008	1.34591	0.00251803	0.00359059	0.00128232	0.41853999999999997	3.7931	7.739939999999999e-45	3.9763e-46	8.249969999999999e-45	1.36657e-44	2.40949e-44	1.37266	0.313372	0.28980100000000003	1.17926	0.820742	1.48852e-45	1.8058499999999996e-45	0.5	3.44838e-06	
800	1.24138	0.809357	0.681921	1.50872	1.49128	0.060737400000000004	2.3109599999999997	0.705512	0.294488	0.0858671	0.731111	1.7779599999999998	0.9254629999999999	2.62433	1.87756	2.1546	0.07453739999999999	0.9254629999999999	0.00349386	0.00817214	0.00696326	0.00102437	1.9918200000000001	0.655133	1.44054	0.101725	0.354471	0.161973	0.29658	0.708006	1.34589	0.00246948	0.0034694	0.00120888	0.41853900000000005	3.7931	4.20769e-47	2.1616499999999997e-48	4.484940000000001e-47	7.42912e-47	1.30988e-46	1.37266	0.313372	0.289802	1.17926	0.820742	8.092080000000001e-48	9.817190000000001e-48	0.5	3.14927e-06	
840	1.24138	0.809357	0.681921	1.50872	1.49128	0.060737400000000004	2.3109599999999997	0.705512	0.294488	0.0858671	0.731112	1.7779599999999998	0.9254629999999999	2.62433	1.87756	2.1546	0.07453739999999999	0.9254629999999999	0.00343011	0.00793108	0.00678807	0.00100568	1.99207	0.655129	1.44054	0.101725	0.35447	0.161973	0.29658	0.708004	1.34588	0.00242443	0.00335796	0.00114301	0.418538	3.7931	2.60208e-49	1.33686e-50	2.77358e-49	4.5943e-49	8.10052e-49	1.37266	0.313372	0.289802	1.17926	0.820742	5.00422e-50	6.071359999999999e-50	0.5	2.8897199999999998e-06	
880	1.24138	0.809357	0.681921	1.50872	1.49128	0.060737400000000004	2.3109599999999997	0.7055130000000001	0.294487	0.0858671	0.731113	1.7779599999999998	0.9254629999999999	2.62433	1.87756	2.1546	0.07453739999999999	0.9254629999999999	0.00337071	0.007709399999999999	0.00662578	0.000988262	1.9922900000000001	0.6551239999999999	1.44054	0.101724	0.354469	0.161973	0.296579	0.708001	1.34586	0.00238245	0.00325507	0.00108362	0.418538	3.7931	1.7711999999999998e-51	9.09663e-53	1.88772e-51	3.12698e-51	5.513330000000001e-51	1.37267	0.313372	0.289802	1.17926	0.820742	3.4062899999999995e-52	4.1313799999999996e-52	0.5	2.6628899999999997e-06	
920	1.24138	0.809357	0.681921	1.50872	1.49128	0.060737400000000004	2.3109599999999997	0.7055130000000001	0.294487	0.0858671	0.731113	1.7779599999999998	0.9254629999999999	2.62433	1.87756	2.1546	0.07453739999999999	0.9254629999999999	0.00331518	0.00750472	0.00647491	0.0009719780000000001	1.99249	0.65512	1.44054	0.101724	0.354468	0.161973	0.296579	0.7079989999999999	1.34585	0.0023431999999999997	0.00315973	0.00102981	0.418538	3.7931	-8.43793e-53	-4.3343199999999994e-54	-8.99304e-53	-1.48968e-52	-2.62653e-52	1.37267	0.313372	0.289802	1.17926	0.820742	-1.62277e-53	-1.96847e-53	0.5	2.46338e-06	
960	1.24138	0.809357	0.681921	1.50872	1.49128	0.060737400000000004	2.3109599999999997	0.7055130000000001	0.294487	0.0858672	0.731114	1.7779599999999998	0.9254629999999999	2.62433	1.87756	2.15461	0.07453739999999999	0.9254629999999999	0.00326309	0.00731502	0.00633418	0.000956704	1.99268	0.655116	1.44054	0.101724	0.354468	0.161973	0.296578	0.7079979999999999	1.34584	0.00230638	0.00307109	0.000980845	0.418537	3.7931	-4.4991800000000005e-54	-2.3126100000000003e-55	-4.7977799999999995e-54	-7.94676e-54	-1.4012e-53	1.37267	0.313372	0.289802	1.17926	0.820742	-8.65213e-55	-1.0502099999999999e-54	0.5	2.28688e-06	
1000	1.24138	0.809357	0.681921	1.50872	1.49128	0.060737400000000004	2.3109599999999997	0.7055130000000001	0.294487	0.0858672	0.731114	1.7779599999999998	0.9254629999999999	2.62433	1.87756	2.15461	0.07453739999999999	0.9254629999999999	0.00321408	0.00713863	0.00620252	0.0009423360000000001	1.9928599999999999	0.6551130000000001	1.44054	0.101724	0.35446700000000003	0.161972	0.296578	0.707996	1.3458299999999999	0.00227175	0.00298843	0.000936113	0.418537	3.7931	-1.8450399999999997e-55	-9.45169e-57	-1.96436e-55	-3.254469999999999e-55	-5.7375799999999996e-55	1.37267	0.313372	0.289802	1.17926	0.820742	-3.54844e-56	-4.293830000000001e-56	0.5	2.12989e-06	
1040	1.24138	0.809357	0.681921	1.50872	1.49128	0.060737400000000004	2.3109599999999997	0.7055130000000001	0.294487	0.0858672	0.731115	1.7779599999999998	0.9254629999999999	2.62433	1.87756	2.15461	0.07453739999999999	0.9254629999999999	0.00316786	0.0069741	0.006079	0.0009287830000000001	1.99302	0.655109	1.44054	0.10172300000000001	0.354466	0.161972	0.296577	0.707994	1.34582	0.00223908	0.00291114	0.000895097	0.41853599999999996	3.7931	-3.3040700000000003e-56	-1.69685e-57	-3.5203099999999992e-56	-5.83162e-56	-1.0281700000000001e-55	1.37267	0.313372	0.289802	1.17926	0.820742	-6.354689999999998e-57	-7.70664e-57	0.5	1.98958e-06	
1080	1.24138	0.809357	0.681921	1.50872	1.49128	0.060737400000000004	2.3109599999999997	0.7055130000000001	0.294487	0.0858672	0.731115	1.7779599999999998	0.9254629999999999	2.62433	1.87756	2.15461	0.07453739999999999	0.9254629999999999	0.00312416	0.00682018	0.00596282	0.000915969	1.99318	0.6551060000000001	1.44054	0.10172300000000001	0.354466	0.161972	0.296577	0.707993	1.34581	0.00220819	0.00283866	0.0008573610000000001	0.41853599999999996	3.7931	-2.58801e-57	-1.3347599999999998e-58	-2.7603099999999994e-57	-4.571850000000001e-57	-8.0614e-57	1.37267	0.313372	0.289802	1.17926	0.820742	-4.97793e-58	-6.05946e-58	0.5	1.8636e-06	
1120	1.24138	0.809357	0.681921	1.50872	1.49128	0.060737400000000004	2.3109599999999997	0.7055130000000001	0.294487	0.0858672	0.731116	1.7779599999999998	0.9254629999999999	2.62433	1.87755	2.15461	0.07453739999999999	0.9254629999999999	0.00308274	0.00667583	0.00585329	0.000903826	1.99332	0.655103	1.44054	0.10172300000000001	0.35446500000000003	0.161972	0.296577	0.707991	1.3458	0.00217892	0.00277055	0.000822534	0.41853599999999996	3.7931	4.311579999999999e-59	2.1065499999999996e-60	4.5520699999999995e-59	7.552169999999999e-59	1.3304299999999999e-58	1.37267	0.313372	0.289802	1.17926	0.820742	8.278109999999999e-60	9.616679999999998e-60	0.5	1.75002e-06	
1160	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607375	2.3109599999999997	0.7055130000000001	0.294487	0.0858672	0.731116	1.7779599999999998	0.9254629999999999	2.62433	1.87755	2.15461	0.07453739999999999	0.9254629999999999	0.00304342	0.00654011	0.00574981	0.000892295	1.9934599999999998	0.6551	1.44054	0.10172300000000001	0.35446500000000003	0.161972	0.296576	0.70799	1.34579	0.00215112	0.00270639	0.000790299	0.41853599999999996	3.7931	4.40485e-59	2.2483599999999996e-60	4.688309999999999e-59	7.767809999999999e-59	1.36942e-58	1.37267	0.313372	0.289802	1.17926	0.820742	8.469749999999999e-60	1.0217699999999998e-59	0.5	1.6472099999999997e-06	
1200	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607375	2.3109599999999997	0.7055130000000001	0.294487	0.0858672	0.731116	1.7779599999999998	0.9254629999999999	2.62433	1.87755	2.15461	0.07453739999999999	0.9254629999999999	0.003006	0.00641222	0.00565184	0.000881325	1.9935900000000002	0.655097	1.44054	0.101722	0.354464	0.161972	0.296576	0.7079880000000001	1.34578	0.00212468	0.00264584	0.0007603810000000001	0.41853500000000005	3.7931	-1.2608699999999998e-60	-6.700369999999998e-62	-1.35731e-60	-2.2447499999999995e-60	-3.9613499999999993e-60	1.37267	0.313372	0.289802	1.17926	0.820742	-2.4258899999999994e-61	-3.0324399999999996e-61	0.5	1.5538399999999999e-06	
1240	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607375	2.3109599999999997	0.7055130000000001	0.294487	0.0858672	0.731117	1.7779599999999998	0.9254629999999999	2.62433	1.87755	2.15461	0.07453739999999999	0.9254629999999999	0.00297034	0.00629145	0.00555891	0.00087087	1.9937099999999999	0.655095	1.44054	0.101722	0.354464	0.161972	0.296576	0.707987	1.34578	0.00209947	0.00258857	0.0007325439999999999	0.41853500000000005	3.7931	4.02838e-62	2.0426099999999998e-63	4.05718e-62	6.781819999999999e-62	1.1896899999999998e-61	1.37267	0.313373	0.289802	1.17926	0.820742	7.834969999999999e-63	9.305659999999998e-63	0.5	1.46873e-06	
1280	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607375	2.3109599999999997	0.7055130000000001	0.294487	0.0858672	0.731117	1.7779599999999998	0.9254629999999999	2.62433	1.87755	2.15462	0.07453739999999999	0.9254629999999999	0.0029363	0.00617719	0.00547061	0.0008608880000000001	1.9938200000000001	0.655092	1.44054	0.101722	0.354464	0.161971	0.296575	0.707986	1.3457700000000001	0.00207541	0.00253431	0.000706583	0.41853500000000005	3.7931	4.178849999999999e-62	2.1634599999999994e-63	4.466749999999999e-62	7.3956299999999985e-62	1.3042999999999997e-61	1.37267	0.313373	0.289802	1.17926	0.820742	8.036299999999999e-63	9.817329999999999e-63	0.5	1.3909299999999999e-06	
1320	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607375	2.3109599999999997	0.7055130000000001	0.294487	0.0858672	0.731118	1.7779599999999998	0.9254629999999999	2.62433	1.87755	2.15462	0.07453739999999999	0.9254629999999999	0.00290374	0.00606888	0.00538657	0.000851344	1.99393	0.65509	1.44054	0.101722	0.35446300000000003	0.161971	0.296575	0.7079850000000001	1.34576	0.0020524000000000002	0.00248282	0.0006823160000000001	0.41853500000000005	3.7931	-2.4581599999999993e-62	-1.26028e-63	-2.6099599999999993e-62	-4.325919999999999e-62	-7.6247099999999985e-62	1.37267	0.313373	0.289802	1.17926	0.820742	-4.7307999999999993e-63	-5.725439999999999e-63	0.5	1.31959e-06	
1360	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607375	2.3109599999999997	0.7055130000000001	0.294487	0.0858672	0.731118	1.7779599999999998	0.9254629999999999	2.62433	1.87755	2.15462	0.07453739999999999	0.9254629999999999	0.00287258	0.00596604	0.00530645	0.0008422060000000001	1.99403	0.655088	1.44054	0.101722	0.35446300000000003	0.161971	0.296575	0.7079840000000001	1.34575	0.00203037	0.00243388	0.000659588	0.418534	3.7931	1.2717399999999997e-63	6.655569999999999e-65	1.3485099999999996e-63	2.2354899999999996e-63	3.939779999999999e-63	1.37267	0.313373	0.289802	1.17926	0.820742	2.4521199999999995e-64	3.0179199999999996e-64	0.5	1.25399e-06	
1400	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607375	2.3109599999999997	0.7055130000000001	0.294487	0.0858672	0.731118	1.7779599999999998	0.9254629999999999	2.62433	1.87755	2.15462	0.07453739999999999	0.9254629999999999	0.00284269	0.00586823	0.00522998	0.0008334439999999999	1.99413	0.655085	1.44054	0.101722	0.354462	0.161971	0.296575	0.707982	1.34575	0.00200925	0.00238729	0.0006382569999999999	0.418534	3.7931	3.935459999999999e-64	1.9735699999999997e-65	4.172999999999999e-64	6.918269999999999e-64	1.2192399999999998e-63	1.37267	0.313373	0.289802	1.17926	0.820742	7.5633699999999995e-65	8.985309999999999e-65	0.5	1.1935299999999999e-06	
1440	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607375	2.3109599999999997	0.7055130000000001	0.294487	0.0858672	0.731119	1.7779599999999998	0.9254629999999999	2.62433	1.87755	2.15462	0.07453739999999999	0.9254629999999999	0.002814	0.00577507	0.00515687	0.000825032	1.99422	0.655083	1.44054	0.101721	0.354462	0.161971	0.296574	0.7079810000000001	1.34574	0.00198897	0.00234287	0.000618202	0.418534	3.7931	-1.3507099999999998e-64	-6.885729999999998e-66	-1.4332899999999997e-64	-2.3758699999999996e-64	-4.1874e-64	1.37267	0.313373	0.289802	1.17926	0.820742	-2.5986799999999996e-65	-3.1299399999999992e-65	0.5	1.13766e-06	
1480	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607375	2.3109599999999997	0.7055130000000001	0.294487	0.0858672	0.731119	1.7779599999999998	0.9254629999999999	2.62433	1.87755	2.15462	0.07453739999999999	0.9254629999999999	0.00278642	0.0056862	0.00508689	0.0008169469999999999	1.9943099999999998	0.655081	1.44054	0.101721	0.354462	0.161971	0.296574	0.70798	1.34574	0.00196947	0.00230047	0.000599314	0.418534	3.7931	5.563029999999999e-65	2.8417299999999997e-66	5.918999999999999e-65	9.80737e-65	1.7289299999999996e-64	1.37267	0.313373	0.289802	1.17926	0.820742	1.0698099999999998e-65	1.2913499999999999e-65	0.5	1.0859200000000002e-06	
1520	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607375	2.3109599999999997	0.7055130000000001	0.294487	0.0858672	0.731119	1.7779599999999998	0.9254629999999999	2.62433	1.87755	2.15462	0.07453739999999999	0.9254629999999999	0.00275988	0.00560132	0.00501983	0.000809167	1.9944	0.655079	1.44054	0.101721	0.354461	0.161971	0.296574	0.707979	1.3457299999999999	0.00195072	0.00225994	0.000581496	0.418533	3.7931	3.5535e-66	1.8536399999999997e-67	3.792269999999999e-66	6.280349999999999e-66	1.1074599999999999e-65	1.37267	0.313373	0.289802	1.17926	0.820742	6.840139999999998e-67	8.405959999999999e-67	0.5	1.03789e-06	
1560	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607375	2.3109599999999997	0.7055130000000001	0.294487	0.0858673	0.731119	1.7779599999999998	0.9254629999999999	2.62433	1.87755	2.15462	0.07453739999999999	0.9254629999999999	0.00273432	0.00552015	0.00495549	0.000801673	1.99448	0.655077	1.44054	0.101721	0.354461	0.161971	0.296574	0.707979	1.34572	0.00193265	0.00222116	0.000564659	0.418533	3.7931	-3.0099699999999997e-66	-1.5537899999999997e-67	-3.2062699999999996e-66	-5.311519999999999e-66	-9.364599999999999e-66	1.37267	0.313373	0.289802	1.17926	0.820742	-5.791599999999999e-67	-7.053529999999998e-67	0.5	9.93222e-07	
