time	Glucose in	MgATP	Glucose 6-phosphate	MgADP	Fructose 6-phosphate	Fructose 1,6-phosphate	Glyceraldehyde 3-phosphate	Dihydroxyacetone phosphate	Phosphate	NAD	1,3-Bisphospho-D-glycerate	NADH	3-Phospho-D-glycerate	2,3-Bisphospho-D-glycerate	2-Phospho-D-glycerate	Phosphoenolpyruvate	Pyruvate	Lactate	NADPH	NADP	AMP	ADP	Phospho-D-glucono-1,5-lactone	Ribulose 5-phosphate	Oxidized Glutathione	Reduced Glutathione	Xylulose 5-phosphate	Ribose 5-phosphate	Sedoheptulose 7-phosphate	Erythrose 4-phosphate	MgAMP	ATP	Mg	MgGri23P2	Protein1 bound NADP	Protein1	Protein1 bound NADPH	Protein2 bound NADP	Protein2	Protein2 bound NADPH	nnamed: 4
0.0	4.5663	1.4	0.0394	0.1	0.0153	0.0097	0.0061	0.1492	0.9992	0.0653	0.0005	0.0002	0.0658	2.0601	0.0084	0.0109	0.084	1.6803	0.004	0.0	0.0	0.25	0.025	0.0047	0.0004	3.1136	0.0127	0.013999999999999999	0.0154	0.0063	0.0	0.25	0.8	0.5	0.0	0.0	0.024	0.0	0.0	0.024	
2e-07	4.5663	1.46071	0.0394	0.147094	0.0153003	0.00969972	0.00611199	0.149201	0.9992129999999999	0.0653149	0.000486673	0.000185113	0.06580010000000001	1.92262	0.00840003	0.0109	0.08399830000000001	1.6803	0.00497557	1.1134300000000002e-09	0.00019145799999999998	0.202516	0.025	0.0047	0.00039997800000000005	3.1136	0.0127	0.013999999999999999	0.0154	0.0063	3.6331e-06	0.18948099999999998	0.554709	0.63748	1.7877e-10	4.81389e-05	0.0239519	6.86591e-08	0.00092743	0.0230725	
4e-07	4.5663	1.4605299999999999	0.0394	0.147197	0.0153006	0.00969943	0.00611827	0.149203	0.9992209999999999	0.0653238	0.000478024	0.000176247	0.065801	1.92167	0.00840006	0.0109	0.0839972	1.6803	0.00497557	1.8595899999999998e-09	0.00038383300000000004	0.202015	0.025	0.00470001	0.000399956	3.1136	0.0126999	0.013999999999999999	0.0154	0.0063	9.6438e-06	0.189869	0.553838	0.63843	3.578730000000001e-10	4.8138999999999994e-05	0.0239519	1.37863e-07	0.000927428	0.023072400000000003	
6e-07	4.5663	1.4607	0.0394	0.14703	0.0153009	0.00969915	0.00612124	0.149204	0.9992260000000001	0.06532909999999999	0.000472869	0.000170902	0.0658015	1.92167	0.00840009	0.010899899999999999	0.0839964	1.6803	0.00497556	2.6057199999999996e-09	0.000574712	0.201786	0.025	0.00470001	0.000399934	3.1136	0.0126999	0.013999999999999999	0.0154	0.00630001	1.59627e-05	0.189897	0.553824	0.6384340000000001	5.37399e-10	4.8138999999999994e-05	0.0239519	2.0706199999999998e-07	0.0009274260000000001	0.023072400000000003	
8e-07	4.5663	1.4608700000000001	0.0394001	0.14686300000000002	0.015301200000000001	0.00969887	0.00612227	0.149206	0.9992280000000001	0.06533240000000001	0.000469795	0.00016764299999999998	0.06580189999999998	1.92167	0.00840012	0.010899899999999999	0.08399580000000001	1.6803	0.00497556	3.3518000000000004e-09	0.0007643839999999999	0.20156	0.025	0.00470001	0.000399912	3.1136	0.0126999	0.013999999999999999	0.0154	0.00630001	2.22879e-05	0.189921	0.553817	0.638428	7.16974e-10	4.8138999999999994e-05	0.0239519	2.76257e-07	0.0009274239999999999	0.023072299999999997	
1e-06	4.5663	1.46104	0.0394001	0.146698	0.015301499999999999	0.00969859	0.00612216	0.149207	0.99923	0.0653344	0.000467975	0.00016563599999999998	0.06580219999999999	1.9216799999999998	0.00840016	0.010899899999999999	0.0839953	1.6803	0.00497556	4.09784e-09	0.0009529	0.201335	0.025	0.00470002	0.00039989	3.1136	0.0126999	0.013999999999999999	0.0154	0.00630001	2.85801e-05	0.189946	0.5538109999999999	0.638423	8.96546e-10	4.81391e-05	0.0239519	3.45448e-07	0.000927422	0.0230722	
1.2e-06	4.5663	1.4612100000000001	0.0394001	0.146534	0.0153018	0.00969831	0.00612138	0.14920899999999998	0.999231	0.0653356	0.00046691800000000003	0.000164384	0.06580239999999998	1.9216799999999998	0.00840019	0.010899899999999999	0.0839949	1.6803099999999997	0.00497555	4.8438400000000005e-09	0.00114027	0.20111199999999999	0.025	0.00470002	0.00039986800000000005	3.1136	0.012699799999999999	0.013999999999999999	0.0154	0.00630001	3.48348e-05	0.18997	0.553805	0.638417	1.07611e-09	4.81391e-05	0.0239519	4.1463500000000003e-07	0.00092742	0.0230722	
1.4e-06	4.5663	1.46138	0.0394001	0.14637	0.0153021	0.00969803	0.00612023	0.14921099999999998	0.999231	0.0653364	0.00046633	0.00016359	0.0658025	1.9216900000000001	0.00840022	0.0108998	0.0839946	1.6803099999999997	0.00497555	5.58979e-09	0.00132652	0.20089	0.025	0.00470002	0.000399847	3.1136	0.012699799999999999	0.013999999999999999	0.0154	0.00630002	4.10517e-05	0.189994	0.5537989999999999	0.638412	1.2556600000000002e-09	4.81391e-05	0.0239519	4.83817e-07	0.0009274169999999999	0.023072099999999998	
1.6e-06	4.5663	1.46155	0.0394001	0.146208	0.0153024	0.00969775	0.00611886	0.14921199999999998	0.999231	0.0653369	0.000466031	0.000163074	0.0658026	1.9216900000000001	0.00840025	0.0108998	0.0839942	1.6803099999999997	0.00497555	6.33571e-09	0.00151165	0.20066900000000001	0.025000099999999997	0.00470002	0.000399825	3.1136	0.012699799999999999	0.013999999999999999	0.0154	0.00630002	4.7231e-05	0.19001800000000002	0.5537920000000001	0.638407	1.43521e-09	4.81391e-05	0.0239519	5.52995e-07	0.000927415	0.023072	
1.8000000000000001e-06	4.5663	1.46171	0.039400199999999996	0.146047	0.015302799999999998	0.00969747	0.00611738	0.149214	0.999231	0.0653373	0.00046591300000000004	0.000162726	0.0658026	1.9217	0.00840028	0.0108998	0.0839939	1.6803099999999997	0.00497555	7.08159e-09	0.00169566	0.20045	0.025000099999999997	0.00470003	0.000399803	3.1136	0.012699799999999999	0.013999999999999999	0.0154	0.00630002	5.33732e-05	0.19004200000000002	0.553786	0.638401	1.6147400000000002e-09	4.81392e-05	0.0239519	6.2217e-07	0.000927413	0.023072	
2e-06	4.5663	1.4618799999999998	0.039400199999999996	0.145886	0.0153031	0.00969719	0.00611586	0.14921500000000001	0.999231	0.0653375	0.00046590900000000003	0.000162481	0.0658026	1.9217	0.00840031	0.0108998	0.0839937	1.6803099999999997	0.00497554	7.827420000000001e-09	0.00187858	0.200232	0.025000099999999997	0.00470003	0.000399781	3.1136	0.012699700000000001	0.013999999999999999	0.0154	0.00630002	5.94784e-05	0.190065	0.55378	0.638396	1.79427e-09	4.81392e-05	0.0239519	6.9134e-07	0.0009274110000000001	0.023071900000000003	
2.2e-06	4.5663	1.46204	0.039400199999999996	0.145727	0.0153034	0.00969691	0.00611432	0.14921600000000002	0.999231	0.0653377	0.00046597800000000003	0.00016229799999999998	0.0658026	1.9217099999999998	0.00840034	0.0108998	0.0839934	1.6803099999999997	0.00497554	8.573219999999999e-09	0.00206041	0.200015	0.025000099999999997	0.00470003	0.000399759	3.1136	0.012699700000000001	0.013999999999999999	0.0154	0.00630003	6.55471e-05	0.190089	0.553774	0.6383909999999999	1.9737799999999998e-09	4.81392e-05	0.0239519	7.60506e-07	0.0009274089999999999	0.0230718	
2.4e-06	4.5663	1.46221	0.039400199999999996	0.145568	0.0153037	0.00969663	0.00611281	0.14921800000000002	0.999231	0.0653378	0.000466096	0.000162151	0.0658026	1.9217099999999998	0.00840037	0.010899700000000002	0.0839931	1.6803099999999997	0.00497554	9.31897e-09	0.00224116	0.1998	0.025000099999999997	0.00470004	0.00039973699999999994	3.1136	0.012699700000000001	0.013999999999999999	0.0154	0.00630003	7.15796e-05	0.19011199999999998	0.553768	0.6383850000000001	2.15329e-09	4.81392e-05	0.0239519	8.29667e-07	0.000927407	0.0230718	
2.6e-06	4.5663	1.4623700000000002	0.039400199999999996	0.14541099999999998	0.015304	0.00969635	0.00611131	0.14921900000000002	0.999231	0.065338	0.000466247	0.000162026	0.0658026	1.92172	0.008400399999999999	0.010899700000000002	0.0839929	1.6803099999999997	0.00497553	1.00647e-08	0.00242084	0.19958599999999999	0.025000099999999997	0.00470004	0.000399715	3.1136	0.012699700000000001	0.013999999999999999	0.0154	0.00630003	7.75762e-05	0.190135	0.553762	0.6383800000000001	2.3327899999999998e-09	4.81393e-05	0.0239519	8.988249999999999e-07	0.000927405	0.0230717	
2.8e-06	4.5663	1.4625299999999999	0.039400300000000006	0.145254	0.0153043	0.00969607	0.00610986	0.14922	0.999231	0.0653381	0.000466421	0.000161914	0.0658025	1.92173	0.00840043	0.010899700000000002	0.0839926	1.6803099999999997	0.00497553	1.08104e-08	0.00259946	0.199373	0.025000099999999997	0.00470004	0.000399693	3.1136	0.0126996	0.0139999	0.0154	0.00630003	8.353729999999999e-05	0.190159	0.553756	0.638375	2.5122699999999996e-09	4.81393e-05	0.0239519	9.67979e-07	0.000927402	0.023071599999999998	
3e-06	4.5663	1.46269	0.039400300000000006	0.145099	0.0153046	0.00969579	0.00610844	0.149222	0.999231	0.0653382	0.00046661300000000005	0.000161809	0.0658025	1.92173	0.00840046	0.010899700000000002	0.0839924	1.6803099999999997	0.00497553	1.1556e-08	0.00277703	0.19916099999999998	0.025000099999999997	0.00470004	0.000399671	3.1136	0.0126996	0.0139999	0.0154	0.00630003	8.94631e-05	0.190181	0.55375	0.63837	2.69175e-09	4.81393e-05	0.0239519	1.03713e-06	0.0009273999999999999	0.023071599999999998	
