# Time	[IL6-gp80]	[IL6-gp80-gp130-JAK]	[gp130-JAK]	[(IL6-gp80-gp130-JAK)2]	[(IL6-gp80-gp130-JAK)_ast2]	[(IL6-gp80-gp130-JAK)ast2-JAK]	[SHP2]	[STAT3C]	[(IL6-gp80-gp130-JAK)ast2-STAT3C]	[STAT3Cast]	[(IL6-gp80-gp130-JAK)ast2-STAT3Cast]	[SOCS3]	[(IL6-gp80-gp130-JAK)ast2-SOCS3]	[(IL6-gp80-gp130-JAK)ast2-SHP2ast]	[SHP2ast]	[(IL6-gp80-gp130-JAK)ast2-SHP2ast-Grb2]	[SHP2ast-Grb2]	[(IL6-gp80-gp130-JAK)ast2-SHP2-Grb2]	[SHP2ast-Grb2-SOS]	[PP1-STAT3Cast]	[PP1]	[STAT3C-STAT3Cast]	[STAT3N]	[(IL6-gp80-gp130-JAK)ast2-STAT3C-SOCS3-SHP2]	[STAT3Cast-STAT3Cast]	[STAT3Nast-STAT3Nast]	[STAT3Nast]	[PP2]	[PP2-STAT3Nast-STAT3Nast]	[STAT3N-STAT3Nast]	[Mrna-SOCS3N]	[Grb2]	[Ras-GDP]	[(IL6-gp80-gp130-JAK)ast2-SHP2ast-Grb2-SOS-Ras-GDP]	[Ras-GTP]	[Raf]	[Raf-Ras-GTP]	[Rafast-Phosp1]	[Rafast]	[Phosp1]	[MEK]	[MEK-Rafast]	[MEK-P]	[MEK-P-Phosp2]	[Phosp2]	[MEK-PP]	[ERK]	[ERK-MEK-PP]	[ERK-P]	[ERK-PP]	[ERK-P-Phosp3]	[SOS]	[PP2-STAT3Nast]	[(IL6-gp80-gp130-JAK)ast2-STAT3C-SOCS3]	[MEK-P-Rafast]	[(IL6-gp80-gp130-JAK)ast2-SHP2ast-Grb2-SOS-Ras-GTP]	[MEK-PP-Phosp2]	[JAK]	[Mrna-SOCS3C]	[Ras-GTPast]	[(IL6-gp80-gp130-JAK)ast2-STAT3C-SHP2]	[ERK-P-MEK-PP]	[PP1-STAT3Cast-STAT3Cast]	[Grb2-SOS]	[Phosp3]	[ERK-PP-Phosp3]	
140000	6.07999	0.164713	0.0270933	0.00542285	0.00418129	6.65261e-05	93.8498	978.451	0.0272747	2.14799	8.98151e-05	2.67969	0.00193897	0.000337466	0.0767269	0.000254439	0.0875432	0.00205236	0.148112	0.521311	49.2669	0.00527936	0.175931	0.00873253	0.872834	2.59468	3.59697	58.2409	0.737179	0.0184308	0.0649363	51.1651	2545.28	0.0435323	0.335893	66.1414	0.084447	0.0217784	0.00544192	66.9782	31032.3	0.53047	10493.1	46.1134	9.80888	67.7543	34128.7	15.865	8.56043	0.000924494	846.593	0.252942	1.02193	0.0189341	0.216466	0.633394	11.0777	0.0169346	0.13188	16453.6	5.14942	0.00947628	0.211837	32.92	15820.2	0.235446	
154000	6.08	0.151568	0.0249309	0.00459187	0.00392104	6.23851e-05	93.855	979.509	0.0256047	2.07577	8.1393e-05	2.41678	0.0016394	0.000316088	0.0718784	0.000238352	0.0820478	0.00192376	0.138955	0.504101	49.2979	0.00500264	0.164171	0.00739171	0.815119	2.34646	3.41972	58.3585	0.668002	0.0167012	0.0587233	51.1686	2439.42	0.0391072	0.30128	66.2497	0.0762147	0.0195617	0.00488785	66.9804	38237.1	0.587084	3378.44	38.4503	25.4017	7.43518	34902.3	1.78043	0.91697	1.037e-05	94.9863	0.250908	0.973526	0.0160261	0.0625984	0.597404	3.14799	0.0155829	0.119106	16559.6	5.20565	0.000111389	0.197954	32.9717	16572	0.00276602	
168000	6.08	0.140461	0.0231038	0.00394354	0.0036979	5.88349e-05	93.8599	980.41	0.0241698	2.01184	7.43967e-05	2.19831	0.00140599	0.000297798	0.0677299	0.000224586	0.077342	0.0018136	0.131099	0.488843	49.3251	0.00476323	0.154113	0.00634542	0.765674	2.13924	3.26442	58.459	0.610058	0.0152524	0.0535363	51.1716	2352	0.0355466	0.273575	66.3205	0.0695428	0.0177795	0.00444242	66.9822	39231.8	0.547465	2394.16	33.6296	31.3514	3.8638	34949.2	0.926468	0.475782	2.78746e-06	49.4164	0.249162	0.930916	0.013757	0.0403178	0.566076	2.01898	0.0144408	0.108465	16647.1	5.25359	3.00338e-05	0.186048	33.0163	16617.6	0.000745443	
182000	6.08	0.130949	0.0215391	0.00342753	0.00350422	5.57535e-05	93.8644	981.186	0.022922	1.95471	6.8498e-05	2.0141	0.00122043	0.000281953	0.0641355	0.000212658	0.073262	0.00171807	0.124277	0.475192	49.3491	0.00455373	0.145404	0.00551258	0.722799	1.96381	3.12695	58.5461	0.560863	0.0140224	0.049145	51.1742	2278.88	0.0326274	0.250908	66.377	0.0640376	0.0163188	0.00407736	66.9837	39620	0.507448	2010.58	31.0146	34.4298	2.71079	34964.3	0.650279	0.333647	1.37016e-06	34.6842	0.247645	0.893041	0.0119508	0.0310759	0.53854	1.55557	0.0134627	0.0994744	16720.2	5.29498	1.47765e-05	0.175715	33.0552	16632.3	0.000366737	
196000	6.08	0.12271	0.0201837	0.0030098	0.00333435	5.3051e-05	93.8686	981.862	0.0218258	1.90324	6.34612e-05	1.8568	0.00107037	0.000268079	0.0609878	0.000202212	0.0696868	0.00163434	0.118291	0.46288	49.3705	0.0043686	0.137782	0.0048383	0.685233	1.81351	3.0042	58.6223	0.518608	0.012966	0.0453825	51.1764	2217.06	0.0301954	0.232053	66.424	0.0594254	0.015102	0.00377326	66.9849	39892.3	0.472829	1741.6	28.8194	36.934	2.02523	34973.3	0.485948	0.249198	7.64133e-07	25.9189	0.246313	0.8591	0.0104886	0.0249108	0.514131	1.24668	0.0126155	0.0917839	16782.1	5.33113	8.24528e-06	0.166655	33.0894	16641.1	0.000204634	
210000	6.08	0.115502	0.0189981	0.00266661	0.00318399	5.06591e-05	93.8725	982.457	0.0208543	1.85655	5.91128e-05	1.72102	0.00094721	0.000255817	0.0582057	0.000192978	0.0665251	0.00156028	0.112991	0.451699	49.3897	0.00420361	0.131052	0.00428432	0.65202	1.68338	2.89376	58.6896	0.481948	0.0120494	0.0421251	51.1784	2164.29	0.028141	0.216144	66.4635	0.0555105	0.0140741	0.00351639	66.9859	40095.6	0.442886	1540.96	26.9446	39.0275	1.58011	34979.2	0.379206	0.194392	4.64901e-07	20.2254	0.245133	0.828466	0.00928733	0.0205405	0.49233	1.02781	0.0118744	0.0851355	16834.9	5.363	5.01825e-06	0.158638	33.1198	16646.8	0.000124542	
224000	6.08	0.109142	0.0179519	0.00238104	0.00304986	4.85253e-05	93.8761	982.984	0.0199864	1.81393	5.53226e-05	1.60271	0.000844811	0.000244893	0.0557266	0.000184751	0.0637066	0.00149426	0.10826	0.441485	49.407	0.00405547	0.125059	0.00382335	0.622424	1.5697	2.79372	58.7495	0.44986	0.0112471	0.0392795	51.1802	2118.86	0.0263844	0.202557	66.4972	0.052149	0.0131953	0.00329678	66.9868	40253.4	0.416861	1385.38	25.3279	40.8058	1.27367	34983.2	0.3057	0.156673	3.01954e-07	16.3048	0.24408	0.800642	0.00828775	0.0173133	0.472729	0.866232	0.0112205	0.0793347	16880.4	5.39133	3.26016e-06	0.151491	33.1471	16650.7	8.09089e-05	
238000	6.08	0.103488	0.0170218	0.00214072	0.00292935	4.66084e-05	93.8794	983.456	0.019206	1.77481	5.19909e-05	1.49876	0.000758705	0.00023509	0.053502	0.000177367	0.0611761	0.00143497	0.10401	0.432102	49.4228	0.00392159	0.119687	0.00343542	0.595867	1.46959	2.70258	58.8032	0.421554	0.0105394	0.0367736	51.1818	2079.46	0.0248665	0.190826	66.5263	0.0492333	0.0124359	0.00310702	66.9876	40379.5	0.394096	1261.16	23.9213	42.3356	1.05316	34986.1	0.252794	0.129536	2.06393e-07	13.4829	0.243134	0.775231	0.0074466	0.0148537	0.455001	0.743109	0.0106391	0.0742321	16919.8	5.4167	2.22879e-06	0.145073	33.1716	16653.5	5.53123e-05	
252000	6.08	0.0984261	0.0161893	0.00193646	0.00282043	4.48756e-05	93.8825	983.88	0.0184998	1.73874	4.90402e-05	1.40676	0.00068557	0.000226238	0.0514929	0.000170699	0.0588901	0.00138141	0.100166	0.423443	49.4373	0.00379989	0.114839	0.0031057	0.571889	1.38081	2.61912	58.8517	0.396412	0.00991081	0.0345511	51.1832	2045.07	0.0235423	0.1806	66.5516	0.0466815	0.0117735	0.00294149	66.9882	40482.5	0.374053	1159.68	22.6875	43.6657	0.888832	34988.3	0.213364	0.109317	1.46981e-07	11.3798	0.242277	0.751907	0.00673168	0.0129308	0.438879	0.646865	0.0101187	0.0697112	16954.2	5.43956	1.58743e-06	0.139276	33.1938	16655.6	3.93951e-05	
266000	6.08	0.0938685	0.0154396	0.00176128	0.00272142	4.33006e-05	93.8855	984.264	0.0178573	1.70533	4.64094e-05	1.32479	0.000622893	0.000218199	0.0496684	0.000164643	0.0568132	0.00133274	0.0966715	0.415418	49.4506	0.00368868	0.110441	0.00282295	0.550119	1.30156	2.54232	58.8957	0.37394	0.00934896	0.0325675	51.1845	2014.87	0.0223775	0.171611	66.5739	0.0444301	0.0111908	0.00279589	66.9888	40568.3	0.356291	1075.21	21.5971	44.8328	0.762864	34990	0.183134	0.0938197	1.08255e-07	9.76748	0.241499	0.730406	0.00611864	0.0113955	0.424149	0.570028	0.00965013	0.0656796	16984.5	5.46029	1.1693e-06	0.13401	33.214	16657.2	2.90182e-05	
