time	II_f	II_l	mIIa_f	mIIa_l	V_f	V_l	Va_f	Va_l	VII_f	VII_l	VIIa_f	VIIa_l	VIII_f	VIII_l	VIIIa_f	VIIIa_l	IX_f	IX_l	IXa_f	IXa_l	X_f	X_l	Xa_f	Xa_l	APC_f	APC_l	PS_f	PS_l	VIIIai_f	VIIIai_l	Vai_f	Vai_l	PC_f	PC_l	TF_l	TF_VIIa_l	TF_VII_l	TF_VIIa_IX_l	TF_VIIa_IXa_l	TF_VIIa_X_l	TF_VIIa_Xa_l	TF_VII_Xa_l	IXa_VIIIa_l	Xa_Va_l	IXa_VIIIa_X_l	V_Xa_l	VIII_Xa_l	IIa_f	V_IIa_l	VIII_IIa_l	Xa_Va_II_l	Xa_Va_mIIa_l	XI_f	XI_IIa_l	XIa_l	APC_PS_l	APC_PS_VIIIa_l	TFPI_f	AT_f	IIa_AT_f	TFPI_Xa_l	TFPI_Xa_TF_VIIa_l	APC_PS_Va_l	IXa_AT_f	Xa_AT_f	VII_Xa_l	V_mIIa_l	VIII_mIIa_l	TM_l	IIa_TM_l	IIa_TM_PC_l	mIIa_AT_l	XIa_IX_l	LIPID	alpha2M_l	alpha2M_IIa_l	alpha2M_Xa_l	AT_XIa_l	nnamed: 7
100	583.433	814.882	0.0314585	1.0846200000000001	0.152949	17.1155	0.0186903	2.0447599999999997	0.38781	9.54321	0.00225975	0.161767	0.00397929	0.645979	0.000731601	0.0356542	0.63092	89.1029	0.00118193	0.16798	62.7086	107.209	0.00410388	0.0118418	0.00552115	0.0257726	3.6328699999999996	295.007	8.50908e-05	0.00417383	0.00221605	0.243827	24.2814	34.2872	0.00013680000000000002	0.0012933	0.00207455	0.000473933	0	0.000407784	0.000610626	2.04549e-08	0.0012167999999999999	0.0196135	0.00067988	0.018859599999999997	0.000353436	0.0878543	0.0206625	0.00038307300000000005	0.014128100000000001	0.00229009	29.6883	0.022579	0.18166300000000002	1.242	0.00203078	2.49244	3399.96	0.018159799999999997	0.00755673	2.98651e-06	0.11653800000000002	2.3335e-05	0.00149614	9.409260000000001e-05	0.22998200000000002	0.00473265	0.8440049999999999	0.11646	0.0395351	0.00677115	0.0945965	32482.5	2599.99	0.00508307	0.000696415	0.012900799999999999	
110	582.648	811.43	0.11524200000000001	3.97232	0.11271600000000001	12.5472	0.0394728	4.30234	0.387972	9.52144	0.0025608000000000002	0.18293299999999998	0.00340131	0.549921	0.00161318	0.078355	0.628692	88.5452	0.00344173	0.48826899999999995	62.751000000000005	106.992	0.00971365	0.028149900000000002	0.014454499999999999	0.06728819999999999	3.61303	292.592	0.000525858	0.025699400000000004	0.0134042	1.46936	23.2623	32.7499	0.00012817299999999998	0.00131965	0.00203052	0.00048061800000000004	0	0.000415247	0.000621675	4.75408e-08	0.00780238	0.09141010000000001	0.00435102	0.0319617	0.000700413	0.400883	0.0688775	0.00148356	0.06553760000000002	0.010942	28.9054	0.0997735	0.632696	3.1545	0.011409299999999999	2.49001	3399.87	0.0634762	0.00998533	4.07065e-06	0.6291329999999999	5.81517e-05	0.00197837	0.00022291900000000003	0.617592	0.014737899999999998	0.5469390000000001	0.342132	0.110929	0.0212633	0.321708	32394.7	2599.98	0.0177677	0.000920884	0.0403937	
120	576.136	793.1469999999999	0.652149	22.3058	0.0283272	3.08042	0.0537044	5.76585	0.38859099999999996	9.44385	0.00363623	0.257954	0.00157424	0.24996999999999997	0.00281828	0.135017	0.613845	85.5851	0.013561600000000002	1.91107	62.7307	105.902	0.0472454	0.137026	0.033825	0.155724	3.57599	286.778	0.00272695	0.131753	0.0622431	6.74103	20.8729	29.0881	0.000110935	0.0013672	0.00197155	0.000481883	0	0.000425805	0.000636617	2.24333e-07	0.052726199999999994	0.588907	0.029104700000000004	0.0420445	0.00157137	3.88098	0.167347	0.00656294	0.412696	0.0822323	23.494	0.784571	3.75613	7.49379	0.048295	2.48133	3399.33	0.405623	0.018662	5.78951e-06	2.10387	0.00017617900000000002	0.00369314	0.00107453	0.8713350000000001	0.037881	0.0959772	0.700522	0.203501	0.0914014	1.79388	32079.9	2599.88	0.11354600000000001	0.00171913	0.171456	
130	534.451	718.0060000000001	2.95973	99.0186	0.000295976	0.031022900000000003	0.0104239	1.0877700000000001	0.36384	8.68111	0.014513	1.0215	6.08758e-05	0.00930867	0.0008957980000000001	0.041646499999999996	0.5252399999999999	71.9213	0.07116389999999999	9.84463	61.4612	101.89	0.683167	1.9527900000000002	0.0679068	0.307004	3.54715	279.66900000000004	0.00710322	0.335291	0.131899	13.9706	17.9942	24.6512	4.75191e-05	0.00156171	0.00175545	0.00046238599999999996	0	0.000467742	0.000689921	2.8469599999999998e-06	0.169701	2.01972	0.09088689999999999	0.00817544	0.00095739	36.0586	0.016534	0.00233304	1.28318	0.452434	3.5742599999999998	1.14954	16.9585	15.8015	0.0353787	2.38972	3394.58	3.97834	0.11027100000000001	1.2423e-05	0.947018	0.0007696360000000001	0.0220926	0.0140778	0.040957	0.00643788	0.011048299999999999	0.793195	0.195757	0.47291000000000005	7.37586	31541.5	2598.88	1.11425	0.0102897	0.941809	
140	463.43199999999996	635.566	5.01317	170.578	1.29254e-06	0.000139131	0.00224	0.240808	0.204536	4.96565	0.0676226	4.82724	3.1236e-07	4.86246e-05	0.000248671	0.011904600000000001	0.412891	57.769	0.170905	24.0285	57.8874	97.9809	2.52632	7.237189999999999	0.09590069999999999	0.44219200000000003	3.39384	273.349	0.00868705	0.41811800000000005	0.147474	15.9392	15.0159	21.0159	6.40987e-06	0.00204035	0.000937094	0.00048448699999999997	0	0.000587644	0.000863156	5.65414e-06	0.162831	1.81568	0.0840499	0.000164365	2.12807e-05	96.4727	0.000199642	3.3006700000000004e-05	1.0215100000000001	0.546339	0.0119942	0.0107286	20.1536	22.9571	0.0139993	1.84749	3376.5	19.4711	0.6524310000000001	7.52016e-05	0.28591	0.00279397	0.147578	0.0299569	0.00031639900000000003	5.84726e-05	0.00426587	0.8226319999999999	0.173102	1.42835	7.36857	32229.3	2594.47	5.46392	0.0688814	2.45514	
150	403.397	581.3240000000001	5.73759	204.611	1.04416e-08	1.18449e-06	0.00106564	0.12046400000000002	0.061265999999999994	1.55605	0.111945	8.35045	1.2662699999999998e-09	2.07161e-07	0.000134771	0.00678278	0.320673	47.0826	0.24554499999999999	36.1634	53.8462	95.6415	3.93621	11.7691	0.11524100000000001	0.557262	3.16934	267.86	0.00919311	0.464145	0.148374	16.8245	12.2355	17.9694	3.13681e-06	0.00233243	0.00026656900000000003	0.000454779	0	0.000656063	0.000980154	2.6195499999999998e-06	0.139542	1.4752299999999998	0.0703067	2.2500599999999996e-06	1.5106299999999998e-07	139.793	2.45763e-06	2.0424399999999999e-07	0.759115	0.49456999999999995	5.2390300000000006e-06	6.89085e-06	20.0187	28.7841	0.00989431	1.0971899999999999	3345.92	46.9819	1.4025100000000001	0.000304244	0.17662	0.00626192	0.400515	0.015288499999999998	3.21865e-06	2.9921299999999997e-07	0.00302258	0.844943	0.152035	2.6794599999999997	5.97118	33820.9	2586.59	13.2251	0.187549	4.01014	
160	356.035	542.33	5.86845	220.78799999999998	1.19514e-10	1.4353799999999998e-08	0.000628299	0.0750286	0.011049600000000001	0.295577	0.12287200000000001	9.66165	5.3881599999999995e-12	9.32609e-10	8.64345e-05	0.00459502	0.248433	38.5038	0.29588000000000003	45.961999999999996	50.1283	93.9989	4.95035	15.5854	0.129476	0.660628	2.9491	263.084	0.00936749	0.499123	0.145629	17.4285	9.846969999999999	15.2641	2.42943e-06	0.00229494	4.51871e-05	0.00036753199999999995	0	0.000634619	0.00095859	5.88625e-07	0.119702	1.21409	0.0592729	3.5233e-08	9.023239999999999e-10	164.023	3.48734e-08	1.07914e-09	0.58282	0.42456000000000005	1.01283e-09	1.57256e-09	19.6701	33.83	0.00785258	0.540713	3307.89	81.8237	1.95859	0.000696114	0.128707	0.010702600000000001	0.742483	0.00384952	4.1968699999999994e-08	1.45311e-09	0.0026373	0.865118	0.132245	4.00505	4.79986	35697.4	2576.53	23.1213	0.34908	5.52999	
170	318.97700000000003	512.351	5.762230000000001	228.255	1.72553e-12	2.18748e-10	0.000409289	0.051494399999999996	0.00130076	0.0365853	0.120027	9.93651	2.61637e-14	4.78052e-12	6.028e-05	0.00337626	0.19382	31.6382	0.32915900000000003	53.8276	46.919	92.677	5.70027	18.8763	0.140096	0.752629	2.7563400000000002	258.957	0.00940408	0.527648	0.141908	17.8847	7.86601	12.8411	2.13388e-06	0.0021106	4.93204e-06	0.000278144	0	0.000575496	0.0008728830000000001	7.78746e-08	0.102815	1.00765	0.0501939	6.37185e-10	5.57414e-12	173.546	5.61356e-10	5.8497400000000005e-12	0.45697299999999996	0.35737199999999997	1.44418e-13	2.37763e-13	19.1589	38.1805	0.00650282	0.234677	3266.58	119.948	2.26417	0.00115574	0.09949789999999999	0.0157548	1.14647	0.000577539	6.597930000000001e-10	7.69389e-12	0.00254627	0.8837860000000001	0.113667	5.31335	3.84219	37592.7	2565.42	34.0357	0.5414180000000001	6.9988600000000005	
180	289.93	488.464	5.57183	231.22099999999998	2.95307e-14	3.92932e-12	0.00028362099999999996	0.0373981	0.00010643200000000001	0.00313278	0.115024	9.97668	1.50024e-16	2.87836e-14	4.4273599999999996e-05	0.00259885	0.152889	26.1509	0.35097	60.1224	44.2188	91.5352	6.2556400000000005	21.6902	0.148064	0.833305	2.59481	255.429	0.00938285	0.55157	0.13816199999999998	18.2437	6.25205	10.6938	1.9047e-06	0.00189552	3.6921e-07	0.000206543	0	0.000510501	0.000775375	6.70302e-09	0.0883266	0.839994	0.042589300000000004	1.29469e-11	3.82709e-14	172.918	1.00331e-11	3.50641e-14	0.363176	0.298138	1.9663e-17	3.22571e-17	18.5234	41.8916	0.00548852	0.09493099999999999	3224.91	158.501	2.40346	0.00160978	0.07919780000000001	0.021175	1.59374	5.68626e-05	1.19856e-11	4.68761e-14	0.0026049	0.900892	0.0965033	6.57043	3.07056	39386.6	2554.08	45.1649	0.756146	8.40607	
190	267.046	469.079	5.3628599999999995	231.80200000000002	5.745430000000001e-16	7.974149999999999e-14	0.000205204	0.028191	6.40933e-06	0.000196347	0.110506	9.98429	1.02703e-18	2.05651e-16	3.36787e-05	0.00205967	0.12212999999999999	21.7621	0.365191	65.1565	41.9713	90.5211	6.661289999999999	24.0498	0.154039	0.902965	2.4618900000000004	252.44799999999998	0.00933956	0.571883	0.134735	18.5323	4.950880000000001	8.821110000000001	1.6940099999999999e-06	0.00168729	2.01038e-08	0.000152989	0	0.00044939199999999996	0.000682902	4.0491e-10	0.0758447	0.701557	0.036165499999999996	2.87888e-13	3.0057299999999997e-16	165.766	1.94978e-13	2.3992400000000003e-16	0.29128200000000004	0.247575	2.9838799999999998e-21	4.6866300000000005e-21	17.7996	45.0212	0.00467342	0.0387089	3184.73	195.65900000000002	2.45927	0.00202571	0.0641175	0.0268056	2.0705400000000003	3.9536699999999995e-06	2.43532e-13	3.3537e-16	0.00276361	0.916265	0.0809714	7.7671600000000005	2.45517	41026.7	2543.03	55.981	0.9869629999999999	9.74519	
200	248.907	453.202	5.16274	231.127	1.23223e-17	1.77331e-15	0.000153222	0.0218061	2.99475e-07	9.496860000000001e-06	0.10672899999999999	9.98826	8.38594e-21	1.7421799999999996e-18	2.6269000000000002e-05	0.00166423	0.09883660000000001	18.2432	0.374415	69.1875	40.108000000000004	89.61399999999999	6.951689999999999	25.9904	0.15849000000000002	0.962239	2.35333	249.959	0.00929052	0.58923	0.131731	18.7675	3.9092800000000003	7.2146300000000005	1.50173e-06	0.00149632	8.410330000000001e-10	0.00011371100000000001	0	0.000394537	0.000599637	1.8313999999999998e-11	0.0650752	0.5861529999999999	0.030719299999999998	6.8573000000000004e-15	2.7275999999999996e-18	154.734	4.0439900000000005e-15	1.89532e-18	0.235129	0.205039	5.60681e-25	8.20215e-25	17.0193	47.6317	0.00399465	0.0179599	3147.12	230.361	2.47965	0.0023943000000000002	0.05245	0.032547	2.56672	2.0674900000000002e-07	5.3945700000000004e-15	2.8295499999999997e-18	0.00300429	0.9297860000000001	0.06720930000000001	8.904819999999999	1.96757	42494.3	2532.61	66.1631	1.22908	11.0131	
210	234.442	440.144	4.98182	229.817	2.84563e-19	4.2234399999999995e-17	0.00011713	0.0171793	1.13846e-08	3.7187199999999996e-07	0.103603	9.9914	8.10978e-23	1.7386299999999998e-20	2.0872e-05	0.00136273	0.08101889999999999	15.4113	0.38036	72.4245	38.5643	88.8043	7.15402	27.5578	0.16176500000000002	1.01201	2.26488	247.90099999999998	0.00924297	0.604074	0.129151	18.9607	3.0798200000000002	5.85714	1.32947e-06	0.00132508	2.83967e-11	8.5042e-05	0	0.00034623	0.000526208	6.55875e-13	0.05578480000000001	0.489466	0.0260957	1.7202599999999999e-16	2.86149e-20	141.668	8.81266e-17	1.73001e-20	0.190686	0.169518	1.4106399999999999e-28	1.88387e-28	16.2083	49.7874	0.00341892	0.0107044	3112.62	262.066	2.48658	0.00271611	0.043180699999999995	0.0383375	3.07483	8.58693e-09	1.2765600000000002e-16	2.80468e-20	0.00332239	0.941426	0.0552513	9.98868	1.5825200000000001	43788.8	2522.99	75.5356	1.47889	12.2091	
220	222.84	429.38599999999997	4.822769999999999	228.222	6.94804e-21	1.05854e-18	9.114549999999999e-05	0.013714700000000002	3.6702999999999997e-10	1.2295200000000001e-08	0.10101900000000001	9.99398	9.19488e-25	2.0246599999999996e-22	1.68172e-05	0.00112644	0.06723989999999999	13.1216	0.384154	75.0341	37.2839	88.0851	7.28913	28.8004	0.164132	1.05331	2.1928	246.217	0.00919981	0.6167819999999999	0.126957	19.1201	2.42195	4.72505	1.17698e-06	0.00117341	8.07905e-13	6.40969e-05	0	0.000304116	0.00046213900000000003	1.9506900000000003e-14	0.0477786	0.408285	0.022169499999999998	4.48438e-18	3.45427e-22	127.819	1.99192e-18	1.81593e-22	0.155171	0.139974	5.052179999999999e-32	6.066559999999999e-32	15.3869	51.5519	0.00292631	0.00822658	3081.43	290.573	2.4887799999999998	0.00299506	0.0356884	0.0441401	3.5895300000000003	2.9679200000000003e-10	3.1755100000000003e-18	3.24006e-22	0.0037207	0.951239	0.045040300000000005	11.0252	1.27871	44919.7	2514.24	84.0214	1.7336900000000002	13.3344	
230	213.484	420.522	4.68486	226.537	1.76814e-22	2.7540400000000005e-20	7.18953e-05	0.0110551	1.03994e-11	3.5592400000000003e-10	0.09887860000000001	9.99612	1.2080099999999999e-26	2.7209500000000003e-24	1.36968e-05	0.0009375319999999999	0.0564646	11.2603	0.38654	77.1482	36.2198	87.4504	7.372610000000001	29.7645	0.165798	1.08722	2.13394	244.84900000000002	0.00916185	0.6276579999999999	0.125099	19.2521	1.90185	3.7915099999999997	1.04303e-06	0.00104012	2.00994e-14	4.87378e-05	0	0.000267625	0.000406596	5.01652e-16	0.0408892	0.340087	0.018836000000000002	1.20171e-19	4.76144e-24	114.007	4.62098e-20	2.1747799999999995e-24	0.126584	0.11545699999999999	2.7050799999999995e-35	2.8860199999999997e-35	14.5702	52.9851	0.00250335	0.00737392	3053.53	315.899	2.48939	0.00323588	0.0295649	0.049933	4.10696	8.8811e-12	8.197430000000001e-20	4.31801e-24	0.00420693	0.959341	0.0364518	12.0207	1.03872	45901.0	2506.4	91.6079	1.9914599999999998	14.3911	
