time	A	E	G	R
0.0.	1.0	0.0	100000000.0	0.0
1.0.6.0	2.828935297087866	3759.529606161117	1370987.231157279	879.2550459013779
3.0.2.0	2.487872984581225	5959.2171537551285	2296726.315350661	1553.7606646454667
4.0.800000000000001.0	2.466497970275961	7238.920643932021	2839432.7374065383	2037.414618855867
6.0.4.0	2.579142106781717	8174.974063573335	3224904.0678551965	2442.625055656203
8.0.	2.751594969821138	8997.909402592835	3557200.8506369996	2826.3032441609244
9.0.600000000000001.0	2.953936435766796	9799.968822358884	3877979.690367458	3216.815502474777
11.0.200000000000001.0	3.173709652541651	10617.55521783146	4203734.8175927345	3629.197176602158
12.0.8.0	3.4052951722796543	11464.14694347581	4540660.48665495	4072.146780464967
14.0.4.0	3.645672058752154	12343.473698005546	4890598.831128542	4551.0756426426005
16.0.	3.892725088718339	13254.799411304975	5253424.064698734	5069.408265273524
17.0.6.0	4.144576192436662	14195.050957746158	5628002.065649102	5629.114289749006
19.0.200000000000003.0	4.3993338338067	15159.697090666927	6012584.43321344	6230.900115654301
20.0.8.0	4.655017863394063	16143.146454805368	6404983.6226083785	6874.252712978259
22.0.400000000000002.0	4.909562055752198	17138.9764180531	6802669.629841077	7557.429272395245
24.0.	5.1608537357210285	18140.1186919413	7202845.0686225295	8277.44392575543
25.0.6.0	5.4067921000809225	19139.050552410565	7602520.8879266465	9030.082955601627
27.0.200000000000003.0	5.645355135010476	20128.00685732688	7998600.03355229	9809.968515175942
28.0.8.0	5.874667978141918	21099.212131639673	8387969.368984889	10610.68207711987
30.0.400000000000002.0	6.093066711088724	22045.123692092	8767596.57090428	11424.950493163991
32.0.	6.299152365504268	22958.672383104466	9134626.794899464	12244.889314552145
33.0.6.0	6.491830956777249	23833.48572840021	9486473.079620214	13062.290410519881
35.0.2.0	6.6703367634560795	24664.078740824807	9820894.527300911	13868.93481672183
36.0.800000000000004.0	6.834237753211305	25445.999992675752	10136057.152289977	14656.908024923647
38.0.400000000000006.0	6.983423803554301	26175.924422157546	10430573.772104042	15418.894163079241
40.0.	7.11807992956297	26851.689149743957	10703521.2006892	16148.42779465714
41.0.6.0	7.238647899447175	27472.27359822347	10954435.01353715	16840.086937944478
43.0.2.0	7.345780264381678	28037.729756748333	11183284.008133287	17489.61748777205
44.0.800000000000004.0	7.440290928583169	28549.071941001745	11390427.9476524	18093.986405752228
46.0.400000000000006.0	7.5231060115516	29008.13754155597	11576563.103754465	18651.367741901642
48.0.	7.59521804420801	29417.430940011283	11742660.460773196	19161.070902157568
49.0.6.0	7.657645657360332	29779.96215718863	11889901.257881751	19623.424081887326
51.0.2.0	7.711400016752997	30099.09019061835	12019613.94586978	20039.627326921913
52.0.800000000000004.0	7.757458450586246	30378.37878605797	12133215.773296291	20411.58946481306
54.0.400000000000006.0	7.796745073448939	30621.469950554	12232161.246840578	20741.76158410364
56.0.	7.830117761555706	30831.97816919733	12317898.763259282	21032.977329357604
57.0.6.0	7.858360570100909	31013.40625580482	12391835.879111024	21288.307507442372
59.0.2.0	7.882180574939914	31169.082170790563	12455313.022789648	21510.933761322503
60.0.800000000000004.0	7.902208128634369	31302.115012118516	12509584.9792315	21704.04363688005
62.0.400000000000006.0	7.9189996056948075	31415.367698085694	12555809.181917569	21870.747400571854
64.0.	7.933041839414157	31511.443545315447	12595039.703613132	22014.01551343429
65.0.60000000000001.0	7.9447575966074275	31592.683916094746	12628225.812931245	22136.63470814516
67.0.2.0	7.954511578583816	31661.174279612565	12656214.023501944	22241.180083061714
68.0.8.0	7.962616565632163	31718.756324865506	12679752.674918987	22330.000431759483
70.0.4.0	7.969339432608258	31767.044116846664	12699498.224083997	22405.21407686652
72.0.	7.974906853192405	31807.442656018422	12716022.572841106	22468.71268952562
73.0.60000000000001.0	7.979510580835945	31841.16755274725	12729820.89969704	22522.17088147816
75.0.2.0	7.9833122475005265	31869.26484452654	12741319.591856321	22567.05970250696
76.0.80000000000001.0	7.986447659761409	31892.630255145665	12750883.984632777	22604.662524106327
78.0.4.0	7.989030598521897	31912.027418976424	12758825.707233848	22636.09211624449
80.0.	7.9911561460847675	31928.104772164817	12765409.50754007	22662.30801387773
81.0.60000000000001.0	7.992903574911675	31941.410950234174	12770859.485516232	22684.133517144113
83.0.2.0	7.994338837941294	31952.40863414884	12775364.707542105	22702.271872934285
84.0.80000000000001.0	7.995516702318337	31961.48686028464	12779084.20464666	22717.32134823992
86.0.4.0	7.996482567956083	31968.971859760408	12782151.378694823	22729.78903167364
88.0.	7.997274010376467	31975.136524369922	12784677.854108464	22740.10329405651
89.0.60000000000001.0	7.997922084374444	31980.20861434683	12786756.82051397	22748.624907351583
91.0.2.0	7.998452421686239	31984.377831064052	12788465.91530108	22755.656868565256
92.0.80000000000001.0	7.998886152313737	31987.80187846357	12789869.695666706	22761.453006086766
