time	Delay01_mSHP1	Delay02_mSHP1	Delay03_mSHP1	Delay04_mSHP1	Delay05_mSHP1	Delay06_mSHP1	Delay07_mSHP1	Delay08_mSHP1	ERK1	ERK2	Epo	EpoR	JAK2	MEK1	MEK2	Raf	SHP1	SOS	actSHP1	mSHP1	mSOS	pERK1	pERK2	pEpoR	pJAK2	pMEK1	pMEK2	pRaf	pSOS	ppERK1	ppERK2	ppMEK1	ppMEK2
0.0.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	21.0	50	1.0	2.0	24.0	11.0	3.7719	10.7991	2.5101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0.6.0	0.027623993068824	0.0013888433725680002	5.758194855391565e-05	2.0348144389314343e-06	6.271202855026874e-08	1.7145610302670672e-09	4.213477259720288e-11	9.405233056779158e-13	6.999907242786743	20.999727208683716	50	0.539778772608635	1.38638574955327	23.99830900082798	10.996482886870417	3.771207872416359	10.33993922288428	2.503625985660171	1.958035273136823e-14	0.43008825944165	0.006473986946780001	9.274949554398822e-05	0.000272771075905	0.46022122739136406	0.613614250446729	0.00163435118819	0.0034785681589010005	0.0006921275836430001	2.739304825452724e-08	7.717715823737131e-09	2.02403860666713e-08	5.6647983833441074e-05	3.854497068787753e-05
1.0.2.0	0.26525258809783103	0.028749811633240002	0.0025019118370170003	0.000182758372869	1.1533430341324812e-05	6.416838775775802e-07	3.195406189794811e-08	1.4410091167350182e-09	6.973982024627827	20.92350503739561	50	0.11009898575651501	0.9610327232250251	23.97817254579616	10.954779132627614	3.7682537584234703	8.685683705156304	2.492022028362216	6.159569394454793e-11	1.8167170163318571	0.010986382134471001	0.025617045642040003	0.07544217212581801	0.8899010142434851	1.038967276774975	0.014517513534741	0.039361877061378	0.0036462415765320002	0.007091589503312	0.000400929730136	0.001052790478588	0.007309940669086	0.00585899031101
1.0.7999999999999998.0	0.7487750050007851	0.13163477814608102	0.018138836767311	0.002067343035219	0.000201586716405	1.721304995399129e-05	1.3091377912534181e-06	8.984379445114723e-08	6.744303649345184	20.250460807456886	50	0.011438631688598001	0.6661810366081721	23.938971278514018	10.87477951415532	3.7679914923131292	6.874267224205353	2.386207024430329	5.9406867678788855e-09	3.023996608156629	0.0005186725976260001	0.23128029275196701	0.685060291526153	0.9885613683114021	1.3338189633918272	0.023196928673319003	0.08682930747428001	0.003908507686874001	0.12337430297204201	0.024416057902853002	0.06447890101697701	0.03783179281264	0.038391178370394005
2.0.4.0	1.3267215324127482	0.330805016985509	0.06364478137750801	0.010022173845068	0.001340238470319	0.000156090171128	1.6125187268252523e-05	1.498375362770225e-06	6.338916079292486	19.071966263325308	50	0.000744535644448	0.461791961568403	23.905092372800095	10.807294636522801	3.7687108165877232	5.385596254578119	2.25996853764775	1.3649227055972938e-07	3.680796152104707	0.00010469239742800001	0.543381021447068	1.615930806890272	0.9992554643555521	1.538208038431594	0.026121812782504004	0.11287532477527801	0.003189183412281	0.25002676995481804	0.11770289926044102	0.31210292978442905	0.068785814417388	0.07983003870191101
3.0.	1.870835194871774	0.6101878719993621	0.152131408519179	0.030834154977995003	0.005280085695969001	0.0007843286009390001	0.000103020979893	1.21406559081644e-05	5.924510064010224	17.87731556665075	50	3.523674240823768e-05	0.320111083879687	23.878034833095462	10.754751271582624	3.769332462271156	4.215386475752008	2.147934242411315	1.428827583040913e-06	3.913543889119397	4.579831995129617e-05	0.8191832144020831	2.4415216542954212	0.9999647632575931	1.6798889161203112	0.028338273770113002	0.12841587870255802	0.002567537728847	0.36211995926873003	0.256306721587687	0.681162779053844	0.093626893134421	0.11683284971480601
3.0.5999999999999996.0	2.313874280304254	0.9364342767750471	0.28806500404676705	0.07172389843153401	0.015035784918353001	0.002726573096525	0.00043619194399800005	6.248782639839195e-05	5.574700650690476	16.874440872706067	50	2.6121217505586786e-06	0.22190018161707603	23.856642765051422	10.714331659493308	3.769838525228352	3.299263282947872	2.04989339713644	9.117709247171245e-06	3.871469102000011	2.8074056363277214e-05	1.026287903021401	3.06349219664252	0.9999973878782501	1.778099818382923	0.030666153051530004	0.139359233850465	0.0020614747716520003	0.460178528807192	0.39901144628812	1.06206693065142	0.11269108189703601	0.14630910665621902
4.0.2.0	2.631031672810863	1.274000472852117	0.467248844446893	0.13830405964654202	0.03438554045092	0.007380398056264	0.001395150706186	0.00023582808200300003	5.30598557571006	16.106196955110185	50	6.126050410354035e-06	0.153827325785118	23.839853418343587	10.683609950054498	3.770246172710186	2.582235199479546	1.964268701091617	4.1451422860609904e-05	3.662841382045812	2.05521763391459e-05	1.1719644651618961	3.502549772212615	0.999993873949591	1.846172674214882	0.033250223928990005	0.148155713869726	0.001653827289819	0.54581074673204	0.5220499591280451	1.391253272677212	0.12689635772742602	0.168234336075778
4.0.8.0	2.822399159526867	1.592751842737029	0.6792000369124981	0.23329219536817103	0.067193739264055	0.016683797036351002	0.003643821374862	0.000710854872215	5.112254763331314	15.552977445983416	50	2.220604969865784e-05	0.10666262406662501	23.82679223826599	10.660652099486981	3.770573400463726	2.021044099980427	1.889530500293109	0.00014735434692100002	3.3620330985806133	1.6721366928504522e-05	1.270791013151286	3.80134189625834	0.9999777939503021	1.893337375933375	0.036118959349473005	0.15585922069489602	0.001326599536281	0.620552778339959	0.616954223517403	1.64568065775826	0.137088802384549	0.183488679818116
5.0.3999999999999995.0	2.901296877617225	1.870785260612253	0.9100742793881881	0.356105304901697	0.11670237372851101	0.032934937567358005	0.008168140701256	0.001807968756149	4.981152344132906	15.178860589590107	50	6.699916337280377e-05	0.074036236919069	23.816753970533536	10.643925576777374	3.770835656386756	1.581829102313364	1.824312508347091	0.000434865121365	3.018960889292642	1.4570229683146012e-05	1.335492471249535	3.9972397300420113	0.9999330008366281	1.9259637630809312	0.039269266802273	0.16292758788601702	0.0010643436132530002	0.6857729214232221	0.6833551846175591	1.8238996803679042	0.143976762664196	0.193146835336601
6.0.	2.886927572572173	2.09462042021876	1.145240107564099	0.503148457565423	0.184971525237817	0.058511544335629	0.016253846647922	0.004027101827537001	4.9003797276458645	14.948673425515173	50	0.000174279557548	0.051590140604968006	23.80917341626095	10.632213283345447	3.7710456504358802	1.238093585721271	1.767414238055324	0.00110963790887	2.6661962004005053	1.3315641330451162e-05	1.375384235376672	4.117761796368939	0.9998257204424521	1.9484098593950332	0.042682161418470005	0.169547084984654	0.0008543495641280001	0.7426724463033421	0.7242360369774621	1.933564778115911	0.148144422320581	0.19823963166989
6.0.6.0	2.799944499076333	2.2581040662191603	1.371171180440248	0.6685256232169711	0.27255683646664003	0.095555665548419	0.029402984444122003	0.008065443352674001	4.859529851322596	14.83275568982978	50	0.00040254287195400003	0.036405857574307005	23.803598506175902	10.624545061120259	3.771213690880618	0.969106715149303	1.7177880819731262	0.002519828534861	2.324147157551273	1.26025960994411e-05	1.396888268026156	4.182050251581698	0.999597457128045	1.963594142425693	0.046326526789204	0.175774545519764	0.0006863091193910001	0.79229931543077	0.7435818806512481	1.98519405858855	0.150074967034895	0.199680393359975
7.0.199999999999999.0	2.6599389517669563	2.360821045698795	1.576622768867237	0.844925284441089	0.37843527992562104	0.145685272988231	0.049202099429646005	0.01480736677627	4.85025115533849	14.807276024818124	50	0.000843624988854	0.026624428044102002	23.799667606986784	10.62014447842093	3.771348086529883	0.7586519199842651	1.6745246588865799	0.005201339616137	2.004808670505757	1.2252523386897182e-05	1.404366845079676	4.2032614591835085	0.9991563750111461	1.973375571955898	0.05016087443396	0.181604650073659	0.000551913470126	0.835563088590029	0.745381999581832	1.989462515998396	0.150171518579252	0.19825087150540202
7.0.8.0	2.484163743856177	2.406454550123325	1.753195824534668	1.024497488348489	0.500141232576186	0.20977717268626903	0.077163848361744	0.025284458035278002	4.86591911161577	14.853276785471566	50	0.001630560020354	0.021197681112705	23.797090935852996	10.618387534771855	3.771455513548847	0.594047148302985	1.6368392670797869	0.00991628362868	1.714458249546201	1.216912017947534e-05	1.400813491548727	4.190548696712183	0.9983694399796461	1.9788023188872952	0.05413511117879	0.18700413070243202	0.000444486451161	0.87324856380003	0.733267396835501	1.9561745178162742	0.14877395296822002	0.19460833452570603
8.0.4.0	2.287028180579915	2.401319377069231	1.895439037095323	1.199607799908055	0.6340511579061751	0.287844685404258	0.11456633559540501	0.040609119676592004	4.9012426363764	14.95557167119651	50	0.002943476187459	0.01972511168274	23.79563553516537	10.618770529976707	3.771541326579406	0.465377984256631	1.6040599867929242	0.017677811935962	1.455578510572457	1.229825927177561e-05	1.3883412518019012	4.150467279668853	0.9970565238125411	1.98027488831726	0.05819268263027601	0.191930187099871	0.00035867342060100005	0.9060277149478001	0.7104161118216951	1.893961049134657	0.146171782204356	0.18929928292341502
9.0.	2.08005350197194	2.353160805588047	2.000639138721565	1.3634117579823641	0.77575055265722	0.37901424755532404	0.162312046986146	0.061889552211175	4.951932557850528	15.101823611234739	50	0.005012759722714	0.022340990471867002	23.795113222166872	10.620884993366982	3.771609815366997	0.36489759489147	1.57561733057252	0.029755965894157	1.228214835540596	1.26090631333167e-05	1.36850763103017	4.087913285759816	0.994987240277286	1.977659009528133	0.06227303628788	0.19634073774138203	0.00029018463301100003	0.9344700603643431	0.6795598111192971	1.810263103005465	0.142613741545249	0.182774268891625
