time	IkBa_cytoplasm	IkBa_mRNA_cytoplasm	IkBa_mRNA_nucleus	IkBa_pre_mRNA_1	IkBa_pre_mRNA_2	JNK	JNK_P	LPS	MSK1	MSK1_P	TNFR1_EL	TNFR1_cytoplasm	TNFa_TNFR1_EL	TNFa_TNFR1_cytoplasm	TNFa_mRNA_LSEC	TNFa_mRNA_MC	TNFa_pre_mRNA_LSEC	TNFa_pre_mRNA_MC	p38	p38_P	p65_2P	p65_IkBa_nucleus	p65_cytoplasm	p65_nucleus	s11	s14	s15	s16	s19	s3	s5	s8
0.0.	0.507019200946	2.3246565974599998	5.9311758418600005e-05	2.7176190778200002	2.7176190778200002	0.9946402906949999	0.00535970930489	5.0	14.9996890653	0.00031093473694800004	0.00122834645669	5.5275590551200005e-05	7.7037197775489426e-34	3.0814879110195774e-33	-1.262177448353619e-29	0.0	0.0	0.0	0.682179470574	0.317820529426	3.26668505834e-07	0.969088067881	0.0008412737031410001	0.0420557826514	1.01403825547	0.299989533751	1.0466249083600003e-05	0.0	0.0514360586911	0.00376476893579	0.0690147008629	0.188210099302
900.0.	0.39990217960671204	2.330499023118176	6.429671745295108e-05	3.369190679890367	2.946035295480672	0.9939485954186691	0.006051404581220001	3.475612657421006	14.999658962221172	0.00034103781577900005	0.001113549050775	5.011015448700638e-05	1.11969078406399e-09	2.8036388473351835e-05	2.862250410230692e-08	1.55731045494717e-07	0.017262169596528	0.008535155299579001	0.6444370100800001	0.355562989919999	3.390458099096387e-07	0.8724374289507001	0.001349716017745	0.06747675061245001	0.7998043669818841	0.29997336873649705	2.6631263585934905e-05	1.7759072966046044e-05	0.046305980321634	0.005975573602679	0.13211271975136601	0.29871313543142103
1800.0.	0.07352105200079401	2.5754039538093583	0.000162575395051	11.80887040271426	7.449174503828959	0.992311097346613	0.007688902653275001	2.41597666674482	14.999584132423054	0.00041586761388300004	0.000769784816758	3.464127451879668e-05	2.1363694260386472e-09	0.00011199347866500001	5.498559960168005e-08	3.0436128216863595e-07	0.033130637151164	0.01650458211875	0.565700760311164	0.43429923968883505	3.9760307198843e-07	0.56368277583484	0.006043470697280001	0.30216601536048504	0.14704208277070302	0.29994937253396703	5.062746611550617e-05	4.901596620558817e-05	0.029918177782742004	0.009987928452646	0.179357198142947	0.49931342480872404
2700.0.	0.032815753514528	4.476510590482021	0.000619904644412	39.512906250261516	28.403795696626254	0.9906045691752091	0.009395430824680001	1.67939981510479	14.999511814429793	0.00048818560715200004	0.000283211653473	1.2745812392770232e-05	2.468908399326356e-09	0.00023082922014700002	7.861032573990893e-08	4.4014866357712204e-07	0.04735009954171401	0.023781690362043	0.49530200001406804	0.50469799998593	4.761721610374377e-07	0.27119933038604704	0.015663909621126	0.783187595388522	0.065631314614134	0.29993414667218604	6.585332789697526e-05	0.00015396545611400002	0.014394144228716	0.008713110249240002	0.109391191233128	0.43560200384816805
3600.0.	0.067942631344642	9.36995250752188	0.001066810932356	52.22011786602179	48.880527953724695	0.9908749123279671	0.009125087671921	1.167388649920815	14.999534239628208	0.000465760408743	1.2929598672250902e-05	5.825478308900667e-07	5.234839444172789e-10	0.00029684137398500003	9.916502495690235e-08	5.609379520096418e-07	0.059721034536489005	0.030251165796656	0.5346990202442541	0.465300979755744	5.102784233996509e-07	0.36403338404052005	0.015466688427205002	0.7733203008046761	0.13588482156626	0.299961971375292	3.8028624790220045e-05	0.0007150644517260001	0.019321441782648	0.0064869337920370005	0.10943853385377	0.324305606038507
4500.0.	0.18921192833814202	14.310617741427277	0.000849617141746	29.016824344503707	38.92858657978506	0.9922310948020011	0.007768905197887001	0.811478152839018	14.999610462415857	0.000389537621089	3.620848568781837e-06	1.635969390945404e-07	3.5096508588300094e-10	0.000299114948691	1.164803962621276e-07	6.651651188457002e-07	0.070141729188487	0.035829880236089004	0.6072861838989551	0.39271381610104406	4.518883411716677e-07	0.75719677377436	0.0052829938359970005	0.264135582925283	0.378423390541253	0.299979837825937	2.016217414605693e-05	0.001711919730704	0.040189355809759006	0.0057261742778750005	0.09746814110068501	0.286265157400904
5400.0.	0.338501275319859	15.670532438940102	0.00036041011576800003	10.117616024666434	16.51357425729834	0.992976330492338	0.007023669507550001	0.564076747344124	14.999640767798033	0.00035923223891900005	2.1885556300187045e-06	9.914213624166502e-08	3.446345065400055e-10	0.00029946476158	1.305900067869898e-07	7.522005164779155e-07	0.07863262248036501	0.040485187427376	0.63480643781585	0.365193562184149	4.013760251164113e-07	0.867906908352941	0.001996624439935	0.09982063213802	0.6770022124348061	0.29998152248682103	1.847751326204879e-05	0.002781192566543	0.046065564189531005	0.0059218185037490005	0.107072290805721	0.29604566397097104
6300.0.	0.461044694186561	14.635785454511433	0.000159242337167	5.427331633586228	7.296320420069656	0.9933708539782181	0.006629146021670001	0.39210245621468703	14.99965181354614	0.000348186490833	1.563063757367967e-06	7.099464034140739e-08	3.4284563854562936e-10	0.000299617526659	1.417226371537915e-07	8.225028678247724e-07	0.08533164090919401	0.044242921284396004	0.6448278908961601	0.355172109103838	3.769850127738148e-07	0.8855004862534791	0.001405032275184	0.070241317971884	0.922089083282534	0.29998170289348003	1.8297106602418043e-05	0.0038739305940350003	0.046999381288651006	0.006022808043547	0.115566389307776	0.30109475238418504
7200.0.	0.552976883924587	13.053263574049739	0.00010172340592600001	4.088951958744752	4.6608756110298994	0.9935790302200701	0.006420969779818	0.272559251722928	14.999655832118687	0.000344167918281	1.2190314632181489e-06	5.551307671572567e-08	3.4211127801804055e-10	0.000299701550187	1.502501070609877e-07	8.775109192425812e-07	0.09046274924029	0.047181291136633004	0.6484745322872321	0.35152546771276705	3.668022674256871e-07	0.892306009707805	0.0011633025144530001	0.058154871642348005	1.105953483966995	0.29998173665704303	1.82633430398695e-05	0.004956582953095001	0.047360597670359	0.006072702849618	0.12044228025346101	0.3035892570282
8100.0.	0.618957296532855	11.511245769713039	8.187688398994636e-05	3.5157355821111302	3.751530601409049	0.99368878389709	0.006311216102798001	0.189462076865165	14.999657299832505	0.00034270020445800005	1.00532566333495e-06	4.589627972887681e-08	3.4174696011856433e-10	0.00029975374382800005	1.566139612621436e-07	9.193243652683214e-07	0.094291805973596	0.049413579944971	0.6498074432321881	0.350192556767811	3.6269095557839406e-07	0.895746360457062	0.001036952363397	0.051837375873214006	1.2379143264292751	0.299981748703954	1.8251296128150452e-05	0.006003821817150001	0.04754320077943901	0.006099736372538	0.123232191336565	0.30494080199308005
9000.0.	0.6624518964240791	10.134115746315182	7.280289023466532e-05	3.216605694712985	3.335769743494913	0.993746648316262	0.006253351683626	0.131699358362204	14.99965784076719	0.00034215926977700003	8.620057965492663e-07	3.944687618063238e-08	3.415437817574346e-10	0.00029978874699900003	1.6125783000043042e-07	9.503117144281894e-07	0.09708586042009501	0.051067085463915	0.65029945304544	0.34970054695455804	3.6100719312467537e-07	0.8975598929431451	0.0009675537345920001	0.048367451900185	1.324903541304769	0.299981754729413	1.8245270669766642e-05	0.006997873711144	0.047639457455969	0.006114452824228	0.12483767978540801	0.305676554735543
9900.0.	0.6859868311289821	8.93831873150611	6.811777846410643e-05	3.060244434706187	3.121102804032197	0.9937771725030791	0.0062228274968100005	0.09154719132885401	14.999658043526363	0.00034195651060400003	7.606465588825434e-07	3.488571115731593e-08	3.4142101066853983e-10	0.000299813502067	1.6458145184594669e-07	9.727771738111513e-07	0.09908550078910501	0.05226534594527701	0.6504843867906961	0.349515613209303	3.602997411619781e-07	0.8983711748998061	0.0009331231123020001	0.046645929346256006	1.371973424306747	0.29998175820077605	1.8241799306871183e-05	0.007927518101165001	0.047682517874518	0.0061218179632250005	0.125681480798635	0.30604478243056604
