time	ACA	CAR1	ERK2	PKA	REGA	excAMP	incAMP
0.0.	3.39	2.45	1.13	1.6	0.9	0.48	1.2
0.0.3.0	3.33107605447252	2.4571820741582853	1.116736764686244	1.7611947496574931	0.822931612988362	0.48028197362879005	1.251053954900431
0.0.6.0	3.18720987820547	2.429794696147974	1.075272021209315	1.894955781166587	0.7806859564732721	0.46764636646019503	1.300066364146724
0.0.8999999999999999.0	2.9937707794735062	2.351324431444802	1.015962431857736	2.005558575676434	0.7657963132960771	0.44532014832526706	1.334388640908329
1.0.2.0	2.773712712772344	2.231384260149935	0.9460561369647971	2.089943012230701	0.7720418301858271	0.41690567413510904	1.346778215451086
1.0.5.0	2.54753687955722	2.085074134238649	0.872400389679102	2.143179543080533	0.794723452227951	0.385577798461659	1.334180595321061
1.0.7999999999999998.0	2.332539247717046	1.9274609074952531	0.801016459412014	2.161456355866505	0.830127116449741	0.354120462069127	1.297062122456944
2.0.1.0	2.141364117857605	1.771772874844381	0.736490630152656	2.143568890641739	0.875043270200747	0.32476712111086903	1.238674044605259
2.0.4.0	1.981867241350266	1.628384939189007	0.6818148260993101	2.091383922936572	0.926449060730517	0.299092007955073	1.16419820991773
2.0.6999999999999997.0	1.8580021172114711	1.504476308568072	0.6386080500490401	2.009603242506534	0.9813281361073171	0.278045272045359	1.079858083687895
3.0.	1.7710905409010032	1.404331200184746	0.6075121113681731	1.9050921551808342	1.036590110682061	0.26208990007273303	0.9920940148432911
3.0.3.0	1.721006935627814	1.330027364076153	0.5885918133123721	1.785998150545253	1.089061391246418	0.251370081743222	0.9068885402131951
3.0.5999999999999996.0	1.7070496379779772	1.2822178897349419	0.581647016371305	1.660847592498089	1.135533378661739	0.24585996869786203	0.829302300226567
3.0.9.0	1.728443892348499	1.260799945219258	0.586406457919708	1.537765674024702	1.172867121814323	0.245468667005099	0.7632454261960641
4.0.2.0	1.784500531635528	1.265371800546397	0.6026064088970421	1.423913904414778	1.1981614483496061	0.250095933953145	0.7114679259327901
4.0.5.0	1.8744708813167301	1.295453696263811	0.629967353212271	1.325182721476388	1.208990943268921	0.25964144731278904	0.6757153188252331
4.0.8.0	1.9971293059795912	1.3504823373091401	0.668080569605309	1.246122082765583	1.203707615469751	0.27397222134006405	0.656971604168859
5.0.1.0	2.150109777646308	1.429597617788277	0.7162141111136271	1.190048803386182	1.181774086793365	0.29285218417762005	0.655704198072503
5.0.3999999999999995.0	2.329044870925447	1.531242848765769	0.7730522269108631	1.159241729388173	1.144060225604054	0.315838906994919	0.672032588632407
5.0.7.0	2.526622926909246	1.6526139755392921	0.83640006738492	1.155126067839408	1.093002371853737	0.342158072669407	0.705760123981067
6.0.	2.731799315581566	1.7890332854431041	0.9029199353185571	1.178355709430715	1.032518082795253	0.370578591868849	0.7562358082354491
6.0.3.0	2.9295478262760692	1.933395320154899	0.96801154785992	1.228728084385954	0.9676143922772371	0.39932979691532705	0.82205475787724
6.0.6.0	3.101635945634976	2.075924310853622	1.025984977188007	1.304913809384068	0.90372844643267	0.426120424114653	0.900666670372073
6.0.8999999999999995.0	3.228804044853221	2.2045456722896652	1.070658077960169	1.404054906250591	0.8459589561371631	0.44832185388016504	0.988032978570991
7.0.199999999999999.0	3.294280070450181	2.306123295443847	1.096392831433062	1.5213690673158902	0.7984131350888911	0.46334461424017803	1.078522218688101
7.0.5.0	3.287811459946707	2.368567089922948	1.099365371694635	1.649959287588299	0.763849837713173	0.46915773583692705	1.165209814298022
7.0.8.0	3.208735945635325	2.383388410797883	1.078641359172701	1.781021194410799	0.7436621642089281	0.464800867344462	1.240625645966867
8.0.1.0	3.066638362314648	2.347875297479971	1.03658025149689	1.90453823453112	0.738100579325613	0.45068538051080903	1.297809523390992
8.0.4.0	2.879110282938714	2.265992286037439	0.9783321392719131	2.010386329818872	0.7465767157783211	0.428536484999111	1.3313910862413691
8.0.7.0	2.6675231479947543	2.147554182283085	0.910612776676695	2.089614402660436	0.7679219251304561	0.40098472109596806	1.338395422446495
9.0.	2.45257183174404	2.005976415103864	0.8402638618132341	2.135603841231319	0.8005511917745011	0.37097520604078504	1.318590874936268
