time	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_16	species_17	species_18	species_19	species_2	species_20	species_21	species_22	species_23	species_24	species_25	species_26	species_27	species_3	species_4	species_5	species_6	species_7	species_8	species_9
0.0.	1200.0	0.0	0.0	0.0	200.0	0.0	0.0	300.0	0.0	10.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1200.0	0.0	0.0
40.0.	1046.6135307892846	4.977748432806769	0.140707140093699	0.141187794756262	1.864888312294697	0.061936627560135	86.92791624754976	57.4493047623112	3.688369820375065	6.31163017962494	0.36345434645444	1.934358224825596	1.9661462783155161	0.07297473774792	0.037386247707069005	110.89371003238433	0.14819779677462502	0.06507940071007201	85.636343315638	11.820778862107133	38.14481437780604	3.138095897026799	0.012056449289683	1.087431468751704	769.4198968835924	14.14762776006013	212.3897573085979
80.0.	919.5172965110545	4.222117500744487	0.181133382365461	0.6243602840790371	2.145313579540799	0.060380533162166	79.38373141471888	6.868106667500777	0.652690953122643	9.347309046877356	0.7071461152096981	7.228293840924167	2.486701178760806	2.265769395587356	0.094696211691478	115.42574858122045	0.723313555646914	0.069960491905072	90.426916255576	5.585962402901297	129.24274905352237	6.644016709434836	0.09590594329717501	26.713817594189806	623.1891399128513	21.45296264769264	264.551997831207
120.0.	761.244841144826	3.7924491890226193	0.19103848697331302	1.481553382496648	2.4455898120021002	0.061789558057896	76.0709300022296	4.46725718641206	0.427069659204086	9.57293034079592	0.95138117422743	14.957958028475637	2.845763504049251	8.736495652454009	0.108414764049788	111.09522682871014	1.7242808880973142	0.071909612241685	88.53427002069583	5.87239480068833	223.22835457188268	6.659934931587459	0.199056623167356	88.72767548332016	526.7844119961851	25.188861052019185	262.9019976404748
160.0.	582.0095006802944	3.5234176883261332	0.206249882884455	3.073700431822408	2.809990230291853	0.06590360348534101	73.21370985390334	5.602273206053975	0.528896622139288	9.471103377860715	1.248989893405033	26.977986179572337	3.214260413017054	20.697754118542136	0.11468450827975701	100.02425725367515	3.517985426632119	0.07541809795821801	84.26416453719364	7.679181631793821	308.95751902510165	6.123376175311407	0.330163518328391	181.74274472046443	440.3326284752761	29.273255484206402	255.46115327951608
200.0.	395.77991755453604	3.5079837249440953	0.239695954998447	6.319137187612587	3.22098870708949	0.07511063531640001	69.63051024667304	7.37604371483312	0.684926614363051	9.315073385636952	1.610502398012128	48.4059288831607	3.548155696176239	39.30679472360868	0.109262510589698	81.33819598910993	6.96862782136855	0.082807024901834	77.67459613409228	10.1153109254489	377.98185995169916	5.077730371104353	0.49131422534668606	299.9149246740026	362.82415458197204	34.175246764428806	245.7982736279144
240.0.	228.31865894682386	3.935072142117467	0.313922131023329	13.202129798479312	3.56110896676764	0.09304405730857401	64.05599720638737	9.47482882303481	0.8634682575423761	9.136531742457631	1.9625138857646611	91.46057650656846	3.697583048152128	63.27616748759502	0.086595134657378	55.72495734880429	13.728519702823444	0.096716036266507	67.77349393138991	12.74117339560329	413.2610334701715	3.626111752157611	0.6630436289976911	435.04343223078945	296.6808382587254	39.90848037728868	234.73561312974158
280.0.	112.93454557523987	4.847508032650893	0.45092340414083404	25.69307007154116	3.612849446472258	0.11641585984139001	54.856281225761265	11.3457132272056	1.017568495569746	8.982431504430272	2.182576077758851	174.85871411031758	3.521402395424598	85.34741523611758	0.054567336550829	30.319400823714822	25.074096142962784	0.11357338858733301	54.47246766333705	14.635884331929217	392.293776429466	2.245029717279248	0.7850063687894511	576.0202585128388	242.60803876054698	46.53720592133638	223.83012854205825
320.0.	54.70785809493267	5.661735933175606	0.619495905358715	41.0193220957509	3.382638052505086	0.12765698061372702	42.913618393122945	12.516490220526086	1.111619816045824	8.888380183954201	2.303418374460009	296.7159106615436	3.159195991213843	98.37204477582723	0.031399603974346005	14.153320098204533	38.33842040080012	0.11928978240521901	40.5721613201921	15.50751413092845	323.4138954475392	1.380045315227705	0.8189635983169901	707.1224730659733	196.46956336610018	54.73149543759816	213.20996611508164
360.0.	28.53488368879708	5.8349252911592195	0.7643658698336601	54.53944658939586	3.10107623397903	0.12084732347707701	31.526310395567975	13.390964243979608	1.180139621343179	8.819860378656829	2.455578751819044	428.9348662789517	2.814667081477305	104.0450699506958	0.019436934602502003	6.647812572279978	49.53293039838409	0.109735872242468	28.874205537719202	16.212882358357533	244.2278099496331	0.9335401805148441	0.8009014064520791	814.7905453170206	154.25345488753544	65.5158689550174	200.48020019964846
400.0.	16.051765460685534	5.459016635721186	0.868141755408474	65.08485240940264	2.875076338487607	0.10492622462709501	22.37489469606619	14.555551317522086	1.269450178997131	8.730549821002871	2.683454665626388	551.1137486243705	2.534848920714719	106.16344618587033	0.013439617534414002	3.383364528009401	57.42419129693801	0.09255836879435701	19.92071708056843	17.34422966735756	176.64826231369912	0.6974551370328601	0.7688055346465361	896.2734612225167	116.38721235005838	79.52649970538852	183.75267270969889
440.0.	9.54149492930048	4.834173042407966	0.9348834123259601	73.1066655525686	2.709236387627776	0.087588575322806	15.54204474016985	16.188909848615577	1.391859285311868	8.608140714688137	2.970350353203462	656.2429508106108	2.30763498403104	106.67800485219232	0.010189867897775	1.866270024217981	62.32237439934945	0.074651115372381	13.392838710692947	18.93215043734995	125.08059704766572	0.5619262596405821	0.737565815276892	955.5239512038029	84.76533347772698	96.70351336268355	162.87833330050856
480.0.	5.896014204594539	4.191854509057653	0.97307723150947	79.14782646315464	2.587785862932463	0.07254052540788	10.668326158885069	18.175870331251677	1.536454167683662	8.463545832316347	3.277434478316151	743.3161711057497	2.120971595006556	106.41888128439066	0.008274851281547	1.096364853944184	64.92843190013318	0.059493837133073005	8.856126790209549	20.757541399200555	87.56537881057444	0.47820799190317403	0.710957039637883	997.825920963667	60.302845202473094	116.07265196596487	139.20697042607242
520.0.	3.747029510585587	3.647238976955137	0.9916804447623621	83.63579817483573	2.497801991111674	0.06089973284193401	7.31853524184404	20.280233904513178	1.68458549452315	8.315414505476863	3.566204204554641	813.3921110051168	1.9698366602246642	105.80374040153642	0.007072536857865	0.676151920968248	66.01387406116092	0.048057190381916005	5.844430018245448	22.55759786543123	60.90333864592632	0.42376441201006304	0.6894031631083111	1027.7494994090005	42.48689094133305	135.95195568272877	114.96774240348529
560.0.	2.431561781309914	3.228452221408254	0.998527065729166	86.92691836287207	2.430911328177524	0.052438764557572	5.070301327927122	22.272622316363965	1.8202666089518091	8.179733391048211	3.8132754585037043	868.3907109535604	1.851163591242539	105.07925502206757	0.006285446217474001	0.433889748175865	66.24507475931362	0.039954359443418005	3.904519361154124	24.146012470341148	42.197390511233124	0.38718794434957904	0.6724839735111281	1048.7919455731287	29.969527503674467	154.6455952444967	92.30370083561213
600.0.	1.603094220670671	2.921386902320263	0.999262496530757	89.32126529419627	2.381427281723079	0.046463387727310006	3.5723372129052393	24.008108476343235	1.9349708057711341	8.065029194228888	4.012042812600916	910.6545650533516	1.760691357720539	104.38445269027073	0.005756205602677001	0.28829792756925	66.0794730564329	0.034367698420462	2.665854941907596	25.447570132915942	29.175164962413156	0.362112800842873	0.659536858919419	1063.5215843337041	21.297364863423255	171.0250880043891	72.57295727144762
640.0.	1.069903574997163	2.7006194710518123	0.9973164437503551	91.05815314955417	2.345096041071617	0.042279462914688	2.568599512792755	25.435330288714024	2.026955724365057	7.973044275634965	4.166166102182557	942.6036588512662	1.693140997846975	103.78254112363246	0.005393891141484	0.197936818886731	65.77505512554951	0.030536184734003	1.868240437060249	26.46686115262487	20.154746612950042	0.34469160948467303	0.649828160097638	1073.7949582088027	15.288716016749998	184.64511971683817	56.26225057152375
680.0.	0.7210660851328681	2.542739766069859	0.9945100816488871	92.31837178959816	2.318604673788866	0.039344883922591	1.887553076017453	26.565627833657775	2.098346026806867	7.901653973193157	4.28318133553945	966.4662959701939	1.643324493150452	103.29055635428193	0.00514262730818	0.140426595076211	65.45555023734283	0.027893471791293003	1.345441725359788	27.244608736814186	13.926968664904342	0.33247234735568804	0.642656191751886	1080.9407111341814	11.096820253044982	195.5578720971827	43.25585388834894
720.0.	0.490012116819995	2.429702665818562	0.9917010343895911	93.23415656677636	2.299388040107051	0.03727443894896	1.418713067218847	27.439425166226926	2.1526734734757422	7.847326526524282	4.37097108050033	984.1376580235551	1.606824743067056	102.90239523354457	0.00496667514303	0.10310597825400701	65.1709420769744	0.026052932665813003	0.9956802410862251	27.829528925703993	9.63686923266222	0.323840102581583	0.637413436150676	1085.9013972248365	8.145959758372294	204.07782379432683	33.13787652537534
760.0.	0.335565961019305	2.348482529140089	0.9892340167231781	93.90089012248373	2.285497987758449	0.035803623962462006	1.09151719020317	28.104571219369408	2.193533676647614	7.806466323352412	4.436387556325842	997.146593532769	1.580164202814467	102.60292274649967	0.004842540264654	0.078525788819963	64.93566544180695	0.024757991932486	0.7570963048778531	28.26592850224008	6.686106660170772	0.317708054060864	0.633608042453881	1089.340720206703	6.050471542021308	210.61057202724334	25.399773001449265
800.0.	0.23162858704143202	2.289887279612327	0.9872036043229621	94.38714025196603	2.2754811965502872	0.034752082615786	0.860491313218652	28.605831603871252	2.224047885506889	7.775952114493137	4.4849379304206884	1006.6842737770899	1.56071461531725	102.37522543118361	0.00475445801661	0.062155266440439005	64.74883084256585	0.023838621768501003	0.5916115988753371	28.590066391049874	4.658705224743745	0.313333198636985	0.630858837820204	1091.7233389961082	4.551124430202053	215.55663044963447	19.55128213519257
840.0.	0.161334416352995	2.247457151905736	0.9855934964446451	94.74226964775545	2.268267740237725	0.033996213892383005	0.6958237144129951	28.981074093261462	2.2467358490567992	7.753264150943226	4.520882723243895	1013.657701748087	1.5465300649527451	102.20378958786927	0.004691678707481	0.05116141711545501	64.60394474395167	0.023180981649193	0.475261451993423	28.8302000342063	3.2667492449106232	0.310201369989796	0.6288786278162121	1093.3731936572292	3.471720727731012	219.26809155434285	15.16742224944273
880.0.	0.11362049423471	2.216636597025518	0.9843457871155241	95.00192596546482	2.263077052202728	0.03345050023373	0.577586966385456	29.26070367691759	2.263557319746012	7.736442680254011	4.547453088833227	1018.746999159179	1.536184068759468	102.0755800508749	0.004646777957932001	0.043732686870532	64.49325388203512	0.022707751118657003	0.39258041350188605	29.00782079574866	2.311557739011213	0.307953326347841	0.627454931079611	1094.5154539936143	2.690893442925537	222.03551246672146	11.9006068649162
920.0.	0.081147097862152	2.194193118125523	0.983393359359202	95.1919376584882	2.259343097507058	0.033055156899221005	0.492210304284635	29.468418608337043	2.276005689995491	7.723994310004532	4.567072951673608	1022.456917422318	1.528635583672739	101.9801492053027	0.004614576041656	0.038690001466062	64.4095159453503	0.022365644427158	0.33334196685508605	29.13906790801804	1.6563114465900122	0.3063361588019	0.626432396840465	1095.306319117086	2.123964281033616	224.0896801831947	9.476361299420528
