time	s1	s10	s11	s12	s13	s14	s15	s16	s17	s2	s3	s4	s5	s6	s7	s8	s9
0.0.	100.0	0.0	0.0	0.0	0.0	2.6469779601696877e-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.470329472543003e-22	0.0
0.0.3.0	0.606384002926566	0.464677008596492	1.746181916048021	3.120255615040703	7.741651435755096	0.21397797466620702	1.271212361311413	0.325829561565257	0.105519110822686	30.579230224530356	4.044026406814929	0.307913546695316	25.911820765064476	12.314683700246196	0.181144241341327	6.610167785800564	4.455324342774404
0.0.6.0	0.380153965438333	1.003710100193058	1.702792590367102	3.117805311423481	7.4191030936522875	0.21499289059852403	1.197257922856146	0.32434718734003204	0.10722758581220401	26.746374080188506	8.27970397242783	0.519365150917666	25.78644689196753	12.113651552701857	0.17309473314286403	6.631883236925776	4.282089734046813
0.0.8999999999999999.0	0.38485497666013	1.525060208006052	1.6584474994553382	3.109841805369647	7.104280887045529	0.215605055098874	1.127206746782495	0.32232616943680004	0.10873292216442501	23.43867625744549	11.939213016820759	0.6297578148188111	25.618493864297673	11.898914934183392	0.165282090827055	6.641318430809137	4.111987320778416
1.0.2.0	0.38469895706143303	2.02996110726289	1.6165351070554999	3.102486769873547	6.8114614052681635	0.21623283360090903	1.063159109862903	0.32040667456923	0.11023935141756801	20.63478534135807	15.108798534985873	0.6849662711643181	25.45887514916521	11.694615011381348	0.15803588641691202	6.651410846609264	3.953331642946891
1.0.5.0	0.38169667717397004	2.519586609912766	1.576522570307386	3.094993968556689	6.537342150456976	0.21682588450381302	1.004311822738154	0.31850934059322805	0.11172227433517201	18.251130704329697	17.861876217423468	0.710577528961435	25.301268845804504	11.497425201618727	0.15127378476216902	6.66060023754629	3.804336180975609
1.0.7999999999999998.0	0.377279647496221	2.99492937169635	1.53809915868009	3.086983117413768	6.279712748318269	0.21735862036570902	0.950072568090994	0.31659339911925505	0.11316897003454801	16.22031202386089	20.259946393955126	0.720724459294622	25.142424655132945	11.305531629659162	0.144939590852581	6.6680937772170665	3.663829868812472
2.0.1.0	0.372232125744804	3.456860729046905	1.5010826987274002	3.078284301583113	6.037014211732661	0.21781970319861202	0.8999815668627961	0.314640253890876	0.114573577626007	14.487157825446964	22.354815882642164	0.723150301524033	24.980856858212395	11.117990675842119	0.138992816769018	6.673540221436597	3.531006249713603
2.0.4.0	0.366977201312537	3.906165478351585	1.465361626170057	3.068841146239654	5.808065767542782	0.218205498176742	0.853662616004441	0.31264326966646805	0.115933960639645	13.005945347594148	24.190295299740125	0.7220433996941371	24.81603165298524	10.93433051796161	0.133402210256123	6.67682692320237	3.405268084462395
2.0.6999999999999997.0	0.361737616518158	4.343562298093108	1.430862800771522	3.058657049848344	5.591911862297803	0.218516437094043	0.8107950353376011	0.310602103799655	0.11724996381197302	11.738454335533316	25.803532400770173	0.7196223207766831	24.647916035596822	10.754330018788295	0.12814212075824502	6.677967084760943	3.28614051544338
3.0.	0.35662562740977705	4.769716110047571	1.397533728627406	3.047765509304242	5.387736439886355	0.21875500992092803	0.771097371460794	0.30851957908002203	0.11852244911012101	10.652546539317253	27.226084333192535	0.7170210236063581	24.47672893432929	10.577896798202795	0.123190454435585	6.677037498713062	3.1732225933559812
3.0.3.0	0.35169312488276105	5.185245902871065	1.365332819060469	3.036213887694814	5.194814799340214	0.21892466495392202	0.7343177187235771	0.306399974350758	0.11975276675696801	9.721089165708815	28.4847950254531	0.7147821453280021	24.302805179790766	10.405000620897756	0.11852751747307501	6.674144464279911	3.066160222434109
3.0.5999999999999996.0	0.34695951426842603	5.59072998766752	1.3342241097917151	3.024054663699014	5.012486415123392	0.21902921479012202	0.700227776732397	0.30424810405066605	0.12094246854171001	8.921113039230736	29.602522078114465	0.713131033108324	24.126522262076474	10.235637547773495	0.114135355487049	6.669405387940756	2.964631041603819
