time	Ln_	NR	NRLc	NRLn	NRc	RE	REL
0.0.	0.0	83.5	0.0	0.0	83.5	3.7	0.0
0.0.3.0	0.002979105741374	83.00298154489556	0.40500027167666103	0.244965493936722	82.96254774940914	2.991723555906157	0.708276444093841
0.0.6.0	0.004335887542605	82.89208578948322	0.411150494138515	0.35865702148592604	82.87928182329215	2.72889857100882	0.97110142899118
0.0.8999999999999999.0	0.004799681966943001	82.85692287350635	0.41328354700742004	0.39746004608031904	82.85297595169995	2.6492767484683073	1.050723251531691
1.0.2.0	0.004941213860656	82.84633783106352	0.41393766266430704	0.40929495202411803	82.84517034524045	2.625893699204661	1.074106300795338
1.0.5.0	0.004982889315941001	82.84323196525389	0.41413055699432705	0.412779297589944	82.8428913282765	2.619086645444087	1.080913354555912
1.0.7999999999999998.0	0.004995031575543	82.84232796166876	0.41418678158037603	0.413794424516978	82.8422289810973	2.617110013187322	1.0828899868126771
2.0.1.0	0.004998558332316	82.84206546747704	0.414203114151082	0.414089265717182	82.84203674066403	2.6165364553358073	1.083463544664191
2.0.4.0	0.004999581802259	82.84198930058731	0.414207853874114	0.414174825404991	82.84198096611966	2.616370061527028	1.083629938472971
2.0.6999999999999997.0	0.00499987867121	82.84196720378391	0.41420922896209306	0.41419964765167905	82.84196478598723	2.6163217918171373	1.083678208182861
3.0.	0.004999964804020001	82.84196079367814	0.414209627868642	0.41420684844918304	82.84196009230173	2.616307789381309	1.08369221061869
3.0.3.0	0.0049999897901330005	82.84195893418585	0.41420974358681906	0.41420893731568503	82.84195873072596	2.616303727468309	1.08369627253169
3.0.5999999999999996.0	0.004999997038262	82.84195839477283	0.41420977715509005	0.414209543267319	82.841958335752	2.616302549165172	1.083697450834825
3.0.9.0	0.004999999140842	82.8419582382968	0.41420978689277005	0.41420971904528703	82.8419582211757	2.616302207356351	1.083697792643644
4.0.2.0	0.004999999750770001	82.84195819290535	0.41420978971753103	0.41420977003595305	82.84195818793876	2.616302108202534	1.083697891797462
4.0.5.0	0.004999999927702	82.84195817973794	0.41420979053695406	0.41420978482761206	82.8419581782972	2.616302079439441	1.083697920560556
4.0.8.0	0.004999999979027001	82.8419581759183	0.414209790774657	0.414209789118459	82.84195817550034	2.616302071095682	1.083697928904315
5.0.1.0	0.0049999999939160005	82.84195817481024	0.41420979084361104	0.414209790363172	82.84195817468901	2.616302068675278	1.08369793132472
5.0.3999999999999995.0	0.0049999999982350005	82.8419581744888	0.41420979086361304	0.414209790724245	82.84195817445362	2.616302067973154	1.083697932026844
5.0.7.0	0.004999999999488001	82.84195817439557	0.414209790869416	0.414209790828988	82.84195817438537	2.616302067769474	1.083697932230523
6.0.	0.004999999999847	82.8419581743688	0.414209790871081	0.41420979085903903	82.84195817436576	2.61630206771104	1.083697932288957
6.0.3.0	0.004999999999952	82.84195817436098	0.414209790871567	0.414209790867817	82.84195817436004	2.616302067693969	1.083697932306028
6.0.6.0	0.004999999999985001	82.84195817435852	0.41420979087171805	0.41420979087055104	82.84195817435823	2.616302067688655	1.083697932311343
6.0.8999999999999995.0	0.004999999999995001	82.84195817435776	0.414209790871765	0.41420979087140203	82.84195817435766	2.616302067687	1.083697932312998
7.0.199999999999999.0	0.004999999999998	82.84195817435752	0.41420979087178006	0.41420979087166704	82.84195817435747	2.616302067686486	1.083697932313514
