time	CaER	CaM	CaPr	Ca_cyt	Pr
0.0.	0.76	0.29	85.45	0.35000000000000003	34.55
0.0.5.0	0.706633946496103	0.31446803608511603	85.61266466474949	0.302927404925593	34.38733533525049
1.0.	0.7238645030850841	0.307065896505792	85.6440919532934	0.23218644834304003	34.35590804670657
1.0.5.0	0.791356656002674	0.301023160595115	85.52362262296622	0.10685811064256201	34.47637737703374
2.0.	0.882173288976391	0.299877835535379	85.21486497535139	0.056930526601516006	34.785135024648625
2.0.5.0	0.9624802251750951	0.298995118513917	84.89247040719691	0.061628218046963	35.10752959280305
3.0.	1.037880636781601	0.29794920074756004	84.58508408365164	0.07159656623164501	35.414915916348335
3.0.5.0	1.093398346254397	0.29628974154355203	84.31709723946496	0.12415040934320101	35.68290276053503
4.0.	0.729237493546053	0.534430425258526	84.56624166653349	0.37908665824820703	35.43375833346662
4.0.5.0	0.7047982885641231	0.536268196504315	84.73505402810962	0.30068003161670204	35.26494597189054
5.0.	0.716850293338676	0.518764012667538	84.79962843291489	0.25791434306030003	35.20037156708525
5.0.5.0	0.7326776525891181	0.501973378086079	84.8131352434454	0.24826063385389202	35.186864756554776
6.0.	0.716827744384895	0.486812890404732	84.8763568614508	0.30908059939077004	35.12364313854933
6.0.5.0	0.7091820655558251	0.47472220033300205	84.98014734158632	0.28423559485846	35.01985265841381
7.0.	0.722346012515653	0.4595357395519	85.02122739896546	0.251245592764454	34.97877260103474
7.0.5.0	0.7343108638915611	0.445077954842765	85.02830003938101	0.254144685681757	34.97169996061913
8.0.	0.7137551934828541	0.433459483756415	85.10301501458194	0.30812627646102303	34.89698498541814
8.0.5.0	0.7119173145470451	0.422765802853164	85.18795617719104	0.27331135320815503	34.81204382280903
9.0.	0.7297649329168041	0.409717315116964	85.20452533074382	0.237545677121158	34.79547466925627
9.0.5.0	0.749216788462368	0.39784576347910305	85.17857686968414	0.23317292255009503	34.82142313031603
10.0.	0.7163014003940501	0.390628424911782	85.24603228178108	0.32624841699573903	34.75396771821913
10.0.5.0	0.710017983116753	0.385003400558168	85.34481097097954	0.275103494321013	34.65518902902077
11.0.	0.7342688610579371	0.37364830456070003	85.34799400252815	0.220337334997555	34.65200599747218
11.0.5.0	0.799183628046041	0.366399809824893	85.2258769777403	0.11178927077620202	34.77412302225998
12.0.	0.8897804670055841	0.36491720082814405	84.92388177126284	0.057327557402462	35.07611822873737
12.0.5.0	0.9696354554463901	0.36383635959864	84.6042264302938	0.061886309526317004	35.39577356970646
13.0.	1.044380018643364	0.36255081771505304	84.29996852387511	0.07230813069144301	35.700031476125126
13.0.5.0	1.094499921573035	0.360382381122667	84.04043208420043	0.140038705017016	35.95956791579985
14.0.	0.7249513027174591	0.600593848812461	84.3235201895118	0.37429920436881603	35.67647981048852
14.0.5.0	0.704343267475601	0.596377209439759	84.4950607664925	0.302057325846443	35.504939233507905
15.0.	0.7144402862689451	0.5760850814200571	84.5718933102024	0.26600521904199304	35.42810668979804
15.0.5.0	0.723334731117611	0.5563766496104581	84.61345999644435	0.267694480643747	35.38654000355606
16.0.	0.7125622138769181	0.538454176961592	84.6964753483407	0.29945908830566503	35.30352465165978
16.0.5.0	0.71112545117553	0.521808875417972	84.78759814318772	0.280664550438646	35.212401856812725
17.0.	0.719553039471931	0.5044659471925781	84.8397133358491	0.26421071749321	35.16028666415133
17.0.5.0	0.7203845114817681	0.487885355906069	84.8876718787833	0.279248651665698	35.112328121217146
18.0.	0.7126173918793121	0.47327897283019205	84.96774965991332	0.288664881249018	35.032250340087124
18.0.5.0	0.716105244596557	0.45862905467736104	85.03166786993674	0.26939493296794803	34.96833213006373
19.0.	0.723670390925355	0.44395153767400103	85.067065167316	0.26244711828691003	34.93293483268443
19.0.5.0	0.718928637242618	0.43032454573932705	85.11765521748694	0.28533205058564204	34.88234478251352
20.0.	0.7135674561791211	0.41846899316401703	85.19127099082678	0.28058321180094603	34.80872900917356
20.0.5.0	0.721263268200321	0.40577527415458003	85.2332426866636	0.25860314391710704	34.766757313336775
21.0.	0.7287682822664111	0.39327029709875105	85.25155126564937	0.26029441689029603	34.74844873435101
21.0.5.0	0.7166844093497611	0.38266273075858104	85.30910825170196	0.293503187864987	34.690891748298405
22.0.	0.7144838292261041	0.37320727930207703	85.37750762479016	0.27172794109743403	34.62249237521019
22.0.5.0	0.729365972589026	0.36213239415589604	85.39287716035732	0.24112937266329001	34.60712283964299
23.0.	0.7438528751793481	0.35160602593550605	85.37498767135598	0.24317672418483902	34.625012328644246
23.0.5.0	0.7151170190159161	0.345552465126782	85.441995515904	0.315326547525395	34.55800448409617
24.0.	0.712655293723076	0.34001530727344503	85.52166851933248	0.26764907668168303	34.47833148066775
