time	c1	c2	h1	h2
0.0.	0.30000000000000004	0.1	0.8	0.1
0.0.3.0	0.761711685583869	0.08695828898181801	0.7355693121645681	0.312070022917943
0.0.6.0	1.337721484345834	0.08537999736302	0.63275615257863	0.464612605940568
0.0.8999999999999999.0	1.582529647195201	0.088002469971297	0.5331215184701791	0.5732731879609191
1.0.2.0	1.577886433178375	0.092748552611916	0.46236663354852303	0.649746849599374
1.0.5.0	1.458035418669602	0.0992605973224	0.4217598853235	0.702607375416323
1.0.7999999999999998.0	1.291409060193685	0.107735733778913	0.40512888129108604	0.738027963397419
2.0.1.0	1.109799242999445	0.11876236394317201	0.40625210626504504	0.7603801115694241
2.0.4.0	0.9298185523769981	0.133627066532387	0.42035165011468906	0.772639860315199
2.0.6999999999999997.0	0.761499403403041	0.155332287741818	0.44389579542537305	0.7765633289411521
3.0.	0.6110464161988961	0.19205303083945102	0.47416017614425304	0.7724823308292
3.0.3.0	0.48148957276941506	0.270812695399801	0.5089416083528561	0.7581447517534591
3.0.5999999999999996.0	0.373375786084077	0.47571015527977706	0.546457890607441	0.7257791441516881
3.0.9.0	0.286599942160146	0.850203683618015	0.5852507112641161	0.666270421767821
4.0.2.0	0.22189899208927502	1.163630224060828	0.6238516122788701	0.591391631188332
4.0.5.0	0.179511744575683	1.285284150805738	0.660346370809435	0.524792445545344
4.0.8.0	0.156409662760729	1.264739691388857	0.6924984327463121	0.478278683170121
5.0.1.0	0.147277666529808	1.1681691189043741	0.718574034516108	0.45259649031438903
5.0.3999999999999995.0	0.147825657517404	1.037026444892301	0.7378272652112611	0.444391248752022
5.0.7.0	0.156231893359524	0.8947361381852411	0.7502298387618791	0.44974857421727304
6.0.	0.17365548684897603	0.7549857497845011	0.755890986936784	0.46523975745231805
6.0.3.0	0.20657753029650203	0.625917885073461	0.7543599323009821	0.488034541920329
6.0.6.0	0.27659401311426	0.511880153117507	0.7434325364048231	0.515807400721758
6.0.8999999999999995.0	0.44492053059511805	0.41445876821403405	0.7169851282106381	0.5466676957788681
7.0.199999999999999.0	0.7552620339307271	0.33374759894046	0.667446839949123	0.5791006776844251
7.0.5.0	1.050427578955008	0.269488479487402	0.60183429089854	0.6118320946080691
7.0.8.0	1.192447159347535	0.22150379154221303	0.5397561998036731	0.643615216864814
8.0.1.0	1.198675495463576	0.18924619479229401	0.49385778936837604	0.673046476989405
8.0.4.0	1.124561904593545	0.17085464882985102	0.466767762094737	0.698662836310585
8.0.7.0	1.010734989611541	0.16361576647960202	0.456341121240862	0.719306094852831
9.0.	0.8816805053211421	0.16546416260278402	0.45923542219397406	0.734322800568151
9.0.299999999999999.0	0.752017928974948	0.176217324234609	0.47225183753419303	0.743392214100512
9.0.6.0	0.630512493815872	0.199179516013854	0.49264304399671005	0.746072618886334
9.0.9.0	0.521976601435521	0.24613203062191003	0.518111466813018	0.741006371629865
10.0.2.0	0.42835785921566605	0.35269408414568504	0.546773508659761	0.7243783358565661
10.0.5.0	0.349908644995546	0.581858928547051	0.5771235409594561	0.68900298323292
10.0.799999999999999.0	0.286424210693256	0.886198561333266	0.607928177344764	0.633240212483959
11.0.1.0	0.237740900183108	1.098378608336504	0.638040038485384	0.5711619138932921
11.0.4.0	0.203489045144281	1.167724896670864	0.6662321171339951	0.519015719445939
11.0.7.0	0.182470904926184	1.134511977594028	0.6912037625994101	0.483873467918551
12.0.	0.17268282823289202	1.044338191077505	0.711812869709416	0.46581418870704605
12.0.299999999999999.0	0.17236305147944903	0.9277144860091451	0.727283222906368	0.462209000705582
12.0.6.0	0.181242493740763	0.803240932398246	0.737138098628427	0.46994496057394103
12.0.9.0	0.202173125539323	0.6822319157293181	0.74084148380879	0.486168558961782
13.0.2.0	0.24551874170469	0.571336372233304	0.737095011729043	0.508432545804393
13.0.5.0	0.342176329075674	0.473897089422575	0.722475349959929	0.5346887153488941
13.0.799999999999999.0	0.5501335674840181	0.39102911211092806	0.6904090755842061	0.563262779048714
14.0.1.0	0.84174852769245	0.32272070990448004	0.6382971107944491	0.592796387882428
14.0.399999999999999.0	1.061701952504411	0.26852894006389	0.5781188480732801	0.622137664610909
14.0.7.0	1.145104668561	0.22794530604780802	0.525910319530225	0.650204087087438
15.0.	1.123656380781589	0.200281626006892	0.4896379399551	0.6758728161685921
15.0.299999999999999.0	1.041724403482681	0.18426180503875603	0.470098609871396	0.698029880311092
15.0.6.0	0.9305610885592631	0.17831698225182502	0.46501455962625704	0.715752545014533
15.0.899999999999999.0	0.8095610347821871	0.18157282942716801	0.47140467896269506	0.728393983078061
16.0.2.0	0.6906041587767611	0.19514900183659903	0.486451355637372	0.7354187711468511
16.0.5.0	0.5807440879937671	0.22471447559302402	0.50770783294106	0.7359465873707041
16.0.8.0	0.48361961697117506	0.28797287007155004	0.5331142239772261	0.727824019090702
17.0.099999999999998.0	0.40050050469840803	0.42970788198230003	0.560984814390583	0.706145517292256
17.0.4.0	0.331439910094149	0.6848220399339521	0.589964188595203	0.664998095344366
17.0.7.0	0.276170975522313	0.9497680784429651	0.6189123896327451	0.6085507005798471
18.0.	0.23434477006873103	1.100125944709938	0.64675611487241	0.55222476232701
18.0.3.0	0.205377550500797	1.128190993013956	0.672384936988561	0.508281221113795
18.0.599999999999998.0	0.188126779526072	1.075593949587301	0.6946861019232651	0.480734604925644
18.0.9.0	0.181114733383774	0.9796396125234371	0.7127095163270061	0.46864236514767704
19.0.2.0	0.18344466406019602	0.8648176301692581	0.7257644015276731	0.469346569546978
19.0.5.0	0.196079948607069	0.746309551311772	0.7332838183183801	0.479980062216017
19.0.8.0	0.224270842131039	0.633395585939544	0.7344007698204741	0.49794666472596005
20.0.099999999999998.0	0.284470074079406	0.53136139587214	0.7270732747240181	0.521015694737172
20.0.4.0	0.418744505547593	0.44265359882646504	0.706655970164489	0.547322226858859
20.0.7.0	0.6648514102156411	0.367944509926724	0.667224089525271	0.5753419013743171
21.0.	0.9302069584023511	0.307029942523371	0.612018154369392	0.603823629338448
21.0.3.0	1.087717629854819	0.25934280054557	0.5558654791392671	0.631689957747666
21.0.599999999999998.0	1.1228664582771	0.224279974489786	0.511350191917982	0.6579211834696911
21.0.9.0	1.075266401344591	0.201056415779922	0.48295209855052806	0.6814845234537651
22.0.2.0	0.982448805116741	0.188510967009815	0.469994631345226	0.701399662904397
22.0.5.0	0.869445935054249	0.185555334664205	0.469925345627672	0.716864763059549
22.0.8.0	0.751852979207515	0.192172795890957	0.47990579536681005	0.727255099105922
23.0.099999999999998.0	0.6392330679981221	0.21104180349928	0.49733991296721203	0.731881257381351
23.0.4.0	0.537068509106644	0.25148846467574104	0.519988586860888	0.7294099395561461
23.0.7.0	0.44791274889991	0.340098798424087	0.5459787476714361	0.7167237743454501
24.0.	0.372443705016173	0.52618365285982	0.573788108475502	0.688065006661085
24.0.3.0	0.31053566010320705	0.7944996651910391	0.6021795421022921	0.640618359158583
24.0.599999999999998.0	0.261845470374496	1.011879351485569	0.630077282255604	0.58412234934461
24.0.9.0	0.22591711847055101	1.105913189057841	0.6564417823443991	0.533475242662616
25.0.2.0	0.20201142218192603	1.097079223710218	0.680210741277613	0.49713456229247804
25.0.5.0	0.18895780896869202	1.025807026381478	0.7003719001121781	0.47666500947056006
25.0.8.0	0.18561486806458302	0.922893932252785	0.7160960141784121	0.47029355093672903
26.0.099999999999998.0	0.19187670024112002	0.808100786292246	0.726743960559575	0.47529474203737404
26.0.4.0	0.210273108041543	0.6937194166006071	0.731631915482552	0.48896526259376405
26.0.7.0	0.24979550205991702	0.5871594108040611	0.7294624885104061	0.5089049035831641
27.0.	0.33623503266527205	0.492403809074597	0.717201889545041	0.533065609723256
27.0.3.0	0.51869871326893	0.41107181519191704	0.6891577257309961	0.559746744735781
27.0.599999999999998.0	0.7860679744041411	0.343427166260654	0.64225263967042	0.587557559829185
27.0.9.0	1.00666764720185	0.289057202691061	0.585837685879773	0.615341393669382
28.0.2.0	1.104499493031024	0.24732389081845702	0.534865595735024	0.642079094157406
28.0.5.0	1.098294862824595	0.217574115697548	0.498044661817501	0.666786176073028
28.0.799999999999997.0	1.028502846407602	0.19893774885470203	0.477103365590809	0.688484272883221
29.0.099999999999998.0	0.926283574427866	0.19035377335252002	0.47033160061607104	0.7062866076371721
29.0.4.0	0.8116806484348931	0.191218332539929	0.475016682784455	0.719473882871122
29.0.7.0	0.6971673861987631	0.20256310881272502	0.48845075094766605	0.727402175882357
30.0.	0.5902690139477831	0.229390177918384	0.5082254829046681	0.7291453551878101
