time	species_0	species_1	species_10	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
0.0.	999.999903689	0.0	499.999951844	3999.99961476	0.0	0.0	999.999903689	0.0	0.0	99.9999903689	499.999951844
30.0.	918.1498490536493	81.850054635351	499.999951844	3963.835833749608	35.89399747846057	0.269783531933598	999.9555991100872	0.044302902408052	1.67650473864377e-06	99.9999903689	499.999951844
60.0.	889.3704457917639	110.62945789723605	499.999951844	3899.649149495485	98.31995231127729	2.030512953241492	999.6337005608844	0.366081121447206	0.00012200666843600002	99.9999903689	499.999951844
90.0.	875.0378089883432	124.9620947006564	499.999951844	3812.7932383466946	180.31225429642356	6.894122116884571	998.6607169876914	1.3375159701778672	0.00167073113071	99.9999903689	499.999951844
120.0.	867.0603207236855	132.93958296531417	499.999951844	3712.457314155012	271.5453780239518	15.996922581036852	996.5504533832994	3.438276126937405	0.011174178762877001	99.9999903689	499.999951844
150.0.	861.8639695928116	138.13593409618846	499.999951844	3605.753644117558	364.49514325024614	29.75082739219708	992.4870109326278	7.460075897203293	0.052816859168674006	99.9999903689	499.999951844
180.0.	856.234126320598	143.7657773684024	499.999951844	3496.617480834145	455.2446448422457	48.13748908361039	984.6326253105801	15.15008670788641	0.21719167053315502	99.9999903689	499.999951844
210.0.	842.3478029236682	157.65210076533228	499.999951844	3385.916607189591	542.9155280405051	71.16747952990531	968.2032771989366	30.902304836207183	0.8943216538556351	99.9999903689	499.999951844
240.0.	786.5818314012018	213.41807228779882	499.999951844	3270.837134922982	629.6194967200546	99.54298311696378	931.0791055836836	64.9976969687522	3.92310113656354	99.9999903689	499.999951844
270.0.	528.3768618744432	471.62304181455744	499.999951844	3139.147827804213	724.056448198791	136.79533875699465	849.949200185021	132.98691943635527	17.06378406762253	99.9999903689	499.999951844
300.0.	2.110721296673554	997.8891823923273	499.999951844	2998.2850599610106	818.1007557422712	183.61379905672308	697.7404569557918	237.28342570961024	64.97602102359822	99.9999903689	499.999951844
330.0.	0.9834813419777971	999.0164223470232	499.999951844	3048.4943322461318	772.306167333101	179.19911518077498	531.6276483376554	311.3068643933745	157.06539095797	99.9999903689	499.999951844
360.0.	0.712980047452707	999.2869236415488	499.999951844	3183.0031437126804	667.965807016823	149.0306640305057	423.66088754410845	333.0234391703574	243.3155769745342	99.9999903689	499.999951844
390.0.	0.63637118280292	999.3635325061986	499.999951844	3342.1275977660557	545.3858727348063	112.4861442591482	377.0028013483324	334.39525760249745	288.60184473816986	99.9999903689	499.999951844
420.0.	0.645304308542602	999.3545993804597	499.999951844	3505.893490750847	417.8379849529934	76.26813905617115	386.60105889348443	331.08341889902647	282.3154258964888	99.9999903689	499.999951844
450.0.	0.7379421379010671	999.2619615511006	499.999951844	3659.843515744591	295.83886528508145	44.31723373033912	450.85340873322576	318.052333378347	231.09416157742731	99.9999903689	499.999951844
480.0.	0.9970095131917841	999.0028941758103	499.999951844	3781.4046360923157	197.89920231379088	20.695776353905373	569.1617012962197	277.18923109577463	153.6489712970058	99.9999903689	499.999951844
510.0.	1.82561928876323	998.1742844002395	499.999951844	3815.098935413822	174.40679930108027	10.49388004510928	732.136213107246	193.07108211432276	74.79260846743173	99.9999903689	499.999951844
540.0.	7.049118633447922	992.9507850555556	499.999951844	3551.870827038298	414.35475983186234	33.774027889852114	896.546640823936	85.15389513984717	18.299367725217124	99.9999903689	499.999951844
570.0.	5.504284974513207	994.4956187144907	499.999951844	2812.0079135115557	966.133896341176	221.85780490728226	803.8565440562402	169.26927151843546	26.874088114325275	99.9999903689	499.999951844
600.0.	0.9194351244794111	999.0804685645251	499.999951844	2799.2504404413994	950.7938332442183	249.95534107439696	503.02295050316945	325.28247056671677	171.6944826191143	99.9999903689	499.999951844
630.0.	0.554817556065326	999.4450861329393	499.999951844	2955.9622060805495	830.8340855446219	213.20332313484093	301.5969851600044	337.51126855095487	360.8916499780414	99.9999903689	499.999951844
660.0.	0.46043819385938006	999.5394654951457	499.999951844	3142.870654625494	690.4531711402345	166.6757889942857	189.82026207702438	302.39013528398914	507.7895063279872	99.9999903689	499.999951844
690.0.	0.43222266324020203	999.5676810257644	499.999951844	3339.7941736047765	540.7711416881725	119.43429946706654	142.7939268616548	278.83739275989615	578.3685840674498	99.9999903689	499.999951844
720.0.	0.43667187028743604	999.5632318187174	499.999951844	3539.2019063459247	385.82981761284066	74.96789080125114	146.01248251799197	288.1900729330338	565.7973482379753	99.9999903689	499.999951844
750.0.	0.47253873335731905	999.5273649556481	499.999951844	3734.3052295203915	229.56464483428093	36.129740405345224	197.28658607206862	320.59123145273276	482.1220861641997	99.9999903689	499.999951844
780.0.	0.559668048346597	999.440235640659	499.999951844	3909.891019272505	82.29070122835073	7.8178942591572245	302.25795400226093	342.79206383222737	354.9498858545129	99.9999903689	499.999951844
810.0.	0.752833041920962	999.2470706470847	499.999951844	3987.4118991047244	12.527511632438038	0.060204022852963	456.133143810486	319.44765555897675	224.41910431953838	99.9999903689	499.999951844
840.0.	1.227820643720184	998.7720830452855	499.999951844	3971.749139538164	28.07706715059388	0.173408071256816	637.1741917864468	244.34678313132113	118.4789287712333	99.9999903689	499.999951844
870.0.	3.269381528975601	996.7305221600299	499.999951844	3859.2735287114488	137.28108457086714	3.445001477696538	833.6833371704957	126.44608223995873	39.870484278546606	99.9999903689	499.999951844
900.0.	28.59196494654708	971.4079387424583	499.999951844	3065.485818649814	804.5171269974029	129.9966691127962	930.2213531795824	64.44535405534278	5.333196454076627	99.9999903689	499.999951844
930.0.	1.335137030105237	998.6647666589016	499.999951844	2685.666013554279	1031.9281624774253	282.4054387283075	597.6906314213486	293.63244124473124	108.67683102292199	99.9999903689	499.999951844
960.0.	0.579048858383445	999.4208548306244	499.999951844	2822.457142901651	924.5822258649531	252.960245993409	321.6949162954351	342.1684322564782	336.13655513708915	99.9999903689	499.999951844
990.0.	0.44302795867606803	999.556875730332	499.999951844	3008.639840351503	786.8110918657678	204.54868254274328	163.52821713193111	287.15193851951926	549.3197480375516	99.9999903689	499.999951844
1020.0.	0.399941107292191	999.5999625817154	499.999951844	3208.7150460182984	637.6201875280449	153.66438121367105	85.96772030787194	225.71456951268533	688.3176138684445	99.9999903689	499.999951844
1050.0.	0.38980127016172605	999.6101024188458	499.999951844	3414.1856992954845	481.22118852666614	104.59272693786431	62.16516597873863	205.953241055755	731.8814966545083	99.9999903689	499.999951844
1080.0.	0.40126101311959306	999.5986426758881	499.999951844	3620.178959835755	319.99171036400054	59.82894456025821	77.68296036371152	239.58198191698347	682.7349614083067	99.9999903689	499.999951844
1110.0.	0.43809898671171305	999.5618047022954	499.999951844	3819.6278957694003	157.87629873497357	22.49542025564065	135.48766547597964	302.74843514028754	561.7638030727337	99.9999903689	499.999951844
1140.0.	0.51790035629135	999.4820033327159	499.999951844	3978.2586559838337	20.73172343430026	1.009235341878525	244.83274500383416	348.93728797792664	406.2298707072394	99.9999903689	499.999951844
1170.0.	0.672562153196081	999.3273415358099	499.999951844	3991.077754178742	8.90294880498852	0.018911776279188	394.44747123187875	340.7498878166871	264.8025446404343	99.9999903689	499.999951844
1200.0.	1.009224062867771	998.9906796261384	499.999951844	3980.524297672962	19.3898597478109	0.085457339236987	569.5078179839732	279.2943462197566	151.1977394852709	99.9999903689	499.999951844
1230.0.	2.111133146968112	997.8887705420374	499.999951844	3925.310238827067	73.62245689184964	1.066919041092043	763.5520669695486	172.81085704339128	63.636979676061785	99.9999903689	499.999951844
1260.0.	13.35101733177263	986.6488863572334	499.999951844	3479.3497974883876	479.9084098934897	40.741407378130646	936.8110097308974	53.991381560003575	9.19751239810117	99.9999903689	499.999951844
1290.0.	2.8174753645757393	997.182428324432	499.999951844	2687.2675336100406	1040.6799469276596	272.0521342223134	727.0306956855142	223.7887358791949	49.1804721242909	99.9999903689	499.999951844
