time	A	I1	I2	S
0.0.	500.0	10000.0	2000.0	2500.0
1.0.	959.4417619514724	10777.471086208774	1921.1321388994122	2269.440683328594
2.0.	1161.2336439636179	11345.245411083613	1860.498567137429	2162.5115395993553
3.0.	1261.7446025882161	11795.979969839225	1813.8353314274402	2106.0837401846525
4.0.	1320.7933024586584	12169.992283617274	1778.2353469830632	2071.8866989414205
5.0.	1361.4801332737752	12487.101117757338	1751.5205517763152	2048.666556777679
6.0.	1392.9157414953354	12758.738758494415	1731.970501871619	2031.6762818386696
7.0.	1418.8562280086742	12992.60821541515	1718.1907706174127	2018.7032525002473
8.0.	1440.9858362371551	13194.511617172815	1709.038486724554	2008.5690650122724
9.0.	1460.1673169547116	13369.108163213954	1703.573217364193	2000.555957100618
10.0.	1476.9208722355959	13520.263633820896	1701.0207254042805	1994.1786803508296
11.0.	1491.610168803908	13651.238342789367	1700.7444329889406	1989.0863114449526
12.0.	1504.5168013032153	13764.805746882997	1702.2222058298807	1985.0146990398227
13.0.	1515.8719242810696	13863.337044703478	1705.0271691158425	1981.7601536305579
14.0.	1525.8711178032268	13948.866211929986	1708.8117366868032	1979.163119472081
15.0.	1534.6824257272567	14023.142101314092	1713.294266793838	1977.097194999486
16.0.	1542.4514078097682	14087.671141649444	1718.2478923342342	1975.4613703945245
17.0.	1549.3047326525402	14143.752812635425	1723.491163558018	1974.1743651940199
18.0.	1555.3529512452967	14192.509386990492	1728.8802075222313	1973.1704086149325
19.0.	1560.6927431228341	14234.911031790187	1734.3021599885183	1972.3960429396268
20.0.	1565.4087851090633	14271.797101231492	1739.669666529847	1971.807668224228
21.0.	1569.5753304657142	14303.894271577818	1744.9162829781035	1971.3696333234511
22.0.	1573.2575562416653	14331.832036617803	1749.9926327502756	1971.0527354662618
23.0.	1576.5127202993783	14356.155982492399	1754.863201277992	1970.8330294840482
24.0.	1579.3911595386596	14377.339184380384	1759.5036666564054	1970.690874678096
25.0.	1581.9371541660591	14395.792007857935	1763.8986814305201	1970.6101661801767
26.0.	1584.1896780758454	14411.87055039143	1768.0400337018168	1970.5777110733645
27.0.	1586.1830518201173	14425.883920333396	1771.925126903211	1970.582719197166
28.0.	1587.9475118672103	14438.100519796366	1775.5557270079587	1970.6163856007238
29.0.	1589.509707647047	14448.75347230431	1778.9369338939846	1970.6715468030343
30.0.	1590.893136108904	14458.045315004882	1782.0763403138512	1970.7423968992612
31.0.	1592.1185220685402	14466.152057596939	1784.9833476159793	1970.8242524839563
32.0.	1593.2041514247726	14473.226695322246	1787.668612185978	1970.9133576017853
33.0.	1594.1661633274653	14479.402250873794	1790.1436006626366	1971.0067216656348
34.0.	1595.018806539842	14484.794409481081	1792.4202354443635	1971.1019846304441
35.0.	1595.7746645280433	14489.503802423913	1794.510614933727	1971.1973047724355
36.0.	1596.4448532067015	14493.61798654121	1796.4267954505478	1971.2912652660966
37.0.	1597.0391947527778	14497.213160729529	1798.1806238456586	1971.3827964257057
38.0.	1597.5663704565318	14500.35565479499	1799.7836116255621	1971.4711110219862
39.0.	1598.0340551966449	14503.103221188323	1801.2468429015178	1971.5556505259278
40.0.	1598.4490357966758	14505.506155997604	1802.5809097466365	1971.636040492318
41.0.	1598.8173152344739	14507.608271996625	1803.7958696165142	1971.7120535916033
42.0.	1599.1442044283829	14509.447743465462	1804.9012203927714	1971.7835790429817
43.0.	1599.4344031087467	14511.057839842004	1805.9058893701	1971.8505974040665
44.0.	1599.6920710957363	14512.467562969989	1806.818233147669	1971.913159840862
45.0.	1599.9208911411627	14513.702200727941	1807.6460459234895	1971.971371142266
46.0.	1600.1241243493355	14514.783808112137	1808.3965741412867	1972.0253758608835
47.0.	1600.3046590675253	14515.731625366636	1809.0765358168767	1972.075347060489
48.0.	1600.465054027683	14516.562441473836	1809.692143186384	1972.1214772332928
49.0.	1600.607576425865	14517.290910211357	1810.2491275814994	1972.1639710198376
50.0.	1600.7342355423937	14517.929825022766	1810.7527656555583	1972.2030394230205
51.0.	1600.8468124327464	14518.490358119689	1811.2079062654866	1972.238895257225
52.0.	1600.9468861551522	14518.982268514232	1811.618997464523	1972.2717496152493
53.0.	1601.0358569447121	14519.414083058064	1811.9901131840884	1972.301809170943
54.0.	1601.1149666946155	14519.793254025099	1812.3249792844897	1972.3292741651587
55.0.	1601.1853170617755	14520.126296307351	1812.6269987369242	1972.3543369476733
56.0.	1601.2478854762676	14520.418906888215	1812.8992757664807	1972.3771809688978
57.0.	1601.303539300572	14520.676068906247	1813.1446388402007	1972.39798013297
58.0.	1601.3530483553664	14520.902142317871	1813.3656624277894	1972.4168984388546
59.0.	1601.397096002812	14521.10094290332	1813.5646874971944	1972.4340898486864
60.0.	1601.4362889556623	14521.275811130863	1813.743840734539	1972.4496983332112
61.0.	1601.4711659605841	14521.429672195703	1813.9050524989939	1972.4638580530707
62.0.	1601.5022054865706	14521.565088377341	1814.0500735393477	1972.476693642165
63.0.	1601.529832533871	14521.684304709486	1814.1804905110355	1972.488320565557
64.0.	1601.5544246653249	14521.789288826774	1814.2977403411348	1972.4988455296009
65.0.	1601.5763173499831	14521.881765739477	1814.403123494807	1972.508366926341
66.0.	1601.5958086983926	14521.96324818979	1814.497816200551	1972.516975297816
67.0.	1601.6131636596372	14522.035063157897	1814.5828816937417	1972.5247538089163
68.0.	1601.62861774203	14522.098375012252	1814.6592805386754	1972.531778719923
69.0.	1601.6423803121488	14522.15420573432	1814.7278800890679	1972.53811985187
70.0.	1601.6546375205548	14522.203452592312	1814.789463145845	1972.543841039578
71.0.	1601.6655548969115	14522.24690358978	1814.8447358693295	1972.5490005685363
72.0.	1601.675279652271	14522.285250972925	1814.8943350007808	1972.5536515929477
73.0.	1601.6839427219334	14522.319103043887	1814.938834445767	1972.557842533131
74.0.	1601.6916605784238	14522.348994495316	1814.978751269179	1972.5616174511852
75.0.	1601.6985368407272	14522.375395453826	1815.0145511488927	1972.5650164044007
76.0.	1601.7046637029127	14522.3987193959	1815.046653332258	1972.5680757763382
