time	IR	IRS	IRSiP	IRi	IRiP	IRins	IRp	X	Xp
0.0.	8.94067597533	9.43998194226	0.560018057745	4.8386389075899995e-06	0.424076631823	0.596889962146	0.038352592524	9.99635886407	0.00364113592848
0.0.2.0	0.5053342591322281	6.222105389930243	3.77789461007477	7.2579966929429045e-06	0.5873686732361321	8.506737619488945	0.40055219060790803	9.996055069270206	0.003944930728267001
0.0.4.0	0.18028193448882301	5.691258386210954	4.308741613794057	1.378048419895149e-05	0.967699066263036	8.332704112250367	0.519301106975487	9.995450995850769	0.004549004147693001
0.0.6000000000000001.0	0.188277879806058	5.782762864730096	4.217237135274915	2.1537346082538215e-05	1.334589488213474	7.957591844015147	0.519519251081167	9.994841841025806	0.005158158972655
0.0.8.0	0.203028958656454	5.947360416119675	4.052639583885336	2.9209720152021462e-05	1.631167841423448	7.663519443810032	0.50225454685184	9.99427306797826	0.005726932020198
1.0.	0.216442852803261	6.098448369041062	3.901551630963952	3.625785662100943e-05	1.855224258029109	7.442117660925822	0.48617897084711104	9.993746472083537	0.006253527914924
1.0.2000000000000002.0	0.22875681309796403	6.224661506198705	3.7753384938063093	4.244645937099666e-05	2.015292643406447	7.282113252434249	0.473794845063894	9.993257309125676	0.006742690872782
1.0.4000000000000001.0	0.23978161186541103	6.327246294296314	3.672753705708698	4.7696649847675446e-05	2.121810543749269	7.17339614856749	0.46496399962990803	9.992800405318434	0.007199594680026001
1.0.6.0	0.24936730087128703	6.409588942624547	3.590411057380464	5.202417045991551e-05	2.185038627446393	7.106401360288012	0.45914068768577604	9.992371170739403	0.0076288292590640005
1.0.8.0	0.257496727511145	6.475291477196568	3.524708522808444	5.550119264932836e-05	2.214334882422084	7.072364904486879	0.45574798484917306	9.99196574263759	0.008034257360883
2.0.	0.264252676703438	6.527693300583508	3.472306699421504	5.822940774304524e-05	2.217850329908835	7.063582691385885	0.45425607305602905	9.9915809542594	0.008419045739075
2.0.2.0	0.269775708330739	6.569706118976163	3.4302938810288452	6.0321387181222346e-05	2.202437968336249	7.073521856807583	0.45420414560018	9.991214255340306	0.008785744658167
2.0.4000000000000004.0	0.274231954625394	6.6037643774914105	3.3962356225136	6.18884373304991e-05	2.173689342542014	7.09681113024565	0.45520568461154404	9.990863617648275	0.009136382350194
2.0.6.0	0.27779148109734103	6.631837034293136	3.368162965711876	6.303335516290148e-05	2.136044693297645	7.129154761130768	0.45694603158101804	9.99052744036106	0.009472559637412
2.0.8000000000000003.0	0.280614971204287	6.655472732113715	3.344527267891296	6.384668357935749e-05	2.092939522170704	7.167205806503572	0.45917585389979004	9.990204463115779	0.009795536882691
3.0.	0.28284643059200604	6.675860027989924	3.324139972015087	6.440534075750991e-05	2.046962593451984	7.208423915225342	0.46170265585184106	9.989893690546488	0.010106309451986002
3.0.2.0	0.28461002022570403	6.693890864939447	3.306109135065565	6.477276788060518e-05	2.000009639049771	7.250933846799298	0.46438172161927704	9.989594329466353	0.010405670532124002
3.0.4000000000000004.0	0.28600957444180103	6.710220375723618	3.289779624281394	6.499996622100135e-05	1.953423650006096	7.293394417052803	0.46710735899501105	9.989305738266838	0.010694261731637001
3.0.6.0	0.287129750033556	6.725319533532825	3.2746804664721862	6.512699347805313e-05	1.9081172919939342	7.334882892028479	0.469804939412486	9.989027387247189	0.010972612751284002
3.0.8000000000000003.0	0.288038062278585	6.739519402391653	3.260480597613358	6.518462466127956e-05	1.864676053896138	7.37479672636785	0.47242397329469904	9.988758828237255	0.011241171761216001
4.0.	0.28878730161926003	6.753047051946267	3.246952948058744	6.519599283704504e-05	1.82344267105869	7.412772542313867	0.47493228947727706	9.98849967183059	0.01150032816788
4.0.2.0	0.289418002218094	6.766053901547885	3.233946098457125	6.517810045011457e-05	1.7845844776293962	7.448621061357437	0.477311281156553	9.98824957066734	0.011750429331134
4.0.4.0	0.28996076295054	6.778637560213988	3.221362439791025	6.514314548678245e-05	1.748145887501404	7.482276086720001	0.47955212014449805	9.988008207408013	0.011991792590457
4.0.6000000000000005.0	0.290438313053045	6.790858294455979	3.209141705549034	6.509964271757509e-05	1.7140883703112002	7.513755405373071	0.48165281208189603	9.987775286264807	0.012224713733662
4.0.800000000000001.0	0.290867277302907	6.802751191531073	3.19724880847394	6.505334322258264e-05	1.6823202175365939	7.543131495220891	0.48361595705831506	9.987550527175303	0.012449472823169001
5.0.	0.291259636336819	6.814334958933563	3.185665041071451	6.500796888842112e-05	1.652718184933426	7.57051008623063	0.48544708499216405	9.987333661899056	0.012666338099416
5.0.2.0	0.291623902275972	6.825618152512956	3.174381847492059	6.496578536165513e-05	1.6251428219724282	7.596014862919627	0.48715344750854006	9.987124431483991	0.012875568514476
5.0.4.0	0.291966042835669	6.836603478552455	3.16339652145256	6.492803921223827e-05	1.599449003979281	7.619776861614794	0.488743163992971	9.986922584686203	0.013077415312259002
5.0.6000000000000005.0	0.29229019221615704	6.847290681394757	3.152709318610259	6.489528445215856e-05	1.5754928981967602	7.6419273783876065	0.490224636376954	9.9867278770359	0.013272122962564002
5.0.800000000000001.0	0.29259918710382804	6.857678412929343	3.142321587075672	6.486762128134938e-05	1.553136338017808	7.662593444331224	0.49160616338778707	9.986540070327216	0.013459929671247001
6.0.	0.29289496314634	6.867765384634685	3.132234615370329	6.484486685498385e-05	1.532249358187522	7.681895134715034	0.492895699546177	9.986358932374513	0.013641067623952001
6.0.2.0	0.293178842781502	6.877551025886408	3.122448974118606	6.482667455799601e-05	1.512711459821718	7.6999441544877705	0.49410071669638006	9.986184236926105	0.013815763072358002
6.0.4.0	0.29345174029770305	6.88703581179228	3.112964188212735	6.481261509314386e-05	1.4944120258774132	7.716843285458226	0.49522813621349304	9.986015763662092	0.013984236336373001
6.0.6000000000000005.0	0.29371430510857105	6.89622137738011	3.103778622624903	6.480222983701821e-05	1.4772501914120761	7.732686393347847	0.49628430836359805	9.985853298228324	0.014146701770139
6.0.800000000000001.0	0.293967019790616	6.905110500010423	3.094889499994587	6.47950644830756e-05	1.461134383860335	7.747558779927157	0.497275021819336	9.985696632276738	0.014303367721729
7.0.	0.29421026562336	6.913707006077481	3.086292993927529	6.479068898832945e-05	1.44598168178004	7.761537731042163	0.49820553132737805	9.985545563494478	0.014454436503989001
7.0.2.0	0.29444436522738704	6.922015639367042	3.077984360637967	6.478870824424076e-05	1.431717091534014	7.774693159730318	0.499080595261967	9.985399895612742	0.014600104385722
7.0.4.0	0.29466960938262304	6.930041915158297	3.06995808484671	6.478876665348874e-05	1.418272806194871	7.787088278580363	0.49990451753741905	9.985259438391509	0.014740561606958
7.0.6000000000000005.0	0.29488627315424903	6.937791974915388	3.062208025089617	6.479054885521576e-05	1.405587486245738	7.798780260196202	0.5006811903168841	9.985124007579726	0.014875992418738002
7.0.800000000000001.0	0.295094624968473	6.945272450127958	3.054727549877045	6.479377814477557e-05	1.3936055846953281	7.809820861686859	0.5014141353331251	9.984993424852599	0.015006575145865002
8.0.	0.295294931176088	6.952490339696515	3.047509660308487	6.479821362786332e-05	1.382276727906723	7.820257000584154	0.502106542581334	9.984867517728437	0.015132482270027002
8.0.200000000000001.0	0.295487457836751	6.959452902589171	3.040547097415831	6.480364678846764e-05	1.371555156128603	7.830131277076394	0.5027613057733911	9.984746119468172	0.015253880530293001
8.0.4.0	0.295672470881225	6.966167565858399	3.033832434146604	6.480989789860029e-05	1.361399223197929	7.839482442136356	0.503381054348516	9.98462906896058	0.015370931037886
8.0.6.0	0.295850235404838	6.972641847163547	3.027358152841459	6.481681252607226e-05	1.3517709522624801	7.848345813896869	0.503968182085212	9.984516210596146	0.015483789402320002
8.0.8.0	0.296021014567176	6.978883290458925	3.021116709546082	6.482425828214147e-05	1.342635643009937	7.856753646122987	0.504524872503543	9.984407394132221	0.015592605866243002
9.0.	0.29618506838546604	6.98489941331159	3.015100586693416	6.483212187672374e-05	1.333961525337115	7.86473545329655	0.5050531213209181	9.98430247455181	0.015697525446650002
9.0.200000000000001.0	0.29634265258527903	6.990697664294202	3.009302335710805	6.484030650250073e-05	1.325719454338318	7.872318296978037	0.505554756253789	9.98420131191801	0.015798688080450003
9.0.4.0	0.29649401759278604	6.996285388980554	3.003714611024454	6.484872954167639e-05	1.3178826417266492	7.879527037953617	0.5060314544593301	9.98410377122577	0.015896228772691
9.0.600000000000001.0	0.29663940770337105	7.001669803205322	2.998330196799688	6.48573205739096e-05	1.310426419189251	7.886384558351869	0.5064847578968601	9.984009722252427	0.015990277746032
9.0.8.0	0.29677906043211705	7.006857972404282	2.993142027600726	6.48660196566678e-05	1.303328029629542	7.892911957514474	0.506916086866135	9.983919039408176	0.016080960590285
10.0.	0.29691320603538	7.011856796007952	2.988143203997056	6.487477584685748e-05	1.296566442713135	7.899128724984001	0.507326751953562	9.983831601587363	0.016168398411097
10.0.200000000000001.0	0.297042067184629	7.016672996009873	2.983327003995137	6.488354593309003e-05	1.29012219157845	7.9050528935621465	0.507717964590767	9.983747292021459	0.016252707977001003
10.0.4.0	0.297165858770752	7.021313108965163	2.978686891039848	6.489229335001797e-05	1.283977227981914	7.9107011750113845	0.5080908464045231	9.98366599813422	0.016334001864237002
10.0.600000000000001.0	0.297284787816993	7.025783480793696	2.974216519211314	6.490098724898951e-05	1.278114793514133	7.916089080629826	0.5084464375137231	9.983587611399573	0.016412388598887002
10.0.8.0	0.29739905348017204	7.030090263864883	2.969909736140128	6.490960170232247e-05	1.272519304846249	7.9212310286256535	0.508785703908145	9.983512027202517	0.016487972795939002
11.0.	0.297508847122183	7.034239415928669	2.965760584076341	6.491811502148704e-05	1.267176251246583	7.926140439952729	0.5091095440254051	9.983439144703416	0.016560855295039003
11.0.200000000000001.0	0.29761435243619605	7.038236700531659	2.96176329947335	6.492650917226256e-05	1.262072102850209	7.930829824039921	0.509418794626426	9.983368866705742	0.016631133292712
11.0.4.0	0.297715745614514	7.04208768861931	2.957912311385699	6.493476927241737e-05	1.257194228372341	7.9353108556497745	0.5097142360560221	9.98330109952751	0.016698900470942
11.0.600000000000001.0	0.297813195547233	7.045797761077329	2.954202238927683	6.494288315964065e-05	1.252530821134749	7.939594443933534	0.5099965969632481	9.983235752876448	0.016764247122005003
11.0.8.0	0.297906864042886	7.049372112008582	2.9506278879964283	6.495084101933232e-05	1.248070832426741	7.94369079460519	0.510266558546086	9.983172739728923	0.016827260269528
12.0.	0.29799690606392604	7.052815752577838	2.94718424742717	6.495863506346236e-05	1.243803911352509	7.94760946603413	0.5105247583762951	9.98311197621269	0.016888023785761
12.0.200000000000001.0	0.29808346997136204	7.056133515286467	2.943866484718542	6.496625925306758e-05	1.2397203504278211	7.9513594199505935	0.5107717938528961	9.98305338149339	0.016946618505064
12.0.4.0	0.29816669777403304	7.059330058563906	2.9406699414411053	6.49737090581028e-05	1.235811036284316	7.954949067368159	0.51100822532636	9.982996877664787	0.017003122333665
12.0.600000000000001.0	0.29824672537901703	7.062409871583208	2.9375901284218013	6.498098124932666e-05	1.2320674049212	7.958386310250261	0.5112345789301961	9.982942389642721	0.017057610355730002
12.0.8.0	0.29832368284043004	7.06537727922491	2.9346227207800992	6.498807371771254e-05	1.228481401014206	7.96167857938163	0.511451349151943	9.982889845062639	0.017110154935812
13.0.	0.29839769460455	7.068236447127448	2.931763552877562	6.499498531755493e-05	1.22504544085196	7.9648328688485	0.511659001171598	9.982839174180695	0.017160825817756003
13.0.200000000000001.0	0.29846887974971303	7.070991386774058	2.92900861323095	6.500171573001395e-05	1.221752378521886	7.967855767482528	0.511857972992065	9.98279030977831	0.01720969022014
13.0.4.0	0.29853735221981603	7.073645960575626	2.926354039429383	6.500826534432142e-05	1.218595475012705	7.970753487580819	0.512048677383239	9.982743187070097	0.017256812928352003
13.0.600000000000001.0	0.29860322105065	7.076203886917024	2.923796113087984	6.501463515427425e-05	1.215568369939562	7.973531891177776	0.512231503658782	9.982697743615075	0.017302256383374
