time	C1	C2	C3	C4	C5	C6	C7	C8	C9	MAPK	MAPKMEKpp	MAPKPH	MAPKp	MAPKpMAPKPH	MAPKpMEKpp	MAPKpp	MAPKppMAPKPH	MEK	MEKPH	MEKRAFp	MEKp	MEKpMEKPH	MEKpRAFp	MEKpp	MEKppMEKPH	RAF	RAFK	RAFPH	RAFRAFK	RAFp	RAFpRAFPH
235.0.	0	0	0	0	0	0	0	0	0	0.26050695763028103	0.053600447541308	0.24240237758740102	0.021951656779914	0.053170879287175	0.00451217431918	0.001831141316716	0.004426743125422	0.036454552169791	0.15904893048995802	0.028380783370817002	0.015970815316911	0.028226692319736003	0.012927000685296001	0.0072031570866500005	0.012724377190305001	0.08052197009492501	0.17226179541731002	0.27218729366425704	0.027738204582689004	0.12261933493052801	0.027812706335742003
240.0.	0	0	0	0	0	0	0	0	0	0.26026295789787	0.053642985936684005	0.242279404126257	0.021999855413922003	0.053265653634377005	0.004530468469299	0.0018431364084820002	0.004454942239364001	0.036414875497457005	0.159039592946307	0.028348540240158003	0.015965068492538002	0.028214501862346003	0.012922260014535001	0.007215394295633001	0.012745905191346002	0.080548889336906	0.172253485833834	0.272186947474927	0.027746514166165002	0.12262074371716102	0.027813052525072
245.0.	0	0	0	0	0	0	0	0	0	0.260049282638308	0.053679790749416006	0.242171451531927	0.022042134393095002	0.053348695574235	0.004546512866869	0.0018537308842390002	0.004479852893836	0.036380450761102	0.15903141000137802	0.028320424053540003	0.015960078633705	0.028203902959694	0.012918081522071	0.0072260714146720004	0.012764687038927	0.080572902842051	0.17224606830104902	0.27218676447870305	0.02775393169895	0.122621424362088	0.027813235521297
250.0.	0	0	0	0	0	0	0	0	0	0.259862328959241	0.05371162496230301	0.242076779557435	0.022079184405114003	0.053421396640154	0.004560568014900001	0.0018630732158770001	0.004501823802410001	0.036350599321513	0.159024247034178	0.0282959242596	0.015955748084647	0.028194692903555002	0.012914402577743001	0.0072353798134670005	0.012781060062266002	0.08059428209100401	0.172239460406052	0.27218670505811005	0.027760539593947003	0.12262155653581301	0.027813294941889003
255.0.	0	0	0	0	0	0	0	0	0	0.25969889433458204	0.053739151506451005	0.24199383382670303	0.022111621699508	0.053484992942903	0.004572867282722001	0.001871299003439	0.0045211732303920005	0.036324727430579004	0.159017983600539	0.028274590395600003	0.015951991439967003	0.028186693932821003	0.012911166809520001	0.007243488735697001	0.012795322466639001	0.08061328137097	0.172233584750037	0.27218673752287603	0.027766415249962	0.12262128369682201	0.027813262477123003
260.0.	0	0	0	0	0	0	0	0	0	0.25955613677120504	0.053762946142928	0.24192122861532103	0.022139995056607003	0.05354058103492201	0.004583619134857	0.0018785315097250002	0.004538190349754	0.036302316093131004	0.159012512235252	0.028256025568859002	0.015948734071737	0.028179750321651	0.012908323617573	0.0072505476061640005	0.012807737443096	0.08063013704721801	0.172228369228203	0.27218683667611804	0.027771630771796	0.12262071967067001	0.027813163323881004
265.0.	0	0	0	0	0	0	0	0	0	0.259431538142871	0.05378350872937	0.24185773077899703	0.022164792290091002	0.053589132383453	0.004593009305412001	0.0018848823112530002	0.004553136837548001	0.036282912056048	0.15900773729380302	0.028239880540604	0.015945910820744	0.028173725776297003	0.012905827695019	0.0072566881466050006	0.012818536929899002	0.080645067397589	0.172223747126068	0.272186982622447	0.027776252873931002	0.122619954115303	0.027813017377553
270.0.	0	0	0	0	0	0	0	0	0	0.259322870582748	0.053801273064689	0.24180224483440801	0.022186446278523002	0.053631506539638	0.004601202884925	0.0018904520235210002	0.0045662486259530006	0.036266119813867	0.15900357384787903	0.028225848377998002	0.015943464836528	0.028168501114685003	0.012903638564404001	0.007262026305464001	0.012827925037435002	0.080658272865491	0.172219657078535	0.272187159779532	0.027780342921464002	0.12261905705017301	0.027812840220467
275.0.	0	0	0	0	0	0	0	0	0	0.25922816579903	0.053816615484257	0.241753799178014	0.022205340530452002	0.053668463091093	0.004608346297261001	0.001895331067013	0.004577737730891001	0.036251594528505	0.158999946644093	0.028213659636934	0.015941346551538	0.028163972203327003	0.012901720135988	0.007266664009606001	0.012836081152580002	0.08066993661605	0.17221604292873102	0.272187356060398	0.027783957071268003	0.12261808260015601	0.027812643939601003
280.0.	0	0	0	0	0	0	0	0	0	0.259145687159582	0.053829862358758	0.24171153341335602	0.022221814294794	0.053700672484424006	0.004614569152483	0.001899600447738	0.004587794102219001	0.036239035768786	0.158996789131639	0.028203078036675003	0.015939512775624002	0.028160048127109004	0.012900040291623002	0.007270690747686001	0.012843162741252	0.08068022530405601	0.172212853515977	0.272187562198695	0.027787146484022	0.12261707208231601	0.027812437801304
285.0.	0	0	0	0	0	0	0	0	0	0.25907390437966005	0.053841296632406006	0.24167468674590903	0.022236167233435	0.053728725802075	0.004619985968172	0.0019033325322370001	0.004596587452015	0.036228181983399006	0.15899404256163902	0.028193896587239003	0.015937925898069	0.028156649568902	0.012898570496339001	0.007274184996011001	0.012849307869458001	0.080689289981936	0.17221004241599602	0.272187771193443	0.027789957584003003	0.122616056543923	0.027812228806556004
290.0.	0	0	0	0	0	0	0	0	0	0.259011470640301	0.05385116352033	0.241642587396165	0.022248663676795	0.05375314357512401	0.004624697756585	0.001906591802153	0.004604269028709001	0.036218805628464	0.158991655158658	0.028185934131061	0.015936553185425	0.028153707377472	0.012897285438532	0.007277215498256001	0.012854637463869	0.080697267091958	0.17220756765137102	0.272187977853384	0.027792432348628004	0.122615058843203	0.027812022146615004
295.0.	0	0	0	0	0	0	0	0	0	0.258957201962954	0.053859675470731005	0.24161464297574	0.022259536485652	0.053774383710238	0.004628793478764001	0.0019094355776390001	0.00461097331402	0.036210708878077	0.15898958136319002	0.028179032261893004	0.015935366164438	0.028151161303815002	0.012896162698727	0.0072798424105560006	0.012859257332994001	0.080704279499791	0.17220539138613702	0.272188178424213	0.027794608613862	0.12261409534993702	0.027811821575786003
300.0.	0	0	0	0	0	0	0	0	0	0.258910058667267	0.053867016484634	0.24159033176761302	0.022268990544055	0.053792848605288004	0.0046323513693560005	0.0019119147023010001	0.0046168196270970005	0.036203719852974006	0.158987781142673	0.028173052585657003	0.015934340080401	0.028148958887712003	0.012895182446282	0.007282118323366	0.012863259969615001	0.080710437536995	0.17220347961505703	0.27218837028459303	0.027796520384942004	0.12261317733071402	0.027811629715407002
