time	species_0	species_1	species_10	species_11	species_12	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
0.0.	999.999903689	0.0	499.999951844	99.9999903689	0.0	3999.99961476	0.0	0.0	999.999903689	0.0	0.0	99.9999903689	499.999951844
50.0.	896.6651491835761	103.33475450542481	499.999951844	97.36850400959744	2.631486359302455	3923.990536358175	74.83304294940882	1.176035452425319	999.7928764130762	0.206988816016954	3.8459905670876306e-05	99.9999903689	499.999951844
100.0.	871.8886218387279	128.11128185027303	499.999951844	95.71653593934339	4.283454429556482	3780.4283067813885	210.14747359698092	9.423834381640608	998.1132344774028	1.8833396743522401	0.0033295372438340003	99.9999903689	499.999951844
150.0.	861.863969583246	138.13593410575479	499.999951844	94.63967881894395	5.360311549955888	3605.753644210592	364.49514317273133	29.750827376686573	992.4870109263219	7.46007590268451	0.052816859992693005	99.9999903689	499.999951844
200.0.	848.9371049460146	151.06279874298605	499.999951844	93.82197079100848	6.178019577891389	3423.069933597974	513.973538645855	62.95614251618145	975.1654567847448	24.2800508590723	0.554396045181836	99.9999903689	499.999951844
250.0.	739.2170465688594	260.7828571201415	499.999951844	92.05032637541777	7.949663993482094	3229.9193958369547	659.4585758720489	110.62164305100806	910.3689051182668	83.18028166585793	6.450716904874262	99.9999903689	499.999951844
300.0.	2.110721300044664	997.8891823889562	499.999951844	78.53263608875481	21.467354280145	2998.2850601129467	818.1007556369767	183.61379901009346	697.7404571287155	237.28342562072132	64.97602093956462	99.9999903689	499.999951844
350.0.	0.7699231978591721	999.2299804911419	499.999951844	32.68328950875787	67.3167008601419	3133.9210859963496	705.7638670826117	160.31466168105322	452.56505279067346	329.4672301014302	217.96762079689654	99.9999903689	499.999951844
400.0.	0.631259479028603	999.3686442099734	499.999951844	7.130900777459076	92.86908959144063	3396.8905338959007	502.94495979916144	100.16412106495261	374.11073566098827	333.68045069992155	292.2087173280905	99.9999903689	499.999951844
450.0.	0.7379421372913161	999.26196155171	499.999951844	5.327099763521285	94.67289060537837	3659.843515625252	295.8388652717611	44.31723386300174	450.8534087339652	318.0523332322055	231.09416172282903	99.9999903689	499.999951844
500.0.	1.419686850083351	998.5802168389176	499.999951844	7.741895863884659	92.25809450501507	3820.2094361292616	167.73753115873825	12.05264747201307	674.2459908806879	226.03799161456007	99.71592119375123	99.9999903689	499.999951844
550.0.	13.475027204232807	986.5248764847684	499.999951844	16.0766524621863	83.92333790671344	3293.7603293508064	628.4951483276952	77.74413708150979	918.2824438920411	71.75375180227125	9.96370799468619	99.9999903689	499.999951844
600.0.	0.9194351263236151	999.0804685626782	499.999951844	16.531465910904046	83.46852445799568	2799.250440362803	950.7938333254464	249.95534107176508	503.0229510204273	325.28247041389477	171.69448225467602	99.9999903689	499.999951844
650.0.	0.48101552727983904	999.518888161722	499.999951844	4.49857741716945	95.50141295173023	3078.9295642756283	738.5615483632253	182.508502121161	218.84412551948395	314.8354432064994	466.3203349630145	99.9999903689	499.999951844
