time	y1	y2	y3	y4	y5	y6
0.0.	0.014	0.006	0.0	0.0	0.0001	0.0
2.0.5.0	0.877322896560014	1.771421649913965	3.926396664179025e-06	0.171563681540606	7.880488504812142e-07	0.09732765544871601
5.0.	0.82330710153673	3.8486664721203043	3.379438748510493e-06	0.39203299155146804	1.047484119092486e-08	0.173126509728511
7.0.5.0	0.721964643869295	5.662953433691549	2.641262952748722e-06	0.604557953643103	2.399362517572715e-10	0.23215871679680702
10.0.	0.6211734482459871	7.179015092914915	2.057364889814193e-06	0.8019162065413721	9.180195012443294e-12	0.27813304589666904
12.0.5.0	0.53135736639211	8.421491392191065	1.602296372852125e-06	0.9831860316217781	5.638780014927593e-13	0.313937889412269
15.0.	0.45447883001688205	9.427541223624262	1.2478712262307449e-06	1.149280577167246	5.34550096806741e-14	0.341822729513481
17.0.5.0	0.38989696155809406	10.234433728460505	9.71843276128456e-07	1.301674098515229	7.542874524071843e-15	0.36353946490196104
20.0.	0.33615915967590804	10.875723025250476	7.568723377814601e-07	1.4419354314891901	1.5336813560747353e-15	0.380452475365388
22.0.5.0	0.29165421411305203	11.380272596609295	5.894527777407881e-07	1.5715449840456932	4.3677468689503065e-16	0.393624341164649
25.0.	0.254863066989484	11.772339597626244	4.5906628785170626e-07	1.691828188581331	1.699438283593453e-16	0.403882600568069
27.0.5.0	0.22444778654470102	12.072047182656046	3.575211858822059e-07	1.803940281982145	8.839175683252167e-17	0.41187174102783203
30.0.	0.199271261771922	12.295967205352012	2.7843778041800207e-07	1.908873796621987	6.029205497756377e-17	0.41809368987663503
32.0.5.0	0.178387157108874	12.457695031790356	2.168475621250782e-07	2.007475292286999	5.3031022632543734e-17	0.422939348514393
35.0.	0.161018178880787	12.568368409030974	1.6888105187350888e-07	2.100464802557383	5.925819389301017e-17	0.426713151257596
37.0.5.0	0.146531157114851	12.637114751610712	1.315246962789487e-07	2.18845487391671	8.301639557189145e-17	0.429652191790422
40.0.	0.13441291050799	12.671426304734057	1.024315377327023e-07	2.271967813741377	1.440918555462704e-16	0.43194111885984704
42.0.5.0	0.12424860802017201	12.677469343891193	7.977376424384766e-08	2.351450661745111	3.06593824927314e-16	0.43372373705467504
45.0.	0.115703196978646	12.660336073150575	6.212787584477183e-08	2.427287854687236	7.920894903012444e-16	0.43511204150132005
47.0.5.0	0.10850589490238201	12.62424828419858	4.8385254990102775e-08	2.499811769267476	2.463199932399673e-15	0.436193254091973
50.0.	0.10243747405501001	12.57272123003969	3.768253197041186e-08	2.569311412902111	9.147514074297584e-15	0.43703530330460205
52.0.5.0	0.097319964018896	12.50869513665355	2.9347422121222412e-08	2.636039547968195	4.027577330800348e-14	0.43769109189106303
55.0.	0.093008381091062	12.434640634502825	2.285694733117468e-08	2.700218516991065	2.088508429831522e-13	0.43820182055594803
57.0.5.0	0.089384120228192	12.352643298347923	1.7807592206976192e-08	2.762045003738645	1.267729416683163e-12	0.43859957644026804
60.0.	0.08634969075711901	12.26447151056543	1.3912490597563482e-08	2.821693928913197	8.95683679151537e-12	0.43890934903376605
62.0.5.0	0.08382452739140901	12.171631034427595	1.117367341731691e-08	2.866756386313034	7.24900081460138e-11	0.341822945460162
65.0.	0.081741656222048	12.075408996086116	1.159181762942668e-08	2.888997422979918	6.373981501515948e-10	0.266211977788456
67.0.5.0	0.08004503798864501	11.97690940544788	3.488929095740219e-08	2.893761367215135	5.791372999202066e-09	0.207326096855299
70.0.	0.07868744710475101	11.877081792030953	2.599059737324185e-07	2.8852119210368583	5.233160275146817e-08	0.16146572665140302
72.0.5.0	0.07762877538356301	11.776743250969956	2.242812652761272e-06	2.866592253482772	4.5680718881617235e-07	0.125749634409297
75.0.	0.07683467870834401	11.676586609836692	1.8763764865812874e-05	2.840425873243719	3.7686070408934096e-06	0.09793391379095101
77.0.5.0	0.07627554492223701	11.577114516262192	0.000147248170245	2.808660519648156	2.890751985192225e-05	0.07627100875659801
80.0.	0.075926061041267	11.478096522389555	0.0010681804164950001	2.772698810847313	0.000203686388248	0.059399921367637006
82.0.5.0	0.07576745369041901	11.375165844625945	0.007089733019944	2.732953588485108	0.001305746526299	0.046260705279240005
85.0.	0.075804419556319	11.241269511546623	0.042576264481087006	2.686163625849826	0.007523779240314001	0.036027873497582005
87.0.5.0	0.076156599074972	10.942939719404691	0.225065731675156	2.614290812905034	0.037630832419361	0.028058536092332
90.0.	0.077462418837295	10.012905355573446	0.9533624436923551	2.464885658124306	0.14472405377495	0.021852009880621002
92.0.5.0	0.08212683537043	7.8584082932975825	2.647349560374466	2.229699949029529	0.337879520630324	0.017018362406689
95.0.	0.09627769602373801	5.25830455674468	4.407965615506971	2.06433690866226	0.46313246916117606	0.013253913968932001
97.0.5.0	0.13084714606043601	3.393950890776041	5.220000886849167	2.006656910576564	0.486048343365425	0.010322158577758
100.0.	0.19878661332760703	2.370356790414167	5.256500480504831	1.996255777574163	0.473113024936188	0.008038905183218
102.0.5.0	0.299871666845041	1.94790833968367	4.9636960075580046	2.004491742842507	0.46066926641000505	0.006260705651772
105.0.	0.40764021680828605	1.9096510664132782	4.641762006913901	2.021058578654285	0.463464625692497	0.004875842464303001
107.0.5.0	0.49342452041935103	2.057080279754839	4.445024685663011	2.037971217956825	0.48697006468937004	0.0037973099293720004
110.0.	0.550814949984767	2.225575557023069	4.428207774471046	2.049413536125326	0.5305355686339971	0.002957347946479
112.0.5.0	0.5879952241632811	2.31966899384367	4.580683971425404	2.0540712769183	0.5896428769131531	0.002303184896712
