time	W_star	Wt	Y	Z
0.0.	0.5	1	1.6	0.15
0.0.05.0	0.44800658578575503	1	1.6158572931427022	0.22245606049759803
0.0.1.0	0.410762824863167	1	1.658400666373725	0.24670344862165303
0.0.15000000000000002.0	0.379243349594505	1	1.7054625435168	0.25816449370991
0.0.2.0	0.35103234108728604	1	1.751585447645506	0.265939974324758
0.0.25.0	0.32544271241758904	1	1.795120809764904	0.272723490785489
0.0.30000000000000004.0	0.302325013770675	1	1.835348924485012	0.27945866073947
0.0.35000000000000003.0	0.281732215289872	1	1.871741596759597	0.28657927138349903
0.0.4.0	0.263823046960705	1	1.903708224322476	0.294403212118829
0.0.45.0	0.24884848062525003	1	1.930427793635952	0.303310524217123
0.0.5.0	0.23718807789780103	1	1.950599592124775	0.313920565194078
0.0.55.0	0.22946081153196501	1	1.9618644215986971	0.327471643203457
0.0.6000000000000001.0	0.226841474645945	1	1.9590035673736241	0.34706884620505
0.0.65.0	0.23224214241936303	1	1.925431666551167	0.38412938738817304
0.0.7000000000000001.0	0.25971667408215404	1	1.709353054689859	0.5651711137862301
0.0.75.0	0.43655528926658704	1	0.673339040060512	1.233522555108904
0.0.8.0	0.6021876932879231	1	0.7013910417104201	0.8674171146961991
0.0.8500000000000001.0	0.6906705096125341	1	0.87283908153053	0.531677362925371
0.0.9.0	0.7011603618075021	1	1.080035153042466	0.30829656725104904
0.0.9500000000000001.0	0.6720624507112041	1	1.193587979648945	0.24520162275609103
1.0.	0.633208925564267	1	1.2720138977709992	0.233123218855971
1.0.05.0	0.593246848302146	1	1.3404114196291381	0.23333691483356703
1.0.1.0	0.5542960756835681	1	1.4046974531526981	0.23662142687989002
1.0.1500000000000001.0	0.516896371975726	1	1.466208187023218	0.24078028531309703
1.0.2000000000000002.0	0.48121217067721106	1	1.525200312001704	0.245282821778765
1.0.25.0	0.44732261371039406	1	1.581660365209809	0.250008574544316
1.0.3.0	0.41529351918733604	1	1.635493856537651	0.254945647637277
1.0.35.0	0.385196582332386	1	1.686567406528062	0.260116940743824
1.0.4000000000000001.0	0.35711582257544205	1	1.7347134364017571	0.26556336381850204
1.0.4500000000000002.0	0.331151441004503	1	1.779722548826476	0.271343020005112
1.0.5.0	0.30742412138695	1	1.821327847874421	0.277537057893816
1.0.55.0	0.286081424304376	1	1.859178519394367	0.28426184309073604
1.0.6.0	0.26730848112842104	1	1.892794229012751	0.291691842217699
1.0.6500000000000001.0	0.25134745596761304	1	1.921480646322447	0.30010505202388005
1.0.7000000000000002.0	0.23853617829297402	1	1.9441566382915072	0.309982590911558
1.0.75.0	0.229393292115274	1	1.9589491610694911	0.32225978738592903
1.0.8.0	0.22483562739154203	1	1.962034905647958	0.33910258298754303
1.0.85.0	0.22688539266887403	1	1.9430529812971111	0.367263131812854
1.0.9000000000000001.0	0.242497843880516	1	1.848239808243276	0.448168273444888
1.0.9500000000000002.0	0.35903250105469403	1	0.7409018300859861	1.328928743202924
2.0.	0.549949448150288	1	0.6770613695966571	0.990614338385399
2.0.0500000000000003.0	0.666718832894008	1	0.7943533035901861	0.6490784548353771
2.0.1.0	0.7024675948341591	1	1.019042455950597	0.36282485380427104
2.0.15.0	0.682358744401893	1	1.159957671307324	0.257747215964291
2.0.2.0	0.6453275239476061	1	1.2460160026809841	0.235036617660483
2.0.25.0	0.605369767134864	1	1.316809150773807	0.23268402866475002
2.0.3000000000000003.0	0.5659765542563391	1	1.382286691416252	0.235304071902482
2.0.35.0	0.5280154416321861	1	1.444723710884972	0.239255541227353
2.0.4000000000000004.0	0.49172863471209904	1	1.5046018236708192	0.243660732573132
2.0.45.0	0.457212271868187	1	1.56196648146424	0.24831182503790802
2.0.5.0	0.42453375803834903	1	1.616743376482155	0.25317263499318704
2.0.5500000000000003.0	0.39376202517032305	1	1.668811337541191	0.258257154015106
2.0.6.0	0.36497660642822205	1	1.7180153218863552	0.26360048715823303
2.0.6500000000000004.0	0.338271895342835	1	1.764162106742785	0.269254266197458
2.0.7.0	0.31376107795573205	1	1.807007506829708	0.27529046151873604
2.0.75.0	0.291581571465997	1	1.846234377529254	0.281811058265315
2.0.8000000000000003.0	0.2719038108042	1	1.881415270634273	0.28896630587779704
2.0.85.0	0.254946786608447	1	1.91194518770001	0.296990018604648
2.0.9000000000000004.0	0.24100795023456803	1	1.936909228005303	0.30627398377234
2.0.95.0	0.230526596000857	1	1.9547885160452871	0.317545502891216
3.0.	0.22423649052218703	1	1.962684070594191	0.33237298923388303
3.0.0500000000000003.0	0.22361420251486602	1	1.953638384815652	0.355062730785471
3.0.1.0	0.232794436343034	1	1.901269219484835	0.40466799679050003
3.0.1500000000000004.0	0.28557646393214603	1	1.238416310743436	0.9836776266437751
3.0.2.0	0.48899719825833804	1	0.6675642950494121	1.12141596780802
3.0.25.0	0.63286426859541	1	0.734776094543874	0.768644801764599
3.0.3000000000000003.0	0.697312645824653	1	0.9426376691353201	0.44479113103468304
3.0.35.0	0.6914147772930701	1	1.120095416338244	0.279492443741351
3.0.4000000000000004.0	0.6577547539937071	1	1.218335047311323	0.23915015253326802
3.0.45.0	0.6181758091321591	1	1.292594148518615	0.232572359264437
3.0.5.0	0.5784302917101031	1	1.359507403982325	0.23413417771890402
3.0.5500000000000003.0	0.53993004587943	1	1.422921618897572	0.23778289979925502
3.0.6.0	0.503046879521866	1	1.4836891976468252	0.24206821925139502
3.0.6500000000000004.0	0.46790661084870405	1	1.541948636733582	0.24664098281158
3.0.7.0	0.43458145903731005	1	1.597653666208771	0.251427489993444
3.0.75.0	0.40313850908998505	1	1.650696652711632	0.256429662784028
3.0.8000000000000003.0	0.373653203024751	1	1.7009344893851321	0.26167634052280203
3.0.85.0	0.34621450254185704	1	1.748188535978533	0.267213177484242
3.0.9000000000000004.0	0.320928671768659	1	1.7922346136669352	0.273104154650164
3.0.95.0	0.297923994130996	1	1.832784687932371	0.27943909404863904
4.0.	0.277358079392147	1	1.86945605284355	0.28634827625380704
4.0.05.0	0.259430406389662	1	1.9017172018982151	0.294030170450754
4.0.1000000000000005.0	0.24440575149861202	1	1.928784923918379	0.302807890185387
4.0.15.0	0.23266210606348503	1	1.949406255359909	0.31325749795769803
4.0.2.0	0.22480044484341902	1	1.9613212116951022	0.326548473948132
4.0.25.0	0.22194172971672602	1	1.9596034987543662	0.34558324564889703
4.0.3.0	0.22680137222240002	1	1.929082967102405	0.38070028645506804
4.0.3500000000000005.0	0.25153336067278903	1	1.7482464113615932	0.531636787190329
4.0.4.0	0.419234038838376	1	0.677589648416766	1.256431475207679
4.0.45.0	0.5895306924628041	1	0.695942576015658	0.8886347458662931
4.0.5.0	0.6831523853926801	1	0.8581520799519501	0.551692702309986
4.0.55.0	0.697762831906044	1	1.070423601060827	0.316112502715093
4.0.6000000000000005.0	0.6699832538727231	1	1.188023619706579	0.246918469978698
4.0.65.0	0.631405600177396	1	1.267548334914198	0.23334346054222202
4.0.7.0	0.591458217815901	1	1.33631045964064	0.23319362195362303
4.0.75.0	0.5524566293527751	1	1.400792855465591	0.236382252816414
4.0.800000000000001.0	0.5149881194396201	1	1.4624635567951452	0.24050975188368903
4.0.8500000000000005.0	0.47922902573930604	1	1.521611111691067	0.244996370491179
4.0.9.0	0.44526161969937506	1	1.5782306100263122	0.24970916376698002
4.0.95.0	0.41315256835923203	1	1.63223069979363	0.254632673739213
5.0.	0.382973744742632	1	1.683480091191246	0.25978839963904504
