time	species_0	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_16	species_17	species_18	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
0.0.	999.999903689	0.0	499.999975922	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	3999.99961476	0.0	0.0	999.999903689	0.0	0.0	99.9999903689	499.999951844
40.0.	918.9254141284763	81.07448956052222	499.999975922	1.4233240067075921e-05	3.58536259773331e-27	1.1535410992823588e-28	8.172276581015987e-32	0	783.200389016257	0.132854640188786	1.144700835005856e-31	3966.752012013695	33.003171387136746	0.24443135917004202	216.62891756524712	0.037724082701680005	4.151363760213773e-06	99.9999903689	499.999951844
80.0.	857.0430593678531	142.95684432114584	499.999975922	0.000831441350543	7.92961971944164e-20	5.6092464622481055e-21	8.710600370761265e-24	0	782.3778560660085	0.954570381253739	1.250276138515274e-23	3928.358759308347	70.46096787770557	1.179887573950367	216.39927007385432	0.267140143548845	0.00023558298240600002	99.9999903689	499.999951844
120.0.	805.1937163562217	194.80618733277754	499.999975922	0.007769618836550001	8.353202011511442e-16	8.971172944232484e-17	2.1394507900259868e-19	0	780.5142744391	2.811213831773829	3.0928259712334636e-19	3885.670908951506	111.31169124072905	3.01701456776781	215.8808673234649	0.7835950448573591	0.002183430965553	99.9999903689	499.999951844
160.0.	759.8463563466781	240.15354734232145	499.999975922	0.038367723038813	5.989772226103593e-13	8.348187811054856e-14	2.621776352105063e-16	0	777.1925522322887	6.102337934387589	3.802224264113321e-16	3836.6276978497895	157.24498886854389	6.126928041670061	214.9578888013618	1.698013659245385	0.010743338675714	99.9999903689	499.999951844
200.0.	719.2897430518798	280.7101606371203	499.999975922	0.139439344638151	1.171248523490678e-10	1.9437570207670587e-11	7.373028886721201e-14	0	771.7544804378366	11.439338107240292	1.071128895305808e-13	3779.167716593095	209.75115882454628	11.080739342362392	213.4475727987638	3.180103672042777	0.038969328476305	99.9999903689	499.999951844
240.0.	682.7670476765851	317.2328560124155	499.999975922	0.42627652070641503	1.0982564829435371e-08	2.059236401589222e-09	8.936927333213916e-12	0	763.1936538909283	19.713327478031896	1.2996930305839429e-11	3711.0945550092	270.19339293349867	18.711666817305385	211.07055972311773	5.477091869666059	0.11899420654657301	99.9999903689	499.999951844
280.0.	650.3806104972916	349.6192931917091	499.999975922	1.168268826906853	6.485920699711834e-07	1.330086236330024e-07	6.37825445465477e-10	0	750.024877713138	32.14011134967052	9.282293914450852e-10	3630.247530710037	339.5846728968954	30.167411153072532	207.4147297783188	8.926049777287412	0.32586624367681805	99.9999903689	499.999951844
320.0.	623.4108741311185	376.5890295578828	499.999975922	2.961613538158452	2.7691869460448804e-05	6.09906899869404e-06	3.1648926981350585e-08	0	730.1641428084191	50.20750154313768	4.608186132077919e-08	3535.0167976767684	418.0996396767467	46.88317740648973	201.9021199427232	13.938935447921754	0.825590408638001	99.9999903689	499.999951844
360.0.	604.7751734087223	395.22473028027906	499.999975922	7.036613393931202	0.000909866105939	0.00021374940644300003	1.189111652203079e-06	0	700.9044261163045	75.39221837947987	1.7320950530407398e-06	3425.0859831092394	504.5249629120236	70.38866873874119	193.78256237043757	20.923586952936933	1.960496475908827	99.9999903689	499.999951844
