time	Ta	Tastarstar	Tm	Tmstarstar	Ttot	Tv	V
0.0.	10.0	0.0	540.0	0.0	1000.0	450.0	5e-05
40.0.15.0	9.94796402760427	6.924133530515589e-09	539.9584299671101	6.430937877578439e-07	998.2669709815573	448.36057633682566	2.707837263259076e-06
80.0.3.0	9.908915740370901	1.0683793205002822e-08	539.570303577551	9.922143240438624e-07	996.903586224941	447.42436590412143	4.189893888276261e-06
120.0.44999999999999.0	9.872416172768471	1.6481355000858e-08	539.0533531908434	1.530705845442372e-06	995.6248544321913	446.69908352139254	6.493184394166585e-06
160.0.6.0	9.836350068359282	2.54734577151385e-08	538.4849945319754	2.3661801725282296e-06	994.354070549377	446.03272355738886	1.0099509370470302e-05
200.0.75.0	9.798958982605525	3.952116998359672e-08	537.8863140708022	3.67187984780616e-06	993.0276517999781	445.34237503517016	1.5795685458551902e-05
240.0.89999999999998.0	9.75867142797378	6.1652005727207e-08	537.2528449423667	5.729780269307425e-06	991.588204708598	444.5766825468256	2.4881996631259573e-05
281.0.05.0	9.713976654987208	9.684564467885466e-08	536.5683580989802	9.003924952949256e-06	989.979458108101	443.6971142533633	3.953312574098002e-05
321.0.2.0	9.663325322452353	1.533823727565168e-07	535.8105667826109	1.4266334782951804e-05	988.1421967223507	442.6682901975707	6.342945340718958e-05
361.0.34999999999997.0	9.605047624149867	2.451757650109522e-07	534.9529919020343	2.2814896570450493e-05	986.0106930964095	441.4526305101533	0.00010287131246000001
401.0.5.0	9.53728449548804	3.958338152794987e-07	533.964995593734	3.6852799455495496e-05	983.5093513824067	440.0070340445521	0.00016876067606100002
441.0.65.0	9.457931823250833	6.457588661100693e-07	532.8109209770464	6.015198185251656e-05	980.5494305428531	438.28051694481604	0.000280145277281
481.0.79999999999995.0	9.364602055980685	1.064575538881446e-06	531.4487793828449	9.921441883176109e-05	977.0258607474747	436.2123790296555	0.00047057514690600005
521.0.9499999999999.0	9.25461269637598	1.7728270886153061e-06	529.8287166830306	0.00016529897642900002	972.8143392297739	433.73084277856464	0.0007994947805760001
562.0.1.0	9.125016871915859	2.979558683217767e-06	527.8914343149335	0.000277930565424	967.7691189834694	430.7523868864969	0.0013725489906380001
602.0.25.0	8.972696559124346	5.046485863979516e-06	525.566779627405	0.00047088619987000006	961.7221922800113	427.1822401607972	0.0023773611682810004
642.0.4.0	8.794541902751895	8.595044224399867e-06	522.7728269704218	0.000802167551748	954.4849042008937	422.9167245651248	0.004145363097814
682.0.55.0	8.587736294618947	1.4678901762249112e-05	519.4159259183792	0.0013700394820720001	945.8533243329327	417.8482774015514	0.007255544131942001
722.0.6999999999999.0	8.350151284360173	2.5048425765300354e-05	515.3923581370674	0.002337546526144	935.6187980124676	411.8739259960887	0.012701298642792002
762.0.85.0	8.080823703899348	4.2528172063329645e-05	510.59234709642556	0.003967360948651	923.5847324811261	404.907551791681	0.022143181599845
803.0.	7.780441713704156	7.150223764846668e-05	504.9070836852468	0.006666307376557001	909.589589118255	396.8953259096902	0.038260981743485
843.0.15.0	7.451720581750507	0.00011844311792500001	498.2390259205627	0.01103336089538	893.5341538766031	387.83225557027725	0.065187930251629
883.0.3.0	7.09952942823395	0.00019232679482500002	490.5149193738141	0.01789635292517	875.4087957871211	377.7762583053537	0.10895118196729801
923.0.4499999999999.0	6.730664347270125	0.00030467955233500003	481.69987115486737	0.028313889505017002	855.3145158472543	366.85536177606036	0.17776495001467502
963.0.5999999999999.0	6.35325698887253	0.00046896935812100005	471.8097661999321	0.043516506769103	833.4713593096062	355.2643506446754	0.28196307589512204
1003.0.75.0	5.975928067831607	0.0006991682266960001	460.9188925258761	0.06477220612737	810.2099928285561	343.24970086049524	0.433376092211032
1043.0.8999999999999.0	5.606882808360515	0.0010075965440570001	449.1602687508422	0.09318803845833801	785.9464974782182	331.0851502840138	0.6440982821331901
1084.0.05.0	5.253153648831507	0.001402519364528	436.7177984241386	0.12949197826119402	761.1450189696677	319.04317239907266	0.9248288772256911
1124.0.2.0	4.920125545155518	0.001886202114832	423.81142381268126	0.17385989842951102	736.2758600059823	307.36856454760175	1.283200177482889
1164.0.35.0	4.611375235238173	0.0024540801930220003	410.6780980517507	0.225846160158157	711.7768384004409	296.2590648731014	1.7225893526616751
1204.0.5.0	4.328769708459883	0.0030953469677150003	397.5520638719803	0.28444345475036403	688.0236387553573	285.8552663731994	2.241785410470381
1244.0.6499999999999.0	4.072728109097674	0.0037947891290720003	384.6475519122975	0.34825427229035005	665.311753112783	276.23942402996863	2.835604748813993
1284.0.8.0	3.84255247974083	0.004535327610561001	372.1459484395159	0.41572357453727604	643.8497526855498	267.44099286414564	3.496255142416792
1324.0.95.0	3.636757450060233	0.005300599477343001	360.18822940952884	0.485372303179103	623.7617915524205	259.44613179017546	4.215065344944345
1365.0.1.0	3.453358781533813	0.006077036463159001	348.87240599547346	0.555983189870642	605.0965065534175	252.2086815500772	4.984174254468819
1405.0.25.0	3.29010490482751	0.006855149843851001	338.25505964784054	0.6267137250437911	587.8395570808217	245.66082365326733	5.797876771667882
1445.0.3999999999999.0	3.144651042363972	0.007629990969361001	328.35576637470956	0.6971345347012521	571.9275631565048	239.72238121376213	6.653479990294506
1485.0.55.0	3.014683285306554	0.008400938076105001	319.16322456582344	0.7672074456604111	557.2618455418122	234.30832930694723	7.551666152220897
