time	IkBa_cytoplasm	IkBa_mRNA_cytoplasm	IkBa_mRNA_nucleus	IkBa_pre_mRNA_1	IkBa_pre_mRNA_2	JNK	JNK_P	LPS	MSK1	MSK1_P	TNFR1_EL	TNFR1_cytoplasm	TNFa_TNFR1_EL	TNFa_TNFR1_cytoplasm	TNFa_mRNA_LSEC	TNFa_mRNA_MC	TNFa_pre_mRNA_LSEC	TNFa_pre_mRNA_MC	p38	p38_P	p65_2P	p65_IkBa_nucleus	p65_cytoplasm	p65_nucleus	s11	s14	s15	s16	s19	s3	s5	s8
0.0.	0.553208040713	3.088363761	9.570920457110001e-05	5.84124933852	5.84124933852	0.711994808194	0.288005191806	5.0	14.9874107675	0.0125892325411	0.00122834645669	5.5275590551200005e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.8713150505699999	0.12868494943	0.218084317053	0.853561753561	0.00034238721423700003	0.017114904604700002	1.10641598653	0.299986802755	1.31972445559e-05	0.0	0.0426779769005	0.00436479725688	0.0725573822663	0.218220792117
900.0.	0.351557905276116	3.099618394832457	0.000104382945903	7.538558261242159	6.370637473451039	0.672537894765029	0.32746210523496905	3.627777389642712	14.986200355140689	0.013799644900412002	0.001107041227953	4.981734794162604e-05	1.1917637874969272e-09	2.9625739206485094e-05	2.937807286825892e-08	1.668711588392745e-07	0.017501320241894002	0.008826999410721001	0.8560568313397441	0.143943168660255	0.24425475300717603	0.6961947214960651	0.000622870129144	0.031138905492682	0.703115979210147	0.29994726035670305	5.2739642851743176e-05	1.9013318952743542e-05	0.034809475596443006	0.007996181164538001	0.19772262550414801	0.39974946197009403
1800.0.	0.024738450975944	3.496272898679598	0.00027252946305900003	31.040108556532527	16.633041155592302	0.5801670034114821	0.419832996588517	2.632153755319128	14.982966550861057	0.017033449180043	0.0007463344489710001	3.3586134727030815e-05	2.273552456740884e-09	0.000117720625938	5.670974418955515e-08	3.275535559192415e-07	0.033751606613194006	0.017136900536725	0.8217550038830751	0.17824499611692401	0.382014920653498	0.36537757434051005	0.0035800036483160003	0.17899788526520102	0.049476898550215004	0.299911303437891	8.869656166367003e-05	5.380244801939158e-05	0.018268670293308	0.012025653261763001	0.20166869134230703	0.601225591107975
2700.0.	0.02379926099655	6.794458790176978	0.001069098579951	97.5305761928967	65.24891754293164	0.487698008891757	0.512301991108242	1.9097735741461441	14.979636943917884	0.020363056123207	0.000248512999574	1.118454522161154e-05	2.522870740178764e-09	0.00023930351607500002	8.159405809319154e-08	4.7631405662916586e-07	0.048546209395525	0.024827163684263003	0.7891618379288491	0.21083816207114903	0.627295976304113	0.168449904566132	0.007503506963029	0.37517155853001605	0.047598408021352005	0.299902922457486	9.707754206910131e-05	0.00017929788848400002	0.008422353433942	0.009853084838583001	0.11960545707031502	0.49262148320601
3600.0.	0.10193396462951	14.724760601111484	0.0017205620780050002	107.01470872357753	105.00803232758173	0.5143232275682841	0.48567677243171603	1.385646677037074	14.980344929270391	0.019655070770709	1.2336990742280291e-05	5.560696176019513e-07	5.732582872648801e-10	0.00029698590801500004	1.0374552161939201e-07	6.112860864992805e-07	0.06171545147761601	0.031801375753748	0.802906620097601	0.197093379902398	0.7628052227487611	0.33141508524412305	0.004693962129963001	0.234691965851292	0.20386755172449	0.29996771953115603	3.228046839955295e-05	0.000820671373006	0.016570568453805	0.006234954306303	0.11128055787815101	0.311726287232578
4500.0.	0.264195344170076	21.313452782624648	0.001180352665014	45.43343836955959	72.03792501877793	0.582755749644237	0.417244250355763	1.005363536145636	14.983102842871387	0.016897157169725	4.390817568819508e-06	1.984569823650079e-07	4.621090958535096e-10	0.00029892666498900004	1.2298323677107208e-07	7.30968591149377e-07	0.07315189992781401	0.037982345761082004	0.829456370181592	0.170543629818406	0.6614602686927481	0.546574570764072	0.0012315244181970001	0.061574018219345	0.528390393197478	0.299971444139624	2.8555859931623983e-05	0.0018587842338920002	0.027328556187973002	0.005363864985472	0.122726313240407	0.26816570103847504
5400.0.	0.41945794125214103	22.30017233205638	0.0005464177828340001	19.12789883397019	33.34830987471045	0.6186919666229771	0.381308033377023	0.729447020279352	14.984433857931808	0.015566142109311001	2.7074859104617726e-06	1.227055793539869e-07	4.5520239320183705e-10	0.000299337789229	1.392641517160669e-07	8.344735677215235e-07	0.08283011716285	0.043324877743740005	0.8418798202794731	0.158120179720526	0.544661444636933	0.613913466366188	0.000692645158585	0.034629723631548	0.838915621878302	0.29997167421194504	2.8325787609840253e-05	0.0029693967197160004	0.030695500629687	0.005828005519167001	0.140551750880127	0.291370216471378
6300.0.	0.550822722933977	20.36779925750958	0.00026957759745	11.09153038217732	16.45256130371872	0.637023401319737	0.36297659868026305	0.5292542809277571	14.985039355018415	0.014960645022708002	1.949479497339777e-06	8.859500713602918e-08	4.531695170739224e-10	0.000299522918407	1.5269173165755568e-07	9.216917735823133e-07	0.090811785869714	0.047824221561387006	0.847525467946434	0.152474532053565	0.46773953273240804	0.64329918710565	0.000507282649837	0.025361048305962003	1.10164521054202	0.29997174187595305	2.825812360198087e-05	0.00410555540397	0.032164785433502	0.006371223994159	0.149664203733917	0.31852990935345504
7200.0.	0.6541522297646031	17.732149490885696	0.000166960811723	8.174626926868987	10.189788695912899	0.6463402134373001	0.35365978656270003	0.38400334239319706	14.985313685203382	0.014686314837747001	1.5266306491056092e-06	6.956675333394345e-08	4.5232471889091327e-10	0.00029962619133	1.63496674791925e-07	9.93315923826427e-07	0.097234212937785	0.051517099384288	0.850082877470073	0.149917122529925	0.42201260811928004	0.657008309027018	0.000419922926988	0.020992687707926002	1.3083042470771011	0.299971769984744	2.823001481084421e-05	0.005232945912031	0.032850240840398004	0.006772914477768	0.154411836751082	0.33861380705799604
8100.0.	0.7284924531847391	15.200503974517977	0.000126631109627	6.877983317340633	7.728436935284352	0.651071502623594	0.348928497376406	0.27861572834931203	14.985437957693033	0.014562042348088002	1.261899639551699e-06	5.765386151250522e-08	4.5190418876426854e-10	0.00029969084686900003	1.719969715178995e-07	1.050712246801468e-06	0.10228656269868601	0.054474902614843	0.8512415179454541	0.148758482054543	0.396020375423199	0.663561684803961	0.00037407860789200005	0.018700248289437	1.456984715454894	0.299971783973828	2.8216025727289503e-05	0.00632486782682	0.033177909285108005	0.007030218810617	0.15703570229476102	0.35147870187580904
