time	MAPK	MAPK_P	MAPK_PP	MKK	MKKK	MKKK_P	MKK_P	MKK_PP
0.0.	280.0	10.0	10.0	280.0	90.0	10.0	10.0	10.0
90.0.	260.7551636007412	23.293032040491948	15.951804358766688	211.72393994183844	16.909381286398048	83.09061871360187	41.552197432368274	46.723862625793146
180.0.	98.46589797727576	61.40767838660204	140.1264236361217	89.03576894753346	16.32330025558153	83.67669974441839	68.12417777140669	142.8400532810598
270.0.	0.121599966880092	1.431940196738186	298.4464598363811	17.901510194257924	30.968653482324996	69.03134651767493	60.41463400616644	221.68385579957544
360.0.	0.084942282368968	1.184240865673329	298.73081685195706	8.907393129772464	45.661121930969955	54.33887806902994	30.183260230622107	260.90934663960513
450.0.	0.08191053354486101	1.162520003309975	298.7555694631446	10.639044050636963	59.37053417560208	40.62946582439782	24.804364570708863	264.556591378654
540.0.	0.09093844751879501	1.230320070857314	298.67874148162326	17.996997785154683	71.87017832637662	28.12982167362329	31.49636234650304	250.50663986834206
630.0.	0.11407950139853601	1.391579866265693	298.4943406323351	34.548036720673785	82.59450207300874	17.40549792699117	42.509359308357894	222.94260397096807
720.0.	0.16811875076257501	1.722069861816042	298.1098113874207	63.75415718899656	90.56967098446674	9.430329015533138	53.68932259471435	182.5565202162889
810.0.	0.307021060845311	2.415499922837525	297.2774790163165	104.29436629818304	94.96856964763629	5.031430352363642	62.38694714314013	133.31868655867666
900.0.	0.7549058795952811	4.084517596929662	295.16057652347456	150.9745125872329	96.54478275441677	3.455217245583227	67.34714981494433	81.67833759782266
990.0.	2.875450228190187	9.17253421267248	287.95201555913684	199.5171297108556	96.908842646628	3.091157353372044	65.86967096486008	34.613199324284366
1080.0.	14.402347491639214	21.882052396942342	263.7156001114181	246.67169848877865	96.80334648788809	3.196653512111962	47.58679819478647	5.741503316435126
1170.0.	40.39055012846247	34.630302877150896	224.97914699438633	283.69542531187653	96.29128418880165	3.708715811198468	15.063138638292909	1.241436049831076
1260.0.	71.51960329734268	44.056714136126494	184.42368256653052	296.0043408308281	95.35040713208102	4.649592867919068	3.462595549088936	0.5330636200834671
1350.0.	104.8308059938348	51.13822315260223	144.03097085356274	296.1658794920865	93.75218911269158	6.247810887308505	3.3069565075451752	0.527164000368682
1440.0.	138.57107772173262	56.24893330756814	105.17998897069889	294.12646577574344	90.84714935895897	9.152850641041093	4.864648699161923	1.008885525094672
1530.0.	171.02033345467012	59.24725457188079	69.73241197344875	289.1089440822371	84.99905504789339	15.000944952106616	8.408594182796072	2.482461734966957
1620.0.	197.49892107164948	59.82682156129254	42.67425736705752	275.2025525802332	72.61406930601038	27.38593069398959	17.013361994132854	7.78408542563405
1710.0.	201.03027169525686	60.58381823224143	38.38591007250125	238.62058287911995	53.54515677560231	46.45484322439767	34.74993956200029	26.62947755888015
1800.0.	145.42125234296375	70.0487744112239	84.52997324581199	180.49412833140497	46.12138495164523	53.878615048354746	55.36384471403997	64.14202695455543
1890.0.	28.30311541929176	71.9999140275244	199.6969705531834	130.5074625027351	53.40589364275632	46.59410635724366	69.79024543650202	99.70229206076331
1980.0.	0.5655654866409521	3.42410836814084	296.0103261452174	105.83312094789218	65.70509463312185	34.29490536687809	77.95671937866297	116.2101596734457
2070.0.	0.471091668197879	3.081430322103129	296.44747800969844	107.03982328638945	77.3891444533392	22.610855546660666	82.78213576244728	110.17804095116423
2160.0.	0.7423629570137421	4.038563396319367	295.21907364666635	129.21898771079663	86.86801870004871	13.131981299951141	85.49367880867375	85.28733348053056
2250.0.	1.8731234642973311	7.098685036465534	291.0281914992367	166.82649396102522	93.07874106224075	6.921258937759058	84.31854332581948	48.8549627131562
2340.0.	7.8487806266315445	16.347581967687766	275.8036374056805	212.57390108351902	95.78330148169118	4.216698518308654	72.7244976456963	14.70160127078566
2430.0.	28.232199026588304	29.971278687240478	241.7965222861712	257.7609600212903	96.26551022879411	3.73448977120566	39.92521245123537	2.313827527475374
2520.0.	57.272715098022616	40.61265776679309	202.1146271351845	288.8549025459663	95.73335379794257	4.266646202057252	10.037414750909477	1.107682703125416
2610.0.	89.53699286635843	48.61279935406711	161.85020777957467	296.0119577613971	94.53633411677644	5.46366588322343	3.430002489339279	0.55803974926481
2700.0.	123.22576521623779	54.54562462152318	122.22861016223935	295.19281001775886	92.35775775854187	7.642242241458076	4.061297225360153	0.745892756882331
2790.0.	156.56713299887153	58.489107380521716	84.94375962060701	291.90992063106256	88.13999103125603	11.860008968743857	6.4711552583736225	1.618924110565409
2880.0.	186.75180977297214	60.11078639435539	53.13740383267273	283.2174278830425	79.24345726739728	20.756542732602636	12.232700026622046	4.549872090337171
2970.0.	204.10938327854626	59.91186796961994	35.97874875183409	258.62878123720134	62.06843340400023	37.931566595999676	25.743381010525688	15.62783775227476
