time	species_0	species_1	species_2	species_3	species_4	species_5	species_6
0.0.	0.0	1.0	1.0	2.5	1.4	1.5	1.6
0.0.3.0	0.18040446520294	0.628518409851829	1.100826583176137	1.846776164058487	1.621080218503696	0.978867871227666	1.400278445351164
0.0.6.0	0.268899826105214	0.49419427875542304	1.031870807145542	1.571009313132695	1.724844771528202	1.495649983150076	1.278142300796497
0.0.8999999999999999.0	0.312482411106542	0.43943747780879006	0.9361818812824411	1.427063781295478	1.7868778056945671	2.044541769744751	1.2963858588173651
1.0.2.0	0.33745961851301604	0.42215215741038303	0.8552810010590811	1.307394320195841	1.8621159458850092	2.5155129742518	1.41843610926383
1.0.5.0	0.358755712067993	0.43061565459168105	0.801870783589238	1.176337071237363	1.978710950864298	2.924985086614262	1.6097834625569032
1.0.7999999999999998.0	0.38428264398320305	0.462366817366535	0.780509322973678	1.034005172349082	2.147063936203069	3.288040639599418	1.843493811355971
2.0.1.0	0.417538850469848	0.5174582917068601	0.793625353467982	0.8953608499516941	2.365623994875472	3.5990085795107802	2.093760513575245
2.0.4.0	0.45905050741989706	0.595747198981119	0.8428293626788421	0.7762366968205011	2.622998542795917	3.832613099322698	2.330498557130695
2.0.6999999999999997.0	0.507048224638749	0.6953627077941551	0.9285648414065971	0.6862717842686711	2.898329676272658	3.95642294061091	2.518266126774445
3.0.	0.5578006671602961	0.8116158398732211	1.0491150969083871	0.628252731378236	3.162353119999917	3.9499468627789103	2.621421595430497
3.0.3.0	0.606043186638332	0.936349979205622	1.199446179472225	0.6009235005090561	3.381232560756633	3.819057958497828	2.614663051265363
3.0.5999999999999996.0	0.6458220519901481	1.05796901384016	1.370282338926207	0.60196583047371	3.523618380181308	3.59498189784563	2.493753658355209
3.0.9.0	0.6717631056113801	1.162422309999864	1.547831776449267	0.6295335104822171	3.568843367839443	3.319966906390382	2.27931438008954
4.0.2.0	0.680397323594056	1.23527890313843	1.714560781055012	0.682352160711568	3.512588739855582	3.032528997030185	2.010295178058453
4.0.5.0	0.671006135207459	1.264675980004975	1.851245849611602	0.758961026923194	3.367288372367887	2.760883410610405	1.73058446998021
4.0.8.0	0.645638496862722	1.244464725229582	1.9401730373198092	0.85664696788821	3.157389714355711	2.523125631083182	1.4762070980169382
5.0.1.0	0.6083624525191591	1.176458405424898	1.9688482861338181	0.97053640652725	2.9121377179864743	2.32965117576991	1.268858331030756
5.0.3999999999999995.0	0.564147975876512	1.070626284761608	1.933103088399963	1.093197785206408	2.6591076215393663	2.185568269529227	1.11655828541447
5.0.7.0	0.517839745704761	0.9427381049953241	1.838359778853511	1.214877494218753	2.420410429226789	2.092724184423827	1.018365785949896
6.0.	0.47350271024438906	0.810227986137058	1.6983660942019991	1.324258569324746	2.211705481584739	2.051362834850226	0.9695190671600431
6.0.3.0	0.434184639153866	0.6880536328615511	1.5317903206291912	1.40957126750091	2.043065365771405	2.061360249551038	0.9649940415051901
6.0.6.0	0.40198297065217203	0.586222792614529	1.3580292400987841	1.459988442631493	1.920577045285469	2.122937556415859	1.001192188258838
6.0.8999999999999995.0	0.378261553096129	0.5095518691342761	1.193771505941029	1.467320782031596	1.8479047634232262	2.23672922347899	1.076267240994157
7.0.199999999999999.0	0.36389301005232005	0.45904460764985106	1.051237235778407	1.427919339597135	1.827431068512115	2.4030262556379363	1.189620707440212
7.0.5.0	0.35945040532819506	0.43379597138457004	0.9381125419688491	1.34437294804131	1.860827972863086	2.619955383986164	1.340820289724177
7.0.8.0	0.36530712829029005	0.432550821814265	0.8585771436345131	1.226216545963445	1.948986802329964	2.88045503282124	1.527944596704601
8.0.1.0	0.38162055008633405	0.45452493687829404	0.8146701497326071	1.08878729811141	2.091233765802796	3.168433369553105	1.745295635753129
8.0.4.0	0.40818255646279206	0.499455184560378	0.807402538760385	0.9499631106540111	2.283792157534096	3.455669135795025	1.980681642330722
8.0.7.0	0.44413713093510604	0.567018366794393	0.8372823956758331	0.8257774203820001	2.51765488875798	3.702521800716233	2.213158568463122
9.0.	0.487613238715811	0.65584693445522	0.904154590217857	0.7269646727134801	2.776498207866466	3.865716092279656	2.413041022223268
9.0.299999999999999.0	0.5354078860354531	0.762439823868654	1.006453761250048	0.658128135365398	3.035882481157598	3.912850636137802	2.546297455391631
9.0.6.0	0.582942602214874	0.8803006700532041	1.140127247817054	0.619418680028595	3.265234159763846	3.836314315805772	2.583838953593028
9.0.9.0	0.624713428044529	0.9996287603884231	1.297591446004051	0.6090693788733761	3.433276859593861	3.656214982951024	2.512589635520635
10.0.2.0	0.6552743771188201	1.10785393859832	1.4671407425903231	0.625206053065061	3.515625586092372	3.409721962921536	2.342285485894529
10.0.5.0	0.6704855773881501	1.191192670778737	1.633221411747221	0.6664213983325921	3.501432580168769	3.135854818089303	2.103294569299543
10.0.799999999999999.0	0.668531993252216	1.237141643188787	1.777863555190563	0.731381660577584	3.395961345638728	2.86591427473682	1.836235604534009
11.0.1.0	0.650277973880241	1.237438327852586	1.883286241438583	0.817938151914634	3.218054397168101	2.621359748490851	1.579204893898829
11.0.4.0	0.618848678616689	1.190608470536566	1.93526545523652	0.922197776171624	2.994105233109374	2.415393478804206	1.358954021327611
11.0.7.0	0.578692928819003	1.103007953938747	1.9263844902116851	1.037939546449068	2.751481855435391	2.25523054730912	1.188736117394111
12.0.	0.534551688196909	0.987591531675376	1.858016502138561	1.156596497769959	2.513796625891131	2.144132523721791	1.071303398276502
12.0.299999999999999.0	0.49067716039559006	0.860620328864346	1.7401341669826502	1.267790337334218	2.298846929942804	2.083116418652031	1.003709079293122
12.0.6.0	0.450438143014865	0.7376288634537941	1.58887372727263	1.360271735546041	2.118714807544621	2.072300695263467	0.9813356395223771
12.0.9.0	0.41626278797557803	0.630340945171158	1.4227783117838761	1.423156033591888	1.981005720125757	2.111794993101291	1.000228441232836
13.0.2.0	0.38978565396652104	0.5455413518998591	1.2591533297842	1.447437989369671	1.8903508003534162	2.202020375588207	1.057933162003094
13.0.5.0	0.37206799043923605	0.48577197336514205	1.111685394748757	1.427745340273582	1.849656420477195	2.343312245294201	1.153339370518466
13.0.799999999999999.0	0.36379968450667105	0.45096834526642904	0.9897013439909861	1.364068883299347	1.860869462054429	2.53460398162867	1.2858767579337531
14.0.1.0	0.36542997178965003	0.440099310551527	0.8987244907390121	1.262865317884845	1.9251602280607871	2.771018104502026	1.4541628503945891
