time	R	Rin	x1	x1p	x2	x2p	x3	x3p
0.0.	0.5	0.0	1.0	0.0	1.0	0.0	1.0	0.0
0.0.5.0	0.13507277303537102	0.36492722696462804	0.872230063173506	0.127769936826493	0.965903872109489	0.03409612789051	0.9944456809574671	0.005554319042532001
1.0.	0.0044221444668	0.49557785553319905	0.8695210182712221	0.130478981728777	0.9139709751403331	0.086029024859666	0.9693387464796511	0.030661253520348004
1.0.5.0	0.0008672251898210001	0.49913277481017804	0.8851917927480221	0.114808207251977	0.873376794226096	0.126623205773903	0.927950556889447	0.072049443110552
2.0.	0.000840297048316	0.49915970295168305	0.8993782762541951	0.10062172374580501	0.843872668607841	0.156127331392158	0.877171064171512	0.12282893582848702
2.0.5.0	0.000840100006727	0.49915989999327204	0.9119148443834431	0.08808515561655701	0.823281824838188	0.17671817516181101	0.821995777345452	0.17800422265454802
3.0.	0.000840098515471	0.49915990148452805	0.9229596908091131	0.077040309190886	0.8098641722825161	0.19013582771748203	0.7659197785874161	0.23408022141258403
3.0.5.0	0.000840098503193	0.49915990149680606	0.9326649002597701	0.067335099740229	0.80221492398801	0.19778507601198902	0.711403735628485	0.28859626437151503
4.0.	0.000840098503088	0.49915990149691103	0.94117281565299	0.058827184347009	0.7991819917720321	0.20081800822796703	0.66017346748756	0.33982653251244005
4.0.5.0	0.0008400985030870001	0.49915990149691203	0.948615293810635	0.051384706189364006	0.7998107677964981	0.20018923220350102	0.613411207740714	0.38658879225928605
5.0.	0.0008400985030870001	0.49915990149691203	0.95511337552133	0.044886624478669	0.8033053794396771	0.19669462056032203	0.571882112941979	0.42811788705802
5.0.5.0	0.0008400985030870001	0.49915990149691203	0.960777283914174	0.039222716085826004	0.8090003600247561	0.19099963997524302	0.536023540098446	0.46397645990155306
6.0.	0.0008400985030870001	0.49915990149691203	0.965706681460161	0.034293318539838004	0.8163392088322091	0.18366079116779002	0.506013476420149	0.49398652357985
6.0.5.0	0.0008400985030870001	0.49915990149691203	0.9699911199688841	0.030008880031116004	0.824857665804519	0.17514233419548	0.48182725963971806	0.518172740360281
7.0.	0.0008400985030870001	0.49915990149691203	0.9737106250949381	0.026289374905062002	0.834170297821881	0.16582970217811802	0.46328700554887003	0.5367129944511291
7.0.5.0	0.0008400985030870001	0.49915990149691203	0.976936365655211	0.023063634344789002	0.843959461837808	0.15604053816219102	0.450105146252729	0.5498948537472701
8.0.	0.0008400985030870001	0.49915990149691203	0.9797313672796881	0.020268632720312003	0.8539660101655161	0.146033989834483	0.441921826899896	0.558078173100103
8.0.5.0	0.0008400985030870001	0.49915990149691203	0.982151238747301	0.017848761252698003	0.8639813034221121	0.136018696577887	0.438335400417163	0.561664599582836
9.0.	0.0008400985030870001	0.49915990149691203	0.9842448872944761	0.015755112705524002	0.873840233953955	0.126159766046044	0.438925592949709	0.56107440705029
9.0.5.0	0.0008400985030870001	0.49915990149691203	0.9860552059822261	0.013944794017773002	0.883415057984799	0.1165849420152	0.443269654647491	0.5567303453525081
10.0.	0.0008400985030870001	0.49915990149691203	0.9876197218039781	0.012380278196021001	0.8926099009543811	0.10739009904561701	0.45095253337572605	0.5490474666242731
10.0.5.0	0.0008400985030870001	0.49915990149691203	0.988971197663669	0.011028802336331	0.9013558457348481	0.09864415426515001	0.46157253805382403	0.5384274619461761
11.0.	0.0008400985030870001	0.49915990149691203	0.9901381847715991	0.009861815228400002	0.9096065432513961	0.09039345674860301	0.47474402384795705	0.525255976152043
11.0.5.0	0.0008400985030870001	0.49915990149691203	0.9911455245434001	0.008854475456600001	0.9173343036022661	0.08266569639773201	0.490098416346527	0.509901583653472
12.0.	0.0008400985030870001	0.49915990149691203	0.9920148009004521	0.007985199099547001	0.924526636231301	0.07547336376869801	0.507284537831564	0.49271546216843504
12.0.5.0	0.0008400985030870001	0.49915990149691203	0.9927647451045281	0.007235254895472	0.931183212556248	0.068816787443751	0.525968831321837	0.47403116867816303
13.0.	0.0008400985030870001	0.49915990149691203	0.993411596044775	0.006588403955224	0.9373132256931901	0.06268677430680901	0.5458357736311891	0.45416422636881104
13.0.5.0	0.0008400985030870001	0.49915990149691203	0.9939694193414761	0.006030580658523001	0.9429331211032511	0.057066878896748004	0.56658855528732	0.433411444712679
14.0.	0.0008400985030870001	0.49915990149691203	0.9944503888282301	0.005549611171769	0.9480646702952951	0.051935329704704006	0.587949978368639	0.41205002163136
14.0.5.0	0.0008400985030870001	0.49915990149691203	0.9948650339943411	0.0051349660056590005	0.9527333579718731	0.047266642028127005	0.6096634635175731	0.39033653648242606
15.0.	0.0008400985030870001	0.49915990149691203	0.9952224568679591	0.004777543132041	0.9569670517275941	0.043032948272405	0.6314940420242231	0.368505957975776
15.0.5.0	0.0008400985030870001	0.49915990149691203	0.9955305216405811	0.004469478359418	0.960794922873576	0.039205077126424	0.6532292188862701	0.34677078111372905
16.0.	0.0008400985030870001	0.49915990149691203	0.9957960201064531	0.004203979893547	0.9642465872535531	0.035753412746446	0.6746796146748121	0.32532038532518703
16.0.5.0	0.0008400985030870001	0.49915990149691203	0.996024815739264	0.003975184260736	0.967351435989496	0.032648564010503	0.6956793196681571	0.304320680331841
17.0.	0.0008400985030870001	0.49915990149691203	0.996221968969587	0.003778031030413	0.970138127819093	0.029861872180907002	0.716085918795154	0.283914081204844
17.0.5.0	0.0008400985030870001	0.49915990149691203	0.9963918459709741	0.0036081540290260005	0.972634216897554	0.027365783102446	0.735780168686561	0.264219831313437
18.0.	0.0008400985030870001	0.49915990149691203	0.9965382130177681	0.003461786982231	0.974865892457446	0.025134107542554	0.754665328098948	0.24533467190105002
18.0.5.0	0.0008400985030870001	0.49915990149691203	0.9966643182481391	0.003335681751861	0.976857809391478	0.023142190608522	0.772666160174262	0.22733383982573602
19.0.	0.0008400985030870001	0.49915990149691203	0.9967729624539071	0.003227037546093	0.9786329915085641	0.021367008491435	0.7897276394893471	0.210272360510652
19.0.5.0	0.0008400985030870001	0.49915990149691203	0.996866560325639	0.00313343967436	0.9802127918072491	0.019787208192751003	0.805813408551119	0.19418659144888
20.0.	0.0008400985030870001	0.49915990149691203	0.996947193407071	0.0030528065929270004	0.9816168965373551	0.018383103462645	0.820904037084981	0.179095962915018
20.0.5.0	0.0008400985030870001	0.49915990149691203	0.997016655856757	0.0029833441432410004	0.9828633620325391	0.017136637967461	0.8349951428926261	0.165004857107373
21.0.	0.0008400985030870001	0.49915990149691203	0.9970764939758291	0.0029235060241700004	0.9839686752680511	0.016031324731949	0.848095435062814	0.15190456493718402
21.0.5.0	0.0008400985030870001	0.49915990149691203	0.997128040337611	0.0028719596623890003	0.9849478308223051	0.015052169177695002	0.8602247389494291	0.13977526105057
22.0.	0.0008400985030870001	0.49915990149691203	0.997172443246317	0.0028275567536820002	0.9858144184035641	0.014185581596436	0.8714120578843251	0.128587942115673
22.0.5.0	0.0008400985030870001	0.49915990149691203	0.997210692156663	0.002789307843337	0.9865807163588741	0.013419283641126002	0.8816937196126201	0.118306280387378
23.0.	0.0008400985030870001	0.49915990149691203	0.99724363960269	0.002756360397309	0.9872577876312961	0.012742212368704	0.891111646652964	0.108888353347034
23.0.5.0	0.0008400985030870001	0.49915990149691203	0.9972720201110991	0.0027279798889	0.9878555754963421	0.012144424503658002	0.89971178001198	0.10028821998801801
24.0.	0.0008400985030870001	0.49915990149691203	0.9972964665107231	0.002703533489276	0.988382997112565	0.011617002887435002	0.907542675725004	0.09245732427499401
24.0.5.0	0.0008400985030870001	0.49915990149691203	0.9973175239943781	0.0026824760056210002	0.9888480334874711	0.011151966512529001	0.9146542842581231	0.08534571574187401
25.0.	0.0008400985030870001	0.49915990149691203	0.9973356622411681	0.0026643377588310003	0.9892578149093971	0.010742185090603	0.9210969144315281	0.078903085568469
25.0.5.0	0.0008400985030870001	0.49915990149691203	0.9973512858655231	0.002648714134477	0.9896187012481691	0.010381298751831	0.9269203765639841	0.073079623436014
26.0.	0.0008400985030870001	0.49915990149691203	0.9973647434230141	0.002635256576986	0.9899363567991071	0.010063643200892002	0.932173294158377	0.06782670584162001
26.0.5.0	0.0008400985030870001	0.49915990149691203	0.9973763351716091	0.00262366482839	0.9902158195511651	0.009784180448834001	0.9369025696523671	0.063097430347631
27.0.	0.0008400985030870001	0.49915990149691203	0.997386319759851	0.002613680240148	0.9904615649132861	0.009538435086713001	0.94115298742616	0.058847012573837
