time	E	P	Q	X
0.0.	1.0	0.0	0.0	8.0
0.0.3.0	0.15258547997691402	0.847414520023085	0.087837874466641	7.064747605510282
0.0.6.0	0.07657377984984501	0.9234262201501541	0.22268716891763302	6.853886610932219
0.0.8999999999999999.0	0.069779254794074	0.9302207452059251	0.361919218288408	6.707860036505669
1.0.2.0	0.07021510862605901	0.92978489137394	0.501442711626021	6.568772397000045
1.0.5.0	0.071485201923714	0.9285147980762851	0.640818350152055	6.430666851771665
1.0.7999999999999998.0	0.072896400959804	0.9271035990401941	0.779990689651468	6.292905711308344
2.0.1.0	0.074372646411049	0.9256273535889501	0.918946246134224	6.155426400276834
2.0.4.0	0.075907645679782	0.9240923543202171	1.057675966567549	6.018231679112241
2.0.6999999999999997.0	0.07750348992610001	0.9224965100738991	1.196170911589416	5.8813325783366945
3.0.	0.07916350331214701	0.9208364966878521	1.33442171168965	5.744741791622505
3.0.3.0	0.080891392363843	0.9191086076361561	1.4724184672930232	5.608472925070829
3.0.5999999999999996.0	0.082691158369026	0.917308841630972	1.610150700639433	5.472540457729601
3.0.9.0	0.08456710771246101	0.9154328922875371	1.747607311165405	5.336959796547068
4.0.2.0	0.086523877234532	0.9134761227654671	1.884776527916615	5.201747349317925
4.0.5.0	0.088566464080883	0.911433535919115	2.021645857783946	5.066920606296944
4.0.8.0	0.09070025888705201	0.9092997411129471	2.158202029010487	4.932498229876572
5.0.1.0	0.092931082429381	0.907068917570617	2.294430929464498	4.798500152964889
5.0.3999999999999995.0	0.095265226083437	0.9047347739165611	2.430317539133921	4.664947686949522
5.0.7.0	0.097709496493652	0.9022905035063461	2.5658458562416078	4.531863640252049
6.0.	0.100271264900882	0.8997287350991161	2.700998816316605	4.399272448584283
6.0.3.0	0.102958521615666	0.8970414783843321	2.8357582034867272	4.267200318128947
6.0.6.0	0.105779936165866	0.8942200638341321	2.970104553181423	4.13567538298445
