time	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_7	species_8	species_9
15.0.	1.458961154961735e-05	1.007005564288511e-06	7.204217891812271e-06	1.999487768816158e-06	1.1233503049815077e-06	9.517536521547933e-07	3.806156300537949e-05	1.8187538431511632e-07	9.965214243774559e-08	1.8252074516858071e-06
15.0.6.0	1.372654991268838e-05	1.023588305800468e-06	7.322852472724592e-06	2.032414090181647e-06	1.141848939344118e-06	9.674265395314338e-07	3.870962533089614e-05	1.711166561816575e-07	9.37587195486543e-08	1.855263833150182e-06
16.0.2.0	1.2914542120004341e-05	1.0391901061303821e-06	7.434469302926183e-06	2.063392676633863e-06	1.159253299141526e-06	9.821723075497834e-07	3.9319352521110055e-05	1.6099432204608338e-07	8.821338382342889e-08	1.883542249111064e-06
16.0.8.0	1.2150568269671612e-05	1.053868989236624e-06	7.539483491582162e-06	2.092538739249267e-06	1.175628112150465e-06	9.960457965366993e-07	3.9893011954487766e-05	1.5147074198443949e-07	8.299573693345771e-08	1.910147868561508e-06
17.0.4.0	1.143178707284616e-05	1.067679547232256e-06	7.638285596095196e-06	2.1199606749088802e-06	1.191034277802905e-06	1.009098603270617e-06	4.04327369752013e-05	1.425105018827609e-07	7.808651691118245e-08	1.935179640241315e-06
18.0.	1.0755525292106182e-05	1.080673143314607e-06	7.7312430738839e-06	2.1457604692307258e-06	1.2055290935611751e-06	1.021379272776886e-06	4.094053479286438e-05	1.340802818696354e-07	7.346755679783149e-08	1.958730660448892e-06
18.0.599999999999998.0	1.0119267803779101e-05	1.092898102706289e-06	7.818701648393819e-06	2.170034075698048e-06	1.219166467919414e-06	1.03293347879232e-06	4.141829392512418e-05	1.2614873251595758e-07	6.91217361877107e-08	1.980888519123705e-06
19.0.2.0	9.52064824704349e-06	1.104399892322001e-06	7.900986594451608e-06	2.192871772401702e-06	1.2319971208282408e-06	1.043804193574124e-06	4.186779120682606e-05	1.1868635833969038e-07	6.503292961379334e-08	2.0017356254941177e-06
19.0.8.0	8.95744022700255e-06	1.115221289791402e-06	7.978403947471454e-06	2.2143584976482043e-06	1.244068772245746e-06	1.0540318476489039e-06	4.2290698387734826e-05	1.1166540820782049e-07	6.118595419750185e-08	2.0213495144330137e-06
20.0.4.0	8.427549036924959e-06	1.1254025425067779e-06	8.051241641297903e-06	2.234574165761225e-06	1.255426319560782e-06	1.0636544801337759e-06	4.2688588343274614e-05	1.0505977220265019e-07	5.756651799649559e-08	2.0398031347332447e-06
21.0.	7.929003870041562e-06	1.134981517264457e-06	8.119770578755403e-06	2.253593964206241e-06	1.266112004523259e-06	1.072707880167331e-06	4.3062940919470046e-05	9.884488458417398e-08	5.416116989888864e-08	2.057165120334167e-06
21.0.599999999999998.0	7.459950492406146e-06	1.143993841047398e-06	8.184245638820977e-06	2.271488633125307e-06	1.276165570292095e-06	1.081225719967825e-06	4.341514843281913e-05	9.299763249413841e-08	5.095725153287965e-08	2.073500045491459e-06
22.0.2.0	7.018644347995938e-06	1.152473033502797e-06	8.244906624382139e-06	2.288324728381631e-06	1.285624409218671e-06	1.089239680042069e-06	4.374652084632234e-05	8.749627004315963e-08	4.7942851413329655e-08	2.088868664894082e-06
22.0.8.0	6.603444072314396e-06	1.160450631570787e-06	8.301979153842991e-06	2.3041648690195303e-06	1.2945237018745441e-06	1.0967795669760568e-06	4.4058290639228325e-05	8.232033748559706e-08	4.510676142639504e-08	2.103328139555015e-06
23.0.4.0	6.21280538930825e-06	1.167956306748185e-06	8.355675500040786e-06	2.319067970100723e-06	1.3028965478633141e-06	1.103873424264744e-06	4.435161738924256e-05	7.745058516872915e-08	4.243843564670705e-08	2.116932249352958e-06
24.0.	5.8452753687454485e-06	1.175017975426408e-06	8.40619537961429e-06	2.333089461788821e-06	1.3107740889064608e-06	1.110547636595989e-06	4.4627592084254216e-05	7.2868901971825e-08	3.992795143581219e-08	2.129731593020871e-06
24.0.599999999999998.0	5.499487023890567e-06	1.181661902690954e-06	8.453726695595607e-06	2.346281495451266e-06	1.318185624635339e-06	1.116827027954814e-06	4.4887241178654656e-05	6.855824798417264e-08	3.756597275030731e-08	2.141773776283558e-06
25.0.2.0	5.1741542280879524e-06	1.1879127999934388e-06	8.498446236165636e-06	2.358693137594748e-06	1.3251587215477829e-06	1.122734953936423e-06	4.513153041026737e-05	6.450259115579593e-08	3.534371555542763e-08	2.15310358888919e-06
25.0.8.0	4.868066932054027e-06	1.1937939170458488e-06	8.540520332074685e-06	2.3703705523283795e-06	1.3317193155194008e-06	1.128293388598436e-06	4.5361368391527226e-05	6.068684769432861e-08	3.3252915246159225e-08	2.16376317116854e-06
26.0.4.0	4.580086664369481e-06	1.199327128273439e-06	8.580105475135081e-06	2.3813571730226337e-06	1.337891808244833e-06	1.133523006170334e-06	4.5577609988039694e-05	5.709682599006445e-08	3.1285795972995975e-08	2.1737921707316993e-06
27.0.	4.3091422974596945e-06	1.204533014166564e-06	8.617348900220304e-06	2.391693863839741e-06	1.343699157988598e-06	1.138443257941717e-06	4.578105949780887e-05	5.371917384865082e-08	2.943504176195889e-08	2.183227889919081e-06
27.0.599999999999998.0	4.054226064476909e-06	1.209430937811736e-06	8.65238913277573e-06	2.4014190716920312e-06	1.349162964958193e-06	1.143072444594288e-06	4.597247364207995e-05	5.0541328849817834e-08	2.769376933595316e-08	2.192105424514705e-06
28.0.2.0	3.8143898116082157e-06	1.214039116899235e-06	8.68535650396825e-06	2.4105689692186406e-06	1.354303551631126e-06	1.147427784258581e-06	4.615256437941263e-05	4.755147163942123e-08	2.6055502536042602e-08	2.2004577942606917e-06
28.0.799999999999997.0	3.588741471768279e-06	1.218374691477063e-06	8.716373635404806e-06	2.41917758931627e-06	1.359140038336851e-06	1.151525476550433e-06	4.6322001553525485e-05	4.4738481979942916e-08	2.451414824946801e-08	2.208316065661984e-06
29.0.4.0	3.3764417472884388e-06	1.222453787689283e-06	8.745555895122765e-06	2.427276951696575e-06	1.363690414359136e-06	1.1553807628121471e-06	4.648141538421224e-05	4.209189740517129e-08	2.306397376154647e-08	2.215709467512695e-06
30.0.	3.1767009884618157e-06	1.2262915777511959e-06	8.77301182665834e-06	2.434897181971569e-06	1.367971604840493e-06	1.159007982796983e-06	4.6631398811194946e-05	3.960187431539374e-08	2.1699585442837473e-08	2.2226654996017113e-06
30.0.599999999999998.0	2.988776256764299e-06	1.229902336376191e-06	8.79884355272987e-06	2.442066623693498e-06	1.371999533728323e-06	1.162420628000008e-06	4.677250969930891e-05	3.725915137385276e-08	2.041590869595209e-08	2.229210034986912e-06
31.0.2.0	2.811968561995341e-06	1.233299493860924e-06	8.823147155014435e-06	2.4488119437595933e-06	1.37578918299331e-06	1.165631391830616e-06	4.690527291309489e-05	3.505501507048784e-08	1.9208169089027782e-08	2.235367416212571e-06
31.0.799999999999997.0	2.645620262458775e-06	1.236495686037863e-06	8.846013031513382e-06	2.4551582315967326e-06	1.3793546483532569e-06	1.168652216824309e-06	4.7030182268968014e-05	3.298126731743265e-08	1.807187460188632e-08	2.241160545848841e-06
32.0.4.0	2.4891126192234318e-06	1.239502801267375e-06	8.867526232738349e-06	2.461129092467875e-06	1.3827091916944098e-06	1.1714943390564349e-06	4.7147702371690934e-05	3.103019496465323e-08	1.700279892389753e-08	2.246610971665368e-06
33.0.	2.3418634949576706e-06	1.242332024651987e-06	8.887766778024467e-06	2.466746735262904e-06	1.385865290394034e-06	1.1741683299305257e-06	4.725827034228903e-05	2.9194541117301222e-08	1.599696573877814e-08	2.2517389667700686e-06
33.0.6.0	2.203325188713374e-06	1.24499387963853e-06	8.906809953156295e-06	2.472032055102936e-06	1.3888346837290778e-06	1.1766841354978358e-06	4.7362297443883636e-05	2.7467478147336243e-08	1.505063393753094e-08	2.256563605013433e-06
34.0.199999999999996.0	2.072982399050236e-06	1.247498267154377e-06	8.924726590352275e-06	2.477004711048338e-06	1.391628416534026e-06	1.1790511134462668e-06	4.746017061115652e-05	2.584258230461868e-08	1.416028370763337e-08	2.2611028319233282e-06
34.0.8.0	1.9503503074296323e-06	1.249854502432834e-06	8.941583331717326e-06	2.481683199218418e-06	1.3942568802809301e-06	1.1812780679052438e-06	4.755225388950576e-05	2.431380982691513e-08	1.332260344341358e-08	2.265373531451392e-06
35.0.4.0	1.8349727750114318e-06	1.252071349659629e-06	8.9574428771072e-06	2.486084921584709e-06	1.396729851728786e-06	1.183373282191236e-06	4.7638889789049306e-05	2.287547446326201e-08	1.253447743076072e-08	2.269391588770124e-06
36.0.	1.726420646247619e-06	1.254157054567413e-06	8.972364217312817e-06	2.4902262506898978e-06	1.399056529283856e-06	1.1853445496138778e-06	4.772040055843614e-05	2.152222632837465e-08	1.179297426108646e-08	2.273171949350749e-06
36.0.6.0	1.624290152590934e-06	1.256119375106678e-06	8.986402853483045e-06	2.494122590547295e-06	1.4012455672141598e-06	1.187199202464048e-06	4.7797089383482735e-05	2.0249032004842512e-08	1.1095335928930621e-08	2.276728674554539e-06
37.0.199999999999996.0	1.5282014108155941e-06	1.257965610298801e-06	8.999611003542257e-06	2.497788433930808e-06	1.403305107836068e-06	1.188944139283817e-06	4.786924151476653e-05	1.90511558245408e-08	1.0438967575649869e-08	2.2800749939292568e-06
37.0.8.0	1.437797010112215e-06	1.2597026273833988e-06	9.01203779640521e-06	2.501237416278125e-06	1.4052428117981321e-06	1.190585850524301e-06	4.793712532856017e-05	1.792414225651154e-08	9.821427839336865e-09	2.283223354413994e-06
38.0.4.0	1.352740682660539e-06	1.2613368873617548e-06	9.023729454717212e-06	2.504482366409157e-06	1.407065886575681e-06	1.192130442687572e-06	4.8000993325083294e-05	1.686379933531247e-08	9.240419774812122e-09	2.286185466636874e-06
39.0.	1.2727160530069529e-06	1.262874469026093e-06	9.034729466762003e-06	2.5075353542380496e-06	1.4087811132763281e-06	1.1935836610375162e-06	4.8061083067580896e-05	1.586618307160164e-08	8.69378231178647e-09	2.288972348468365e-06
39.0.6.0	1.197425461290668e-06	1.264321091569943e-06	9.045078748218523e-06	2.5104077356678037e-06	1.4103948718626328e-06	1.194950910969617e-06	4.81176180659498e-05	1.492758278319253e-08	8.1794822173553e-09	2.2915943660027727e-06
40.0.199999999999996.0	1.126588856101736e-06	1.265682135860606e-06	9.054815794346237e-06	2.5131101948284156e-06	1.411913164882284e-06	1.196237278116256e-06	4.817080860807935e-05	1.4044507294029592e-08	7.6956065340343e-09	2.294061272114804e-06
40.0.8.0	1.05994275291416e-06	1.2669626644516708e-06	9.063976823156684e-06	2.5156527838132755e-06	1.413341639792775e-06	1.197447547261189e-06	4.822085254195249e-05	1.321367195052676e-08	7.240355465637833e-09	2.296382242732439e-06
41.0.4.0	9.972392539910194e-07	1.268167440414414e-06	9.07259591013517e-06	2.518044960070386e-06	1.414685609968489e-06	1.1985862201377179e-06	4.8267936011588594e-05	1.243198640413274e-08	6.812035682983261e-09	2.298565910969033e-06
42.0.	9.382451263823437e-07	1.2693009450530158e-06	9.080705114977184e-06	2.520295621577288e-06	1.415950074462656e-06	1.199657532171912e-06	4.8312234149364924e-05	1.1696543118008101e-08	6.4090540263474226e-09	2.300620399232321e-06
42.0.6.0	8.827409344309502e-07	1.270367394572468e-06	9.088334600832283e-06	2.522413139936495e-06	1.417139736600987e-06	1.200665468235994e-06	4.835391172740873e-05	1.100460655313596e-08	6.0299115801964855e-09	2.30255334943516e-06
43.0.199999999999996.0	8.305202235339418e-07	1.27137075576166e-06	9.095512746502453e-06	2.5244053915154756e-06	1.418259021476719e-06	1.201613777470927e-06	4.8393123770502144e-05	1.035360299333155e-08	5.673198097980607e-09	2.3043719514212777e-06
43.0.8.0	7.813887522903989e-07	1.272314760746789e-06	9.102266251989413e-06	2.5262797867406884e-06	1.419312092408553e-06	1.202505987230347e-06	4.8430016132654446e-05	9.741110973387287e-09	5.337586757398919e-09	2.30608296970597e-06
44.0.4.0	7.351637699919796e-07	1.2732029208735408e-06	9.108620237809205e-06	2.528043297661748e-06	1.420302866426732e-06	1.203345416201061e-06	4.846472603962684e-05	9.16485227242225e-09	5.021829225352421e-09	2.3076927686376997e-06
45.0.	6.916733368671216e-07	1.2740385397678279e-06	9.114598338429943e-06	2.5297024838845187e-06	1.421235028842746e-06	1.204135186747175e-06	4.8497382599354074e-05	8.622683440163611e-09	4.724751014902691e-09	2.309207336070801e-06
45.0.6.0	6.507556845878737e-07	1.274824725622917e-06	9.120222790175173e-06	2.531263516968161e-06	1.422112046956057e-06	1.204878236523053e-06	4.852810728213323e-05	8.112587825112345e-09	4.4452471172253386e-09	2.31063230563602e-06
46.0.199999999999996.0	6.122586145199446e-07	1.27556440276136e-06	9.125514513939087e-06	2.532732203382258e-06	1.42293718295185e-06	1.205577329400882e-06	4.855701437247166e-05	7.632668073190674e-09	4.182277891352544e-09	2.311972977696639e-06
46.0.8.0	5.760389316410018e-07	1.276260322511615e-06	9.130493192998914e-06	2.5341140061031748e-06	1.42371350603428e-06	1.206235065750512e-06	4.8584211394151954e-05	7.181139071008562e-09	3.9348651975343105e-09	2.313234339062442e-06
47.0.4.0	5.419619119261071e-07	1.276915073441619e-06	9.135177346226957e-06	2.535414064933623e-06	1.424443903842385e-06	1.20685389211154e-06	4.860979951016685e-05	6.756321306313317e-09	3.7020887591860194e-09	2.314421081538178e-06
48.0.	5.099008012033048e-07	1.277531090987706e-06	9.139584396976793e-06	2.5366372156216197e-06	1.4251310931914919e-06	1.207436110293913e-06	4.863387389902349e-05	6.356634620730903e-09	3.483082739783971e-09	2.31553761937606e-06
48.0.6.0	4.797363437174727e-07	1.278110666512713e-06	9.143730737885898e-06	2.5377880078460642e-06	1.425777630177845e-06	1.207983885939039e-06	4.8656524108740175e-05	5.9805923328377475e-09	3.277032522676033e-09	2.316588105693684e-06
49.0.199999999999996.0	4.5135633853383774e-07	1.278655955829178e-06	9.147631791851443e-06	2.538870722140209e-06	1.4263859196865408e-06	1.208499256575341e-06	4.8677834389938464e-05	5.626795708271154e-09	3.083171681045451e-09	2.317576447922398e-06
49.0.8.0	4.246552221912976e-07	1.279168987218181e-06	9.151302069397857e-06	2.539889385813688e-06	1.426958224336823e-06	1.2089841391971149e-06	4.8697884009224646e-05	5.293928757061137e-09	2.9007791271696014e-09	2.318506322341531e-06
50.0.4.0	3.9953367607608783e-07	1.279651668973208e-06	9.154755222646389e-06	2.5408477879314446e-06	1.427496672897533e-06	1.2094403373944898e-06	4.871674754400905e-05	4.980753339118981e-09	2.7291764305277544e-09	2.3193811877517238e-06
51.0.	3.758982569688743e-07	1.2801057964987649e-06	9.158004096099334e-06	2.541749493408589e-06	1.4280032682058668e-06	1.209869548062555e-06	4.873449515992449e-05	4.6861045586000355e-09	2.5677252941926213e-09	2.3202042983412352e-06
51.0.6.0	3.536610494912459e-07	1.2805330589882229e-06	9.16106077441394e-06	2.542597856269769e-06	1.428479894616743e-06	1.210273367712804e-06	4.875119287180088e-05	4.408886431259935e-09	2.415825180804198e-09	2.3209787157895955e-06
52.0.199999999999996.0	3.32739339100133e-07	1.280935045706852e-06	9.163936627351917e-06	2.543396032124629e-06	1.428928325011752e-06	1.210653298411442e-06	4.876690278921038e-05	4.148067807957858e-09	2.2729110788953772e-09	2.3217073206556857e-06
52.0.8.0	3.130553044040235e-07	1.2813132519036177e-06	9.166642352072976e-06	2.5441469899061376e-06	1.429350227393973e-06	1.211010753366813e-06	4.87816833475043e-05	3.902678539022688e-09	2.1384514011948022e-09	2.3223928230929037e-06
53.0.4.0	2.945357277191919e-07	1.2816690843725111e-06	9.169188012921136e-06	2.5448535229130348e-06	1.429747171091833e-06	1.211347062185587e-06	4.879558952515355e-05	3.6718058659974136e-09	2.0119460075183284e-09	2.323037772929139e-06
54.0.	2.7711172271864146e-07	1.282003866685458e-06	9.17158307886151e-06	2.545518259200195e-06	1.430120632596604e-06	1.2116634758185628e-06	4.880867304825432e-05	3.454591026460085e-09	1.89292434441284e-09	2.323644569151477e-06
54.0.6.0	2.607184781976159e-07	1.282318844115577e-06	9.17383645870176e-06	2.54614367135412e-06	1.43047200105447e-06	1.211961171213796e-06	4.882098258293221e-05	3.2502260597533133e-09	1.780943694885206e-09	2.324215468829645e-06
55.0.199999999999996.0	2.452950170166087e-07	1.282615188268811e-06	9.175956534227228e-06	2.5467320856894157e-06	1.4308025834332771e-06	1.212241255694098e-06	4.883256391634949e-05	3.0579508019162673e-09	1.675587531802318e-09	2.324752595510895e-06
55.0.8.0	2.307839692720948e-07	1.282894001442191e-06	9.177951191380447e-06	2.547285690902464e-06	1.431113609384332e-06	1.212504771076181e-06	4.88434601270291e-05	2.8770500579796692e-09	1.5764639684749563e-09	2.325257947119395e-06
56.0.4.0	2.1713135891275631e-07	1.2831563207237638e-06	9.179827849592366e-06	2.547806546212138e-06	1.43140623581601e-06	1.212752697545628e-06	4.88537117450824e-05	2.7068509418728185e-09	1.4832043010826751e-09	2.325733403387391e-06
57.0.	2.042864029714249e-07	1.283403121850119e-06	9.181593489379526e-06	2.548296589019225e-06	1.4316815511969691e-06	1.212985957302768e-06	4.886335690296398e-05	2.5467203735989353e-09	1.395461637272013e-09	2.3261807328470108e-06
57.0.599999999999994.0	1.922013226599277e-07	1.283635322835984e-06	9.183254678310537e-06	2.5487576421132783e-06	1.431940579605091e-06	1.213205417993123e-06	4.887243147731881e-05	2.3960627242944403e-09	1.312909605786051e-09	2.326601599408943e-06
58.0.199999999999996.0	1.808311656626456e-07	1.283853787388651e-06	9.184817595433212e-06	2.549191420452216e-06	1.432184284536395e-06	1.213411895934498e-06	4.888096922242022e-05	2.2543176008925235e-09	1.23524114258862e-09	2.32699756855112e-06
58.0.8.0	1.70133638924373e-07	1.28405932812077e-06	9.186288054259197e-06	2.549599537541574e-06	1.4324135724890139e-06	1.21360615915349e-06	4.8889001895727904e-05	2.120957761609985e-09	1.162167348671731e-09	2.327370113141926e-06
59.0.4.0	1.600689513331516e-07	1.284252709573012e-06	9.187671524388454e-06	2.549983511436244e-06	1.432629296335095e-06	1.213788930242307e-06	4.889655937601599e-05	1.995487154786193e-09	1.0934164154525342e-09	2.327720618918823e-06
60.0.	1.505996657223114e-07	1.2844346510576848e-06	9.188973151852717e-06	2.5503447703866866e-06	1.432832258492947e-06	1.2139608890463668e-06	4.8903669774503114e-05	1.877439073896754e-09	1.0287326138270482e-09	2.328050389642415e-06
