time	ADP	ATP	BPG	P3G	pep	pyr
0.0.	0.0	10.0	0.1	3.7	5	0
0.0.31.0	0.064668195490483	9.935331804509516	0.164668195490483	3.635331804509515	5	0
0.0.62.0	0.067251930937094	9.93274806906291	0.167251930937095	3.6327480690629033	5	0
0.0.9299999999999999.0	0.067363960035485	9.932636039964523	0.167363960035485	3.632636039964512	5	0
1.0.24.0	0.06736883117259801	9.93263116882741	0.16736883117259801	3.6326311688274	5	0
1.0.55.0	0.067369043121058	9.93263095687895	0.16736904312105802	3.63263095687894	5	0
1.0.8599999999999999.0	0.06736905236449	9.932630947635518	0.16736905236449	3.632630947635509	5	0
2.0.17.0	0.067369052767712	9.932630947232292	0.16736905276771202	3.632630947232286	5	0
2.0.48.0	0.067369052785302	9.932630947214703	0.167369052785302	3.632630947214697	5	0
2.0.79.0	0.06736905278607	9.932630947213935	0.16736905278607	3.6326309472139293	5	0
3.0.1.0	0.067369052786102	9.932630947213903	0.167369052786102	3.632630947213897	5	0
3.0.41.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
3.0.7199999999999998.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
4.0.03.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
4.0.34.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
4.0.65.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
4.0.96.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
5.0.27.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
5.0.58.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
5.0.89.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
6.0.2.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
6.0.51.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
6.0.82.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
7.0.13.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
7.0.4399999999999995.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
7.0.75.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
8.0.06.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
8.0.37.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
8.0.68.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
8.0.99.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
9.0.3.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
9.0.61.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
9.0.92.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
10.0.23.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
10.0.54.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
10.0.85.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
11.0.16.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
11.0.47.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
11.0.78.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
12.0.09.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
12.0.4.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
12.0.709999999999999.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
13.0.02.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
13.0.33.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
13.0.64.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
13.0.95.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
14.0.26.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
14.0.57.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
14.0.879999999999999.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
15.0.19.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
15.0.5.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
15.0.81.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
16.0.12.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
16.0.43.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
16.0.74.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
17.0.05.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
17.0.36.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
17.0.669999999999998.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
17.0.98.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
18.0.29.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
18.0.6.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
18.0.91.0	0.067369052786104	9.932630947213903	0.167369052786104	3.632630947213894	5	0
